,term,score
0,tenpo,306.39739414554407
1,intanto,243.14546370271245
2,senpre,241.34041319683266
3,spedalingo,199.57604535135934
4,auto,198.17058024325118
5,disegnio,181.00767979884156
6,reverendo,173.06874647433096
7,palazzo,168.30538647962462
8,el,160.22302232433074
9,nocenti,155.7399985946043
10,bisognio,146.16837124324908
11,caccini,135.81976621622465
12,eccellenzia,133.374079851778
13,anche,130.7082550540593
14,batista,126.4918597297348
15,michelagniolo,115.89953383784504
16,doppo,106.38170654844198
17,signorie,104.9306144334055
18,reverendissimo,100.0305598888335
19,stanze,98.38255756757151
20,visto,95.57162735135518
21,cavalier,95.57162735135518
22,davitte,94.43755299006494
23,lorenzo,88.54430181081436
24,lionardo,87.32826656961655
25,obligatissimo,87.32826656961655
26,pietre,87.13883670270619
27,vole,86.92465037838377
28,core,85.74047990471443
29,inperò,85.11372016216745
30,pietro,84.32790648648987
31,fabrica,84.32790648648987
32,unico,83.30278994595112
33,proveditor,83.30278994595112
34,voluto,77.30058094594904
35,palco,76.05906908108581
36,vol,72.43720864865315
37,poggio,72.43720864865315
38,magistrati,71.45039992059536
39,dessiderio,71.35281781471573
40,man,70.27325540540822
41,scala,70.27325540540822
42,pezzi,68.8153482162205
43,scade,67.15559323737952
44,eccelentissimo,67.00441800000416
45,stamani,66.687039925889
46,obligo,66.05686008108373
47,han,65.09925326098688
48,bisognia,65.09925326098688
49,servilla,65.05698094871141
50,montalvo,64.65139497297557
51,modello,64.65139497297557
52,marmo,64.65139497297557
53,quegli,64.65139497297557
54,drento,63.2459298648674
55,dirli,63.2459298648674
56,antonio,63.2459298648674
57,spetto,62.60193491940685
58,vincenzio,61.92367993118264
59,cartoni,60.43499964865107
60,saria,60.43499964865107
61,ed,59.76069713513885
62,observandissimo,59.76069713513885
63,illustrissime,58.7481066013784
64,sforzo,57.94976691892252
65,patron,57.94976691892252
66,anch,57.94976691892252
67,busini,57.160319936476284
68,obsservandissimo,56.66253179403897
69,aqua,56.66253179403897
70,duchessa,55.572533271574166
71,coi,54.56391950537086
72,suplica,54.327906486489866
73,saluta,53.98474660667205
74,ornamenti,53.98474660667205
75,altare,53.98474660667205
76,organo,52.58562533230176
77,ogniuno,52.58562533230176
78,vegga,52.51697627027353
79,bascio,52.51697627027353
80,aviano,52.46530721670275
81,spedalingho,52.46530721670275
82,magnifici,52.46530721670275
83,fin,52.39695994176993
84,nostri,52.00220900000208
85,vorrei,52.00220900000208
86,fargli,50.706046054057204
87,vasarii,50.596743891893915
88,aviate,50.36669492803464
89,lassato,50.36669492803464
90,beni,49.22138661196569
91,tavole,49.191278783785755
92,legniame,48.895115837840876
93,fonte,48.895115837840876
94,atteso,48.895115837840876
95,gniene,48.26808263936653
96,accademia,48.26808263936653
97,elle,47.78581367567759
98,gennaio,47.78581367567759
99,cominciato,47.78581367567759
100,invenzione,47.63359994706357
101,dreto,47.57747053874921
102,maiano,47.57747053874921
103,mura,47.08418562162455
104,salvo,46.38034856756943
105,cioè,46.38034856756943
106,statue,46.38034856756943
107,inpresa,46.16947035069842
108,satisfatto,46.045813282161454
109,degni,46.045813282161454
