Sanga,VasariC,Giambullari,Ghiberti,Minerbetti,Vasari,Borghini,Bartoli
guglielmo,intanto,giambullari,quäle,el,tenpo,vincenzo,bartoli
sangalletti,senpre,pf,uiso,vescovo,intanto,anche,cosimo
osservandissimo,spedalingo,pierfrancesco,el,dilettissimo,senpre,vorrei,venezia
no,tenpo,1549,addunque,arezo,spedalingo,borghini,osservandissimo
magnifica,disegnio,onoratissimo,uisa,bindo,auto,vedete,cavalier
bascio,reverendo,vivete,superficie,altar,disegnio,batista,danese
affettuosissimo,bisognio,priego,piü,altoviti,reverendo,concetto,feliciti
dicie,palazzo,onorandissimo,sarä,vecchio,palazzo,cioè,avuto
bosco,auto,annotazione,spetie,luigi,el,avuto,pennelli
bisognia,core,tolomei,imperö,1553,nocenti,certi,accompagnerei
ocasione,reverendissimo,istampa,cioe,1552,bisognio,dite,piccina
dite,doppo,adventura,uedere,intanto,caccini,cavalier,serenità
negozio,sacra,stampa,comprende,1551,eccellenzia,excellentissimo,padroni
averà,unico,cerimonie,forma,nepote,anche,osservandissimo,raccomandano
serafino,caccini,respetto,perö,santissimo,batista,certe,soldi
affezionatissimo,proveditor,epistola,occhio,operai,michelagniolo,istorie,cioè
ongni,nocenti,anibale,remotione,sete,doppo,el,curzio
vole,scala,intaglio,linea,cavalier,signorie,potrebbe,barducci
rinuccini,pietre,agevolmente,centro,ambizion,reverendissimo,benché,carissima
mdlxvii,modello,pensava,perche,monastero,stanze,invenzione,raccomandazioni
asieme,cavalier,vorrebbono,fia,pergamo,visto,poppiano,cotesta
averò,el,dolermi,angulo,fosse,cavalier,fussino,lagune
conforme,beni,veduta,luce,piacer,davitte,massime,saggi
nepote,bisognia,corriere,quantitä,desiderio,lorenzo,intendo,motto
creda,scaglioni,volume,uisibili,occasion,lionardo,pensare,speranza
1569,pezzi,truovo,arä,decano,obligatissimo,dà,avanti
piacie,vegga,credeva,comprensione,dintorno,pietre,motto,lacca
saperete,vole,avesse,perpendiculare,narrativa,vole,appunto,occhiali
comesso,saglie,xxii,lla,costà,core,cuore,scatola
deve,davitte,arti,asse,omo,inperò,voluto,vego
marcantonio,servilla,libro,tra,dietro,pietro,sare,atorno
1570,ricetto,voletelo,diafano,pietro,fabrica,metterei,intender
sadisfazione,lassato,botarvi,uisibile,grano,unico,talché,corona
addì,segniato,stracciate,uirtü,ragionevolmente,proveditor,imbasciadore,costà
sodisfazione,magnifici,balzasse,uisi,accioché,voluto,scrivete,intendevano
faciessi,dirli,amichevolmente,cosi,staia,palco,parecchi,attributo
offero,bontà,borghino,fosse,sacramento,vol,faccenda,ercole
