,term,score
0,quäle,2075.8801619275314
1,uiso,1873.049892788653
2,el,1392.815922135191
3,addunque,823.8414635393942
4,uisa,813.8251539522892
5,superficie,781.2721477941975
6,piü,768.7517608103161
7,sarä,738.7028320490009
8,spetie,590.9622656392007
9,imperö,573.4337238617668
10,cioe,525.8562533230175
11,uedere,485.7910149745972
12,comprende,484.7794386823334
13,forma,479.26360186488404
14,perö,465.758395800387
15,occhio,463.6337061514188
16,remotione,438.213544435848
17,linea,421.9467403784046
18,centro,421.8210700222901
19,perche,410.66869307130895
20,fia,409.64895954474673
21,angulo,409.2702288648903
22,luce,405.64836843245763
23,quantitä,400.6523834842039
24,uisibili,378.1156869132174
25,arä,378.1156869132174
26,comprensione,348.0667581519021
27,perpendiculare,335.54637116802076
28,lla,325.28490474355704
29,asse,305.49744240670543
30,tra,298.00294499087164
31,diafano,272.9444362486139
32,uisibile,270.44035885183763
33,uirtü,265.43220405828504
34,uisi,260.4240492647325
35,cosi,242.9313597300242
36,fosse,241.3435730651221
37,uero,237.88735269374604
38,tauola,237.88735269374604
39,reflexione,235.38327529696977
40,puö,227.87104310664094
41,comprenderä,220.35881091631214
42,mego,212.8465787259833
43,allora,210.81976621622465
44,humore,207.83842393243074
45,neruo,202.8302691388782
46,positione,200.32619174210194
47,corpi,195.29775978296064
48,uuea,187.80580475822057
49,uisione,187.80580475822057
50,linee,186.52581227028188
51,senso,182.9039518378492
52,acciö,177.78949517111548
53,parti,177.08860362162872
54,quäl,175.28541777433918
55,uede,167.77318558401038
56,imagine,165.79037080478068
57,piramide,163.03395254054706
58,concauitä,162.7650307904578
59,foro,157.39592165010825
60,assi,155.252798600129
61,apparisce,152.74872120335272
62,comune,150.3847665675736
63,distantia,147.74056640980018
64,esse,146.16837124324908
65,cornea,145.2364890130239
66,forme,141.25255686487364
67,dipinse,138.50841105209525
68,conciö,132.71610202914252
69,intentione,130.21202463236625
70,uetro,130.21202463236625
71,ouero,130.21202463236625
72,est,130.19850652197377
73,ragi,130.11396189742283
74,circulo,127.70794723558998
75,chella,127.70794723558998
76,dispositione,125.2038698388137
77,uuoi,125.2038698388137
78,diuersitä,122.69979244203743
79,uiene,122.69979244203743
80,comprendono,121.71951274275038
81,moto,120.86999929730214
82,aere,119.62090045408227
83,occhi,118.05906908108581
84,uedrä,117.69163764848489
85,sunt,117.52228816541415
86,manifesto,117.52228816541415
87,colla,117.52228816541415
88,similmente,115.9084265378547
89,graciale,115.18756025170862
90,sanga,115.18756025170862
91,compreso,114.0886036216287
92,anguli,113.32506358807794
93,diametro,113.32506358807794
94,ueramente,112.68348285493234
95,doue,110.17940545815607
96,minore,109.62627843243682
97,ueduta,107.67532806137979
98,distintiua,105.17125066460352
99,latitudine,105.17125066460352
100,intentioni,105.17125066460352
101,diuersi,105.17125066460352
102,insino,104.79391988353986
103,diametri,102.66717326782724
104,qualitä,102.66717326782724
105,stremitä,100.16309587105097
106,stende,100.16309587105097
107,ra,97.79023167568175
108,oppositione,97.65901847427469
109,spatio,97.65901847427469
110,consimile,97.65901847427469
111,linie,97.65901847427469
112,abbiamo,96.97709245946334
113,acqua,96.85498655902926
114,rispetto,94.16616224324702
115,statua,93.67941322922502
116,longitudine,92.65086368072214
117,änno,92.65086368072214
118,ua,92.65086368072214
119,certamente,92.33894070139684
120,manifesta,92.33894070139684
121,auere,90.14678628394587
122,indiuiduo,90.14678628394587
123,uera,90.14678628394587
124,intra,86.92465037838377
125,radiale,85.13863149039332
126,accioche,85.13863149039332
127,sperimentatore,85.13863149039332
128,sensibile,82.63455409361704
129,forte,82.5649065749102
130,equale,81.84587925805629
131,siano,81.51697627027353
132,dichiarato,81.4918597297348
133,circunferentia,80.13047669684077
134,centri,80.13047669684077
135,spera,77.80154658020383
136,glaciale,77.6263993000645
137,conuiene,77.6263993000645
138,oue,77.6263993000645
139,diuersa,77.6263993000645
140,nerui,77.6263993000645
141,appelle,77.6263993000645
142,costui,76.21375991530172
143,no,75.89511583784088
144,equali,75.55004239205196
145,uitreo,75.12232190328822
146,magnitudine,75.12232190328822
147,specchi,75.12232190328822
148,dall,74.48965072973272
149,punti,74.24813886486947
150,ciascheduno,73.45143010338386
151,adunque,73.08418562162454
152,tuniche,72.61824450651196
153,tunica,72.61824450651196
154,apparirä,72.61824450651196
155,trouerrä,72.61824450651196
156,certifica,72.61824450651196
157,pictura,72.43720864865315
158,contiene,71.35281781471573
159,ago,71.35281781471573
160,lle,70.62627843243682
161,certificata,70.11416710973567
162,huomo,70.11416710973567
163,ceruello,70.11416710973567
164,ciascuna,69.86261325569323
165,grandissima,69.86261325569323
166,sancto,68.8153482162205
167,exeunte,67.61008971295941
168,pergameno,67.61008971295941
169,cittä,67.61008971295941
170,modi,67.46232518919189
171,sottile,67.00441800000416
172,dentro,66.05686008108373
173,propinquo,65.10601231618313
174,ssi,65.10601231618313
175,sperica,65.10601231618313
176,os,65.10601231618313
177,differentia,65.10601231618313
178,peruiene,65.10601231618313
179,solamente,63.2459298648674
180,giä,62.60193491940685
181,diuerso,62.60193491940685
182,cognitione,62.60193491940685
183,appare,61.571627351355176
184,diuerse,60.09785752263058
185,olimpia,60.09785752263058
186,ji,60.09785752263058
187,diafanitä,60.09785752263058
188,eile,60.09785752263058
189,amendue,58.76114408270708
190,sie,57.94976691892252
191,tempio,57.62406943243474
192,rettamente,57.59378012585431
193,aspiciente,57.59378012585431
194,radiali,57.59378012585431
195,auenga,57.59378012585431
196,multiplicatione,55.089702729078034
197,dinangi,55.089702729078034
198,rago,55.089702729078034
199,sentiente,55.089702729078034
200,ui,55.089702729078034
201,operatione,55.089702729078034
202,distintione,55.089702729078034
203,opposito,55.089702729078034
204,remoto,55.089702729078034
205,scientia,55.089702729078034
206,infino,54.81313921621841
207,fanciullo,54.327906486489866
208,luoghi,53.40767410811025
209,uirile,52.58562533230176
210,distinctione,52.58562533230176
211,uolta,52.58562533230176
212,compresa,52.58562533230176
213,risguarda,52.58562533230176
214,reflexiuamente,52.58562533230176
215,sectione,52.58562533230176
216,albugineo,52.58562533230176
217,decliue,52.58562533230176
218,uedranno,52.58562533230176
219,pupilla,52.46530721670275
220,pariete,50.36669492803464
221,benche,50.081547935525485
222,spere,50.081547935525485
223,denso,50.081547935525485
224,inuerso,50.081547935525485
225,concorso,50.081547935525485
226,protogine,50.081547935525485
227,uisuale,50.081547935525485
228,ja,50.081547935525485
229,diligentia,50.081547935525485
230,rectitudine,50.081547935525485
231,perpendiculari,50.081547935525485
232,nelli,49.22138661196569
233,numero,49.22138661196569
234,specchio,49.191278783785755
235,libro,49.191278783785755
236,chiama,48.895115837840876
237,ordinati,48.26808263936653
238,uengono,47.57747053874921
239,opposita,47.57747053874921
240,fractione,47.57747053874921
241,catecho,47.57747053874921
242,auiene,47.57747053874921
243,tumore,47.57747053874921
244,humori,47.57747053874921
245,aueua,47.57747053874921
246,auesse,47.57747053874921
247,statuarij,47.57747053874921
248,retto,46.16947035069842
249,cum,46.16947035069842
250,imagini,46.16947035069842
251,pictori,45.27325540540822
252,unum,45.073393141972936
253,appariscono,45.073393141972936
254,innangi,45.073393141972936
255,proportione,45.073393141972936
256,necessitä,45.073393141972936
257,sentirä,45.073393141972936
258,eseunti,45.073393141972936
259,intuitione,45.073393141972936
260,certificatione,45.073393141972936
261,congiuntione,45.073393141972936
262,llo,44.07085806203031
263,oppone,44.07085806203031
264,arco,43.56941835135309
265,dicono,43.56941835135309
266,sente,42.87023995235722
267,iui,42.56931574519666
268,uisiua,42.56931574519666
269,palpebre,42.56931574519666
270,muoue,42.56931574519666
271,propinqua,42.56931574519666
272,mescuglo,42.56931574519666
273,uolte,42.56931574519666
274,continuati,42.56931574519666
275,mutatione,42.56931574519666
276,istorie,41.2824532874551
277,com,41.2824532874551
278,retta,40.758488135136766
279,perpendicularmente,40.06523834842039
280,mouimento,40.06523834842039
281,uisuali,40.06523834842039
282,ciö,40.06523834842039
283,statuaria,40.06523834842039
284,stremo,40.06523834842039
285,nasconde,40.06523834842039
286,etä,40.06523834842039
287,remoti,40.06523834842039
288,huomini,40.06523834842039
289,mediocre,39.87363348469409
290,quod,39.87363348469409
291,ex,39.87363348469409
292,perfectione,39.84046475675923
293,naturale,39.69466662255298
294,misure,39.353023027028605
295,debole,38.10687995765086
296,pel,38.029534540542905
297,minori,38.029534540542905
298,frati,37.94755791892044
299,moltissime,37.77502119602598
300,diuisione,37.56116095164411
301,uaso,37.56116095164411
302,ueritä,37.56116095164411
303,indiuidui,37.56116095164411
304,guatato,37.56116095164411
305,moltissimi,37.56116095164411
306,jo,37.56116095164411
307,obliquatione,37.56116095164411
308,scrittula,37.56116095164411
309,minerua,37.56116095164411
310,fossono,37.56116095164411
311,ciascheduna,37.56116095164411
312,ouuoi,37.56116095164411
313,similitudine,36.519093292748735
314,pictore,36.519093292748735
315,discepolo,35.67640890735787
316,sensi,35.67640890735787
317,basa,35.67640890735787
318,quae,35.67640890735787
319,erano,35.13662770270411
320,statue,35.13662770270411
321,tauole,35.05708355486784
322,uoluto,35.05708355486784
323,pruoua,35.05708355486784
324,mecjo,35.05708355486784
325,reflexa,35.05708355486784
326,ueduto,35.05708355486784
327,auctori,35.05708355486784
328,stremi,35.05708355486784
329,pulcritudine,35.05708355486784
330,tunici,35.05708355486784
331,diminutione,35.05708355486784
332,dirittamente,35.05708355486784
333,aristotile,35.05708355486784
334,sensibili,35.05708355486784
335,distinte,35.05708355486784
336,risguardante,35.05708355486784
337,diceua,35.05708355486784
338,cauiamo,35.05708355486784
339,gioue,35.05708355486784
340,chessi,35.05708355486784
341,mouerä,35.05708355486784
342,auicenna,35.05708355486784
343,gratia,34.40767410811025
344,passa,33.73116259459594
345,razi,33.57779661868976
346,luci,33.57779661868976
347,cade,33.57779661868976
348,egregiamente,33.57779661868976
349,fuoco,33.3435199629445
350,stelle,33.3435199629445
351,colle,32.596743891893915
352,sanza,32.596743891893915
353,generatione,32.55300615809156
354,tione,32.55300615809156
355,equidistante,32.55300615809156
356,ueggono,32.55300615809156
357,concaui,32.55300615809156
358,uise,32.55300615809156
359,fussono,32.55300615809156
360,uedute,32.55300615809156
361,consolidatiua,32.55300615809156
362,obliquo,32.55300615809156
363,uedrai,32.55300615809156
364,concauo,32.55300615809156
365,stendono,32.55300615809156
366,auctore,32.55300615809156
367,rettitudine,32.55300615809156
368,consideratione,32.55300615809156
369,sitiente,32.55300615809156
370,appariranno,32.55300615809156
371,uerso,32.55300615809156
372,apparire,31.47918433002165
373,comprendere,31.47918433002165
374,concorrono,31.47918433002165
375,piccola,30.920232378379616
376,alacen,30.04892876131529
377,compositione,30.04892876131529
378,spetialmente,30.04892876131529
379,densitä,30.04892876131529
380,diafani,30.04892876131529
381,farä,30.04892876131529
382,lli,30.04892876131529
383,perito,30.04892876131529
384,propositione,30.04892876131529
385,proprietä,30.04892876131529
386,fosseno,30.04892876131529
387,dimostratione,30.04892876131529
388,obliqua,30.04892876131529
389,declinanti,30.04892876131529
390,prospettiua,30.04892876131529
391,oculus,30.04892876131529
392,propinqui,30.04892876131529
393,truoua,30.04892876131529
394,uia,30.04892876131529
395,maxima,30.04892876131529
396,deir,30.04892876131529
397,existente,30.04892876131529
398,scrittura,29.514767270271452
399,dallo,29.514767270271452
400,chelle,29.38057204135354
401,sinistro,29.38057204135354
402,disciplina,29.38057204135354
403,istante,29.38057204135354
404,nobili,28.580159968238142
405,greci,28.580159968238142
406,dagli,28.580159968238142
407,giudicio,28.10930216216329
408,piano,28.10930216216329
409,moti,27.544851364539017
410,doctrine,27.544851364539017
411,densa,27.544851364539017
412,riflette,27.544851364539017
413,stella,27.544851364539017
414,uuole,27.544851364539017
415,carente,27.544851364539017
416,uenga,27.544851364539017
417,passamento,27.544851364539017
418,reflexioni,27.544851364539017
419,muoua,27.544851364539017
420,distante,27.544851364539017
421,meqo,27.544851364539017
422,coua,27.544851364539017
423,llui,27.544851364539017
424,ello,27.544851364539017
425,compiuta,27.544851364539017
426,manifeste,27.544851364539017
427,corporale,27.544851364539017
428,inter,27.544851364539017
429,phylosopho,27.544851364539017
430,circulare,27.544851364539017
431,excesso,27.544851364539017
432,rette,27.544851364539017
