,term,score
0,el,342.9334863783921
1,vescovo,113.84267375676131
2,dilettissimo,92.65086368072214
3,arezo,68.86779029730006
4,bindo,39.87363348469409
5,altar,30.785813675677588
6,altoviti,30.785813675677588
7,vecchio,23.816799973531786
8,luigi,23.08473517534921
9,1553,23.08473517534921
10,1552,18.88751059801299
11,intanto,16.86558129729797
12,1551,16.78889830934488
13,nepote,16.78889830934488
14,santissimo,15.87786664902119
15,operai,15.87786664902119
16,sete,15.87786664902119
17,cavalier,15.460116189189808
18,ambizion,15.024464380657644
19,monastero,14.69028602067677
20,pergamo,14.48744172973063
21,fosse,14.290079984119071
22,piacer,14.054651081081644
23,desiderio,14.054651081081644
24,occasion,12.59167373200866
25,decano,12.520386983881371
26,dintorno,12.520386983881371
27,narrativa,12.520386983881371
28,costà,11.243720864865315
29,omo,11.243720864865315
30,dietro,11.243720864865315
31,pietro,11.243720864865315
32,grano,11.243720864865315
33,ragionevolmente,11.114506654314834
34,accioché,10.865581297297972
35,staia,10.865581297297972
36,sacramento,10.865581297297972
37,giugnio,10.493061443340551
38,53,10.493061443340551
39,venite,10.493061443340551
40,dui,10.493061443340551
41,instanzia,10.493061443340551
42,zoccolanti,10.016309587105097
43,perfezzion,10.016309587105097
44,mercé,10.016309587105097
45,giugno,9.838255756757151
46,andar,9.838255756757151
47,capitolo,9.838255756757151
48,andate,9.838255756757151
49,intendo,9.838255756757151
50,adunque,9.838255756757151
51,avanti,9.838255756757151
52,dite,9.838255756757151
53,amorevolezza,9.838255756757151
54,almeno,9.526719989412715
55,fin,9.526719989412715
56,quaresima,9.526719989412715
57,gliene,9.526719989412715
58,altrui,9.526719989412715
59,canonici,9.054651081081644
60,dolcissimo,9.054651081081644
61,roba,9.054651081081644
62,disordine,9.054651081081644
63,napoli,8.432790648648986
64,certe,8.432790648648986
65,deve,8.432790648648986
66,padri,8.432790648648986
67,bontà,8.432790648648986
68,bello,8.432790648648986
69,michelangelo,8.39444915467244
70,quantunche,8.39444915467244
71,impedisce,8.39444915467244
72,seme,8.39444915467244
73,ferrara,7.938933324510595
74,imperò,7.938933324510595
75,cortesia,7.938933324510595
76,villa,7.938933324510595
77,pennello,7.938933324510595
78,tien,7.938933324510595
79,suore,7.512232190328822
80,dovesse,7.512232190328822
81,rider,7.512232190328822
82,pintar,7.512232190328822
83,foste,7.512232190328822
84,carniglia,7.512232190328822
85,resolverete,7.512232190328822
86,solete,7.512232190328822
87,scienza,7.512232190328822
88,venitene,7.512232190328822
89,dottissima,7.512232190328822
90,romor,7.512232190328822
91,69,7.512232190328822
92,visiterò,7.243720864865315
93,attorno,7.243720864865315
94,creato,7.243720864865315
95,sottile,7.243720864865315
96,iudizio,7.243720864865315
97,vescovado,7.243720864865315
98,sedie,7.243720864865315
99,importanza,7.243720864865315
100,risponder,7.243720864865315
101,tornate,7.243720864865315
