,term,score
0,intanto,32.32569748648778
1,senpre,29.38057204135354
2,spedalingo,28.10930216216329
3,tenpo,23.08473517534921
4,disegnio,17.46565331392331
5,reverendo,17.46565331392331
6,bisognio,16.86558129729797
7,palazzo,15.87786664902119
8,auto,15.460116189189808
9,core,14.290079984119071
10,reverendissimo,12.702293319216952
11,doppo,12.702293319216952
12,sacra,12.702293319216952
13,unico,12.676511513514301
14,caccini,12.676511513514301
15,proveditor,12.676511513514301
16,nocenti,12.676511513514301
17,scala,12.649185972973479
18,pietre,11.243720864865315
19,modello,11.243720864865315
20,cavalier,11.243720864865315
21,el,11.243720864865315
22,beni,11.114506654314834
23,bisognia,11.114506654314834
24,scaglioni,10.865581297297972
25,pezzi,10.865581297297972
26,vegga,10.865581297297972
27,vole,10.865581297297972
28,saglie,10.493061443340551
29,davitte,10.493061443340551
30,servilla,10.493061443340551
31,ricetto,10.493061443340551
32,lassato,10.493061443340551
33,segniato,10.493061443340551
34,magnifici,10.493061443340551
35,dirli,9.838255756757151
36,bontà,9.838255756757151
37,salvo,9.838255756757151
38,anche,9.838255756757151
39,eccellenzia,9.526719989412715
40,obligatissimo,9.526719989412715
41,ingegnio,9.054651081081644
42,observandissimo,9.054651081081644
43,atteso,9.054651081081644
44,anch,9.054651081081644
45,comandi,8.432790648648986
46,batista,8.432790648648986
47,cotesta,8.432790648648986
48,visto,8.432790648648986
49,voluto,8.432790648648986
50,saria,8.432790648648986
51,inn,8.39444915467244
52,seguitar,8.39444915467244
53,comessario,8.39444915467244
54,observandissimi,8.39444915467244
55,vizii,8.39444915467244
56,dessiderio,8.39444915467244
57,branca,8.39444915467244
58,fugir,8.39444915467244
59,entrata,7.938933324510595
60,migliore,7.938933324510595
61,toscana,7.938933324510595
62,patron,7.243720864865315
63,farnese,7.243720864865315
64,quatro,7.243720864865315
65,inperò,7.243720864865315
66,sforzo,7.243720864865315
67,vol,7.243720864865315
68,iustizia,7.243720864865315
69,michelagniolo,7.243720864865315
70,lelio,7.243720864865315
71,ire,7.243720864865315
72,pietro,7.027325540540822
73,vasarii,7.027325540540822
