,Numero d'ordine,Data,Intestazione,Segnatura,Fonte,Bibliografia
0,1051,26 12  1572,VINCENZO BORGHINI IN FIRENZE A GIORGIO VASARI IN ROMA,"ASA, AV, 14 (XLVIII), cc. 146-148.","Molto Magnifico messer Giorgio. Ho ricevuto la vostra con la distesa delle istorie della sala, le quali considererò, e perché mi ha dato noia un po’ di scesa et non ne son libero, indugierò a questa altra settimana a darne più piena risposta. Messer Vincenzo non credo che pensi più alla messa, ma quando si potessi confermare nel privileggio del legittimare et altri indulti che non toccono il concilio, credo sarebbe contento, che qua non lo ammettono, e però forse bisognerebbe questa confermazione; pure ci sarà tempo. De la cosa mia come mi dite ne starò a buona speranza; e se voi vedete che la camini bene, il meglio sarebbe stringnere e darli fine, che cosa fatta importa assai e si schifa molte cose, che col tempo possono occorrere, che si dice che l’indugio pigla vizio; ma se ci fusse qualche difficultà, allora è bene non strignere, che il far male ha da essere l’ultima cosa. Io come ho detto vi scriverrò per altra più allungo, che le feste, la scesa mi danno che fare, e raccomandatemi caramente al Signor Protonotario Imbasciadore et a voi medesimo. Che Dio vi feliciti. Di Firenze il dì di Santo Stefano 1572. Vostro Don Vincenzo Borghini Al Molto Magnifico Signor Cavalier Vasari Messer Giorgio Pittore Excellentissimo. Roma. ","Frey 1930, pp. 736-737."
1,791,24 12  1569,GIORGIO VASARI IN FIRENZE A ORDINE DI SANTO STEFANO IN PISA,"ASPI, Carte Bonaini, IX.","Illustrissimi Signori miei observandissimi. Come per l'altra mia le scrissi del successo seguito con il Gran Duca per le cose della chiesa della Illustrissima et Sacra Religione Vostra circa la tavola di pittura che manca et ornamenti loro che ne aspetto le misure per potergli dar principio, ho nondimeno iermatina con buona occasione con Sua Altezza risoluto la perfectione del canpanile con un mio disegnio, il quale, senza alterare la torre, si va levando i pilastri del mezzo e facendovi uno ornamento conforme alla accompagniatura sì della chiesa e facciata da farsi con il disegnio che ho fatto che è nelle mani del Gran Duca, l’Altezza del quale ha stabilito e fermo per farla a tenpo nuovo. Et però Sua Altezza mi ha comandato che quel del canpanile io ve lo mandi et che si conduca simile al disegnio, il quale per esser ben misurato potrà Maestro Giovanni di Stoco scultore farlo mettere in opera e le pietre o pigliarle a far lui o darle allo scarpellino solito. Bene è vero che, avendo costì de' marmi Pisani del Monte a San Giuliano, sarei di parere che costerà quasi il medesimo di fare i finestroni di marmi et le colonne di pezzi, che a quanto me ne rimetterò al Gran Consiglio Vostro, e quanto prima si alloghi le pietre, acciò si finisca. E nella cima, dov’è quell’ochio, va l’orilogio che starà benissimo et a proposito alla chiesa et al convento. Le canpane Sua Altezza mi ha detto che ci vol pensar lui, che non se gli ricordino più, ma che s’atenda al canpanile, che non sarà finito, che le canpane saran fatte; però io non penserò ad altro se non che a colui che si risolve che vi atenda volendo o modani per cornicie o più trito disegnio o scriva o venga a Fiorenza che di tutto sarà da me satisfatto. Intanto quelle preghino il Signore Dio per la felicità del Gran Duca, il quale ogni dì andando a magior grandezza cresca la Illustrissima Religione Vostra. Et resto prontissimo a comandi di tutti in publico et in particolare. Che il Signore Dio dia in questa S. Pasqua ogni contento. Di Vostra Signoria Illustrissime Servitore Giorgio Vasari. Alli Illustrissimi Signori XII del Consiglio de la Sacra Religione de Cavalieri di Santo Stefano, Signori miei obsservandissimi. A Pisa. ","Frey 1930, pp. 476-477."
2,284,20 04  1559,GABRIEL FIAMMA IN PADOVA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 13 (XLVII), cc. 53, 59.","Magnifico Signor mio osservandissimo. Ho scritto a Vostra Signoria per l’altro corriero, ma così in corso: ora più aggiatamente la posso salutare, che son gionto a Padova; e già quatro giorni mi godo un suavissimo riposo. Né i banchetti mi stroppiano, né gli inviti mi cruciano, ma le visite di carissimi e familiarissimi amici mi confortano, perché con loro non ho a fare né il contegnoso né il ceremonioso, e mi duole solamente che presto son sforzato a volare a Mantova a predicare e non posso far schermo, perché i frati non abbino occasione d’offendermi con le loro lingue. Vi rendo molte grazie del ritratto. Non l’ho avuto ancora, ma ho ben avuto le lettere per mezzo del signor Antonio Botti e nova, che la tela è in mano de mio fratello; e questo è l’apontamento. Credo, sapiate la morte della figliola e il pericolo della donna. Dio l’aiuti. Io vorrei poterlo confortar con la vita, ma conviene confortarsi col voler di Dio, quando i conforti delli omeni non vagliono. Io ho da ritrovarmi in Mantova a predicare senza fallo il primo di maggio e di là vi darò raguaglio del fatto mio e vi mandarò qualche cosa secondo la promessa. So ben, che mi farete credenza, e che non farete inportuno creditore; tanto più quanto prometto d’esser buon pagatore e presto. Vi prego, salutate tutti gli amici, che mi salutarono per le vostre lettere e tenetemi per quel caro e vero amico che vi sono, comandandomi e amandomi. Salutate, vi prego, la monna Cosina da mia parte e tutti di casa vostra, per la cui salute pregarò sempre, così fossero più efficaci i preghi miei. Non altro, se non che di tutto cuore mi raccomando. Da Padova a dì 20 aprile del '59. Vi prego, salutate particolarmente il Gelli. Il Vostro Don Gabriello Fiamma. Al magnifico Signor mio osservandissimo, il Signor Georgio Vasari. ","Frey 1923, pp. 513-514."
3,1114,1 08  1573,GIORGIO VASARI IN FIRENZE AI DEPUTATI ALLE FABBRICHE DELLA MISERICORDIA IN AREZZO,"AAA, filza CC, Registro di lettere, i, 1569, I, c. 121.","Molto magnifici Signori Deputati, Signori mia observandissimi. Oggi che dalli magnifici Signori Nove si è terminata la cosa della cava con il Valdambrino, si manda costì Francesco Menichini alias il covato, accio vegga la cava, termini quanti gli fa bisogno, accio si cominci quanto prima a cavare le pietre, che, per essere la muraglia assai bene inanzi et le pietre indietro, fa bisogno che questo si termini et si dia ordine che lui vi possa mandare e mettervi delli uomini, a cagione che per defetto delle pietre la muraglia non resti di non si seguitare. Però le Signoria Vostra daranno ordine a quanto occorre con la loro solita prudenzia e giudizio; che tutto ciò è d’ordine di loro Altezze, le quali desiderano che, poi che si è cominciata, si tiri inanzi et si vada seguitando allegramente. Né sendo questa per altro, me gli offero e raccomando. Di Firenze il dì primo d’agosto 1573. Vostra Signoria molto Magnifiche Il Vostro affezzionatissimo Cavalier Giorgio Vasari. Alli molti magnifici et Signori mia observandissimi li Signori Deputati della fabbrica della fraternita d’Arezzo. ","Frey 1930, pp. 810-811. "
4,904,3 09  1571,GUGLIELMO SANGALLETTI IN ROMA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 15 (XLIX), cc. 174, 177.","Molto Magnifico Signor Cavaliere. La presente averete per mano di messer Giovan Antonio scultore, quale va al Bosco per acomodare le figure che ha fatto per la sepultura di Sua Santità; verrà a basciare le mani a Vostra Signoria in nome mio, dal quale potrà itendere qualcosa di quello amico vostro che con tanta sumessione vi scrive, et come volete che faccia altrimenti? Non voglio pigliare impresa; a me basta che, quando è bisognato, ho detto e fatto quello che dovevo per il mio Signor Cavaliere, come farò in avenire, e li tristi bisognia lassarli andare a lor viaggio, et l’altro amico che fa sì gran bravata, la fa come si dicie a credenza. Però né voi né io non dobiamo più parlarne che solo al pensarci, non che al parlare, se li fa troppo favore; et così sia fornita. Il suo motuproprio lo soleciterò et bisognia farlo per tutti li modi, che senza esso non ci saria la sodisfazione vostra né delli amici ancora. E tornare bisognia per sodisfazione del Vechio et a questo bisognia molto ben pensare, perché questo è ancora servizio di loro Altezze. La prego con buona ocasione a mantenermi vivo in la grazia loro et imparticulare del cardinale illustrissimo, al quale bascierete le mani in mio nome. State sano et così dite alla signora Cosina vostra consorte, che Dio vi guardi asieme. Di Roma li III di settembre 1571. Di Vostra Signoria Molto Magnifica Servitore Guglielmo Sangalletti Marcantonio sta bene e si fa valentomo. Al molto magnifico Signor, il Signor Cavaliere Giorgio Vasari, Firenze. ","Frey 1930, pp. 599-600."
5,457,15 06  1563, BERNARDETTO MINERBETTI IN AREZZO A GIORGIO VASARI IN FIRENZE,"ASA, AV, 10 (XLIV), cc. 241, 250.","Messer Giorgio molto Magnifico. Se il mio messer Giorgio fusse stato informato della bella vita, che tien fra’ Lorenzo Baldanza d’Arezzo, forse che ne arebbe chiesto per grazia al generale di non lo levar di qua, avendomi egli medesimo promesso di partirsene. Messer Giorgio, io non ce lo voglio. Vedete ora quel che più vi preme: il vescovo d’Arezzo e l’onesto o fra’ Lorenzo et il disonesto, et così vi governate: che io sono tutto Vostro. D’Arezzo 15 di giugno '63. El vostro vescovo d’Arezzo. Al Molto Magnifico Messer Giorgio Vasari, mio carissimo. "," Frey 1930, p. 1."
6,142,1 10  1550,PIETRO ARETINO IN VENEZIA A GIORGIO VASARI IN FIRENZE.,assente,"A Giorgio Pittore. Egli è tale in tutte le sorti di qualità che si convengano a un nobile e ben creato giovane, il vostro messer Rafaello, che il mio animo ha in modo posto in compromessa l’amore che vi porta da padre; ch’io non so chi più mi sia figliuolo, il Vasari o il Grisello? Benché mi risolvo nel cuore ad amarvi egualmente in lo intrinseco: imperoché nel riguardar’ col pensier’ l’uno e l’altro, in tutti due compartisco la carità della benivolenzia in l’affetto, sì che ognun di voi mi comandi e dispona. Di ottobre in Vinetia MDL. ","Aretino, Lettere, 1609, p. 336; Frey 1923, pp. 295-296; Pertile-Camesasca 1957, II, p. 365."
7,512,8 06  1564, VINCENZO BORGHINI IN GLI ALBERI A GIORGIO VASARI IN FIRENZE,"ASA, AV, 14 (XLVIII), c. 41.","Magnifico Messer Giorgio. Io mi muoio di sonno e non ho a dormire; e se io mi adormento, ne sete cagione voi, che non mi mandate que’ disegni che tratterrebbono desto. Ideo etc. Se voi sollecitassi con ser Guglielmo la cosa di que’ disegni e con Gianiacopo quegli altri, fra questi e quei che io ho, farei un bello impastare, et caccerebbemi il sonno assai bene. Ideo, et a voi mi raccomando. Dagli Alberi alli 8 di giugno 1564. Ricordandovi, che oggi a 8 è il dì de l’exequie. Vostro Don Vincenzo Al Molto Magnifico Messer Giorgio Vasari mio osservandissimo. In Casa. "," Frey 1930, p. 84."
8,841,9 01  1570,GUGLIELMO SANGALLETTI IN ROMA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 15 (XLIX), cc. 153-154.","Molto Magnifico Signor Giorgio. Le tavole son’ giunte al Bosco, che cie n’è nuove, a bon salvamento et si atende a metterle sopra, e come se n abbia aviso della sodisfazione, il saperete. Del vostro venire pigliate la vostra comodità, e se la vostra consorte si lauda di me, n’ha causa, che se non la menassi, faresti grandissimo errore, poiché questa è ocasione giustisima di veder Roma. Nel resto, quando sarete qua, si darà recapito a tutto; non sarò più lungo, che non ho tempo. La ringrazio delle raccomandazione al cardinal illustrissimo et vi bascio le mani. Di Roma il primo di settembre 1570. Di Vostra Signoria Molto Magnifica Servitore affezionatissimo Guglielmo Sangalletti Al Molto Magnifico Messer Giorgio Vasari, mio osservandissimo. Fiorenza. ","Frey 1930, p. 525."
9,50,20 01  1543,GIORGIO VASARI IN ROMA A ALESSANDRO FARNESE IN CASTRO,assente,"Illustrissimo Monsignore, mio Patron sempre onorandissimo. Da che la sola cortesia vostra, Magnanimo Signore, è suto causa, che col vostro troppo offerirmivi mi ha accresciuto non sol l’animo, ma disgombrato quel male, che mi teneva la figura intenebrata, mosso da quella caldezza fervida che con pronto amore desidera chi benefizio riceve, vi rendo grazie della ricevuta sanità, come primo presente donatomi da Voi; che ’l chiaro del vostro buono animo mi ha sì reso le forze, che ho fatto il parto, innante che sia gravida o pregnia la memoria. Onde io, che vi adoro, fatto sano sol col suono delle offerte vostre, vi dedico il voto della Iustizia impostomi, che certo non di manco signore deve essere la Iustizia degnia che di Voi. Ma se la strattezza del mio ingegnio s’è svegliata sol nel vedervi non che nel gustarvi, non dubito, se l’appoggio vostro mi presta quel sostegnio ch’io spero, di farmi immortalissimo sotto l’ombra vostra, la qual Cristo per i virtuosi sempre feliciti. Il disegnio, che per il quadro mi chiedesti, prigione in un guluppo legato vi si manda; e l’invenzione è questa. Le Pandette di Iustiniano, legge dai moderni viventi osservata per rigore di lei, son fondamento di Astrea, la quale nuda dal mezzo in su, vedretela quasi spogliata di tutte le passioni, che possono offendere chi giudica; e ha sette catene alla cintura, quali sette abominevol vizii sono da essa in prigionia sostenuti: l’uno è la Corruzione, che è quello che con aspetto grave sta torcendosi, riguardando a quelle catene, danari, gioie, dominii etc. Ma la seconda, da lui a presso, è la Ignoranzia, accompagniata da l’asino. Soprali v’è la Crudeltà, volta con la faccia in là, non guardando nessuno. Soprali, alla ben guidata Iustizia, vi è a man di lei dritta lo struzzo, il quale per esser aereo e terrestre, sì come essa è umana e divina, smaltiscie il ferro, sì come si purga per lei ogni ignominia; e ha le ali purissime e giuste, carattere, posto per la Giustizia dalli Egipzii nelle piramide. Vero è, che le XII tavole di Romulo, antico padre di religione, sono dalla destra di lei abbracciate, insieme tenute con il domestico sceptro. Sopravi l’ipopotomo, animale che ammazza la madre e il padre e i parenti senza nessun riguardo, simile al giusto iudice, che al proximo non perdona. Li altri quattro vizii, che mancono, son là; il Tradimento e il Timore, ascosoli doppo, e la Bugia e la Maledicenzia, insieme conculcati dalla Verità; che sendo presentata dal Tempo, padre di lei, dona le semplici colombe per tributo, e la Iustizia la premia d’una corona di quercia, fortezza del suo animo. E perché le altre leggi non paia che mi sieno uscite di mente, in su quel mondo sono le tavole di Mosè, e in mezzo duoi libri, le civili e le canoniche instituzioni; ma sopra quei putti l’arme ancora, talché i fasci dei dittatori, che sono fra le gambe dei vizii, veramente dimostrano, che in servizio di loro si sono operati. Lì ho fatto l’ornamento, che non manco si ricorda d’esser iusto con strania architectura disegniato; il quale è fondato sopra l’insegnia vostra, riguardato da duoi putti, che con arme vi guardano. Ma quel che l’orna è la copia de’ festoni, di che di varie frutte di virtù e grandezze abbondate. Èvvi per sostegnio due dee della natura, che vi riempiono e mantengono, con satirini, che sonando, fino a’ boschi bandiscano la fama di lei e la grandezza di Voi. Quelle maschere, vizii del mondo, imbrigliate dai duoi putti, sono la Purità, l’Innocenzia, che raffrenano le lor bocche. Restami a dirvi, che in ultimo del frontone la Pace e la Giustizia si abbracciano e bacionsi. In somma, per quel tanto che la bassezza del mio ingegnio ha possuto aggiugner et esprimer, ha fatto; che più farà quando gli spiriti saranno al tutto abbandonati dal male e restaurati da quel bene, che spera quella virtù che fiorirà per mezzo vostro sotto l’ombra di lei; la qual prego che scorga l’affezione, che in un subito si è volta ad amar quel Reverendissimo Illustrissimo, al quale sono perpetuo servitore, ricordandoli, che quel che nel disegnio mancassi supplirà la pulitezza dei colori e il continuo studio. Di Roma il giorno XX di gennaro MDXLIII.  Di Vostra Signoria Reverendissima Illustrissima Perpetuo Servitore Giorgio Vasari, Pittor Aretino. Al Reverendissimo e Illustrissimo Monsignor Servitore, il Signor Cardinale Farnese, suo Patrone osservandissimo, a Castro. ","Ronchini 1864, pp. 121-122; Milanesi 1878-1885, VIII, pp. 287-289; Frey 1923, pp. 121-124."
