,term,score
0,vincenzo,295.90433270220353
1,anche,238.92906837838794
2,vorrei,219.25255686487364
3,borghini,152.42751983060344
4,vedete,95.57162735135518
5,batista,88.54430181081436
6,concetto,86.92465037838377
7,cioè,84.32790648648987
8,avuto,83.30278994595112
9,certi,80.11151116216537
10,dite,75.89511583784088
11,cavalier,70.27325540540822
12,excellentissimo,69.86261325569323
13,osservandissimo,68.86779029730006
14,certe,68.86779029730006
15,istorie,65.09925326098688
16,el,61.84046475675923
17,potrebbe,60.43499964865107
18,benché,53.98474660667205
19,invenzione,52.39695994176993
20,poppiano,47.08418562162455
21,fussino,46.045813282161454
22,massime,46.045813282161454
23,intendo,44.97488345946126
24,pensare,44.97488345946126
25,dà,44.97488345946126
26,motto,43.56941835135309
27,appunto,43.46232518919189
28,cuore,42.87023995235722
29,voluto,42.16395324324493
30,sare,41.65139497297556
31,metterei,41.65139497297556
32,talché,41.2824532874551
33,imbasciadore,40.06523834842039
34,scrivete,39.353023027028605
35,parecchi,38.029534540542905
36,faccenda,38.029534540542905
37,siché,36.54209281081227
38,segno,36.54209281081227
39,importa,36.54209281081227
40,accade,35.13662770270411
41,ognuno,34.93130662784662
42,pel,34.40767410811025
43,tempi,33.73116259459594
44,nostri,33.73116259459594
45,abbiamo,33.73116259459594
46,arco,32.32569748648778
47,vuole,32.32569748648778
48,difficultà,31.75573329804238
49,considerate,31.47918433002165
50,vedrete,30.920232378379616
51,dall,30.920232378379616
52,tornata,30.16794663314026
53,est,30.16794663314026
54,no,29.514767270271452
55,granduca,29.38057204135354
56,parrà,29.38057204135354
57,talvolta,28.97488345946126
58,vedessi,28.97488345946126
59,qualcuno,28.97488345946126
60,poteva,28.580159968238142
61,pensiero,28.580159968238142
62,versi,28.580159968238142
63,materia,28.10930216216329
64,aqqua,27.544851364539017
65,avventura,27.544851364539017
66,piglare,27.28195975268543
67,academia,27.28195975268543
68,ed,27.163953243244933
69,ove,27.163953243244933
70,bisognerebbe,27.163953243244933
71,mare,27.163953243244933
72,statua,26.992373303336024
73,errore,26.992373303336024
74,lionardo,26.992373303336024
75,veduta,26.992373303336024
76,jacopo,26.703837054055125
77,debbe,26.703837054055125
78,rispetto,26.703837054055125
79,pietro,26.703837054055125
80,concino,25.404586638433905
81,invenzioni,25.404586638433905
82,stanza,25.404586638433905
83,fin,25.404586638433905
84,imprese,25.353023027028602
85,vegga,25.353023027028602
86,vettori,25.353023027028602
87,architetto,25.353023027028602
88,aiuti,25.298371945946958
89,pensando,25.298371945946958
90,libro,25.298371945946958
91,speranza,23.892906837838794
92,voce,23.892906837838794
93,dentro,23.892906837838794
94,gusto,23.816799973531786
95,colui,23.816799973531786
96,scriver,23.816799973531786
97,parlare,23.816799973531786
98,beni,23.816799973531786
99,architettore,23.542092810812274
100,discorso,23.542092810812274
101,bronzino,23.542092810812274
102,pensavo,23.08473517534921
103,sadisfazione,23.08473517534921
104,commodo,23.08473517534921
105,protonotario,23.08473517534921
106,verbi,23.08473517534921
107,piglar,22.536696570986468
108,accommodare,22.536696570986468
109,considerazione,22.48744172973063
110,venuta,22.48744172973063
111,bontà,22.48744172973063
112,pensate,22.48744172973063
113,avevi,22.48744172973063
114,spirito,22.48744172973063
115,dietro,22.48744172973063
116,pezzo,22.48744172973063
117,reverendissimo,22.229013308629668
118,volessi,22.229013308629668
119,qualità,22.229013308629668
120,direte,21.731162594595943
121,aresti,21.731162594595943
122,ire,21.731162594595943
123,intenzione,21.731162594595943
124,lasciare,21.731162594595943
125,baie,21.731162594595943
126,cor,21.081976621622466
127,stracco,21.081976621622466
128,occhi,21.081976621622466
129,commodità,21.081976621622466
130,vuol,21.081976621622466
131,statue,21.081976621622466
132,vorrebbe,21.081976621622466
133,sento,21.081976621622466
134,medaglie,20.986122886681102
135,fermare,20.986122886681102
136,sollecita,20.986122886681102
137,rovesci,20.986122886681102
138,sospetto,20.986122886681102
139,destramente,20.986122886681102
140,saprei,20.986122886681102
141,regola,20.64122664372755
142,spazio,20.64122664372755
143,cugino,20.64122664372755
144,vengono,20.64122664372755
145,monache,20.64122664372755
146,satisfazione,20.64122664372755
147,vecchio,20.64122664372755
148,notate,20.032619174210193
149,potre,20.032619174210193
150,menzione,20.032619174210193
151,abbate,20.032619174210193
152,proteo,20.032619174210193
153,fiorini,19.920232378379616
154,briga,19.920232378379616
155,sforzo,19.920232378379616
156,spedale,19.920232378379616
157,scrivervi,19.920232378379616
158,glene,19.920232378379616
159,paolo,19.920232378379616
160,ricordare,19.920232378379616
161,fresco,19.920232378379616
162,copia,19.676511513514303
163,man,19.676511513514303
164,onor,19.676511513514303
165,lorenzo,19.676511513514303
166,saprete,19.676511513514303
167,principali,19.676511513514303
168,1570,19.676511513514303
169,intendete,19.676511513514303
170,effetto,19.676511513514303
171,agio,19.676511513514303
172,numero,19.05343997882543
173,lasciato,19.05343997882543
174,finché,19.05343997882543
175,prudenzia,19.05343997882543
176,ufizio,19.05343997882543
177,almeno,19.05343997882543
178,particulari,19.05343997882543
179,saprà,18.88751059801299
180,stamattina,18.88751059801299
181,prudente,18.88751059801299
182,grado,18.271046405406135
183,mandata,18.271046405406135
184,iersera,18.271046405406135
185,sicuro,18.271046405406135
186,benissimo,18.271046405406135
187,particulare,18.271046405406135
188,gennaio,18.271046405406135
189,scriverrò,18.271046405406135
190,quegli,18.271046405406135
191,metter,18.271046405406135
192,parmi,18.10930216216329
193,vite,18.10930216216329
194,senso,18.10930216216329
195,capi,18.10930216216329
196,importanza,18.10930216216329
197,concetti,18.10930216216329
198,benvenuto,18.10930216216329
199,risoluzione,18.10930216216329
200,avessino,18.10930216216329
201,caccino,18.10930216216329
202,campora,17.52854177743392
203,schizzo,17.46565331392331
204,considerato,17.46565331392331
205,uso,17.46565331392331
206,bisognerà,17.46565331392331
207,taddeo,17.46565331392331
208,avuta,17.46565331392331
209,farebbe,16.86558129729797
210,cervello,16.86558129729797
211,rispetti,16.86558129729797
212,ragionato,16.86558129729797
213,cotesta,16.86558129729797
214,quivi,16.86558129729797
215,simili,16.86558129729797
216,farlo,16.86558129729797
217,avesse,16.86558129729797
218,negli,16.86558129729797
219,frutti,16.86558129729797
220,intende,16.86558129729797
221,andar,16.86558129729797
222,poca,16.86558129729797
223,paresse,16.78889830934488
224,rossi,16.78889830934488
225,darebbe,16.78889830934488
226,73,16.78889830934488
227,excellente,16.78889830934488
228,boccaccio,16.78889830934488
229,rovescio,16.78889830934488
230,perugino,16.298371945946958
231,sarebbono,16.298371945946958
232,carità,16.298371945946958
233,accennate,16.298371945946958
234,paese,16.298371945946958
235,professione,16.298371945946958
236,alberi,16.298371945946958
237,bisognando,16.298371945946958
238,raffaello,16.298371945946958
239,replico,16.298371945946958
240,dispiacere,15.87786664902119
241,badia,15.87786664902119
242,occhio,15.87786664902119
243,interamente,15.87786664902119
244,potesse,15.87786664902119
245,pensieri,15.87786664902119
246,popolo,15.87786664902119
247,solamente,15.460116189189808
248,parlo,15.460116189189808
249,farla,15.460116189189808
250,pensa,15.460116189189808
251,modi,15.460116189189808
252,venissi,15.460116189189808
253,onorando,15.460116189189808
254,casi,15.460116189189808
255,sappiate,15.460116189189808
256,mala,15.460116189189808
257,avervi,15.460116189189808
258,piena,15.460116189189808
259,corona,15.460116189189808
260,elle,15.460116189189808
261,desiderio,15.460116189189808
262,siano,15.460116189189808
263,ingegno,15.460116189189808
264,luoghi,15.460116189189808
265,resta,15.460116189189808
266,frati,15.460116189189808
267,dimostrazione,15.024464380657644
268,penserete,15.024464380657644
269,piacerebbe,15.024464380657644
270,rado,15.024464380657644
271,avvertite,15.024464380657644
272,dipresso,15.024464380657644
273,sinceramente,15.024464380657644
274,potreste,15.024464380657644
275,ariete,15.024464380657644
276,spedirvi,15.024464380657644
277,ricordovi,15.024464380657644
278,mirabilia,15.024464380657644
279,gondi,14.69028602067677
280,egl,14.69028602067677
281,stanzino,14.69028602067677
282,occupazioni,14.69028602067677
283,doverrebbe,14.69028602067677
284,vecchi,14.69028602067677
285,tanai,14.69028602067677
286,eccovi,14.69028602067677
287,altrove,14.69028602067677
288,stampato,14.69028602067677
289,proprietà,14.69028602067677
290,trofei,14.69028602067677
291,constituta,14.69028602067677
292,potrei,14.69028602067677
293,nido,14.69028602067677
294,massimamente,14.69028602067677
295,esprimere,14.69028602067677
296,mutare,14.48744172973063
297,credete,14.48744172973063
298,vadino,14.48744172973063
299,ritta,14.48744172973063
300,11,14.48744172973063
301,onorevole,14.48744172973063
302,vorrebbono,14.48744172973063
303,maraviglio,14.48744172973063
304,cartone,14.48744172973063
305,ragioni,14.48744172973063
306,sancto,14.48744172973063
307,occupato,14.290079984119071
308,domani,14.290079984119071
309,padroni,14.290079984119071
310,pensassi,14.290079984119071
311,venezia,14.290079984119071
312,buonarroti,14.290079984119071
313,paressi,14.054651081081644
314,pensar,14.054651081081644
315,disegnato,14.054651081081644
316,sapessi,14.054651081081644
317,padri,14.054651081081644
318,principi,14.054651081081644
319,dei,14.054651081081644
320,ordini,14.054651081081644
321,giovani,14.054651081081644
322,parti,14.054651081081644
323,obligo,14.054651081081644
324,forma,14.054651081081644
325,1564,14.054651081081644
326,bello,14.054651081081644
327,cambio,14.054651081081644
328,campo,14.054651081081644
329,aranno,12.702293319216952
330,fui,12.702293319216952
331,fuoco,12.702293319216952
332,10,12.702293319216952
333,cittadini,12.702293319216952
334,legge,12.702293319216952
335,tenere,12.702293319216952
336,conoscere,12.702293319216952
337,difficile,12.702293319216952
338,dessi,12.702293319216952
339,crede,12.702293319216952
340,saprò,12.702293319216952
341,vincenzio,12.702293319216952
342,donde,12.702293319216952
343,dote,12.702293319216952
344,tocco,12.702293319216952
345,lavori,12.702293319216952
346,conforto,12.702293319216952
347,1563,12.702293319216952
348,starò,12.702293319216952
349,sicurtà,12.702293319216952
350,vadia,12.702293319216952
351,pittori,12.702293319216952
352,stasera,12.702293319216952
353,contrario,12.702293319216952
354,intender,12.702293319216952
355,libero,12.702293319216952
356,principalmente,12.702293319216952
357,openione,12.676511513514301
358,chiama,12.676511513514301
359,vivi,12.676511513514301
360,punti,12.676511513514301
361,caccini,12.676511513514301
362,facesse,12.676511513514301
363,festa,12.676511513514301
364,scesa,12.676511513514301
365,lasciando,12.676511513514301
366,crederrei,12.676511513514301
367,riputazione,12.676511513514301
368,angelo,12.676511513514301
369,maligni,12.676511513514301
370,accomodare,12.676511513514301
371,facil,12.676511513514301
372,nascere,12.676511513514301
373,tornassi,12.676511513514301
374,gle,12.676511513514301
375,finisca,12.676511513514301
376,accanto,12.676511513514301
377,favor,12.649185972973479
378,comune,12.649185972973479
379,allora,12.649185972973479
380,cappella,12.649185972973479
381,andrea,12.649185972973479
382,erano,12.649185972973479
383,bisogni,12.649185972973479
384,conservi,12.649185972973479
385,piacer,12.649185972973479
386,messa,12.649185972973479
387,ragionevole,12.649185972973479
388,alora,12.649185972973479
389,costà,12.649185972973479
390,basse,12.59167373200866
391,aggiunto,12.59167373200866
392,nunc,12.59167373200866
393,cattivo,12.59167373200866
394,patrimonio,12.59167373200866
395,schizzi,12.59167373200866
396,sadisfatto,12.59167373200866
397,capace,12.59167373200866
398,intendente,12.59167373200866
399,toccar,12.59167373200866
400,bisognassi,12.59167373200866
401,guerre,12.59167373200866
402,quest,12.59167373200866
403,occorreva,12.59167373200866
404,piglate,12.520386983881371
405,caduto,12.520386983881371
406,concepto,12.520386983881371
407,ordinis,12.520386983881371
408,malignità,12.520386983881371
409,scandolo,12.520386983881371
410,cerchi,12.520386983881371
411,caramente,12.520386983881371
412,sadisfazzione,12.520386983881371
413,pò,12.520386983881371
414,imperadori,12.520386983881371
415,epitafio,12.520386983881371
416,salutatemi,12.520386983881371
417,quadretti,12.520386983881371
418,verranno,11.243720864865315
419,orsù,11.243720864865315
420,viso,11.243720864865315
421,nondimeno,11.243720864865315
422,andò,11.243720864865315
423,particular,11.243720864865315
424,stava,11.243720864865315
425,liberamente,11.243720864865315
426,guerra,11.243720864865315
427,parrebbe,11.243720864865315
428,grazie,11.243720864865315
429,giunto,11.243720864865315
430,pigliate,11.243720864865315
431,passa,11.243720864865315
432,trovar,11.243720864865315
433,spese,11.243720864865315
434,cotesto,11.243720864865315
435,nasce,11.243720864865315
436,fastidio,11.243720864865315
437,vedendo,11.243720864865315
438,affezionatissimo,11.243720864865315
439,quiete,11.243720864865315
440,facile,11.243720864865315
441,negozio,11.243720864865315
442,bel,11.243720864865315
443,verità,11.243720864865315
444,tavole,11.243720864865315
445,principale,11.243720864865315
446,sollecito,11.114506654314834
447,ac,11.114506654314834
448,paiono,11.114506654314834
449,metto,11.114506654314834
450,ornamenti,11.114506654314834
451,scrivessi,11.114506654314834
452,neanche,11.114506654314834
453,lasciate,11.114506654314834
454,ricasoli,11.114506654314834
455,disposto,11.114506654314834
456,inverso,11.114506654314834
457,palazzo,11.114506654314834
458,banda,11.114506654314834
459,baccio,11.114506654314834
460,truovo,11.114506654314834
461,jacopino,11.114506654314834
462,ancorché,11.114506654314834
463,affatto,11.114506654314834
464,invero,11.114506654314834
465,savio,11.114506654314834
466,darvi,11.114506654314834
467,diversi,11.114506654314834
468,lumi,11.114506654314834
469,dovete,11.114506654314834
470,entrare,11.114506654314834
471,starà,11.114506654314834
472,potresti,11.114506654314834
473,testamento,11.114506654314834
474,spartimento,11.114506654314834
475,ragionevolmente,11.114506654314834
476,pistoia,11.114506654314834
477,antiche,11.114506654314834
478,palchi,11.114506654314834
479,generalmente,10.865581297297972
480,augusto,10.865581297297972
481,comincio,10.865581297297972
482,farebbono,10.865581297297972
483,disporre,10.865581297297972
484,andava,10.865581297297972
485,consoli,10.865581297297972
486,artefici,10.865581297297972
