,term,score
0,giambullari,10.865581297297972
1,pf,7.512232190328822
2,pierfrancesco,7.512232190328822
3,1549,7.243720864865315
4,onoratissimo,6.351146659608476
5,vivete,5.6218604324326575
6,priego,5.432790648648986
7,onorandissimo,5.432790648648986
8,annotazione,5.008154793552548
9,tolomei,5.008154793552548
10,istampa,5.008154793552548
11,adventura,5.008154793552548
12,stampa,4.763359994706358
13,cerimonie,4.19722457733622
14,respetto,4.19722457733622
15,epistola,4.19722457733622
16,anibale,3.6218604324326575
17,intaglio,3.6218604324326575
18,agevolmente,3.6218604324326575
19,pensava,3.6218604324326575
20,vorrebbono,3.6218604324326575
21,dolermi,3.6218604324326575
22,veduta,3.175573329804238
23,corriere,3.175573329804238
24,volume,3.175573329804238
25,truovo,3.175573329804238
26,credeva,3.175573329804238
27,avesse,2.8109302162163288
28,xxii,2.8109302162163288
29,arti,2.8109302162163288
30,libro,2.8109302162163288
31,voletelo,2.504077396776274
32,botarvi,2.504077396776274
33,stracciate,2.504077396776274
34,balzasse,2.504077396776274
35,amichevolmente,2.504077396776274
36,borghino,2.504077396776274
37,partorisca,2.504077396776274
38,datevi,2.504077396776274
39,buscarmi,2.504077396776274
40,perdonerò,2.504077396776274
41,scriverremo,2.504077396776274
42,appartatamente,2.504077396776274
43,abbruciate,2.504077396776274
44,brevissima,2.504077396776274
45,promettevate,2.504077396776274
46,comparisse,2.504077396776274
47,tuttavolta,2.504077396776274
48,dedicatoria,2.504077396776274
49,scambiate,2.504077396776274
50,indiritto,2.504077396776274
51,dimenticati,2.504077396776274
52,ambasciate,2.504077396776274
53,inviato,2.504077396776274
54,censura,2.504077396776274
55,metteremo,2.504077396776274
56,advertiate,2.504077396776274
57,metterassi,2.504077396776274
58,advertirmi,2.504077396776274
59,intagliato,2.504077396776274
60,conoscendole,2.504077396776274
61,visitiate,2.504077396776274
62,offeritemi,2.504077396776274
63,estraordinario,2.504077396776274
64,godono,2.504077396776274
65,aggravo,2.504077396776274
66,etrusca,2.504077396776274
67,intesa,2.504077396776274
68,eseguitene,2.504077396776274
69,discussione,2.504077396776274
70,esamina,2.504077396776274
71,alfabeto,2.504077396776274
72,arriverà,2.504077396776274
73,disegnino,2.504077396776274
74,risolvetevene,2.504077396776274
75,ghirlandaio,2.504077396776274
76,conducetegli,2.504077396776274
77,osserervandissimo,2.504077396776274
78,vergognai,2.504077396776274
79,avidamente,2.504077396776274
80,presentando,2.504077396776274
81,potendovi,2.504077396776274
82,soprasedere,2.504077396776274
83,sareste,2.504077396776274
84,coronazione,2.504077396776274
85,accusare,2.504077396776274
86,cavallari,2.504077396776274
87,patiti,2.504077396776274
88,dorrò,2.504077396776274
89,dovervene,2.504077396776274
90,pativa,2.504077396776274
91,nascità,2.504077396776274
92,dovevate,2.504077396776274
93,scioperare,2.504077396776274
94,incommodo,2.09861228866811
95,proemio,2.09861228866811
96,gagliarda,2.09861228866811
97,sperarne,2.09861228866811
98,lasciava,2.09861228866811
99,osservato,2.09861228866811
100,lenzoni,2.09861228866811
101,perdute,2.09861228866811
102,esempio,2.09861228866811
103,todeschi,2.09861228866811
104,1551,2.09861228866811
105,legature,2.09861228866811
106,cacciata,2.09861228866811
107,vinegia,2.09861228866811
108,riuscire,2.09861228866811
109,stampatori,2.09861228866811
110,comunque,2.09861228866811
111,pp,2.09861228866811
112,persuadetevi,2.09861228866811
113,dotta,2.09861228866811
114,disperare,2.09861228866811
115,sarammi,2.09861228866811
116,tavolette,2.09861228866811
117,opra,2.09861228866811
118,vedersi,2.09861228866811
119,stringo,2.09861228866811
120,lodarmi,2.09861228866811
121,occorrente,2.09861228866811
122,frasca,2.09861228866811
123,disagi,2.09861228866811
124,giudicherete,2.09861228866811
125,sospesa,2.09861228866811
126,essendoci,2.09861228866811
127,xxix,2.09861228866811
128,chiunque,2.09861228866811
129,assicurati,2.09861228866811
130,corrino,2.09861228866811
131,od,2.09861228866811
132,anibal,2.09861228866811
133,importanzia,2.09861228866811
134,vaglio,2.09861228866811
135,deditissimo,2.09861228866811
136,aggiunta,2.09861228866811
137,querele,2.09861228866811
138,cresima,2.09861228866811
139,terzi,2.09861228866811
140,facemmo,2.09861228866811
141,gravo,2.09861228866811
142,accertandolo,2.09861228866811
143,bernardetto,2.09861228866811
144,corrispondere,2.09861228866811
145,procacciate,2.09861228866811
146,unitamente,2.09861228866811
147,comparir,2.09861228866811
148,dolgo,1.8109302162163288
149,anderò,1.8109302162163288
150,notato,1.8109302162163288
151,aspettava,1.8109302162163288
152,domenico,1.8109302162163288
153,mutato,1.8109302162163288
154,ricordate,1.8109302162163288
155,comparire,1.8109302162163288
156,intagliare,1.8109302162163288
157,guadagno,1.8109302162163288
158,dimenticato,1.8109302162163288
159,professione,1.8109302162163288
160,antichità,1.8109302162163288
161,silenzio,1.8109302162163288
162,vorresti,1.8109302162163288
163,facevano,1.8109302162163288
164,rare,1.8109302162163288
165,tedesco,1.8109302162163288
166,tornarvi,1.8109302162163288
167,godervi,1.8109302162163288
168,carattere,1.8109302162163288
169,rispondo,1.8109302162163288
170,strasordinario,1.8109302162163288
171,veggiate,1.8109302162163288
172,riputazione,1.8109302162163288
173,faccenda,1.8109302162163288
174,epilogo,1.8109302162163288
175,titolo,1.8109302162163288
176,stampare,1.8109302162163288
177,natività,1.8109302162163288
178,incluso,1.8109302162163288
179,desiderando,1.8109302162163288
180,fugge,1.8109302162163288
181,felicemente,1.8109302162163288
182,parecchi,1.8109302162163288
183,provato,1.8109302162163288
184,ingannato,1.8109302162163288
185,vedeva,1.8109302162163288
186,vetturale,1.8109302162163288
187,cordialmente,1.8109302162163288
188,riebbi,1.8109302162163288
189,forme,1.8109302162163288
190,ragionerò,1.8109302162163288
191,solite,1.8109302162163288
192,raccomandano,1.8109302162163288
193,accomodare,1.8109302162163288
194,virtuosa,1.587786664902119
195,adietro,1.587786664902119
196,prestezza,1.587786664902119
197,venezia,1.587786664902119
198,disegnata,1.587786664902119
199,facesti,1.587786664902119
200,chiesi,1.587786664902119
201,perder,1.587786664902119
202,proposto,1.587786664902119
203,leggere,1.587786664902119
204,satisfazzione,1.587786664902119
205,insino,1.587786664902119
206,degno,1.587786664902119
207,fastidii,1.587786664902119
208,vederlo,1.587786664902119
209,dovendo,1.587786664902119
210,amorevolmente,1.587786664902119
211,mandino,1.587786664902119
212,vino,1.587786664902119
213,versi,1.587786664902119
214,visita,1.587786664902119
215,presenzialmente,1.587786664902119
216,scrivessi,1.587786664902119
217,intero,1.587786664902119
218,alquanto,1.587786664902119
219,nasca,1.587786664902119
220,almeno,1.587786664902119
221,almanco,1.587786664902119
222,accordo,1.587786664902119
223,avuta,1.587786664902119
224,tiri,1.587786664902119
225,ritrovare,1.587786664902119
226,solita,1.587786664902119
227,principalmente,1.587786664902119
228,lasciamo,1.4054651081081644
229,vogliamo,1.4054651081081644
230,conosca,1.4054651081081644
231,lingua,1.4054651081081644
232,faceva,1.4054651081081644
233,bel,1.4054651081081644
234,iersera,1.4054651081081644
235,intagliate,1.4054651081081644
236,spedito,1.4054651081081644
237,vederla,1.4054651081081644
238,viii,1.4054651081081644
239,dicono,1.4054651081081644
240,agio,1.4054651081081644
241,maraviglia,1.4054651081081644
242,1550,1.4054651081081644
243,mancar,1.4054651081081644
244,prime,1.4054651081081644
245,materia,1.4054651081081644
246,gennaio,1.4054651081081644
247,collera,1.4054651081081644
248,saremo,1.4054651081081644
249,accade,1.4054651081081644
250,figliuolo,1.4054651081081644
251,quantità,1.4054651081081644
252,metà,1.4054651081081644
253,parto,1.4054651081081644
254,cominciare,1.4054651081081644
255,parti,1.4054651081081644
256,desiderate,1.4054651081081644
257,cioè,1.4054651081081644
258,pregato,1.4054651081081644
259,servirà,1.4054651081081644
260,esse,1.4054651081081644
261,mandò,1.4054651081081644
262,considerazione,1.4054651081081644
263,copia,1.4054651081081644
264,scusa,1.4054651081081644
265,mandovi,1.4054651081081644
266,manderanno,1.4054651081081644
267,chiedete,1.4054651081081644
268,vera,1.4054651081081644
269,commodità,1.4054651081081644
270,pigliate,1.4054651081081644
271,piaciuta,1.4054651081081644
272,andando,1.4054651081081644
273,farsi,1.4054651081081644
274,andate,1.4054651081081644
275,eccellente,1.4054651081081644
276,porrectus,0.0
277,posa,0.0
278,posante,0.0
279,porvele,0.0
280,posano,0.0
281,porlo,0.0
282,pormi,0.0
283,posando,0.0
284,porrele,0.0
285,portator,0.0
286,porrei,0.0
287,porvi,0.0
288,pos,0.0
289,porzione,0.0
290,portassin,0.0
291,porla,0.0
292,portata,0.0
293,pormos,0.0
294,porre,0.0
295,porrebbono,0.0
296,portassino,0.0
297,posar,0.0
298,portaron,0.0
299,portate,0.0
300,porian,0.0
301,posato,0.0
302,posati,0.0
303,porgerà,0.0
304,posate,0.0
305,posassino,0.0
306,presuntuoso,0.0
307,portati,0.0
308,porgesse,0.0
309,porgessi,0.0
310,posassi,0.0
311,porgessino,0.0
312,presteza,0.0
313,porghino,0.0
314,posarsi,0.0
315,posari,0.0
316,porgie,0.0
317,porgierete,0.0
318,portatemi,0.0
319,porgimento,0.0
320,posarerete,0.0
321,porgli,0.0
322,porgliela,0.0
323,presuntione,0.0
324,porgo,0.0
325,portateci,0.0
326,portatomi,0.0
327,posare,0.0
328,porgono,0.0
329,porremo,0.0
330,portö,0.0
331,porticciuola,0.0
