,term,score
0,tenpo,247.19948836175203
1,auto,198.17058024325118
2,senpre,194.71192576439373
3,disegnio,160.22302232433074
4,el,160.22302232433074
5,reverendo,153.1956967837899
6,palazzo,148.97930145946543
7,bisognio,146.16837124324908
8,anche,130.7082550540593
9,batista,126.4918597297348
10,nocenti,120.86999929730214
11,caccini,105.40988310811233
12,stanze,98.38255756757151
13,michelagniolo,89.94976691892252
14,lorenzo,88.54430181081436
15,reverendissimo,88.54430181081436
16,pietre,87.13883670270619
17,signorie,84.65735902799727
18,pietro,84.32790648648987
19,fabrica,84.32790648648987
20,vole,81.27106466687738
21,unico,77.88477030575748
22,lionardo,77.30058094594904
23,obligatissimo,77.30058094594904
24,davitte,76.19162312519754
25,figure,70.27325540540822
26,scala,70.27325540540822
27,man,70.27325540540822
28,bisognia,69.41903440295776
29,qualcosa,68.86779029730006
30,vol,67.72588722239782
31,iddio,66.05686008108373
32,inperò,66.05686008108373
33,obligo,66.05686008108373
34,gl,66.05686008108373
35,modello,64.65139497297557
36,messo,64.65139497297557
37,marmo,64.65139497297557
38,proveditor,64.65139497297557
39,dirli,63.2459298648674
40,saria,60.43499964865107
41,palco,59.029534540542905
42,stamani,59.029534540542905
43,dessiderio,57.56700413903815
44,altare,57.56700413903815
45,aqua,56.66253179403897
46,poggio,56.21860432432658
47,observandissimo,55.8738569584782
48,ed,55.8738569584782
49,coi,54.56391950537086
50,patron,54.18070977791825
51,scade,54.18070977791825
52,pezzi,53.40767410811025
53,servilla,52.487562597358306
54,comandi,52.487562597358306
55,spetto,52.46530721670275
56,illustrissime,52.00220900000208
57,eccelentissimo,52.00220900000208
58,vasarii,50.596743891893915
59,maria,50.596743891893915
60,busini,50.596743891893915
61,aviate,50.36669492803464
62,capella,49.191278783785755
63,duchessa,49.191278783785755
64,tavole,49.191278783785755
65,dare,49.191278783785755
66,bascio,49.10126823623842
67,gniene,48.26808263936653
68,elle,47.78581367567759
69,saluta,47.78581367567759
70,cominciato,47.78581367567759
71,fin,46.38034856756943
72,statue,46.38034856756943
73,dissi,46.38034856756943
74,salvo,46.38034856756943
75,obsservandissimo,45.714973875118524
76,legniame,45.714973875118524
77,sforzo,44.97488345946126
78,anch,44.97488345946126
79,organo,44.07085806203031
80,ogniuno,44.07085806203031
81,mura,44.021826694558584
82,farlo,43.56941835135309
83,venuta,43.56941835135309
84,benissimo,43.56941835135309
85,beni,43.56941835135309
86,illustrissimi,43.56941835135309
87,facende,42.32867951399864
88,spedalingho,42.32867951399864
89,magnifici,42.32867951399864
90,aviano,42.32867951399864
91,leone,42.32867951399864
92,suplica,42.16395324324493
93,invenzione,42.16395324324493
94,or,42.16395324324493
95,dallei,41.972245773362204
96,dica,40.758488135136766
97,satisfatto,40.758488135136766
98,siano,40.758488135136766
99,vegga,40.758488135136766
100,degni,40.758488135136766
101,lassato,40.63553233343869
102,risposto,40.63553233343869
103,numero,40.63553233343869
104,battesimo,40.63553233343869
105,dreto,39.87363348469409
106,maiano,39.87363348469409
107,dite,39.353023027028605
108,condotto,39.353023027028605
109,fargli,39.353023027028605
110,finestre,39.353023027028605
111,resta,38.94238515287874
112,partire,38.94238515287874
113,accademia,38.94238515287874
114,quatro,38.94238515287874
115,inporta,37.94755791892044
116,afatto,37.94755791892044
117,atteso,37.94755791892044
118,santi,37.94755791892044
119,fonte,37.94755791892044
120,fresco,37.249237972318795
121,fecie,37.249237972318795
122,inpresa,37.249237972318795
123,vescovo,36.54209281081227
124,crocie,35.556090791758855
125,insiemi,35.556090791758855
126,iacopo,35.13662770270411
127,guidi,35.13662770270411
128,piano,35.13662770270411
129,morto,35.13662770270411
130,ire,35.13662770270411
131,maestri,35.13662770270411
132,observandissimi,33.86294361119891
133,inbasciatore,33.86294361119891
134,coro,33.86294361119891
135,restami,33.86294361119891
136,torno,33.86294361119891
137,servitù,33.86294361119891
138,conpagnia,33.86294361119891
139,sagrestia,33.86294361119891
140,dirà,33.86294361119891
141,domattina,33.73116259459594
142,pasqua,33.73116259459594
143,1573,33.73116259459594
144,prior,33.73116259459594
145,stasera,33.73116259459594
146,1562,33.73116259459594
147,popiano,33.57779661868976
148,proveditore,32.32569748648778
149,tuttavia,32.32569748648778
150,contenta,32.32569748648778
151,carezze,32.32569748648778
152,cavalieri,32.32569748648778
153,livorno,32.32569748648778
154,dargli,32.32569748648778
155,scale,32.16979643063896
156,hano,31.47918433002165
157,riceuto,30.920232378379616
158,camere,30.920232378379616
159,piace,30.920232378379616
160,finite,30.920232378379616
161,finisca,30.920232378379616
162,domenica,30.920232378379616
163,debbo,30.920232378379616
164,vuole,30.920232378379616
165,dov,30.920232378379616
166,allora,30.920232378379616
167,rescritto,30.920232378379616
168,lì,30.920232378379616
169,facendo,30.920232378379616
170,amorevolezza,30.920232378379616
171,vederà,30.476649250079017
172,restante,30.476649250079017
173,picttori,30.476649250079017
174,no,30.476649250079017
175,ingegnio,30.476649250079017
176,inn,30.476649250079017
177,sonma,30.476649250079017
178,seguita,30.476649250079017
179,ossa,29.514767270271452
180,massime,29.514767270271452
181,sette,29.514767270271452
182,popolo,29.514767270271452
183,conservi,29.514767270271452
184,cinque,29.514767270271452
185,porte,29.514767270271452
186,trova,29.514767270271452
187,giugnio,29.38057204135354
188,ottaviano,29.38057204135354
189,mdlxi,29.38057204135354
190,ell,28.783502069519074
191,vano,28.783502069519074
192,academia,28.783502069519074
193,pregando,28.783502069519074
194,gondi,28.783502069519074
195,corto,28.783502069519074
196,frate,28.783502069519074
197,arivato,28.783502069519074
198,nobili,28.10930216216329
199,nostre,28.10930216216329
200,torni,28.10930216216329
201,arco,28.10930216216329
202,dall,28.10930216216329
203,sarei,28.10930216216329
204,ufizio,28.10930216216329
205,certi,28.10930216216329
206,sacra,28.10930216216329
207,saputo,28.10930216216329
208,magior,28.10930216216329
209,tetto,27.28195975268543
210,inprese,27.28195975268543
211,anderà,27.090354888959126
212,messa,27.090354888959126
213,giuliano,27.090354888959126
214,mischi,27.090354888959126
215,pianta,27.090354888959126
216,dugento,27.090354888959126
217,direte,26.703837054055125
218,vedendo,26.703837054055125
219,dette,26.703837054055125
220,preso,26.703837054055125
221,vadia,26.703837054055125
222,perugia,26.703837054055125
223,lelio,26.703837054055125
224,negozio,26.703837054055125
225,frati,26.703837054055125
226,colonne,26.703837054055125
227,parto,26.703837054055125
228,13,26.703837054055125
229,canpanile,25.39720770839918
230,case,25.39720770839918
231,fuoco,25.39720770839918
232,xiii,25.39720770839918
233,atendo,25.39720770839918
234,muraglia,25.298371945946958
235,adunque,25.298371945946958
236,offero,25.298371945946958
237,mese,25.298371945946958
238,famiglia,25.298371945946958
239,angeli,25.298371945946958
240,vorei,25.298371945946958
241,pezzo,25.298371945946958
242,erano,25.298371945946958
243,lavorare,25.298371945946958
244,teste,25.298371945946958
245,rettori,25.18334746401732
246,dessidera,25.18334746401732
247,mischio,25.18334746401732
248,certamente,25.18334746401732
249,com,23.892906837838794
250,provisione,23.892906837838794
251,maestà,23.892906837838794
252,100,23.892906837838794
253,condurre,23.892906837838794
254,sian,23.892906837838794
255,siamo,23.892906837838794
256,misure,23.892906837838794
257,piacerà,23.892906837838794
258,pistoia,23.892906837838794
259,fiore,23.892906837838794
260,xx,23.892906837838794
261,panni,23.704060527839236
262,perpetuo,23.704060527839236
263,piacie,23.704060527839236
264,acomodato,23.704060527839236
265,dessidero,23.704060527839236
266,cortile,23.704060527839236
267,medaglie,23.704060527839236
268,lasserò,23.704060527839236
269,peso,23.704060527839236
270,avian,23.704060527839236
271,tenpio,23.704060527839236
272,archi,23.704060527839236
273,canonici,23.08473517534921
274,camina,23.08473517534921
275,muratori,23.08473517534921
276,cortona,23.08473517534921
277,conparso,23.08473517534921
278,zio,22.48744172973063
279,certe,22.48744172973063
280,signora,22.48744172973063
281,starà,22.48744172973063
282,umilissimo,22.48744172973063
283,caccino,22.48744172973063
284,castello,22.48744172973063
285,donato,22.48744172973063
286,grado,22.48744172973063
287,caldo,22.48744172973063
288,mostro,22.48744172973063
289,scarpellini,22.48744172973063
290,passa,22.48744172973063
291,spirito,22.48744172973063
292,poppiano,22.48744172973063
293,scaglioni,22.48744172973063
294,rispose,22.010913347279292
295,sieda,22.010913347279292
296,potria,22.010913347279292
297,segnio,22.010913347279292
298,dieci,22.010913347279292
299,daniello,22.010913347279292
300,statua,22.010913347279292
301,cavato,22.010913347279292
302,aranno,22.010913347279292
303,altar,22.010913347279292
304,parimente,22.010913347279292
305,allei,22.010913347279292
306,vado,22.010913347279292
307,mancato,21.081976621622466
308,desiderio,21.081976621622466
309,invenzioni,21.081976621622466
310,spese,21.081976621622466
311,murare,21.081976621622466
312,strada,21.081976621622466
313,tempio,21.081976621622466
314,farmi,21.081976621622466
315,sappi,21.081976621622466
316,finiti,21.081976621622466
317,avisato,21.081976621622466
318,partito,21.081976621622466
319,vista,21.081976621622466
320,conforme,21.081976621622466
321,avuto,21.081976621622466
322,venendo,21.081976621622466
323,madonna,21.081976621622466
324,banda,21.081976621622466
325,colonna,21.081976621622466
326,testamento,21.081976621622466
327,ritorni,20.986122886681102
328,modegli,20.986122886681102
329,resterò,20.986122886681102
330,restaci,20.986122886681102
331,paradiso,20.986122886681102
332,venite,20.986122886681102
333,settenbre,20.986122886681102
334,raccomandandomivi,20.986122886681102
335,cassa,20.986122886681102
336,lassare,20.986122886681102
337,andrà,20.317766166719345
338,atenderò,20.317766166719345
339,fregio,20.317766166719345
340,cortesia,20.317766166719345
341,atende,20.317766166719345
342,datario,20.317766166719345
343,pitti,20.317766166719345
344,mozza,20.317766166719345
345,epitaffio,20.317766166719345
346,messe,20.317766166719345
347,cavagli,20.317766166719345
348,farla,19.676511513514303
349,acqua,19.676511513514303
350,farne,19.676511513514303
351,bello,19.676511513514303
352,tornar,19.676511513514303
353,adosso,19.676511513514303
354,tornata,19.676511513514303
355,monsignore,19.676511513514303
356,tosto,19.676511513514303
357,scrivete,19.676511513514303
358,fastidio,19.676511513514303
359,volevo,19.676511513514303
360,filippo,19.676511513514303
361,giornalmente,19.676511513514303
362,concino,19.676511513514303
363,pensare,19.676511513514303
364,finché,19.676511513514303
365,segretario,19.676511513514303
366,fe,19.676511513514303
367,poca,19.676511513514303
368,quiete,19.676511513514303
369,abito,19.676511513514303
370,fiume,19.676511513514303
371,posta,19.676511513514303
372,pavimento,18.88751059801299
373,xviii,18.88751059801299
374,prezzo,18.88751059801299
375,terrazzo,18.88751059801299
376,lassai,18.88751059801299
377,mdlxii,18.88751059801299
378,finilla,18.88751059801299
379,cinquanta,18.88751059801299
380,straco,18.88751059801299
381,novenbre,18.88751059801299
382,spirto,18.88751059801299
383,caricare,18.88751059801299
384,stante,18.88751059801299
385,picttura,18.88751059801299
386,conpassione,18.88751059801299
387,disegniare,18.88751059801299
388,tenpi,18.624618986159398
389,spetterò,18.624618986159398
390,seguiti,18.624618986159398
391,aciò,18.624618986159398
392,ricetto,18.624618986159398
393,bartolomeo,18.624618986159398
394,parta,18.624618986159398
395,festa,18.624618986159398
396,ragionai,18.624618986159398
397,muri,18.624618986159398
398,ritornato,18.624618986159398
399,nisgii,18.624618986159398
400,bosco,18.624618986159398
401,dolcissimo,18.624618986159398
402,boca,18.624618986159398
403,onorate,18.624618986159398
404,ocorre,18.624618986159398
405,fossi,18.624618986159398
406,bolognia,18.624618986159398
407,onbra,18.624618986159398
408,mancano,18.624618986159398
409,altrui,18.624618986159398
410,uso,18.624618986159398
411,alessandro,18.271046405406135
412,grazie,18.271046405406135
413,papi,18.271046405406135
414,reliquie,18.271046405406135
415,posa,18.271046405406135
416,sulla,18.271046405406135
417,talvolta,18.271046405406135
418,pronto,18.271046405406135
419,gostantino,18.271046405406135
420,vecchio,18.271046405406135
421,50,18.271046405406135
422,padroni,18.271046405406135
423,conti,18.271046405406135
424,200,18.271046405406135
425,ami,18.271046405406135
426,cartone,18.271046405406135
427,basso,18.271046405406135
428,illustri,18.271046405406135
429,adesso,18.271046405406135
430,levare,18.271046405406135
431,martedì,18.271046405406135
432,vedete,18.271046405406135
433,liberalità,18.271046405406135
434,ciascuna,18.271046405406135
435,licenzia,18.271046405406135
436,60,18.271046405406135
437,fuora,18.271046405406135
438,sebene,18.271046405406135
439,bisogniando,16.931471805599454
440,conoscie,16.931471805599454
441,umilmente,16.931471805599454
442,saperete,16.931471805599454
443,lorenzi,16.931471805599454
444,venghino,16.931471805599454
445,fonderia,16.931471805599454
446,operai,16.931471805599454
447,dovete,16.931471805599454
448,muro,16.931471805599454
449,finisco,16.931471805599454
450,magistrato,16.931471805599454
451,dominio,16.931471805599454
452,seguitar,16.931471805599454
453,roba,16.931471805599454
454,spedizione,16.931471805599454
455,tenere,16.931471805599454
456,illustre,16.931471805599454
457,atendere,16.931471805599454
458,degnio,16.931471805599454
459,misurato,16.931471805599454
460,quest,16.931471805599454
461,sana,16.931471805599454
462,concetto,16.931471805599454
463,sagramento,16.931471805599454
464,particulari,16.931471805599454
465,dicenbre,16.931471805599454
466,partirò,16.931471805599454
467,vostrissimo,16.931471805599454
468,ordinò,16.931471805599454
469,picttore,16.931471805599454
470,similmente,16.931471805599454
471,capitolo,16.931471805599454
472,averlo,16.931471805599454
473,reina,16.931471805599454
474,mdlx,16.931471805599454
475,legnio,16.931471805599454
476,dicendovi,16.931471805599454
477,mantova,16.931471805599454
478,tondo,16.931471805599454
479,perfectione,16.931471805599454
480,mercoledì,16.931471805599454
481,badia,16.86558129729797
482,fussino,16.86558129729797
483,principale,16.86558129729797
484,dogana,16.86558129729797
485,1561,16.86558129729797
486,particularmente,16.86558129729797
487,atorno,16.86558129729797
488,piena,16.86558129729797
489,splendore,16.86558129729797
490,parenti,16.86558129729797
491,poveri,16.86558129729797
492,cavare,16.86558129729797
493,informazione,16.86558129729797
494,auta,16.86558129729797
495,begli,16.86558129729797
496,dentro,16.86558129729797
497,belle,16.86558129729797
498,paese,16.86558129729797
499,bisogni,16.86558129729797
500,pittori,16.86558129729797
501,andrea,16.86558129729797
502,stessi,16.86558129729797
503,intendo,16.86558129729797
504,marcantonio,16.86558129729797
505,salviati,16.86558129729797
506,risponde,16.86558129729797
507,mala,16.86558129729797
508,alti,16.86558129729797
509,carrara,16.86558129729797
510,raffaello,16.86558129729797
511,sorella,16.86558129729797
512,tavolino,16.78889830934488
513,toca,16.78889830934488
514,bande,16.78889830934488
515,vechie,16.78889830934488
516,alzare,16.78889830934488
517,van,16.78889830934488
518,tornai,16.78889830934488
519,vivaio,16.78889830934488
520,comandiate,16.78889830934488
521,spetta,16.78889830934488
522,dimandato,16.78889830934488
523,siede,16.78889830934488
524,duomo,16.78889830934488
525,indreto,16.78889830934488
526,avenire,16.78889830934488
527,buonaroti,16.78889830934488
528,invidia,15.460116189189808
529,tirare,15.460116189189808
530,martire,15.460116189189808
531,invero,15.460116189189808
532,cardinali,15.460116189189808
533,villa,15.460116189189808
534,volessi,15.460116189189808
535,studii,15.460116189189808
536,deputati,15.460116189189808
537,onorando,15.460116189189808
538,venissi,15.460116189189808
539,pietà,15.460116189189808
540,rilievo,15.460116189189808
541,meli,15.460116189189808
542,dipigniere,15.460116189189808
543,regia,15.460116189189808
544,quivi,15.460116189189808
545,quarto,15.460116189189808
546,lega,15.460116189189808
547,chiesto,15.460116189189808
548,preti,15.460116189189808
549,salutatelo,15.460116189189808
550,crederrò,15.460116189189808
551,cardinal,15.460116189189808
552,1569,15.460116189189808
553,promessa,15.460116189189808
554,abbino,15.460116189189808
555,sale,15.238324625039509
556,murato,15.238324625039509
557,fraternita,15.238324625039509
558,disegniato,15.238324625039509
559,robe,15.238324625039509
560,pensate,15.238324625039509
561,vechia,15.238324625039509
562,mon,15.238324625039509
563,felicissimo,15.238324625039509
564,intento,15.238324625039509
565,finendo,15.238324625039509
566,moschino,15.238324625039509
567,sareno,15.238324625039509
568,gne,15.238324625039509
569,dono,15.238324625039509
570,larghezza,15.238324625039509
571,saglie,15.238324625039509
572,atenda,15.238324625039509
573,dipinte,15.238324625039509
574,febre,15.238324625039509
575,briga,15.238324625039509
576,novella,15.238324625039509
577,61,15.238324625039509
578,tornate,15.238324625039509
579,passare,15.238324625039509
580,picttor,15.238324625039509
581,piazza,15.238324625039509
582,ateso,15.238324625039509
583,prega,15.238324625039509
584,dirimpetto,15.238324625039509
585,agniolo,15.238324625039509
586,convento,15.238324625039509
587,considerato,15.238324625039509
588,obsservandissimi,15.238324625039509
589,alte,15.238324625039509
590,bronzino,15.238324625039509
591,piene,15.238324625039509
592,bisognierà,15.238324625039509
593,finirà,15.238324625039509
594,parrà,15.238324625039509
595,belvedere,15.238324625039509
596,capitan,14.69028602067677
597,citta,14.69028602067677
598,aconciare,14.69028602067677
599,aconci,14.69028602067677
600,cappellani,14.69028602067677
601,pictture,14.69028602067677
602,stuco,14.69028602067677
603,felicissima,14.69028602067677
604,conosciere,14.69028602067677
605,dificile,14.69028602067677
606,sollecitando,14.69028602067677
607,tribuna,14.69028602067677
608,ocasione,14.69028602067677
609,accademici,14.69028602067677
610,canne,14.69028602067677
611,servo,14.69028602067677
612,acordo,14.69028602067677
613,posteri,14.69028602067677
614,arivati,14.69028602067677
615,canpo,14.69028602067677
616,spettavo,14.69028602067677
617,val,14.054651081081644
618,tornerò,14.054651081081644
619,dedicato,14.054651081081644
620,farnese,14.054651081081644
621,sentir,14.054651081081644
622,nove,14.054651081081644
623,prato,14.054651081081644
624,scrittoio,14.054651081081644
625,rotta,14.054651081081644
626,darli,14.054651081081644
627,primi,14.054651081081644
628,levato,14.054651081081644
629,perugino,14.054651081081644
630,morti,14.054651081081644
631,inportanza,14.054651081081644
632,27,14.054651081081644
633,cominciare,14.054651081081644
634,pazienzia,14.054651081081644
635,comune,14.054651081081644
636,cagioni,14.054651081081644
637,buoni,14.054651081081644
638,dote,14.054651081081644
639,omini,14.054651081081644
640,porterò,14.054651081081644
641,loggia,14.054651081081644
642,giulio,14.054651081081644
643,cercando,14.054651081081644
644,pilastri,14.054651081081644
645,parti,14.054651081081644
646,rallegrato,14.054651081081644
647,ragionare,14.054651081081644
648,camino,14.054651081081644
649,regina,14.054651081081644
650,comandato,14.054651081081644
651,scritture,14.054651081081644
652,rosso,14.054651081081644
653,signiore,13.545177444479563
654,largo,13.545177444479563
655,inscrizioni,13.545177444479563
656,vinto,13.545177444479563
657,gagliardamente,13.545177444479563
658,degnia,13.545177444479563
659,genaio,13.545177444479563
660,infinite,13.545177444479563
661,piacendo,13.545177444479563
662,lastre,13.545177444479563
663,presenti,13.545177444479563
664,legni,13.545177444479563
665,sarano,13.545177444479563
666,piaque,13.545177444479563
667,inocenti,13.545177444479563
668,virtuose,13.545177444479563
669,inoltre,13.545177444479563
670,segniato,13.545177444479563
671,pictor,13.545177444479563
672,avevon,13.545177444479563
673,artefici,13.545177444479563
674,potrei,13.545177444479563
675,particolari,13.545177444479563
676,accio,13.545177444479563
677,vocie,13.545177444479563
678,palmi,13.545177444479563
679,memorie,13.545177444479563
680,vani,13.545177444479563
681,rotto,13.545177444479563
682,miniato,13.545177444479563
683,senpiterno,13.545177444479563
684,miracoli,13.545177444479563
685,saluti,13.545177444479563
686,magiore,13.545177444479563
687,busino,13.545177444479563
688,dovessi,13.545177444479563
689,ditegli,13.545177444479563
690,fan,13.545177444479563
691,muratore,13.545177444479563
692,fareno,13.545177444479563
693,anime,13.545177444479563
694,doveva,13.545177444479563
695,cavallieri,13.545177444479563
696,nozze,13.545177444479563
697,medesimi,13.545177444479563
698,disagio,13.545177444479563
699,guido,13.545177444479563
700,tornando,13.545177444479563
701,pensiero,13.545177444479563
702,acomodare,13.545177444479563
703,faccie,13.545177444479563
704,stoco,13.545177444479563
705,pauolo,13.545177444479563
706,perfezzione,13.545177444479563
707,capitoli,13.545177444479563
708,lunghezza,12.649185972973479
709,vecchia,12.649185972973479
710,mancassi,12.649185972973479
711,mostri,12.649185972973479
712,letto,12.649185972973479
713,tele,12.649185972973479
714,servizii,12.649185972973479
715,fabriche,12.649185972973479
716,negli,12.649185972973479
717,effetto,12.649185972973479
718,ricco,12.649185972973479
719,ciborio,12.649185972973479
720,doni,12.649185972973479
721,vento,12.649185972973479
722,cominciata,12.649185972973479
723,prometto,12.649185972973479
724,prova,12.649185972973479
725,guardaroba,12.649185972973479
726,merito,12.649185972973479
727,valdarno,12.649185972973479
728,argento,12.649185972973479
729,mettervi,12.649185972973479
730,allui,12.649185972973479
731,sani,12.649185972973479
732,sedere,12.649185972973479
733,data,12.649185972973479
734,intenderete,12.649185972973479
735,cappella,12.649185972973479
736,festoni,12.649185972973479
737,tratto,12.649185972973479
738,debbe,12.649185972973479
739,sangue,12.649185972973479
740,fitto,12.649185972973479
741,dota,12.649185972973479
742,parlai,12.649185972973479
743,perdita,12.649185972973479
744,forte,12.649185972973479
745,vite,12.649185972973479
746,livo,12.649185972973479
747,dicendo,12.649185972973479
748,paga,12.649185972973479
749,settimane,12.649185972973479
750,serva,12.649185972973479
751,penserò,12.649185972973479
752,giusto,12.649185972973479
753,eseguire,12.649185972973479
754,corpi,12.649185972973479
755,levar,12.649185972973479
756,passo,12.649185972973479
757,pio,12.649185972973479
758,parere,12.649185972973479
759,provisto,12.59167373200866
760,ecc,12.59167373200866
761,prosunzione,12.59167373200866
762,modanature,12.59167373200866
763,bisogniava,12.59167373200866
764,mdlvii,12.59167373200866
765,drentovi,12.59167373200866
766,pictti,12.59167373200866
767,comodi,12.59167373200866
768,raccomandandomeli,12.59167373200866
769,raccomandi,12.59167373200866
770,stuchi,12.59167373200866
771,racomando,12.59167373200866
772,comunità,12.59167373200866
773,valor,12.59167373200866
774,balzello,12.59167373200866
775,zeca,12.59167373200866
776,liberato,12.59167373200866
777,romeo,12.59167373200866
778,canpiglia,12.59167373200866
779,oblighi,12.59167373200866
780,oliveto,12.59167373200866
781,acomodando,12.59167373200866
782,pontificale,12.59167373200866
783,lx,12.59167373200866
784,concesso,12.59167373200866
785,madalena,12.59167373200866
786,operaio,12.59167373200866
787,vergognia,12.59167373200866
788,maravigli,12.59167373200866
789,cornicione,12.59167373200866
790,dicie,12.59167373200866
791,loreto,12.59167373200866
792,inposto,12.59167373200866
793,gianni,12.59167373200866
794,coperto,12.59167373200866
795,aque,12.59167373200866
796,dodici,12.59167373200866
797,mangiare,12.59167373200866
798,saravezza,11.852030263919618
799,arivai,11.852030263919618
800,rimandi,11.852030263919618
801,cavi,11.852030263919618
802,gagliardo,11.852030263919618
803,acomodar,11.852030263919618
804,perciò,11.852030263919618
805,pensieri,11.852030263919618
806,ricordato,11.852030263919618
807,mdlvi,11.852030263919618
808,trovi,11.852030263919618
809,pennello,11.852030263919618
810,strade,11.852030263919618
811,patrono,11.852030263919618
812,maso,11.852030263919618
813,altrove,11.852030263919618
814,epitaffi,11.852030263919618
815,facilità,11.852030263919618
816,avenga,11.852030263919618
817,muraglie,11.852030263919618
818,eccellentia,11.852030263919618
819,tanai,11.852030263919618
820,possiamo,11.852030263919618
821,entrate,11.852030263919618
822,ordinerà,11.852030263919618
823,pratica,11.852030263919618
824,spedisca,11.852030263919618
825,podere,11.852030263919618
826,giù,11.852030263919618
827,fiorini,11.852030263919618
828,bellissima,11.852030263919618
829,nascie,11.852030263919618
830,anderò,11.852030263919618
831,stessa,11.852030263919618
832,umiltà,11.852030263919618
833,debitore,11.852030263919618
834,strozzi,11.852030263919618
835,mettono,11.852030263919618
836,parlare,11.852030263919618
837,satisfar,11.852030263919618
838,spettiamo,11.852030263919618
839,pulciano,11.852030263919618
840,palle,11.852030263919618
841,piove,11.852030263919618
842,continovamente,11.852030263919618
843,andai,11.852030263919618
844,scriverò,11.243720864865315
845,ritratti,11.243720864865315
846,antiche,11.243720864865315
847,sentire,11.243720864865315
848,scriver,11.243720864865315
849,servirvi,11.243720864865315
850,10,11.243720864865315
851,simili,11.243720864865315
852,meriti,11.243720864865315
853,pane,11.243720864865315
854,orazione,11.243720864865315
855,operare,11.243720864865315
856,vettori,11.243720864865315
857,nero,11.243720864865315
858,negoziare,11.243720864865315
859,termini,11.243720864865315
860,figliolo,11.243720864865315
861,mo,11.243720864865315
862,camaldoli,11.243720864865315
863,mezza,11.243720864865315
864,finestra,11.243720864865315
865,memoriale,11.243720864865315
866,particulare,11.243720864865315
867,maraviglia,11.243720864865315
868,resterà,11.243720864865315
869,lumi,11.243720864865315
870,lino,11.243720864865315
871,letizia,11.243720864865315
872,legge,11.243720864865315
873,lavorato,11.243720864865315
874,compagnia,11.243720864865315
875,intera,11.243720864865315
876,goda,11.243720864865315
877,cominciate,11.243720864865315
878,vadi,11.243720864865315
879,particolare,11.243720864865315
880,orazioni,11.243720864865315
881,devozione,11.243720864865315
882,cornice,11.243720864865315
883,crederò,11.243720864865315
884,cuore,11.243720864865315
885,dagli,11.243720864865315
886,armata,11.243720864865315
887,ragione,11.243720864865315
888,ragionato,11.243720864865315
889,sollecitudine,11.243720864865315
890,raccomanda,11.243720864865315
891,deve,11.243720864865315
892,quanta,11.243720864865315
893,dò,11.243720864865315
894,dicendogli,11.243720864865315
895,principi,11.243720864865315
896,collo,11.243720864865315
897,24,11.243720864865315
898,stanno,11.243720864865315
899,popoli,11.243720864865315
900,contenti,11.243720864865315
901,70,11.243720864865315
902,satisfarà,10.493061443340551
903,duro,10.493061443340551
904,amorevol,10.493061443340551
905,comando,10.493061443340551
906,gioverà,10.493061443340551
907,dami,10.493061443340551
908,dassé,10.493061443340551
909,scordato,10.493061443340551
910,consegniato,10.493061443340551
911,conduchino,10.493061443340551
912,ganba,10.493061443340551
913,forzori,10.493061443340551
914,corridore,10.493061443340551
915,finiscie,10.493061443340551
916,fano,10.493061443340551
917,disegnia,10.493061443340551
918,dirinpetto,10.493061443340551
919,scheraggio,10.493061443340551
920,magiormente,10.493061443340551
921,grossi,10.493061443340551
922,cogniato,10.493061443340551
923,aviamento,10.493061443340551
924,piovere,10.493061443340551
925,romena,10.493061443340551
926,porfido,10.493061443340551
927,possiano,10.493061443340551
928,atendete,10.493061443340551
929,proveditori,10.493061443340551
930,aportator,10.493061443340551
931,qvi,10.493061443340551
932,apparato,10.493061443340551
933,rio,10.493061443340551
934,reggente,10.493061443340551
935,religioni,10.493061443340551
936,rescritti,10.493061443340551
937,riescie,10.493061443340551
938,piaciute,10.493061443340551
939,pasto,10.493061443340551
940,partii,10.493061443340551
941,capomaestri,10.493061443340551
942,inparato,10.493061443340551
943,inpedito,10.493061443340551
944,inportano,10.493061443340551
945,cherici,10.493061443340551
946,luigi,10.493061443340551
947,cassone,10.493061443340551
948,cane,10.493061443340551
949,rovinare,10.493061443340551
950,calcina,10.493061443340551
951,monaci,10.493061443340551
952,navicellai,10.493061443340551
953,bolsena,10.493061443340551
954,onoranza,10.493061443340551
955,palchetti,10.493061443340551
