,term,score
0,senpre,23.704060527839236
1,tenpo,18.624618986159398
2,bisognio,16.86558129729797
3,reverendo,15.460116189189808
4,disegnio,15.460116189189808
5,auto,15.460116189189808
6,palazzo,14.054651081081644
7,scala,12.649185972973479
8,bisognia,11.852030263919618
9,unico,11.852030263919618
10,sacra,11.243720864865315
11,pietre,11.243720864865315
12,el,11.243720864865315
13,reverendissimo,11.243720864865315
14,modello,11.243720864865315
15,comandi,10.158883083359672
16,vole,10.158883083359672
17,anche,9.838255756757151
18,proveditor,9.838255756757151
19,salvo,9.838255756757151
20,caccini,9.838255756757151
21,nocenti,9.838255756757151
22,beni,9.838255756757151
23,dirli,9.838255756757151
24,ingegnio,8.465735902799727
25,ricetto,8.465735902799727
26,magnifici,8.465735902799727
27,segniato,8.465735902799727
28,saglie,8.465735902799727
29,lassato,8.465735902799727
30,servilla,8.465735902799727
31,observandissimo,8.465735902799727
32,davitte,8.465735902799727
33,capella,8.432790648648986
34,batista,8.432790648648986
35,scaglioni,8.432790648648986
36,maria,8.432790648648986
37,saria,8.432790648648986
38,vegga,8.432790648648986
39,obligatissimo,8.432790648648986
40,pezzi,8.432790648648986
41,pietro,7.027325540540822
42,atteso,7.027325540540822
43,farlo,7.027325540540822
44,vasarii,7.027325540540822
45,anch,7.027325540540822
46,muraglia,7.027325540540822
47,vizii,6.772588722239782
48,fecie,6.772588722239782
49,inn,6.772588722239782
50,fugir,6.772588722239782
51,perpetuo,6.772588722239782
52,seguitar,6.772588722239782
53,vol,6.772588722239782
54,dessiderio,6.772588722239782
55,comessario,6.772588722239782
56,quatro,6.772588722239782
57,patron,6.772588722239782
58,observandissimi,6.772588722239782
59,branca,6.772588722239782
60,piano,5.6218604324326575
61,dissi,5.6218604324326575
62,duchessa,5.6218604324326575
63,offero,5.6218604324326575
64,grazie,5.6218604324326575
65,farmi,5.6218604324326575
66,cinque,5.6218604324326575
67,iustizia,5.6218604324326575
68,finestre,5.6218604324326575
69,allora,5.6218604324326575
70,sian,5.6218604324326575
71,avisato,5.6218604324326575
72,sforzo,5.6218604324326575
73,michelagniolo,5.6218604324326575
74,tavole,5.6218604324326575
75,rescritto,5.6218604324326575
76,mostro,5.6218604324326575
77,pronto,5.6218604324326575
78,lelio,5.6218604324326575
79,farnese,5.6218604324326575
80,inperò,5.6218604324326575
81,famiglia,5.6218604324326575
82,ire,5.6218604324326575
83,illustrissime,5.6218604324326575
84,obligo,5.6218604324326575
85,ateso,5.079441541679836
86,segniata,5.079441541679836
87,canpanile,5.079441541679836
88,compiaciuto,5.079441541679836
89,dicenbre,5.079441541679836
90,corto,5.079441541679836
91,febre,5.079441541679836
92,bascio,5.079441541679836
93,alabastro,5.079441541679836
94,vendere,5.079441541679836
95,pianta,5.079441541679836
96,scade,5.079441541679836
97,piacie,5.079441541679836
98,partire,5.079441541679836
99,signorie,5.079441541679836
100,perfectione,5.079441541679836
101,salotto,5.079441541679836
102,carezze,4.216395324324493
103,informazione,4.216395324324493
104,excellenzia,4.216395324324493
105,orazioni,4.216395324324493
106,pasqua,4.216395324324493
107,ciascuna,4.216395324324493
108,poppiano,4.216395324324493
109,trova,4.216395324324493
110,fitto,4.216395324324493
111,cominciato,4.216395324324493
112,guardaroba,4.216395324324493
113,morto,4.216395324324493
114,allui,4.216395324324493
115,dare,4.216395324324493
116,condotto,4.216395324324493
117,bastiano,4.216395324324493
118,illustrissimi,4.216395324324493
119,donato,4.216395324324493
120,domattina,4.216395324324493
121,fargli,4.216395324324493
122,particolare,4.216395324324493
123,venuta,4.216395324324493
124,figlioli,4.216395324324493
125,figliolo,4.216395324324493
126,eccelentissimo,4.216395324324493
127,conservi,4.216395324324493
128,iacopo,4.216395324324493
129,amorevolezza,4.216395324324493
130,benissimo,4.216395324324493
131,sulla,4.216395324324493
132,comandarmi,4.216395324324493
133,lì,4.216395324324493
134,andrea,4.216395324324493
135,dica,4.216395324324493
136,sarei,4.216395324324493
137,otta,4.216395324324493
138,anticaglie,4.216395324324493
139,porte,4.216395324324493
140,qualcosa,4.216395324324493
141,talmente,4.216395324324493
142,contenta,4.216395324324493
143,stanze,4.216395324324493
144,frati,4.216395324324493
145,zio,4.216395324324493
146,1562,4.216395324324493
147,proveditore,4.216395324324493
148,1560,4.216395324324493
149,riceuto,4.216395324324493
150,cavalieri,4.216395324324493
151,massime,4.216395324324493
152,1573,4.216395324324493
153,200,4.216395324324493
