,term,score
0,anche,238.92906837838794
1,vincenzo,238.7337524589523
2,bisogna,158.81755721622258
3,po,99.78802267567967
4,vedete,95.57162735135518
5,batista,88.54430181081436
6,qualcosa,82.9224413783817
7,concetto,81.27106466687738
8,certi,80.11151116216537
9,dite,75.89511583784088
10,excellentissimo,74.49847594463759
11,certe,68.86779029730006
12,piace,64.65139497297557
13,avuto,64.65139497297557
14,or,64.65139497297557
15,el,61.84046475675923
16,potrebbe,60.43499964865107
17,istorie,57.62406943243474
18,istoria,50.596743891893915
19,invenzione,46.38034856756943
20,intendo,44.97488345946126
21,pensare,44.97488345946126
22,massime,40.758488135136766
23,fussino,40.758488135136766
24,tempi,40.63553233343869
25,scrivete,39.353023027028605
26,dare,39.353023027028605
27,sare,38.94238515287874
28,cuore,37.94755791892044
29,ognuno,37.249237972318795
30,importa,36.54209281081227
31,siché,36.54209281081227
32,poppiano,36.54209281081227
33,segno,36.54209281081227
34,no,35.556090791758855
35,faccenda,35.556090791758855
36,accade,35.13662770270411
37,simil,33.73116259459594
38,figure,33.73116259459594
39,appunto,33.73116259459594
40,abbiamo,33.73116259459594
41,imbasciadore,33.57779661868976
42,arco,32.32569748648778
43,vuole,32.32569748648778
44,metterei,32.32569748648778
45,pel,32.16979643063896
46,bisognerebbe,31.47918433002165
47,dall,30.920232378379616
48,siamo,30.920232378379616
49,pensiero,30.476649250079017
50,parecchi,29.514767270271452
51,dissi,29.514767270271452
52,errore,28.783502069519074
53,statua,28.783502069519074
54,difficultà,28.10930216216329
55,particularmente,28.10930216216329
56,preso,28.10930216216329
57,materia,28.10930216216329
58,piglare,27.28195975268543
59,vedessi,27.090354888959126
60,qualcuno,27.090354888959126
61,pensate,27.090354888959126
62,rispetto,26.703837054055125
63,ragione,26.703837054055125
64,gl,26.703837054055125
65,tornata,26.703837054055125
66,pietro,26.703837054055125
67,debbe,26.703837054055125
68,est,26.703837054055125
69,contenti,26.703837054055125
70,ed,25.39720770839918
71,considerate,25.39720770839918
72,parlare,25.39720770839918
73,messo,23.892906837838794
74,lionardo,23.892906837838794
75,dentro,23.892906837838794
76,granduca,23.704060527839236
77,parrà,23.704060527839236
78,architetto,23.704060527839236
79,avventura,23.08473517534921
80,verbi,23.08473517534921
81,sadisfazione,23.08473517534921
82,aqqua,23.08473517534921
83,avevi,22.48744172973063
84,dietro,22.48744172973063
85,talvolta,22.48744172973063
86,spirito,22.48744172973063
87,venuta,22.48744172973063
88,concino,22.48744172973063
89,pezzo,22.48744172973063
90,belle,22.48744172973063
91,invenzioni,22.48744172973063
92,fin,22.48744172973063
93,regola,22.010913347279292
94,discorso,22.010913347279292
95,cugino,22.010913347279292
96,academia,22.010913347279292
97,bronzino,22.010913347279292
98,architettore,22.010913347279292
99,colui,21.081976621622466
