,term,score
0,giambullari,8.432790648648986
1,pf,6.29583686600433
2,pierfrancesco,6.29583686600433
3,1549,5.6218604324326575
4,priego,4.216395324324493
5,onorandissimo,4.216395324324493
6,tolomei,4.19722457733622
7,anibale,4.19722457733622
8,istampa,4.19722457733622
9,annotazione,4.19722457733622
10,respetto,4.19722457733622
11,adventura,4.19722457733622
12,intaglio,3.386294361119891
13,epistola,3.386294361119891
14,vorrebbono,3.386294361119891
15,cerimonie,3.386294361119891
16,pensava,2.8109302162163288
17,corriere,2.8109302162163288
18,dolermi,2.8109302162163288
19,agevolmente,2.8109302162163288
20,vergognai,2.09861228866811
21,cavallari,2.09861228866811
22,cresima,2.09861228866811
23,nascità,2.09861228866811
24,patiti,2.09861228866811
25,dovervene,2.09861228866811
26,xxix,2.09861228866811
27,dedicatoria,2.09861228866811
28,essendoci,2.09861228866811
29,arriverà,2.09861228866811
30,legature,2.09861228866811
31,botarvi,2.09861228866811
32,pativa,2.09861228866811
33,presentando,2.09861228866811
34,accertandolo,2.09861228866811
35,offeritemi,2.09861228866811
36,datevi,2.09861228866811
37,occorrente,2.09861228866811
38,perdute,2.09861228866811
39,avidamente,2.09861228866811
40,esamina,2.09861228866811
41,censura,2.09861228866811
42,stracciate,2.09861228866811
43,perdonerò,2.09861228866811
44,promettevate,2.09861228866811
45,risolvetevene,2.09861228866811
46,scriverremo,2.09861228866811
47,dotta,2.09861228866811
48,eseguitene,2.09861228866811
49,od,2.09861228866811
50,ghirlandaio,2.09861228866811
51,potendovi,2.09861228866811
52,scambiate,2.09861228866811
53,conducetegli,2.09861228866811
54,dorrò,2.09861228866811
55,appartatamente,2.09861228866811
56,alfabeto,2.09861228866811
57,borghino,2.09861228866811
58,intagliato,2.09861228866811
59,dovevate,2.09861228866811
60,solite,2.09861228866811
61,accusare,2.09861228866811
62,discussione,2.09861228866811
63,godono,2.09861228866811
64,metteremo,2.09861228866811
65,advertirmi,2.09861228866811
66,comparisse,2.09861228866811
67,balzasse,2.09861228866811
68,assicurati,2.09861228866811
69,tuttavolta,2.09861228866811
70,inviato,2.09861228866811
71,soprasedere,2.09861228866811
72,1551,2.09861228866811
73,ambasciate,2.09861228866811
74,aggravo,2.09861228866811
75,abbruciate,2.09861228866811
76,conoscendole,2.09861228866811
77,comparir,2.09861228866811
78,metterassi,2.09861228866811
79,brevissima,2.09861228866811
80,advertiate,2.09861228866811
81,scioperare,2.09861228866811
82,intesa,2.09861228866811
83,corrino,2.09861228866811
84,visitiate,2.09861228866811
85,osserervandissimo,2.09861228866811
86,dimenticati,2.09861228866811
87,partorisca,2.09861228866811
88,amichevolmente,2.09861228866811
89,estraordinario,2.09861228866811
90,indiritto,2.09861228866811
91,coronazione,2.09861228866811
92,disegnino,2.09861228866811
93,buscarmi,2.09861228866811
94,etrusca,2.09861228866811
95,voletelo,2.09861228866811
96,sareste,2.09861228866811
97,persuadetevi,1.6931471805599454
98,ingannato,1.6931471805599454
99,importanzia,1.6931471805599454
100,mutato,1.6931471805599454
101,gagliarda,1.6931471805599454
102,todeschi,1.6931471805599454
103,lenzoni,1.6931471805599454
104,chiunque,1.6931471805599454
105,presenzialmente,1.6931471805599454
106,terzi,1.6931471805599454
107,corrispondere,1.6931471805599454
108,fugge,1.6931471805599454
109,comunque,1.6931471805599454
110,unitamente,1.6931471805599454
111,comparire,1.6931471805599454
112,degno,1.6931471805599454
113,vinegia,1.6931471805599454
114,pp,1.6931471805599454
115,sarammi,1.6931471805599454
116,deditissimo,1.6931471805599454
117,sospesa,1.6931471805599454
118,cacciata,1.6931471805599454
119,lasciava,1.6931471805599454
120,stampatori,1.6931471805599454
121,osservato,1.6931471805599454
122,veggiate,1.6931471805599454
123,giudicherete,1.6931471805599454
124,aggiunta,1.6931471805599454
125,vaglio,1.6931471805599454
126,gravo,1.6931471805599454
127,proemio,1.6931471805599454
128,querele,1.6931471805599454
129,frasca,1.6931471805599454
130,rare,1.6931471805599454
131,disperare,1.6931471805599454
132,guadagno,1.6931471805599454
133,lodarmi,1.6931471805599454
134,dovendo,1.6931471805599454
135,dimenticato,1.6931471805599454
136,godervi,1.6931471805599454
137,tavolette,1.6931471805599454
138,ricordate,1.6931471805599454
139,anibal,1.6931471805599454
140,ragionerò,1.6931471805599454
141,riuscire,1.6931471805599454
142,facemmo,1.6931471805599454
143,sperarne,1.6931471805599454
144,disegnata,1.6931471805599454
145,anderò,1.6931471805599454
146,esempio,1.6931471805599454
147,disagi,1.6931471805599454
148,forme,1.6931471805599454
149,bernardetto,1.6931471805599454
150,silenzio,1.6931471805599454
151,tornarvi,1.6931471805599454
152,incommodo,1.6931471805599454
153,procacciate,1.6931471805599454
154,rispondo,1.6931471805599454
155,faccenda,1.6931471805599454
156,opra,1.6931471805599454
157,vedersi,1.6931471805599454
158,stringo,1.6931471805599454
159,desiderando,1.4054651081081644
160,stanno,1.4054651081081644
161,provato,1.4054651081081644
162,aspettava,1.4054651081081644
163,parti,1.4054651081081644
164,sommo,1.4054651081081644
165,carattere,1.4054651081081644
166,vederlo,1.4054651081081644
167,commodità,1.4054651081081644
168,mandino,1.4054651081081644
169,facevano,1.4054651081081644
170,scrivessi,1.4054651081081644
171,saremo,1.4054651081081644
172,raccomandano,1.4054651081081644
173,titolo,1.4054651081081644
174,domenico,1.4054651081081644
