,term,score
0,incerato,20.209716892437577
1,millo,20.209716892437577
2,gabelli,13.473144594958384
3,lire,13.155591120947143
4,miei,10.107829402478155
5,magnifici,9.078695440285944
6,strada,8.867974408970293
7,finisca,8.124847296105326
8,signoria,8.107884940293467
9,dato,7.595639034264677
10,apagheranno,6.736572297479192
11,coprilla,6.736572297479192
12,amagli,6.736572297479192
13,scuseranno,6.736572297479192
14,vercirca,6.736572297479192
15,scamisci,6.736572297479192
16,loro,6.532338149977523
17,fianmingo,6.331107189371028
18,seguiva,6.331107189371028
19,pentiti,6.331107189371028
20,preparar,6.331107189371028
21,poiché,6.120543251144231
22,mdlxvi,6.043425116919247
23,rimetteranno,6.043425116919247
24,afezionato,6.043425116919247
25,panno,6.043425116919247
26,amorevolissimo,6.043425116919247
27,scomodo,5.820281565605037
28,cittadino,5.820281565605037
29,misericordia,5.637960008811082
30,signiori,5.637960008811082
31,santa,5.629197922395756
32,rettori,5.483809328983824
33,garzone,5.483809328983824
34,eccellenzie,5.483809328983824
35,pia,5.483809328983824
36,governa,5.483809328983824
37,arezzo,5.369574699351775
38,avevon,5.350277936359301
39,fraternita,5.350277936359301
40,riposarmi,5.350277936359301
41,desideravo,5.350277936359301
42,duolmi,5.232494900702918
43,operato,5.232494900702918
44,speso,5.127134385045092
45,xviii,5.127134385045092
46,dovevo,5.127134385045092
47,obsservandissimi,5.031824205240767
48,picttor,5.031824205240767
49,conto,5.019477104422025
50,renda,4.944812828251137
51,maestro,4.838168367885763
52,lasciar,4.790662148423879
53,dovessi,4.790662148423879
54,sien,4.790662148423879
55,casa,4.759726941579201
56,giovanni,4.70909132561062
57,conpagnia,4.657130755799356
58,piacie,4.5965061339829205
59,10,4.5965061339829205
60,cartone,4.539347720142972
61,comodo,4.485280498872697
62,licenzia,4.485280498872697
63,lo,4.43723077635423
64,bisogni,4.385197040315714
65,observandissimi,4.385197040315714
66,questi,4.30320963761724
67,servir,4.294225262109988
68,tornar,4.294225262109988
69,ha,4.248012965989007
70,vene,4.1338826120348084
71,tenuto,4.097514967863933
72,onorata,4.028522096376982
73,patroni,3.9639835752394106
74,padroni,3.9639835752394106
75,cotesta,3.933211916572657
76,voler,3.716147411334829
77,volontà,3.716147411334829
78,lor,3.6685193623455747
79,maria,3.6685193623455747
80,apresso,3.645529844120876
81,benefizio,3.601078081550042
82,mesi,3.601078081550042
83,utile,3.517696472610991
84,tanto,3.5127924217352895
85,potrò,3.4978938453148114
86,duo,3.4223862928066664
87,porta,3.3866682102045873
88,avevo,3.369276467492718
89,nostri,3.352182034133418
90,memoria,3.3188456138658258
91,onore,3.302585092994046
92,danari,3.2553322081435003
93,signori,3.167039600997822
94,nuove,3.153053359023082
95,ciò,3.0859140561854534
96,fatiche,3.0602716255721156
97,buono,3.0476928433652555
98,giorni,2.987068221548821
99,marzo,2.9523826635609307
100,alli,2.937428276831728
101,nuovo,2.918859971522287
102,bisognio,2.907930900990097
103,dir,2.907930900990097
104,senpre,2.8971199848858813
105,scudi,2.76628038392707
106,della,2.727222775870779
107,francesco,2.693521029644642
108,avere,2.6761292869327726
109,raccomando,2.5318796780882256
110,fra,2.495245544908445
111,resto,2.480959587660969
112,farò,2.4058389571928607
113,alle,2.373473672690829
114,qualche,2.35454566280531
115,senza,2.342123142806753
116,animo,2.3057554986358784
117,prima,2.1826954058786514
118,costì,2.0452244152500483
119,fine,2.0452244152500483
120,gran,2.0360919316867756
121,dove,1.9325512527459354
122,qui,1.8728914163395995
123,ogni,1.7737276672192848
124,mia,1.7667589979031912
125,sono,1.6676680952589604
126,dio,1.6676680952589604
127,bene,1.6336617272737652
128,fiorenza,1.60077386042893
129,alla,1.5463970895508583
130,vostro,1.5081410583953216
131,tutto,1.468714138415864
132,ne,1.4457831973519468
133,de,1.3942380455143808
134,signor,1.3752801317697667
135,gli,1.3636113879353895
136,possete,0.0
137,pristina,0.0
138,priore,0.0
139,possiamo,0.0
140,priori,0.0
141,poson,0.0
142,possi,0.0
143,posposto,0.0
144,possano,0.0
145,possessione,0.0
146,posservi,0.0
147,posser,0.0
148,possendo,0.0
149,possem,0.0
150,poss,0.0
151,positure,0.0
152,possa,0.0
153,possesso,0.0
154,posiate,0.0
155,positis,0.0
156,posassino,0.0
157,porvele,0.0
158,porvi,0.0
159,porzione,0.0
160,pos,0.0
161,posa,0.0
162,posando,0.0
163,posano,0.0
164,posar,0.0
165,posare,0.0
166,posarerete,0.0
167,posari,0.0
168,posarsi,0.0
169,posassi,0.0
170,posate,0.0
171,privare,0.0
172,posati,0.0
173,posato,0.0
174,posatura,0.0
175,posava,0.0
176,poscritta,0.0
177,posdomani,0.0
178,pose,0.0
179,privata,0.0
180,poseremo,0.0
181,posi,0.0
182,possiate,0.0
183,privarmene,0.0
184,posibile,0.0
185,possiano,0.0
186,posson,0.0
187,possibil,0.0
188,poterle,0.0
189,potentati,0.0
190,potentia,0.0
191,potenza,0.0
192,potenzia,0.0
193,potenzie,0.0
194,poter,0.0
195,poteranno,0.0
196,potere,0.0
197,principe,0.0
198,poterete,0.0
199,potergli,0.0
200,poteria,0.0
201,poterla,0.0
202,poterlo,0.0
203,possibile,0.0
204,poterne,0.0
205,potersi,0.0
206,poterunt,0.0
207,potervi,0.0
208,principato,0.0
209,poterà,0.0
210,poterò,0.0
211,potesse,0.0
212,potessero,0.0
213,potessi,0.0
214,principalmente,0.0
215,potessimo,0.0
216,potessin,0.0
217,potendovi,0.0
218,potendola,0.0
219,potendo,0.0
220,potei,0.0
221,prior,0.0
222,possibili,0.0
223,possibilità,0.0
224,possiede,0.0
225,possin,0.0
226,possino,0.0
227,posso,0.0
228,portovi,0.0
229,possono,0.0
230,possute,0.0
231,possuto,0.0
232,post,0.0
233,posta,0.0
234,poste,0.0
235,postea,0.0
236,posteri,0.0
237,posterità,0.0
238,principio,0.0
239,principii,0.0
240,principi,0.0
241,posti,0.0
242,posticcio,0.0
243,principessa,0.0
244,posto,0.0
245,postovi,0.0
246,postquam,0.0
247,potea,0.0
248,portò,0.0
249,porticciuola,0.0
250,portono,0.0
251,portogalo,0.0
252,poppiano,0.0
253,populi,0.0
254,probitate,0.0
255,populo,0.0
256,por,0.0
257,porcellane,0.0
258,porcellina,0.0
259,porci,0.0
260,porcili,0.0
261,porco,0.0
262,pordenone,0.0
263,porebbe,0.0
264,poresti,0.0
265,poretta,0.0
266,porfidi,0.0
267,porfido,0.0
268,porga,0.0
269,porgano,0.0
270,porge,0.0
271,porger,0.0
272,porgermi,0.0
273,porgerà,0.0
274,porgesse,0.0
275,porgessi,0.0
276,porgessino,0.0
277,porgie,0.0
278,porgli,0.0
279,porgo,0.0
280,porian,0.0
281,poppi,0.0
282,poppe,0.0
283,poppa,0.0
284,pontificale,0.0
285,ponga,0.0
286,ponghino,0.0
287,poni,0.0
288,procaccio,0.0
289,poniate,0.0
290,ponpa,0.0
291,pont,0.0
292,pontata,0.0
293,ponte,0.0
294,procacciato,0.0
295,pontefice,0.0
296,pontefici,0.0
297,ponti,0.0
298,procacciate,0.0
299,poponi,0.0
300,pontificali,0.0
301,pontificalissima,0.0
302,pontificato,0.0
303,pontificatus,0.0
304,pontificia,0.0
305,pontt,0.0
306,popiano,0.0
307,popolaccio,0.0
308,procacciarmi,0.0
309,procacciare,0.0
310,popoletto,0.0
311,popoli,0.0
312,popolo,0.0
313,porla,0.0
314,probatica,0.0
315,probabo,0.0
316,porterete,0.0
317,portato,0.0
318,portatomi,0.0
319,portator,0.0
320,portava,0.0
321,porte,0.0
322,porteranno,0.0
323,privileggio,0.0
324,privi,0.0
325,porterano,0.0
326,portercole,0.0
327,porterebbano,0.0
328,privato,0.0
329,privati,0.0
330,portero,0.0
331,portateci,0.0
332,porterolle,0.0
333,porterà,0.0
334,private,0.0
335,porterò,0.0
336,porti,0.0
337,portiano,0.0
338,portiate,0.0
339,potessino,0.0
340,porticelle,0.0
341,portico,0.0
342,portiere,0.0
343,porto,0.0
344,portogallo,0.0
345,portati,0.0
346,portate,0.0
347,porlo,0.0
348,portando,0.0
349,pro,0.0
350,privo,0.0
351,pormi,0.0
352,porre,0.0
353,privilegio,0.0
354,porrei,0.0
355,porse,0.0
356,privilegiis,0.0
357,porsi,0.0
358,privilegii,0.0
359,portaci,0.0
360,portae,0.0
361,portai,0.0
362,portano,0.0
363,portata,0.0
364,portar,0.0
365,portare,0.0
366,portarebbe,0.0
367,privilegi,0.0
368,portarlo,0.0
369,portarne,0.0
370,portaron,0.0
371,portarono,0.0
372,portarvi,0.0
373,portasi,0.0
374,portasse,0.0
375,portassi,0.0
376,portassino,0.0
377,principali,0.0
378,principal,0.0
379,principale,0.0
380,pregai,0.0
381,pregio,0.0
382,pregiudizio,0.0
383,pregnia,0.0
384,prego,0.0
385,pregolla,0.0
386,pregovi,0.0
387,preinteso,0.0
388,prevaricando,0.0
389,prelati,0.0
390,prelato,0.0
391,preme,0.0
392,premerli,0.0
393,premia,0.0
394,premiare,0.0
395,premiato,0.0
396,premio,0.0
397,prencipe,0.0
398,prende,0.0
399,prendersi,0.0
400,prepara,0.0
401,preparamenti,0.0
402,preparamento,0.0
403,preparando,0.0
404,preparano,0.0
405,prevaluto,0.0
406,prevale,0.0
407,prepararmi,0.0
408,prepararsi,0.0
409,preparate,0.0
410,pregii,0.0
411,prevego,0.0
412,pregi,0.0
413,pregarmi,0.0
414,pregando,0.0
415,preziose,0.0
416,pregandogli,0.0
417,pregandola,0.0
418,pregandoli,0.0
419,pregandolo,0.0
420,pregandovi,0.0
421,pregano,0.0
422,pregar,0.0
423,pregare,0.0
424,pregarla,0.0
425,prevista,0.0
426,pregarlo,0.0
427,pregarvi,0.0
428,preghino,0.0
429,pregassi,0.0
430,pregate,0.0
431,pregato,0.0
432,pregatolo,0.0
433,pregavi,0.0
434,pregheremo,0.0
435,pregherà,0.0
436,pregherò,0.0
437,previlegio,0.0
438,previde,0.0
439,preghi,0.0
440,preghiamo,0.0
441,preghiere,0.0
442,preti,0.0
443,preparatevi,0.0
444,preparati,0.0
445,presono,0.0
446,presenzialmente,0.0
447,presenziate,0.0
448,preservallo,0.0
449,presupposto,0.0
450,preservarcelo,0.0
451,presupporre,0.0
452,presuppongo,0.0
453,preservarvi,0.0
454,preservati,0.0
455,preservi,0.0
456,presi,0.0
457,presidente,0.0
458,preso,0.0
459,pressa,0.0
460,presentò,0.0
461,presso,0.0
462,presta,0.0
463,prestare,0.0
464,prestarmi,0.0
465,prestato,0.0
466,prestava,0.0
467,presterrà,0.0
468,presteza,0.0
469,prestezza,0.0
470,presti,0.0
471,presunzione,0.0
472,presto,0.0
473,presummere,0.0
474,presenzia,0.0
475,presento,0.0
476,preparato,0.0
477,presentar,0.0
478,pretermettere,0.0
479,preparazione,0.0
480,preparerete,0.0
481,prepari,0.0
482,preparo,0.0
483,preparono,0.0
484,presa,0.0
485,presaga,0.0
486,prescia,0.0
487,prese,0.0
488,presentai,0.0
489,presentando,0.0
490,presentaneo,0.0
491,presentare,0.0
492,pretaia,0.0
493,presentargnene,0.0
494,presentarla,0.0
495,presentasse,0.0
496,presentassi,0.0
497,presentata,0.0
498,presentato,0.0
499,presente,0.0
500,presenterà,0.0
501,pretende,0.0
502,presentes,0.0
503,presenti,0.0
504,prete,0.0
505,presentium,0.0
506,pregallo,0.0
507,pregadi,0.0
508,poteste,0.0
509,prega,0.0
510,primi,0.0
511,prime,0.0
512,potrebbono,0.0
513,primavera,0.0
514,potrei,0.0
515,potremmo,0.0
516,primaticcio,0.0
517,primamente,0.0
518,potremo,0.0
519,potren,0.0
520,potreno,0.0
521,potreste,0.0
522,potresti,0.0
523,potrete,0.0
524,potrette,0.0
525,potria,0.0
526,potriamo,0.0
527,potrieno,0.0
528,prigionia,0.0
529,potrà,0.0
530,prigioni,0.0
531,prigione,0.0
532,potute,0.0
533,potuti,0.0
534,potuto,0.0
535,potè,0.0
