,term,score
0,gli,6.818056939676947
1,potrà,6.54167278935893
2,sviluppo,6.331107189371028
3,intrighi,6.331107189371028
4,aguluppo,6.331107189371028
5,rincina,6.331107189371028
6,disuggellate,6.331107189371028
7,labirinto,6.331107189371028
8,istruzione,6.331107189371028
9,caponi,6.331107189371028
10,reverendo,6.171828112370907
11,raccomanderà,6.043425116919247
12,arà,6.021757740485079
13,allevato,5.820281565605037
14,spedendo,5.820281565605037
15,bisognio,5.815861801980194
16,ser,5.815861801980194
17,guida,5.637960008811082
18,ravenna,5.350277936359301
19,unn,5.350277936359301
20,tanto,5.269188632602934
21,spedalingo,5.186875142175319
22,scritto,5.124370055167109
23,1560,4.944812828251137
24,lettera,4.933749695558459
25,marco,4.8647701205776
26,signoria,4.86473096417608
27,27,4.790662148423879
28,pittor,4.790662148423879
29,allui,4.790662148423879
30,mandovi,4.790662148423879
31,ricevei,4.790662148423879
32,intanto,4.734248890024341
33,altro,4.468644675956117
34,faccende,4.385197040315714
35,giovan,4.294225262109988
36,andrea,4.210843653170937
37,favori,4.171622940017656
38,signor,4.1258403953093
39,obsservandissimo,4.028522096376982
40,scriva,4.028522096376982
41,fargli,3.995732273553991
42,iacopo,3.995732273553991
43,allora,3.933211916572657
44,settembre,3.846200539583027
45,luoghi,3.818801565394913
46,vegga,3.5795718763290787
47,tornato,3.5585184671312464
48,antonio,3.517696472610991
49,volete,3.4978938453148114
50,amatemi,3.4594275644870156
51,ritorno,3.2865847516476046
52,una,3.273411739309987
53,trovato,3.2553322081435003
54,salutate,3.2102117728630306
55,batista,2.9523826635609307
56,molti,2.918859971522287
57,nocenti,2.8971199848858813
58,nelle,2.8758425864385964
59,vostri,2.8758425864385964
60,sarò,2.8447519993685653
61,più,2.841812585193084
62,pittore,2.76628038392707
63,state,2.7201892767268028
64,arezzo,2.6847873496758874
65,lettere,2.6175351226667196
66,farà,2.585532391580546
67,vo,2.539370349817384
68,acciò,2.524444699600708
69,sano,2.495245544908445
70,pur,2.2147837204301517
71,chi,2.1165134989973495
72,altri,2.097000684773768
73,quale,1.8923852110206008
74,servitore,1.7427441216993174
75,far,1.7159866725297679
76,quanto,1.6708177041618566
77,sarà,1.6676680952589604
78,quel,1.6489759622468079
79,fiorenza,1.60077386042893
80,cose,1.5689332545732715
81,alla,1.5463970895508583
82,questa,1.527086144637771
83,lo,1.4790769254514102
84,alli,1.468714138415864
85,messer,1.4111262635429025
86,de,1.3942380455143808
87,magnifico,1.3847141640031255
88,posiate,0.0
89,posibile,0.0
90,possano,0.0
91,positis,0.0
92,positure,0.0
93,poson,0.0
94,posposto,0.0
95,poss,0.0
96,possa,0.0
97,possem,0.0
98,possendo,0.0
99,posser,0.0
100,posservi,0.0
101,possessione,0.0
102,possesso,0.0
103,possete,0.0
104,possi,0.0
105,possiamo,0.0
106,posi,0.0
107,priminenze,0.0
108,poseremo,0.0
109,posar,0.0
110,portono,0.0
111,privo,0.0
112,portovi,0.0
113,portò,0.0
114,porvele,0.0
115,porvi,0.0
116,porzione,0.0
117,pos,0.0
118,posa,0.0
119,posando,0.0
120,privilegio,0.0
121,posano,0.0
122,posare,0.0
123,privilegiis,0.0
124,posarerete,0.0
125,posari,0.0
126,posarsi,0.0
127,posassi,0.0
128,posassino,0.0
129,posate,0.0
130,posati,0.0
131,posato,0.0
132,posatura,0.0
133,poscritta,0.0
134,posdomani,0.0
135,pose,0.0
136,posava,0.0
137,possin,0.0
138,possiano,0.0
139,poterunt,0.0
140,potenzia,0.0
141,potenzie,0.0
142,poter,0.0
143,poteranno,0.0
144,potere,0.0
145,poterete,0.0
146,potergli,0.0
147,poteria,0.0
148,poterla,0.0
149,privi,0.0
150,poterle,0.0
151,poterlo,0.0
152,poterne,0.0
153,potersi,0.0
154,potervi,0.0
155,potentia,0.0
156,poterà,0.0
157,poterò,0.0
158,potesse,0.0
159,privato,0.0
160,potessero,0.0
161,potessi,0.0
162,potessimo,0.0
163,potessin,0.0
164,potessino,0.0
165,poteste,0.0
166,potesti,0.0
167,potestà,0.0
168,potete,0.0
169,potette,0.0
170,potenza,0.0
171,potentati,0.0
172,possiate,0.0
173,posta,0.0
174,possibil,0.0
175,possibile,0.0
176,privilegii,0.0
177,possibili,0.0
178,possibilità,0.0
179,possiede,0.0
180,portogallo,0.0
181,possino,0.0
182,posso,0.0
183,posson,0.0
184,possono,0.0
185,possute,0.0
186,possuto,0.0
187,post,0.0
188,poste,0.0
189,potendovi,0.0
190,postea,0.0
191,posteri,0.0
192,posterità,0.0
193,posti,0.0
194,posticcio,0.0
195,posto,0.0
196,postovi,0.0
197,privilegi,0.0
198,postquam,0.0
199,privileggio,0.0
200,potea,0.0
201,potei,0.0
202,potendo,0.0
203,potendola,0.0
204,portogalo,0.0
205,porterò,0.0
206,porto,0.0
207,popoli,0.0
208,poppiano,0.0
209,poppi,0.0
210,poppe,0.0
211,poppa,0.0
212,poponi,0.0
213,popolo,0.0
214,popoletto,0.0
215,porge,0.0
216,proccurano,0.0
217,popolaccio,0.0
218,popiano,0.0
219,pontt,0.0
220,pontificia,0.0
221,pontificatus,0.0
222,populi,0.0
223,populo,0.0
224,por,0.0
225,porcellane,0.0
226,proccuramento,0.0
227,porcellina,0.0
228,porci,0.0
229,porcili,0.0
230,procaccio,0.0
231,porco,0.0
232,pordenone,0.0
233,porebbe,0.0
234,poresti,0.0
235,poretta,0.0
236,porfidi,0.0
237,porfido,0.0
238,porga,0.0
239,pontificato,0.0
240,pontificalissima,0.0
241,pontificali,0.0
242,ponendola,0.0
243,polle,0.0
244,polo,0.0
245,polonia,0.0
246,poltroneggiare,0.0
247,poltroneria,0.0
248,polvaccio,0.0
249,polvere,0.0
250,polverosa,0.0
251,pomi,0.0
252,pomo,0.0
253,pompa,0.0
254,pon,0.0
255,ponderazione,0.0
256,pone,0.0
257,ponessi,0.0
258,pontificale,0.0
259,proccurarne,0.0
260,ponga,0.0
261,ponghino,0.0
262,poni,0.0
263,proccurare,0.0
264,poniate,0.0
265,ponpa,0.0
266,pont,0.0
267,pontata,0.0
268,ponte,0.0
269,proccurar,0.0
270,pontefice,0.0
271,pontefici,0.0
272,ponti,0.0
273,porgano,0.0
274,porger,0.0
275,portiere,0.0
276,pro,0.0
277,portator,0.0
278,portatomi,0.0
279,portato,0.0
280,portati,0.0
281,portateci,0.0
282,portate,0.0
283,portata,0.0
284,porgermi,0.0
285,portassino,0.0
286,portassi,0.0
287,portasse,0.0
288,portasi,0.0
289,portarvi,0.0
290,portarono,0.0
291,portava,0.0
292,porte,0.0
293,porteranno,0.0
294,porterano,0.0
295,portercole,0.0
296,porterebbano,0.0
297,porterete,0.0
298,portero,0.0
299,porterolle,0.0
300,porterà,0.0
301,potettono,0.0
302,porti,0.0
303,portiano,0.0
304,portiate,0.0
305,porticciuola,0.0
306,porticelle,0.0
307,portico,0.0
308,probabo,0.0
309,portaron,0.0
310,portarne,0.0
311,pormi,0.0
312,porgerà,0.0
313,porgesse,0.0
314,procacciato,0.0
315,procacciate,0.0
316,porgessi,0.0
317,procacciarmi,0.0
318,porgessino,0.0
319,porgie,0.0
320,porgli,0.0
321,porgo,0.0
322,procacciare,0.0
323,porian,0.0
324,porla,0.0
325,porlo,0.0
326,porre,0.0
327,portarlo,0.0
328,porrei,0.0
329,porse,0.0
330,porsi,0.0
331,porta,0.0
332,portaci,0.0
333,portae,0.0
334,probitate,0.0
335,portai,0.0
336,portando,0.0
337,portano,0.0
338,probatica,0.0
339,portar,0.0
340,portare,0.0
341,portarebbe,0.0
342,potetti,0.0
343,potran,0.0
344,poteva,0.0
345,prescia,0.0
346,preparate,0.0
347,preparatevi,0.0
348,preparati,0.0
349,preparato,0.0
350,preparazione,0.0
351,preparerete,0.0
352,principato,0.0
353,prepari,0.0
354,preparo,0.0
355,preparono,0.0
356,principalmente,0.0
357,principali,0.0
358,presa,0.0
359,presaga,0.0
360,prese,0.0
361,prepararmi,0.0
362,presentai,0.0
363,presentando,0.0
364,presentaneo,0.0
365,presentar,0.0
366,presentare,0.0
367,presentargnene,0.0
368,presentarla,0.0
369,presentasse,0.0
370,presentassi,0.0
371,presentata,0.0
372,presentato,0.0
373,presente,0.0
374,presenterà,0.0
375,presentes,0.0
376,prepararsi,0.0
377,preparar,0.0
378,pregherà,0.0
379,principessa,0.0
380,preghi,0.0
381,preghiamo,0.0
382,preghiere,0.0
383,preghino,0.0
384,pregi,0.0
385,pregii,0.0
386,pregio,0.0
387,pregiudizio,0.0
388,pregnia,0.0
389,prego,0.0
390,pregolla,0.0
391,pregovi,0.0
392,preinteso,0.0
393,prelati,0.0
394,prelato,0.0
395,preparano,0.0
396,preme,0.0
397,premerli,0.0
398,premia,0.0
399,principe,0.0
400,premiare,0.0
401,premiato,0.0
402,premio,0.0
403,prencipe,0.0
404,prende,0.0
405,prendersi,0.0
406,prepara,0.0
407,preparamenti,0.0
408,preparamento,0.0
409,preparando,0.0
410,presenti,0.0
411,presentium,0.0
412,presento,0.0
413,preziosissime,0.0
414,prete,0.0
415,pretende,0.0
416,primo,0.0
417,pretermettere,0.0
418,preti,0.0
419,prevale,0.0
420,prevaluto,0.0
421,prevaricando,0.0
422,prevego,0.0
423,previde,0.0
424,previlegio,0.0
425,prevista,0.0
426,preziose,0.0
427,preziosissima,0.0
428,prezo,0.0
429,presentò,0.0
430,prezzi,0.0
431,prezzo,0.0
432,pricissione,0.0
433,prieghi,0.0
434,priego,0.0
435,prigione,0.0
436,prigioni,0.0
437,prigionia,0.0
438,prima,0.0
439,primamente,0.0
440,primaticcio,0.0
441,primavera,0.0
442,prime,0.0
443,primi,0.0
444,pretaia,0.0
445,presupposto,0.0
446,presupporre,0.0
447,presuppongo,0.0
448,presenzia,0.0
449,presenzialmente,0.0
450,presenziate,0.0
451,preservallo,0.0
452,preservarcelo,0.0
453,preservarvi,0.0
454,preservati,0.0
455,preservi,0.0
456,presi,0.0
457,presidente,0.0
458,preso,0.0
459,presono,0.0
460,pressa,0.0
461,presso,0.0
462,presta,0.0
463,prestare,0.0
464,prestarmi,0.0
465,prestato,0.0
466,prestava,0.0
467,principale,0.0
468,presterrà,0.0
469,presteza,0.0
470,prestezza,0.0
471,presti,0.0
472,presto,0.0
473,presummere,0.0
474,principal,0.0
475,presuntuoso,0.0
476,presunzione,0.0
477,pregherò,0.0
478,pregheremo,0.0
479,potevano,0.0
480,povere,0.0
481,potriamo,0.0
482,potrieno,0.0
483,privarmene,0.0
484,privare,0.0
485,potrò,0.0
486,potuta,0.0
487,potute,0.0
488,potuti,0.0
489,potuto,0.0
490,potè,0.0
491,pover,0.0
492,povera,0.0
493,poveraccio,0.0
494,poveramente,0.0
495,poverello,0.0
496,potria,0.0
497,poveri,0.0
498,poverine,0.0
499,poverino,0.0
500,povero,0.0
501,poveromo,0.0
502,povertà,0.0
503,poveruomo,0.0
504,pozzo,0.0
505,pp,0.0
506,praemia,0.0
507,praemissis,0.0
508,praesidens,0.0
509,pristina,0.0
510,praesidium,0.0
511,privata,0.0
512,polizze,0.0
513,pregavi,0.0
514,potre,0.0
515,privati,0.0
516,potevansi,0.0
517,potevi,0.0
518,potevo,0.0
519,potiate,0.0
520,potiri,0.0
521,potiuntur,0.0
522,potra,0.0
523,potrai,0.0
524,primieramente,0.0
525,potranno,0.0
526,potrano,0.0
527,private,0.0
528,potrassi,0.0
529,potrebano,0.0
530,potrete,0.0
531,potrebb,0.0
532,potrebbano,0.0
533,potrebbe,0.0
534,potrebber,0.0
535,potrebbesi,0.0
536,potrebbon,0.0
537,potrebbono,0.0
538,potrei,0.0
539,potremmo,0.0
540,potremo,0.0
541,potren,0.0
542,potreno,0.0
543,potreste,0.0
544,potresti,0.0
545,pranzato,0.0
546,pranzo,0.0
547,pratica,0.0
548,pregandola,0.0
549,prediche,0.0
550,predicto,0.0
551,predictorum,0.0
552,preesses,0.0
553,prefata,0.0
554,prefigurata,0.0
555,prefigurate,0.0
556,prefinito,0.0
557,prega,0.0
558,pregadi,0.0
559,pregai,0.0
560,pregallo,0.0
561,pregando,0.0
562,pregandogli,0.0
563,pregandoli,0.0
564,priori,0.0
565,pregandolo,0.0
566,pregandovi,0.0
567,pregano,0.0
568,pregar,0.0
569,pregare,0.0
570,principi,0.0
571,pregarla,0.0
572,pregarlo,0.0
573,pregarmi,0.0
574,pregarvi,0.0
575,pregassi,0.0
576,pregate,0.0
577,pregato,0.0
578,pregatolo,0.0
579,predicessi,0.0
580,predicazione,0.0
581,predicava,0.0
582,predicatori,0.0
583,praticare,0.0
584,pratiche,0.0
585,pratichi,0.0
586,pratichissimi,0.0
587,pratico,0.0
588,prato,0.0
589,pre,0.0
590,precazione,0.0
591,precetti,0.0
592,precie,0.0
593,precipiti,0.0
594,precissioni,0.0
595,precursore,0.0
596,preda,0.0
597,priore,0.0
598,predella,0.0
599,predellone,0.0
600,predetta,0.0
601,predica,0.0
602,predicando,0.0
603,predicar,0.0
604,predicare,0.0
605,predicarvi,0.0
606,prior,0.0
607,predicata,0.0
608,principio,0.0
609,principii,0.0
610,predicato,0.0
611,predicatore,0.0
612,potrette,0.0
613,poeticamente,0.0
614,polizza,0.0
615,periti,0.0
616,perni,0.0
617,permette,0.0
618,permetta,0.0
619,permesso,0.0
620,perle,0.0
621,perla,0.0
622,perite,0.0
623,peroché,0.0
624,perirenmo,0.0
625,perino,0.0
626,perillo,0.0
627,periglioso,0.0
628,periglio,0.0
629,perigli,0.0
630,pero,0.0
631,perpetua,0.0
632,pericolo,0.0
633,perseguitassero,0.0
634,persona,0.0
635,perso,0.0
636,persino,0.0
637,persi,0.0
638,perseveranza,0.0
639,persequtor,0.0
640,persecuzioni,0.0
641,perpetuamente,0.0
642,persa,0.0
643,perque,0.0
644,perpetuo,0.0
645,perpetuità,0.0
646,perpetue,0.0
647,perpetuare,0.0
648,pericolosi,0.0
649,pericoli,0.0
650,personalmente,0.0
651,perduto,0.0
652,perfecit,0.0
653,peretola,0.0
654,peregrino,0.0
655,peregrini,0.0
656,peregrinando,0.0
657,peregrinaggio,0.0
658,perdute,0.0
659,perfection,0.0
660,perduta,0.0
661,perdono,0.0
662,perdonino,0.0
663,perdoni,0.0
664,perdonerò,0.0
665,perdonato,0.0
666,perfectam,0.0
667,perfectione,0.0
668,pericol,0.0
669,perfezione,0.0
670,peri,0.0
671,pergamo,0.0
672,pergami,0.0
673,perfino,0.0
674,perficiebat,0.0
675,perfezzione,0.0
676,perfetto,0.0
677,perfectissimo,0.0
678,perfettissime,0.0
679,perfetti,0.0
680,perfette,0.0
681,perfettamente,0.0
682,perfetta,0.0
683,perfeczzione,0.0
684,personaggi,0.0
685,persone,0.0
686,poliziano,0.0
687,pesò,0.0
688,petrarca,0.0
689,petram,0.0
690,petizione,0.0
691,petito,0.0
692,petentibus,0.0
693,pet,0.0
694,peste,0.0
695,petrino,0.0
696,pestarsi,0.0
697,pesta,0.0
698,pessimo,0.0
699,peso,0.0
700,pesino,0.0
701,pesi,0.0
702,petri,0.0
703,petronio,0.0
704,pesero,0.0
705,pezzetto,0.0
706,piacci,0.0
707,pia,0.0
708,pf,0.0
709,pezzuolo,0.0
710,pezzo,0.0
711,pezzi,0.0
712,pezzetta,0.0
713,petrosemolo,0.0
714,pezze,0.0
715,pezi,0.0
716,peviale,0.0
717,petto,0.0
718,pettinati,0.0
719,petrucci,0.0
720,peserà,0.0
721,pescie,0.0
722,personis,0.0
723,persuasolo,0.0
724,pervenuto,0.0
725,pervenire,0.0
726,pervengano,0.0
727,perugino,0.0
728,perugia,0.0
729,pertanto,0.0
730,persuadiate,0.0
731,perviene,0.0
732,persuadevansi,0.0
733,persuadetevi,0.0
734,persuaderò,0.0
735,persuadello,0.0
736,persuada,0.0
737,perspecta,0.0
738,perverranno,0.0
739,però,0.0
