,term,score
0,presto,7.951787954782824
1,forse,7.8283137373023015
2,anco,7.748742833099447
3,testa,7.159143752658157
4,richiameriano,6.736572297479192
5,seccon,6.736572297479192
6,hollo,6.736572297479192
7,millesima,6.736572297479192
8,resolutissima,6.736572297479192
9,contenteranno,6.736572297479192
10,espediate,6.736572297479192
11,stentar,6.736572297479192
12,risponderlene,6.736572297479192
13,manco,6.605170185988092
14,negassi,6.331107189371028
15,fiamingo,6.331107189371028
16,mentirei,6.331107189371028
17,sin,6.331107189371028
18,riserbo,6.331107189371028
19,rendon,6.331107189371028
20,calcine,6.331107189371028
21,volo,6.331107189371028
22,venezia,6.224462729005654
23,degnità,6.043425116919247
24,gola,6.043425116919247
25,gittar,6.043425116919247
26,galante,6.043425116919247
27,certo,5.904765327121861
28,esilio,5.820281565605037
29,salviato,5.820281565605037
30,dandomi,5.820281565605037
31,vittore,5.637960008811082
32,tenendo,5.637960008811082
33,aspetterò,5.483809328983824
34,sansovino,5.483809328983824
35,faran,5.483809328983824
36,grandemente,5.483809328983824
37,duplicate,5.350277936359301
38,averli,5.350277936359301
39,umore,5.232494900702918
40,pregato,5.232494900702918
41,presenzia,5.232494900702918
42,privo,5.127134385045092
43,aspettar,5.127134385045092
44,lacca,5.127134385045092
45,osservandissimo,5.048889399201416
46,minore,5.031824205240767
47,omini,5.031824205240767
48,signoria,4.86473096417608
49,scusa,4.790662148423879
50,prometto,4.790662148423879
51,martello,4.790662148423879
52,raccomandazioni,4.721669276936927
53,bronzo,4.721669276936927
54,rovina,4.721669276936927
55,danese,4.657130755799356
56,24,4.657130755799356
57,1568,4.5965061339829205
58,avessino,4.5965061339829205
59,li,4.5528557670827166
60,vivere,4.485280498872697
61,onorato,4.485280498872697
62,altra,4.429567440860303
63,dallo,4.385197040315714
64,cavallo,4.385197040315714
65,loro,4.354892099985015
66,ricevuto,4.3386770246808215
67,felice,4.294225262109988
68,messer,4.2333787906287075
69,faranno,4.1338826120348084
70,verrò,4.097514967863933
71,luglio,4.097514967863933
72,trovo,4.097514967863933
73,della,4.090834163806169
74,come,4.076945250109942
75,pittura,4.062423648052663
76,patroni,3.9639835752394106
77,padroni,3.9639835752394106
78,sene,3.933211916572657
79,desiderio,3.903358953422976
80,spesso,3.903358953422976
81,raccomandatemi,3.7921333183127515
82,cartoni,3.692049859755769
83,giorno,3.5378991799285107
84,vede,3.517696472610991
85,desidero,3.4978938453148114
86,settimana,3.47847575945771
87,amatemi,3.4594275644870156
88,manca,3.4594275644870156
89,feliciti,3.404367787303988
90,ebbi,3.404367787303988
91,consorte,3.404367787303988
92,memoria,3.3188456138658258
93,solito,3.302585092994046
94,fatte,3.195612973441878
95,bartoli,3.139260036890746
96,cardinale,3.0859140561854534
97,questa,3.054172289275542
98,mondo,3.0476928433652555
99,me,3.000260669298486
100,faccia,2.987068221548821
101,un,2.9843665459134217
102,lo,2.9581538509028205
103,altezza,2.9299098077088725
104,nuovo,2.918859971522287
105,ne,2.8915663947038936
106,cosimo,2.8758425864385964
107,più,2.841812585193084
108,questo,2.783697116233999
109,fratello,2.7757591278816136
110,magnifico,2.769428328006251
111,arò,2.693521029644642
112,vostre,2.6339289324423962
113,fo,2.6175351226667196
114,firenze,2.5545221548379855
115,raccomando,2.5318796780882256
116,grande,2.524444699600708
117,farò,2.4058389571928607
118,mano,2.386294361119891
119,sala,2.386294361119891
120,credo,2.3798634707896005
121,col,2.3671244450121707
122,qualche,2.35454566280531
123,giovanni,2.35454566280531
124,qua,2.3237740041385564
125,ella,2.2764278835413583
126,nella,2.264933504115623
127,parte,2.236762627148927
128,costì,2.0452244152500483
129,però,2.027042096166858
130,quando,1.991640169115942
131,poi,1.9449225445484823
132,duca,1.8845420335595748
133,sia,1.7598385550586175
134,tanto,1.7563962108676447
135,far,1.7159866725297679
136,dio,1.6676680952589604
137,sarà,1.6676680952589604
138,una,1.6367058696549934
139,cosa,1.5949087409765321
140,ma,1.5408415197062564
141,vostro,1.5081410583953216
142,altro,1.4895482253187058
143,alli,1.468714138415864
144,sua,1.4307829160924543
