,term,score
0,perugia,27.579036803897523
1,gli,16.363336655224675
2,piero,13.837710257948062
3,abate,13.155591120947143
4,refettorio,12.086850233838494
5,don,12.029194785964304
6,anibal,11.640563131210074
7,pictture,11.275920017622164
8,ch,10.460906991689097
9,visto,9.765996624430501
10,trovato,9.765996624430501
11,salviati,9.078695440285944
12,volevo,8.970560997745395
13,cavallo,8.770394080631428
14,ser,8.723792702970291
15,risolvere,8.503331295382383
16,carezze,8.421687306341873
17,cristo,8.195029935727867
18,signoria,8.107884940293467
19,maestri,7.991464547107982
20,lettere,7.852605368000159
21,dove,7.730205010983742
22,nessuno,7.532315663818982
23,volta,7.358957206855687
24,san,7.297521612825066
25,ha,7.080021609981678
26,delle,7.03935422023447
27,tanto,7.025584843470579
28,animo,6.917266495907635
29,discorere,6.736572297479192
30,polle,6.736572297479192
31,ponga,6.736572297479192
32,afaticano,6.736572297479192
33,rividi,6.736572297479192
34,vinacci,6.736572297479192
35,acasciati,6.736572297479192
36,partinmo,6.736572297479192
37,fiadon,6.736572297479192
38,racorro,6.736572297479192
39,rigittare,6.736572297479192
40,sotterrato,6.736572297479192
41,scadessi,6.736572297479192
42,ascesi,6.736572297479192
43,leverò,6.736572297479192
44,teofilo,6.736572297479192
45,mercanzia,6.736572297479192
46,arostito,6.736572297479192
47,inpigriti,6.736572297479192
48,spoleti,6.736572297479192
49,apare,6.736572297479192
50,seguitassino,6.736572297479192
51,mele,6.736572297479192
52,invechia,6.736572297479192
53,abadia,6.736572297479192
54,quanto,6.683270816647426
55,caro,6.660699975593149
56,manco,6.605170185988092
57,bene,6.534646909095061
58,questi,6.45481445642586
59,opera,6.3643553419137975
60,chi,6.349540496992049
61,aconcimi,6.331107189371028
62,arivammo,6.331107189371028
63,bisognieranno,6.331107189371028
64,passai,6.331107189371028
65,orni,6.331107189371028
66,teatro,6.331107189371028
67,aren,6.331107189371028
68,fossa,6.331107189371028
69,valentuomini,6.331107189371028
70,montaguti,6.331107189371028
71,sui,6.331107189371028
72,dettoli,6.331107189371028
73,reverendo,6.171828112370907
74,costì,6.135673245750144
75,prospero,6.043425116919247
76,consuma,6.043425116919247
77,fulignio,6.043425116919247
78,monasterio,6.043425116919247
79,occore,6.043425116919247
80,spogliata,6.043425116919247
81,portarne,6.043425116919247
82,post,6.043425116919247
83,niente,5.950744363571259
84,certo,5.904765327121861
85,eron,5.820281565605037
86,artifici,5.820281565605037
87,condotte,5.820281565605037
88,intenderà,5.820281565605037
89,riescie,5.820281565605037
90,funmo,5.820281565605037
91,pescie,5.820281565605037
92,saren,5.820281565605037
93,ne,5.783132789407787
94,ora,5.76099342423348
95,all,5.7100169990715095
96,dia,5.669199255809095
97,tenuti,5.637960008811082
98,fontana,5.637960008811082
99,silvano,5.637960008811082
100,tratti,5.637960008811082
101,piovere,5.637960008811082
102,migliorato,5.637960008811082
103,facci,5.53256076785414
104,duomo,5.483809328983824
105,spedirmi,5.483809328983824
106,loreto,5.483809328983824
107,bisogniava,5.483809328983824
108,vincentio,5.483809328983824
109,voluta,5.483809328983824
110,bisogniassi,5.483809328983824
111,amorevolezze,5.483809328983824
112,mangiare,5.483809328983824
113,passione,5.483809328983824
114,riesce,5.483809328983824
115,tenpo,5.4767431916199865
116,auto,5.4046633186535935
117,vita,5.387042059289284
118,arò,5.387042059289284
119,arezzo,5.369574699351775
120,indreto,5.350277936359301
121,nicolò,5.350277936359301
122,risoluti,5.350277936359301
123,dicano,5.350277936359301
124,tiziano,5.350277936359301
125,romani,5.350277936359301
126,el,5.3350910864827625
127,volterra,5.232494900702918
128,apostoli,5.232494900702918
129,canbio,5.232494900702918
130,vive,5.127134385045092
131,ordinare,5.127134385045092
132,miracoli,5.127134385045092
133,neanche,5.127134385045092
134,darmi,5.127134385045092
135,desiderate,5.127134385045092
136,daniello,5.127134385045092
137,picttore,5.031824205240767
138,glene,5.031824205240767
139,passerà,5.031824205240767
