,term,score
0,eccellenza,14.919814780437703
1,ser,11.631723603960388
2,conti,8.770394080631428
3,trova,8.503331295382383
4,opera,8.48580712255173
5,illustrissima,8.407373236998225
6,oltra,8.267765224069617
7,ancora,8.036737915067405
8,possa,7.8770952999176425
9,utile,7.035392945221982
10,giudizio,6.6376912277316515
11,innanzi,6.362448471979556
12,cancellier,6.331107189371028
13,jan,6.331107189371028
14,riforma,6.331107189371028
15,monizione,6.331107189371028
16,gherardi,6.331107189371028
17,sufizientissimo,6.331107189371028
18,ervitore,6.331107189371028
19,serventissimo,6.331107189371028
20,cascina,6.331107189371028
21,restava,6.331107189371028
22,ni,6.331107189371028
23,licenzioso,6.331107189371028
24,raconcialla,6.331107189371028
25,perfetti,6.331107189371028
26,questa,6.108344578551084
27,mercatanzia,6.043425116919247
28,suplicò,6.043425116919247
29,sudetta,6.043425116919247
30,sufiziente,6.043425116919247
31,selve,6.043425116919247
32,lo,5.916307701805641
33,bargello,5.820281565605037
34,fanciulle,5.820281565605037
35,dimando,5.820281565605037
36,allievo,5.820281565605037
37,ha,5.6640172879853425
38,costui,5.637960008811082
39,casentino,5.637960008811082
40,cancelliere,5.637960008811082
41,tomaso,5.637960008811082
42,illustrissimo,5.609493329509732
43,signor,5.501120527079067
44,procuratore,5.483809328983824
45,utilità,5.483809328983824
46,nascier,5.483809328983824
47,necessarie,5.483809328983824
48,perfetta,5.483809328983824
49,avessi,5.4403785534536055
50,legniami,5.350277936359301
51,libertà,5.350277936359301
52,diligente,5.350277936359301
53,unn,5.350277936359301
54,farà,5.171064783161092
55,ministri,5.127134385045092
56,raccomando,5.063759356176451
57,dominio,5.031824205240767
58,figlioli,5.031824205240767
59,61,4.944812828251137
60,atendere,4.944812828251137
61,potria,4.944812828251137
62,seguitar,4.8647701205776
63,metto,4.8647701205776
64,dell,4.851546344187356
65,allui,4.790662148423879
66,alle,4.746947345381658
67,dote,4.657130755799356
68,rallegrato,4.5965061339829205
69,povero,4.485280498872697
70,grazia,4.451425581924683
71,famiglia,4.433987204485146
72,tutto,4.406142415247592
73,metta,4.385197040315714
74,muraglia,4.294225262109988
75,carico,4.294225262109988
76,fiore,4.294225262109988
77,universale,4.294225262109988
78,questo,4.175545674350999
79,parso,4.171622940017656
80,facilmente,4.171622940017656
81,proveditore,4.1338826120348084
82,lelio,4.097514967863933
83,conosco,4.097514967863933
84,salute,3.995732273553991
85,20,3.995732273553991
86,pensando,3.995732273553991
87,fargli,3.995732273553991
88,carlo,3.9639835752394106
89,sento,3.7921333183127515
90,quale,3.7847704220412015
91,voler,3.716147411334829
92,eccelentissimo,3.692049859755769
93,maria,3.6685193623455747
94,quella,3.6186372246439746
95,benefizio,3.601078081550042
96,stia,3.5795718763290787
97,corte,3.5585184671312464
98,fede,3.5378991799285107
99,aiuto,3.517696472610991
100,unico,3.4978938453148114
101,bontà,3.4978938453148114
