,term,score
0,bronzino,87.46722783972655
1,duca,83.05298318628654
2,accademici,73.74836717681531
3,accademico,71.15406530704774
4,nozze,53.84717512945614
5,signor,46.32167743132471
6,puntormo,46.28064415799476
7,vasari,45.351742828789995
8,marmo,39.12807344260886
9,statua,39.12137441337763
10,don,37.36724239737871
11,prencipe,36.930409919516215
12,quadri,36.737882100705804
13,cosimo,36.60779311790677
14,accademia,36.44992065135073
15,giovane,35.37842303322873
16,ritratti,34.70379990934221
17,vincenzio,33.102937094070526
18,mostro,30.21578993414963
19,qui,29.715917415668432
20,statue,29.215864259239325
21,oriolo,27.18375767181564
22,principe,27.129707756727697
23,va,26.791399396040845
24,eccellenzia,26.12402409487292
25,scultore,25.752149832845554
26,tavole,24.824658435268745
27,bronzo,24.426649832411677
28,ornamenti,24.078814426220838
29,quadro,23.621464418058597
30,stanze,23.550061351946788
31,basso,22.66654891768713
32,cappella,22.582397498047662
33,olio,22.560844283258252
34,giardino,22.197033619140846
35,ottimamente,21.939165089583575
36,batista,20.711315865905807
37,vivo,20.663137106717702
38,diligenzia,20.377160230384106
39,giovani,20.19024850749762
40,condotto,20.13971165771502
41,lorenzi,20.125145705019854
42,armari,20.125145705019854
43,michelagnolo,19.790819121004166
44,signora,19.528154086473094
45,dette,19.42847050087468
46,diaspri,18.97441741521273
47,posta,18.821639178391234
48,putti,18.814034728737145
49,grandi,18.701160825021088
50,ducale,18.660017210623515
51,benvenuto,18.660017210623515
52,farà,18.512257663197904
53,pisa,18.471251439156184
54,duchessa,18.233137569388546
55,saranno,18.224960325675365
56,bellissimi,18.178180904893537
57,alessandro,18.17122365674786
58,valent,17.824746787307685
59,questi,17.780422141629128
60,eccellenza,17.731898882334818
61,fa,17.669783175946314
62,fiorentino,17.484838565534005
63,illustrissimo,17.466137340329233
64,creati,17.454206926539072
65,ora,17.452643259183766
66,signore,17.354495602506347
67,cioè,17.262609992327157
68,lorenzo,17.15302018956789
69,condusse,16.936798123535745
70,medici,16.446866993627815
71,bernardo,16.419963567033683
72,nano,16.201828692972953
73,esequie,16.201828692972953
74,essequie,16.197634785134547
75,favellato,16.197634785134547
76,discepolo,16.190392084062236
77,altezza,16.175469062627563
78,agnolo,15.768125052507212
79,mostrato,15.670832206845411
80,bellissime,15.449312362525017
81,illustri,15.426881385998252
82,buonarruoto,15.30925448771611
83,belle,15.234632452158056
84,bellissimo,15.234632452158056
85,immagini,15.09385927876489
86,braccia,15.07996276802609
87,trenta,14.972022494969618
88,argento,14.953875331180127
89,cartoni,14.953875331180127
90,quattro,14.951697266934376
91,giovanna,14.928013768498811
92,giovio,14.928013768498811
93,fatica,14.873057104003804
94,pari,14.73182916931547
95,tolledo,14.579968260540292
96,sala,14.499284811094103
97,reina,14.359010884507956
98,alto,14.288746344555117
99,nostri,14.288746344555117
100,gioie,14.259797429846147
101,spera,14.259797429846147
102,pitti,14.259797429846147
103,14,14.230813061409549
104,scultori,14.212191595377067
105,getto,14.17030924459372
106,bastanza,14.17030924459372
107,animali,13.939417350916523
108,condotte,13.79710942094381
109,fresco,13.763085238167088
110,facciata,13.763085238167088
111,diverse,13.688464857011805
112,vedrà,13.687394055283454
113,celesti,13.687394055283454
114,figliuolo,13.677247801253174
115,ingegno,13.592140904574087
116,abbia,13.552186224091097
117,tuttavia,13.552186224091097
118,professione,13.47644266872475
119,metallo,13.42923997073317
120,rilievo,13.369570342035306
121,cui,13.2705454722807
122,scultura,13.2705454722807
123,riuscita,13.18674148346743
124,meritato,13.18674148346743
125,medaglie,13.166955767282966
126,padre,13.113628924150506
127,negl,13.071929978049878
128,ventisei,13.014417737085054
129,studio,12.946957494245368
130,tribolo,12.741838943026533
131,uomo,12.70259859265181
132,madonna,12.692831461224557
133,dico,12.68687420970734
134,simile,12.608174586580262
135,saggio,12.594904011394245
136,apparato,12.594904011394245
137,sperare,12.536665765476329
138,perfezzione,12.524404187641899
139,bandinelli,12.341505108798602
140,dirò,12.331685343967136
141,iacopo,12.278230918307868
142,ignudi,12.205096304045684
143,martini,12.151371519729715
144,fonte,12.081633241093828
145,facce,12.081633241093828
146,principale,12.062256273611743
147,onore,11.961357813547501
148,oro,11.89357341255832
149,meno,11.884062526253606
150,portò,11.826093789380408
151,detti,11.810732209029299
152,avenire,11.798022412760561
153,valerio,11.798022412760561
154,maggiori,11.733068670164617
155,baccio,11.728545405024061
156,ignudo,11.506286592169893
157,fino,11.506286592169893
158,servizio,11.487208707606365
159,prìncipi,11.481940865787083
160,architetto,11.398755566065075
161,basti,11.336247395674977
162,naturali,11.293488520075915
163,certo,11.256770965118232
164,ritrasse,11.256770965118232
165,insino,11.256770965118232
166,alcun,11.203313027290548
167,ultimamente,11.190776818991477
168,acquistato,11.190392084062232
169,buon,11.149602132228624
170,faccia,11.119395575442109
171,piccole,11.106227528571488
172,esser,11.079732692478586
173,nostro,11.079732692478586
174,venere,11.050411539746397
175,panni,11.036635642648093
176,dipinse,11.01046819053367
177,continuamente,10.99036541099374
178,incredibile,10.99036541099374
179,state,10.958853664186663
180,mischi,10.93497619540522
181,sin,10.93497619540522
182,guardaroba,10.914805333043674
183,dipinte,10.893274981708231
