,term,score
0,agnolo,43.36234389439483
1,taddeo,22.29821815029643
2,cennino,20.125145705019854
3,musaico,14.17030924459372
4,gaddo,13.014417737085054
5,verdi,13.014417737085054
6,gaddi,11.336247395674977
7,greco,11.196010326374108
8,fresco,11.01046819053367
9,tetto,10.783646041751709
10,traffichi,9.487208707606365
11,cennini,9.487208707606365
12,drea,9.487208707606365
13,colle,9.402499324107247
14,ragionevole,9.292944900611015
15,cave,9.040921604977946
16,trattò,8.676278491390036
17,valdelsa,8.36797713173552
18,colori,8.262809502224336
19,capella,8.150445222964041
20,latino,8.100914346486476
21,chiese,7.723651960300979
22,altramente,7.654627243858055
23,discepoli,7.641564038987867
24,el,7.464006884249406
25,giotto,7.176687289919116
26,figliuoli,7.041803449824208
27,giovanezza,7.037127243014436
28,imparò,6.969708675458262
29,dipinse,6.881542619083544
30,marmi,6.839253339639045
31,vetro,6.593370741733715
32,passar,6.593370741733715
33,disputa,6.479053914053818
34,alberti,6.479053914053818
35,certo,6.432440551496132
36,dipignere,6.432440551496132
37,tempera,6.313641072563772
38,colla,6.268332882738164
39,proprie,6.268332882738164
40,dottori,5.988808997987848
41,lavorava,5.866534335082308
42,mediante,5.7311730292409
43,croce,5.610043584842932
44,grandissime,5.5953884094957385
45,verona,5.525205769873199
46,intesa,5.525205769873199
47,immaginatosi,5.436751534363128
48,giallicci,5.436751534363128
49,minia,5.436751534363128
50,sperandone,5.436751534363128
51,barbetta,5.436751534363128
52,dovemo,5.436751534363128
53,comettendole,5.436751534363128
54,guardarci,5.436751534363128
55,buonissime,5.436751534363128
56,secreti,5.436751534363128
57,fondute,5.436751534363128
58,ritrovamento,5.436751534363128
59,cinquantamila,5.436751534363128
60,attraversandosi,5.436751534363128
61,mccclxxxvii,5.436751534363128
62,penetrava,5.436751534363128
63,fracido,5.436751534363128
64,achilleo,5.436751534363128
65,incanna,5.436751534363128
66,riducendo,5.436751534363128
67,reputata,5.436751534363128
68,riedificata,5.436751534363128
69,resuscitò,5.436751534363128
70,rosato,5.436751534363128
71,ascenderebbono,5.436751534363128
72,mescolargli,5.436751534363128
73,sopraporre,5.436751534363128
74,intaccando,5.436751534363128
75,traducono,5.436751534363128
76,dannosi,5.436751534363128
77,azurri,5.436751534363128
78,cinabrese,5.436751534363128
79,faccultà,5.436751534363128
80,corruzzione,5.436751534363128
81,sessantatreesimo,5.436751534363128
82,uso,5.397496123910227
83,conosciuta,5.391823020875854
84,nobile,5.328325624246694
85,carne,5.328325624246694
86,forse,5.281352587368156
87,famiglia,5.281352587368156
88,esaltazione,5.0312864262549635
89,nereo,5.0312864262549635
90,impedisse,5.0312864262549635
91,istorietta,5.0312864262549635
92,goffissima,5.0312864262549635
93,stracurataggine,5.0312864262549635
94,indiritto,5.0312864262549635
95,tentazione,5.0312864262549635
96,lazero,5.0312864262549635
97,ecclesiastiche,5.0312864262549635
98,cuoprono,5.0312864262549635
99,maligna,5.0312864262549635
100,rimutò,5.0312864262549635
101,minerali,5.0312864262549635
102,stimarono,5.0312864262549635
103,tesse,5.0312864262549635
104,lividi,5.0312864262549635
105,mordenti,5.0312864262549635
106,macchiate,5.0312864262549635
107,immitate,5.0312864262549635
108,ricoprirlo,5.0312864262549635
109,ingessare,5.0312864262549635
110,gialli,5.0312864262549635
111,informato,5.0312864262549635
112,trapassare,5.0312864262549635
113,merli,5.0312864262549635
114,quatriduano,5.0312864262549635
115,corpo,4.957685701334601
116,tempio,4.85711762521867
117,utile,4.7918976653094525
118,lasciò,4.759811797959209
119,diserto,4.743604353803183
120,cuce,4.743604353803183
121,1346,4.743604353803183
122,eraclio,4.743604353803183
123,corrotto,4.743604353803183
124,alevato,4.743604353803183
125,mastrice,4.743604353803183
126,tempere,4.743604353803183
127,barone,4.743604353803183
128,allargare,4.743604353803183
129,gomma,4.743604353803183
130,pancrazio,4.743604353803183
131,racconcio,4.743604353803183
132,procacciato,4.743604353803183
133,notissime,4.743604353803183
134,mostrano,4.691418162009624
135,1348,4.520460802488973
136,rifatta,4.520460802488973
137,purificazione,4.520460802488973
138,essercizii,4.520460802488973
139,conceputa,4.520460802488973
140,cristianità,4.520460802488973
141,puzzo,4.520460802488973
142,ieri,4.520460802488973
143,sommi,4.520460802488973
144,macinare,4.520460802488973
145,1312,4.520460802488973
146,riposta,4.520460802488973
147,conventi,4.520460802488973
148,espettazione,4.520460802488973
149,rosse,4.520460802488973
150,consideratamente,4.520460802488973
151,potettono,4.520460802488973
152,successori,4.520460802488973
153,ritrovate,4.520460802488973
154,maniere,4.5173954080303655
155,tra,4.476156833624893
156,meno,4.456523447345102
157,padre,4.371209641383501
158,riuscì,4.357309992683293
159,negl,4.357309992683293
160,ressurrezione,4.338139245695018
161,musaici,4.338139245695018
162,guastasse,4.338139245695018
163,fui,4.338139245695018
164,tafi,4.338139245695018
165,compiuta,4.338139245695018
166,smalti,4.338139245695018
167,mercatura,4.338139245695018
168,romeo,4.338139245695018
169,reparata,4.338139245695018
