,term,score
0,alesso,49.75507708507736
1,graffione,21.747006137452512
2,cassone,10.873503068726256
3,gianfigliazzi,9.487208707606365
4,bongianni,9.487208707606365
5,danari,9.33609418940879
6,ricchezze,8.983213496981772
7,lorenzo,8.576510094783945
8,musaico,8.502185546756234
9,astrologo,8.36797713173552
10,oriuolo,8.36797713173552
11,paglia,7.865348275173708
12,baldovinetti,7.464006884249406
13,padre,7.285349402305837
14,fresco,6.881542619083544
15,pazienza,6.843697027641727
16,spedale,6.839253339639045
17,onorevolmente,6.714619985366585
18,gherardo,6.479053914053818
19,ritrasse,6.432440551496132
20,medici,5.9806789067737505
21,inclinazione,5.903689769150256
22,pensò,5.822045780109745
23,secco,5.822045780109745
24,muro,5.820731918689944
25,storia,5.681474054442957
26,natura,5.681474054442957
27,cappella,5.6455993745119155
28,muffate,5.436751534363128
29,diffendere,5.436751534363128
30,donazione,5.436751534363128
31,perdonanze,5.436751534363128
32,annoverar,5.436751534363128
33,rassettata,5.436751534363128
34,datisi,5.436751534363128
35,alloggiandolo,5.436751534363128
36,logore,5.436751534363128
37,scioccamente,5.436751534363128
38,biscia,5.436751534363128
39,temperando,5.436751534363128
40,diotisalvi,5.436751534363128
41,pulisse,5.436751534363128
42,nodi,5.436751534363128
43,ritraendoli,5.436751534363128
44,radice,5.436751534363128
45,rinettasse,5.436751534363128
46,disse,5.319569664700445
47,niuna,5.149101306867319
48,contra,5.037961604557698
49,racconcia,5.0312864262549635
50,sarebbero,5.0312864262549635
51,mangiò,5.0312864262549635
52,vivuti,5.0312864262549635
53,1448,5.0312864262549635
54,appetito,5.0312864262549635
55,arena,5.0312864262549635
56,temono,5.0312864262549635
57,replicò,5.0312864262549635
58,eh,5.0312864262549635
59,toscanelli,5.0312864262549635
60,avicinarsi,5.0312864262549635
61,lenzuola,5.0312864262549635
62,scrostata,5.0312864262549635
63,mulo,5.0312864262549635
64,canto,4.957685701334601
65,nobili,4.882038521618274
66,volontà,4.832653296437531
67,potuti,4.743604353803183
68,caminano,4.743604353803183
69,sabba,4.743604353803183
70,ghiaccio,4.743604353803183
71,abozzò,4.743604353803183
72,dormì,4.743604353803183
73,apparecchiata,4.743604353803183
74,azzurra,4.743604353803183
75,cecca,4.743604353803183
76,maestri,4.665563209259072
77,commise,4.520460802488973
78,collana,4.520460802488973
79,libretto,4.520460802488973
80,spogliano,4.520460802488973
81,spigoli,4.520460802488973
82,gilio,4.520460802488973
83,attender,4.520460802488973
84,faremo,4.520460802488973
85,liquida,4.520460802488973
86,crudetta,4.520460802488973
87,naturalissima,4.520460802488973
88,acquista,4.520460802488973
89,egidio,4.520460802488973
90,pazientissimo,4.520460802488973
91,pietre,4.5173954080303655
92,rosso,4.3961461643974955
93,terrene,4.338139245695018
94,tafi,4.338139245695018
95,musaici,4.338139245695018
96,diligentissimo,4.338139245695018
97,ritocca,4.338139245695018
98,oriuoli,4.338139245695018
99,fantastica,4.338139245695018
100,ricuopre,4.338139245695018
101,stimando,4.338139245695018
102,neroni,4.338139245695018
103,ellera,4.338139245695018
104,arditamente,4.338139245695018
105,vesta,4.338139245695018
