,term,score
0,alfonso,73.7961221143782
1,tiziano,27.768386494796854
2,dosso,27.768386494796854
3,marmo,27.088666229498443
4,napoli,23.348220826596624
5,cardinale,21.19115757970651
6,imperatore,19.960881385454343
7,ferrara,18.021854574035615
8,michelagnolo,17.991653746367426
9,duca,17.484838565534005
10,bologna,16.022114639023854
11,stucco,15.98497687274008
12,maestà,15.113884813673096
13,girolamo,14.39332299709394
14,medici,13.456527540240938
15,cera,12.731898882334818
16,genga,12.151371519729715
17,signore,12.148146921754444
18,quinto,11.61618112576377
19,ariosto,11.481940865787083
20,ippolito,11.196010326374108
21,bernazzano,10.873503068726256
22,nola,10.873503068726256
23,carlo,10.612827648453012
24,battista,10.612827648453012
25,rilievo,10.398554710471906
26,desiderare,10.26554554146259
27,lavorare,9.574073460877221
28,petronio,9.556379207269899
29,cibò,9.487208707606365
30,ritrarre,9.474794396918044
31,sepoltura,9.456130939935196
32,carrara,9.256128831598952
33,scultore,9.197196368873412
34,fecero,9.129168108594518
35,dimestico,8.676278491390036
36,dato,8.415065377264398
37,gentildonna,8.36797713173552
38,paesi,8.347389788354093
39,clemente,8.209445084069415
40,sé,8.155284542744454
41,mistura,8.100914346486476
42,concorrenza,7.947055954126163
43,madonna,7.933019663265348
44,1536,7.865348275173708
45,state,7.827752617276187
46,me,7.760975891586591
47,andar,7.556942406836548
48,ancor,7.475848633467188
49,imperiale,7.464006884249406
50,cinquecento,7.289984130270146
51,medaglia,7.1298987149230735
52,condusse,7.056999218139895
53,compagnia,7.012554481053666
54,voler,6.969708675458262
55,doveva,6.969708675458262
56,ad,6.9248329327991165
57,adriano,6.843697027641727
58,spagnuolo,6.843697027641727
59,lor,6.839253339639045
60,consumò,6.714619985366585
61,visse,6.655962385073959
62,leone,6.594219246596243
63,capella,6.520356178371234
64,donare,6.479053914053818
65,stanze,6.422744005076397
66,modello,6.313641072563772
67,baldassarre,6.268332882738164
68,paresse,6.268332882738164
69,massimamente,6.2622020938209495
70,pittori,6.220750945678763
71,condottosi,6.170752554399301
72,gloria,6.157083813052061
73,peggio,6.077712523129515
74,alessandro,6.057074552249286
75,ornamenti,6.019703606555209
76,acquistò,6.008292989633945
77,vivo,5.903753459062201
78,cesare,5.903689769150256
79,fama,5.828279521844669
80,openione,5.822045780109745
81,infiniti,5.820731918689944
82,testa,5.791069951195415
83,facesse,5.754203330775719
84,studio,5.754203330775719
85,scritti,5.743604353803183
86,marchese,5.743604353803183
87,scultura,5.687376630977443
88,uomo,5.6455993745119155
89,doni,5.525205769873199
90,storiette,5.525205769873199
91,trovandosi,5.457402666521837
92,sala,5.437231804160289
93,ingegno,5.436856361829635
94,frascherie,5.436751534363128
95,smania,5.436751534363128
96,giovinile,5.436751534363128
97,agguagliarsi,5.436751534363128
98,fragole,5.436751534363128
99,abagliandosi,5.436751534363128
100,incurabile,5.436751534363128
101,pidocchio,5.436751534363128
102,subbiata,5.436751534363128
103,invidiando,5.436751534363128
104,vitellio,5.436751534363128
105,falla,5.436751534363128
106,introducesse,5.436751534363128
107,portamela,5.436751534363128
108,medagliette,5.436751534363128
109,aggirandosi,5.436751534363128
110,mature,5.436751534363128
111,mirozzo,5.436751534363128
112,beccarle,5.436751534363128
113,rogna,5.436751534363128
114,fragoleto,5.436751534363128
115,alterezza,5.436751534363128
116,disconvengono,5.436751534363128
117,sospiro,5.436751534363128
118,bucarono,5.436751534363128
119,celebratissimi,5.436751534363128
120,accortissima,5.436751534363128
121,tremante,5.436751534363128
122,promessero,5.436751534363128
123,ottenute,5.436751534363128
124,buosi,5.436751534363128
125,cadór,5.436751534363128
126,attentissimo,5.436751534363128
127,scornato,5.436751534363128
128,manica,5.436751534363128
129,collocati,5.436751534363128
130,bastarebbeti,5.436751534363128
131,villafranca,5.436751534363128
132,chiuder,5.436751534363128
133,itri,5.436751534363128
134,risplendono,5.436751534363128
135,mantenendosi,5.436751534363128
136,hincfort,5.436751534363128
137,acecandosi,5.436751534363128
138,acerbe,5.436751534363128
139,scoprirgli,5.436751534363128
140,scatoleta,5.436751534363128
141,straforamenti,5.436751534363128
142,lodi,5.391823020875854
143,sepolture,5.391823020875854
144,ercole,5.391823020875854
145,medesimi,5.358279879208169
146,lavorasse,5.328325624246694
147,rimase,5.281352587368156
148,cotali,5.2667823069131865
149,salviati,5.2667823069131865
150,cavaliere,5.2667823069131865
151,sotterrato,5.2667823069131865
152,deliberò,5.2667823069131865
153,penna,5.207076380613824
154,settimo,5.207076380613824
155,troppo,5.206348680751905
156,amore,5.169538402976461
157,tondo,5.169538402976461
158,rispose,5.092759552933927
159,maraviglioso,5.092759552933927
160,poteva,5.061742375298271
161,oliveto,5.037961604557698
162,meritino,5.0312864262549635
163,tolsero,5.0312864262549635
164,essercitando,5.0312864262549635
165,ributtato,5.0312864262549635
166,giudeo,5.0312864262549635
167,pestifera,5.0312864262549635
168,procolo,5.0312864262549635
169,falsa,5.0312864262549635
170,incontrarlo,5.0312864262549635
171,compromesso,5.0312864262549635
172,ridipignere,5.0312864262549635
173,dimostravano,5.0312864262549635
174,baracane,5.0312864262549635
175,empiesse,5.0312864262549635
176,ragionano,5.0312864262549635
177,lavorassero,5.0312864262549635
178,buttar,5.0312864262549635
179,affettazione,5.0312864262549635
180,gradinata,5.0312864262549635
181,lascivie,5.0312864262549635
182,spiccare,5.0312864262549635
183,badava,5.0312864262549635
184,speravano,5.0312864262549635
185,imitati,5.0312864262549635
186,fiorite,5.0312864262549635
187,scherniti,5.0312864262549635
188,accorta,5.0312864262549635
189,confirmata,5.0312864262549635
190,portandola,5.0312864262549635
191,lascivo,5.0312864262549635
192,sforzarono,5.0312864262549635
193,napoletani,5.0312864262549635
194,biasimarono,5.0312864262549635
195,vinsero,5.0312864262549635
196,poste,4.984625110393376
197,infinità,4.932674137586854
198,cambio,4.832653296437531
199,nicchie,4.832653296437531
200,miglior,4.824330413622099
201,tenuta,4.824330413622099
202,certa,4.78445819327941
203,piccole,4.759811797959209
204,49,4.743604353803183
205,dossi,4.743604353803183
