,term,score
0,ambruogio,24.954645502230758
1,lorenzetti,10.873503068726256
2,procolo,10.062572852509927
3,siena,7.822045780109745
4,doverebbe,7.654627243858055
5,valesse,7.1298987149230735
6,costumi,7.106095797688534
7,tempera,6.313641072563772
8,destrezza,6.268332882738164
9,grato,5.822045780109745
10,fresco,5.505234095266835
11,contenente,5.436751534363128
12,veggionoigurati,5.436751534363128
13,solecitudine,5.436751534363128
14,sopragiunta,5.436751534363128
15,asinalunga,5.436751534363128
16,sentenziati,5.436751534363128
17,arrecando,5.436751534363128
18,verder,5.436751534363128
19,rabbuffamento,5.436751534363128
20,riempiono,5.436751534363128
21,moderato,5.0312864262549635
22,forche,5.0312864262549635
23,istorietta,5.0312864262549635
24,1335,5.0312864262549635
25,milletrecentoquaranta,5.0312864262549635
26,soldano,5.0312864262549635
27,amabile,5.0312864262549635
28,venutasi,4.743604353803183
29,situare,4.743604353803183
30,inusitata,4.743604353803183
31,procedono,4.743604353803183
32,renderono,4.743604353803183
33,sopportò,4.743604353803183
34,spaventevole,4.743604353803183
35,83,4.743604353803183
36,frati,4.696651570365712
37,infinita,4.55950222642603
38,spedaletto,4.520460802488973
39,comendazione,4.520460802488973
40,consideratamente,4.520460802488973
41,decapitati,4.520460802488973
42,cristianamente,4.520460802488973
43,maneggi,4.520460802488973
44,leggiadramente,4.520460802488973
45,rendersi,4.520460802488973
46,recava,4.520460802488973
47,obbligo,4.520460802488973
48,predella,4.476156833624893
49,meno,4.456523447345102
50,operar,4.338139245695018
51,piuttosto,4.338139245695018
52,impiccati,4.338139245695018
53,desiderosi,4.338139245695018
54,ciascheduno,4.338139245695018
55,battuti,4.338139245695018
56,maneggiar,4.338139245695018
57,massa,4.338139245695018
58,allo,4.319213602741904
59,pratico,4.245131059381205
60,compagnia,4.207532688632199
61,letterati,4.18398856586776
62,contentarsi,4.18398856586776
63,comporre,4.18398856586776
64,creanze,4.18398856586776
65,testimonianza,4.18398856586776
66,cosmografia,4.18398856586776
67,monna,4.18398856586776
68,agnesa,4.050457173243238
69,tiranno,4.050457173243238
70,significato,4.050457173243238
71,chiusuri,4.050457173243238
72,vaghi,4.050457173243238
73,elevati,4.050457173243238
74,ubertini,4.050457173243238
75,disposto,4.050457173243238
76,capuccio,4.050457173243238
77,finite,3.9735279770630814
78,praticò,3.932674137586854
79,accrebbe,3.932674137586854
80,comendato,3.8273136219290276
81,accidenti,3.8273136219290276
82,nicolò,3.8273136219290276
83,sommità,3.8273136219290276
84,scrittura,3.732003442124703
85,tempesta,3.732003442124703
86,fabricata,3.732003442124703
87,causa,3.732003442124703
88,capitando,3.732003442124703
89,contrafece,3.732003442124703
90,quieto,3.644992065135073
91,coloritore,3.644992065135073
92,buone,3.598330749273485
93,gentili,3.5649493574615367
94,pioggia,3.5649493574615367
95,siano,3.5463797764669636
96,modestia,3.4908413853078146
97,consumate,3.4908413853078146
98,vergini,3.4908413853078146
99,filosofo,3.4908413853078146
100,molt,3.4908413853078146
101,republica,3.4218485138208634
102,figurato,3.4218485138208634
103,quest,3.374494916865514
104,ladroni,3.3573099926832923
105,composizione,3.3573099926832923
106,intelletto,3.3573099926832923
107,verde,3.2966853708668573
108,travagli,3.2966853708668573
109,riputazione,3.239526957026909
110,disputa,3.239526957026909
111,breve,3.239526957026909
112,felicemente,3.239526957026909
113,sodisfare,3.239526957026909
114,tempio,3.238078416812447
115,utile,3.1945984435396353
116,ove,3.185459735756633
117,prudenza,3.185459735756633
118,pulitamente,3.185459735756633
119,furia,3.134166441369082
120,invenzione,3.0898624725050032
121,orvieto,3.0853762771996505
122,sostengono,3.0853762771996505
123,utili,3.0853762771996505
124,deono,3.0853762771996505
125,ricchezze,2.994404498993924
126,albero,2.994404498993924
127,monte,2.9518767295311004
128,affetti,2.951844884575128
129,martire,2.9110228900548725
130,componimenti,2.8718021769015913
131,solo,2.8407370272214787
132,storia,2.8407370272214787
133,lodevoli,2.8340618489187444
134,istoria,2.8340618489187444
135,volterra,2.8340618489187444
136,chiama,2.8340618489187444
137,cappella,2.8227996872559578
138,metà,2.7976942047478692
139,adoperò,2.7976942047478692
140,onorate,2.7976942047478692
141,dimostra,2.7976942047478692
142,particolarmente,2.787400533057156
143,nostro,2.7699331731196466
144,veggendo,2.7626028849365993
145,margherita,2.7626028849365993
146,cortona,2.7626028849365993
147,facciata,2.7526170476334175
148,dipinse,2.7526170476334175
149,perfetta,2.7287013332609185
150,fa,2.7184281809148176
151,ingegno,2.7184281809148176
152,meritamente,2.695911510437927
153,vera,2.695911510437927
154,rimanente,2.695911510437927
155,credo,2.6333911534565932
156,capitolo,2.603538190306912
157,mestiero,2.603538190306912
158,pittor,2.5745506534336595
159,minori,2.5463797764669636
160,imparato,2.5463797764669636
161,figurò,2.5463797764669636
162,dubbio,2.518980802278849
163,oliveto,2.518980802278849
164,marie,2.492312555196688
165,eglino,2.492312555196688
166,moderni,2.492312555196688
167,onoratamente,2.441019260809137
168,nobili,2.441019260809137
169,guerra,2.441019260809137
170,dolce,2.392229096639705
171,facilità,2.368698599229511
172,fabriche,2.368698599229511
173,adoperato,2.345709081004812
174,virtuosi,2.345709081004812
175,giovanezza,2.345709081004812
176,venti,2.3012573184339784
177,gentiluomo,2.3012573184339784
178,carte,2.3012573184339784
179,onorata,2.279751113213015
180,spedale,2.279751113213015
181,sanese,2.279751113213015
182,dicesi,2.279751113213015
183,scritto,2.2586977040151828
184,chiostro,2.2586977040151828
185,pace,2.217875709494927
186,signoria,2.1980730821987478
187,passione,2.1980730821987478
188,piè,2.1980730821987478
189,fortuna,2.159606801370952
190,facciate,2.140914668358799
191,lavorando,2.140914668358799
192,meritò,2.1225655296906023
193,vanno,2.086847447088523
194,ingegni,2.0694557043766544
195,frate,2.0523612710173538
196,natività,2.035554152700973
197,artefice,2.002764329877982
198,conosce,1.9867639885315407
199,vergine,1.9555114450274362
200,ciascuno,1.9402439728966479
201,dipinta,1.9402439728966479
202,caterina,1.9402439728966479
203,passò,1.9252060955321073
204,otto,1.9252060955321073
205,quivi,1.9252060955321073
206,laonde,1.8957922103258142
207,lettere,1.867218837881758
208,apostoli,1.8394392737746823
209,ultimo,1.812410601386763
210,capo,1.812410601386763
211,innanzi,1.812410601386763
212,sala,1.812410601386763
213,va,1.7860932930693896
214,medesimi,1.7860932930693896
215,mandò,1.7860932930693896
216,eccellenza,1.7731898882334818
217,tavole,1.7731898882334818
218,male,1.7731898882334818
219,tornò,1.7731898882334818
220,conoscere,1.760450862456052
221,vescovo,1.7478720802491918
222,signore,1.7354495602506348
223,agostino,1.7231794676588204
224,arti,1.6755514186695657
225,inanzi,1.6639905962684898
226,aria,1.6639905962684898
227,finì,1.6639905962684898
228,visse,1.6639905962684898
229,lodata,1.652561900444867
230,nuova,1.652561900444867
231,bellissimi,1.652561900444867
232,colori,1.652561900444867
233,capella,1.6300890445928085
234,verso,1.6300890445928085
235,basso,1.6190392084062235
236,amici,1.608110137874033
237,giovane,1.608110137874033
238,miglior,1.608110137874033
239,piccole,1.5866039326530696
240,parti,1.5760218233225327
241,venne,1.5760218233225327
242,maestri,1.5551877364196907
243,degli,1.5347788647884835
244,lavoro,1.5247285289349821
245,principio,1.5049259016388024
