,term,score
0,andrea,48.79131292591943
1,squarcione,40.25029141003971
2,mantegna,22.392020652748215
3,marchese,20.102615238311138
4,mantoa,14.17030924459372
5,pizzolo,10.873503068726256
6,adottivo,10.873503068726256
7,niccolò,10.794992247820455
8,statue,10.434237235442616
9,padova,9.556379207269899
10,dario,9.487208707606365
11,sù,9.487208707606365
12,viii,9.487208707606365
13,padoa,9.116568784694273
14,situato,9.040921604977946
15,biasimò,8.676278491390036
16,cappella,8.468399061767872
17,zoppo,8.36797713173552
18,padoano,8.100914346486476
19,perder,8.100914346486476
20,cristofano,8.087734531313782
21,ritrasse,8.040550689370164
22,antiche,7.947055954126163
23,cavaliere,7.90017346036978
24,bellino,7.865348275173708
25,trevisi,7.654627243858055
26,foglio,7.654627243858055
27,sottilmente,7.654627243858055
28,spoglie,7.289984130270146
29,padre,7.285349402305837
30,buone,7.19666149854697
31,nimici,6.981682770615629
32,esser,6.9248329327991165
33,naturali,6.776093112045548
34,quadro,6.748989833731028
35,canto,6.610247601779468
36,vive,6.594219246596243
37,talvolta,6.479053914053818
38,perfette,6.479053914053818
39,giorno,6.476156833624894
40,certo,6.432440551496132
41,altar,6.432440551496132
42,mostra,6.422744005076397
43,discrezione,6.370919471513266
44,disagio,6.370919471513266
45,cavare,6.370919471513266
46,amò,6.268332882738164
47,stampe,6.268332882738164
48,diversi,6.2622020938209495
49,trionfo,6.170752554399301
50,iacopo,6.139115459153934
51,veduta,6.008292989633945
52,vittoria,5.988808997987848
53,capricciosa,5.988808997987848
54,meno,5.942031263126803
55,sull,5.903689769150256
56,vasi,5.903689769150256
57,maggiormente,5.743604353803183
58,premio,5.743604353803183
59,essersi,5.668123697837489
60,armi,5.5953884094957385
61,serve,5.5953884094957385
62,verona,5.525205769873199
63,dipinse,5.505234095266835
64,godette,5.436751534363128
65,vitupera,5.436751534363128
66,figuraccia,5.436751534363128
67,leonardo,5.436751534363128
68,affrontato,5.436751534363128
69,prede,5.436751534363128
70,pochetto,5.436751534363128
71,baccaneria,5.436751534363128
72,particelle,5.436751534363128
73,attraversandola,5.436751534363128
74,praeponis,5.436751534363128
75,rimuneri,5.436751534363128
76,falle,5.436751534363128
77,bonramino,5.436751534363128
78,apelli,5.436751534363128
79,estenuato,5.436751534363128
80,fuzimeliga,5.436751534363128
81,inalzato,5.436751534363128
82,stinco,5.436751534363128
83,mantineae,5.436751534363128
84,66,5.436751534363128
85,reprensioni,5.436751534363128
86,noris,5.436751534363128
87,crudetto,5.436751534363128
88,mora,5.436751534363128
89,sepelimento,5.436751534363128
90,splendide,5.436751534363128
91,squadre,5.436751534363128
92,lendinara,5.436751534363128
93,pascesse,5.436751534363128
94,ressuressione,5.436751534363128
95,corpacciuta,5.436751534363128
96,rocche,5.436751534363128
97,aenea,5.436751534363128
98,schiava,5.436751534363128
99,brunite,5.436751534363128
100,accozza,5.436751534363128
101,piegano,5.436751534363128
102,pregi,5.436751534363128
103,sofia,5.436751534363128
104,tori,5.436751534363128
105,vineziani,5.436751534363128
106,punsero,5.436751534363128
107,annoverandolo,5.436751534363128
108,bolognese,5.391823020875854
109,pacienza,5.328325624246694
110,ragione,5.328325624246694
111,rame,5.328325624246694
112,carne,5.328325624246694
113,pennello,5.092759552933927
114,poche,5.037961604557698
115,sottil,5.0312864262549635
116,vides,5.0312864262549635
117,crudezze,5.0312864262549635
118,gentilissimi,5.0312864262549635
119,comunque,5.0312864262549635
120,campagnuola,5.0312864262549635
121,diviene,5.0312864262549635
122,avertenza,5.0312864262549635
123,nettamente,5.0312864262549635
124,parem,5.0312864262549635
125,noferi,5.0312864262549635
126,occupazioni,5.0312864262549635
127,tasca,5.0312864262549635
128,coprendo,5.0312864262549635
129,adentro,5.0312864262549635
130,profumi,5.0312864262549635
131,gioachino,5.0312864262549635
132,accennato,5.0312864262549635
133,grandicello,5.0312864262549635
134,miniata,5.0312864262549635
135,terminate,5.0312864262549635
136,vagabondo,5.0312864262549635
137,leonico,5.0312864262549635
138,leccio,5.0312864262549635
139,piedestallo,5.0312864262549635
140,adornasse,5.0312864262549635
141,incensi,5.0312864262549635
142,coronati,5.0312864262549635
143,xxxiii,5.0312864262549635
144,sperarsi,5.0312864262549635
145,taro,5.0312864262549635
146,azioni,5.0312864262549635
147,fabbricata,5.0312864262549635
148,linea,5.0312864262549635
149,marco,4.991971788805469
150,capella,4.890267133778425
151,dipintore,4.832653296437531
152,gentile,4.832653296437531
153,conosciutolo,4.743604353803183
154,epistola,4.743604353803183
155,spogliandosi,4.743604353803183
156,1517,4.743604353803183
157,incommodo,4.743604353803183
158,liofanti,4.743604353803183
159,timeo,4.743604353803183
160,picciolo,4.743604353803183
161,innocenzo,4.743604353803183
162,carnefice,4.743604353803183
163,armenti,4.743604353803183
164,stirpe,4.743604353803183
165,rimandò,4.743604353803183
166,giudicava,4.743604353803183
167,stimolo,4.743604353803183
168,fitto,4.743604353803183
169,battezzare,4.743604353803183
170,francesi,4.743604353803183
171,iudith,4.743604353803183
172,datagli,4.743604353803183
173,costumi,4.737397198459022
174,quei,4.737397198459022
175,frati,4.696651570365712
176,dilettò,4.691418162009624
177,stando,4.646472450305508
178,carissime,4.520460802488973
179,sfilati,4.520460802488973
180,volendosi,4.520460802488973
181,longino,4.520460802488973
182,panneggiare,4.520460802488973
183,ordinanza,4.520460802488973
