,term,score
0,andrea,48.79131292591943
1,nino,37.94883483042546
2,marmo,22.573888524582035
3,giotto,19.13783277311764
4,sebbene,17.454206926539072
5,pisano,15.670832206845411
6,duca,13.113628924150506
7,campanile,12.958107828107636
8,mura,12.081633241093828
9,insino,11.256770965118232
10,misericordia,10.414152761227648
11,porte,10.177770763504865
12,cino,10.062572852509927
13,fiore,9.933819942657703
14,figliuolo,9.574073460877221
15,bozzi,9.487208707606365
16,scultura,9.47896105162907
17,gualtieri,8.676278491390036
18,fabrica,8.563658673435196
19,scheraggio,8.36797713173552
20,statue,8.347389788354093
21,facciata,8.257851142900252
22,pisa,8.209445084069415
23,bronzo,8.142216610803892
24,tempio,8.095196042031118
25,ritrovare,7.865348275173708
26,ex,7.865348275173708
27,condussono,7.865348275173708
28,principio,7.524629508194012
29,pistoia,7.4769376655900635
30,sculture,7.32305778242741
31,servì,7.32305778242741
32,cioè,7.192754163469649
33,architettura,7.092759552933927
34,sette,7.037127243014436
35,ghiberti,6.843697027641727
36,grossezza,6.843697027641727
37,miglioramento,6.843697027641727
38,toscana,6.776093112045548
39,braccia,6.702205674678263
40,mettono,6.594219246596243
41,cacciato,6.593370741733715
42,chiunque,6.479053914053818
43,camposanto,6.479053914053818
44,cavare,6.370919471513266
45,fiorentini,6.367696589071807
46,madonna,6.346415730612279
47,figurette,6.268332882738164
48,date,6.268332882738164
49,legnami,6.170752554399301
50,avevano,5.791069951195415
51,bello,5.791069951195415
52,getto,5.668123697837489
53,primo,5.6455993745119155
54,onorate,5.5953884094957385
55,figurine,5.457402666521837
56,dico,5.437231804160289
57,imponere,5.436751534363128
58,cin,5.436751534363128
59,dorata,5.436751534363128
60,ferrare,5.436751534363128
61,vultus,5.436751534363128
62,guardiani,5.436751534363128
63,angibolgi,5.436751534363128
64,lustrandogli,5.436751534363128
65,barbacani,5.436751534363128
66,ducere,5.436751534363128
67,centotrentasette,5.436751534363128
68,xxv,5.436751534363128
69,corbini,5.436751534363128
70,dozinali,5.436751534363128
71,bellalberti,5.436751534363128
72,filipetri,5.436751534363128
73,testimonii,5.436751534363128
74,mirano,5.436751534363128
75,testimonia,5.436751534363128
76,egizzia,5.436751534363128
77,mancini,5.436751534363128
78,milletrecentoquarantacinque,5.436751534363128
79,antiporti,5.436751534363128
80,governate,5.436751534363128
81,candenti,5.436751534363128
82,templis,5.436751534363128
83,auro,5.436751534363128
84,sicurissimi,5.436751534363128
85,compagina,5.436751534363128
86,raccoltolo,5.436751534363128
87,nutrite,5.436751534363128
88,pulcro,5.436751534363128
89,guitton,5.436751534363128
90,aggia,5.436751534363128
91,mediis,5.436751534363128
92,assottigliò,5.436751534363128
93,ingenti,5.436751534363128
94,marmore,5.436751534363128
95,gradenigo,5.436751534363128
96,1337,5.436751534363128
97,accrescerlo,5.436751534363128
98,potuit,5.436751534363128
99,amidei,5.436751534363128
100,elephanto,5.436751534363128
101,1339,5.436751534363128
102,soggiogata,5.436751534363128
103,rampante,5.436751534363128
104,spirantes,5.436751534363128
105,pianga,5.436751534363128
106,cambiare,5.436751534363128
107,apparisca,5.436751534363128
108,fortificarsi,5.436751534363128
109,ridurgli,5.436751534363128
110,esperti,5.436751534363128
111,fianco,5.391823020875854
112,prestezza,5.328325624246694
113,anticaglie,5.328325624246694
114,attitudine,5.2667823069131865
115,romani,5.149101306867319
116,cialdonai,5.0312864262549635
117,sciaurata,5.0312864262549635
118,cicilia,5.0312864262549635
119,riguarda,5.0312864262549635
120,affermerei,5.0312864262549635
121,andreas,5.0312864262549635
122,involto,5.0312864262549635
123,assente,5.0312864262549635
124,occultamente,5.0312864262549635
125,pisanus,5.0312864262549635
126,ognissanti,5.0312864262549635
127,rozza,5.0312864262549635
128,milletrecentoquaranta,5.0312864262549635
129,piangete,5.0312864262549635
130,propizia,5.0312864262549635
131,scendere,5.0312864262549635
132,deum,5.0312864262549635
133,destrutte,5.0312864262549635
134,dessono,5.0312864262549635
135,jacet,5.0312864262549635
136,segreta,5.0312864262549635
137,civiltà,5.0312864262549635
138,scarperia,5.0312864262549635
139,premiate,5.0312864262549635
140,comprendendo,5.0312864262549635
141,credesi,5.0312864262549635
142,1370,5.0312864262549635
143,corpo,4.957685701334601
144,lavorato,4.957685701334601
145,ignudi,4.882038521618274
146,basso,4.85711762521867
147,altrove,4.832653296437531
148,nicchie,4.832653296437531
149,avuto,4.7918976653094525
150,data,4.78445819327941
151,difficile,4.78445819327941
152,maiestà,4.743604353803183
153,steccati,4.743604353803183
154,calimara,4.743604353803183
155,esercitando,4.743604353803183
156,increbbe,4.743604353803183
157,spente,4.743604353803183
158,arsenale,4.743604353803183
159,giudicava,4.743604353803183
160,ver,4.743604353803183
161,urna,4.743604353803183
162,chiamo,4.743604353803183
163,1522,4.743604353803183
164,pe,4.743604353803183
165,disfare,4.743604353803183
166,code,4.743604353803183
167,trasportate,4.743604353803183
168,recata,4.743604353803183
169,disideravano,4.743604353803183
170,allargare,4.743604353803183
171,litterato,4.743604353803183
172,nate,4.743604353803183
173,perdesse,4.743604353803183
174,sotterrate,4.743604353803183
175,istanza,4.743604353803183
176,risparmiare,4.743604353803183
177,febraio,4.743604353803183
178,conce,4.743604353803183
179,testimoniano,4.743604353803183
180,rozze,4.743604353803183
181,stati,4.728065469967598
182,massimamente,4.696651570365712
183,maestri,4.665563209259072
184,tommaso,4.602514636867957
185,artifiziosa,4.520460802488973
186,pulimento,4.520460802488973
187,segreti,4.520460802488973
188,spegnere,4.520460802488973
189,simulacra,4.520460802488973
190,furor,4.520460802488973
191,necessaria,4.520460802488973
192,ecco,4.520460802488973
193,arrecano,4.520460802488973
194,repubblica,4.520460802488973
195,note,4.520460802488973
196,rendersi,4.520460802488973
197,ritrovato,4.520460802488973
198,pulita,4.520460802488973
199,nascosa,4.520460802488973
200,collocate,4.520460802488973
201,1343,4.520460802488973
202,recarono,4.520460802488973
203,mandorle,4.520460802488973
204,maniere,4.5173954080303655
205,sepolto,4.5173954080303655
206,scritto,4.5173954080303655
207,termine,4.5173954080303655
208,pur,4.485509180080313
209,pure,4.485509180080313
210,popoli,4.476156833624893
211,rilievo,4.456523447345102
212,vinezia,4.435751418989854
213,dire,4.42781509429665
214,padre,4.371209641383501
215,valente,4.357309992683293
216,cominciata,4.357309992683293
217,stata,4.343302463396562
218,circuito,4.338139245695018
219,mezzogiorno,4.338139245695018
220,carota,4.338139245695018
221,ordinati,4.338139245695018
222,conobbono,4.338139245695018
223,alpe,4.338139245695018
224,piuttosto,4.338139245695018
225,fanciullesca,4.338139245695018
226,fiorì,4.338139245695018
227,rinetta,4.338139245695018
228,porgere,4.338139245695018
229,aere,4.338139245695018
230,metalli,4.338139245695018
231,operar,4.338139245695018
232,ventidue,4.338139245695018
233,rosa,4.338139245695018
234,lorenzo,4.2882550473919725
235,aiutato,4.245131059381205
236,uomo,4.234199530883936
237,condusse,4.234199530883936
238,modello,4.2090940483758486
239,gennaio,4.18398856586776
240,ripari,4.18398856586776
241,grillandai,4.18398856586776
242,antichissima,4.18398856586776
243,riconosce,4.18398856586776
244,truovo,4.18398856586776
245,scarpellare,4.18398856586776
246,grecia,4.18398856586776
247,gagliardi,4.18398856586776
248,minerbetti,4.18398856586776
249,durezza,4.18398856586776
250,atene,4.18398856586776
251,muovono,4.18398856586776
252,mugello,4.18398856586776
253,pupilli,4.18398856586776
254,settantacinque,4.18398856586776
255,pregio,4.173694894177046
256,importanza,4.173694894177046
257,esser,4.15489975967947
258,condurre,4.138911408753309
259,pontefice,4.138911408753309
260,ponte,4.138911408753309
261,presente,4.1047225420347075
262,finestre,4.071108305401946
263,alzare,4.050457173243238
264,ponesse,4.050457173243238
265,giovò,4.050457173243238
266,radici,4.050457173243238
267,allatta,4.050457173243238
268,favorevole,4.050457173243238
269,intende,4.050457173243238
270,moti,4.050457173243238
271,egl,4.050457173243238
272,tiranno,4.050457173243238
273,gotti,4.050457173243238
274,goffe,4.050457173243238
275,ira,4.050457173243238
276,goffi,4.050457173243238
277,apocalisse,4.050457173243238
278,temendo,4.050457173243238
279,fondere,4.050457173243238
280,nessuno,4.005528659755964
281,dì,3.9735279770630814
282,condotte,3.942031263126803
283,adoperandosi,3.932674137586854
284,avignone,3.932674137586854
285,carestia,3.932674137586854
286,scolari,3.932674137586854
287,dintorni,3.932674137586854
288,suol,3.932674137586854
289,spina,3.932674137586854
290,ritraesse,3.932674137586854
291,pianeti,3.932674137586854
292,annunzia,3.932674137586854
293,pili,3.8273136219290276
294,scudo,3.8273136219290276
295,jacopo,3.8273136219290276
296,quercia,3.8273136219290276
297,avanzava,3.8273136219290276
298,nicolò,3.8273136219290276
299,cittadin,3.8273136219290276
300,sorelle,3.8273136219290276
301,dogana,3.8273136219290276
302,fornimento,3.8273136219290276
303,conservate,3.8273136219290276
