,term,score
0,musaico,39.67686588486242
1,tafi,30.366974719865127
2,andrea,22.87092793402473
3,tribuna,15.621229141841471
4,apollonio,15.09385927876489
5,cimabue,12.341505108798602
6,giotto,11.961145483198525
7,troni,10.873503068726256
8,dominazioni,10.873503068726256
9,allargando,10.062572852509927
10,greca,9.116568784694273
11,como,9.040921604977946
12,gaddo,8.676278491390036
13,goffe,8.100914346486476
14,insino,8.040550689370164
15,greco,7.464006884249406
16,fecero,7.303334486875615
17,sebbene,6.981682770615629
18,pezzi,6.776093112045548
19,vinezia,6.653627128484781
20,colonne,6.26054234126557
21,maestri,6.220750945678763
22,guido,6.077712523129515
23,principio,6.019703606555209
24,gaddi,5.668123697837489
25,vani,5.668123697837489
26,dirà,5.5596977877210545
27,immitatori,5.436751534363128
28,magnificasse,5.436751534363128
29,commettendo,5.436751534363128
30,cunctis,5.436751534363128
31,probatur,5.436751534363128
32,laudatur,5.436751534363128
33,dissegnata,5.436751534363128
34,fondator,5.436751534363128
35,doctus,5.436751534363128
36,potestati,5.436751534363128
37,sculptor,5.436751534363128
38,operandosi,5.436751534363128
39,celestino,5.436751534363128
40,commetterlo,5.436751534363128
41,goffissimamente,5.436751534363128
42,ottantuno,5.436751534363128
43,1199,5.436751534363128
44,sopravanzando,5.436751534363128
45,promo,5.436751534363128
46,arcangeli,5.436751534363128
47,goffamente,5.436751534363128
48,stucco,5.328325624246694
49,agl,5.169538402976461
50,rispetto,5.092759552933927
51,diviò,5.0312864262549635
52,iscrizzione,5.0312864262549635
53,arrecato,5.0312864262549635
54,lodo,5.0312864262549635
55,turrita,5.0312864262549635
56,essercitati,5.0312864262549635
57,inalzate,5.0312864262549635
58,usi,5.0312864262549635
59,potestà,5.0312864262549635
60,capella,4.890267133778425
61,tempio,4.85711762521867
62,corinta,4.743604353803183
63,sullo,4.743604353803183
64,uni,4.743604353803183
65,vall,4.743604353803183
66,orme,4.743604353803183
67,considerarle,4.743604353803183
68,passerò,4.743604353803183
69,apparizione,4.743604353803183
70,ammirate,4.743604353803183
71,innocenzo,4.743604353803183
72,buonamico,4.743604353803183
73,nascer,4.743604353803183
74,avezzi,4.743604353803183
75,1294,4.743604353803183
76,stringendo,4.743604353803183
77,fattevi,4.743604353803183
78,avvenne,4.737397198459022
79,stimasse,4.520460802488973
80,recarono,4.520460802488973
81,piacer,4.520460802488973
82,zaccheria,4.520460802488973
83,bassezza,4.520460802488973
84,cuocere,4.520460802488973
85,racconciò,4.520460802488973
86,dividendo,4.520460802488973
87,giace,4.520460802488973
88,scarsella,4.520460802488973
89,esecutori,4.520460802488973
90,ombrosa,4.520460802488973
91,remunerato,4.520460802488973
92,ripigliando,4.520460802488973
93,toscana,4.5173954080303655
94,popoli,4.476156833624893
95,piano,4.357309992683293
96,leggiadre,4.338139245695018
97,perpetuo,4.338139245695018
98,operar,4.338139245695018
99,proemio,4.338139245695018
100,aggiugnerò,4.338139245695018
101,condotto,4.315652498081789
102,buffalmacco,4.18398856586776
103,lippo,4.18398856586776
104,impararono,4.18398856586776
105,burle,4.18398856586776
106,dotto,4.18398856586776
107,ventre,4.18398856586776
108,cherubini,4.18398856586776
109,granito,4.18398856586776
110,conobbero,4.18398856586776
111,proporzioni,4.18398856586776
112,pisa,4.1047225420347075
113,sé,4.077642271372227
114,reputato,4.050457173243238
115,misurato,4.050457173243238
116,ito,4.050457173243238
117,straordinarii,4.050457173243238
118,architravi,4.050457173243238
119,quod,4.050457173243238
120,regolari,4.050457173243238
121,menzione,3.9735279770630814
122,conducendo,3.932674137586854
123,commessi,3.932674137586854
124,serafini,3.932674137586854
125,seguitano,3.932674137586854
126,saldo,3.932674137586854
127,stimare,3.932674137586854
128,gualberto,3.932674137586854
129,guadagnò,3.932674137586854
130,misurate,3.8273136219290276
131,giro,3.8273136219290276
132,seguire,3.8273136219290276
133,ioseffo,3.8273136219290276
134,villani,3.8273136219290276
135,eccellentissime,3.8273136219290276
136,doppia,3.8273136219290276
137,vetri,3.8273136219290276
138,jacopo,3.8273136219290276
139,cerchi,3.8273136219290276
140,alesso,3.8273136219290276
141,discepoli,3.8207820194939335
142,italia,3.7915844206516285
143,nei,3.762806945747429
144,riso,3.732003442124703
145,ascensione,3.732003442124703
146,baldovinetti,3.732003442124703
147,undici,3.732003442124703
148,premiato,3.732003442124703
149,colpo,3.732003442124703
150,banda,3.7064651918140363
151,veder,3.6516672434378075
152,anticamente,3.644992065135073
153,lanterna,3.644992065135073
154,reggere,3.644992065135073
155,nonostante,3.644992065135073
156,reputazione,3.644992065135073
157,muove,3.644992065135073
158,gesù,3.572186586138779
159,insegnato,3.5649493574615367
160,scritta,3.5649493574615367
161,laterano,3.5649493574615367
162,premii,3.5649493574615367
163,canonici,3.5649493574615367
164,avendole,3.5649493574615367
165,sacerdote,3.5649493574615367
166,maraviglia,3.5463797764669636
167,architettura,3.5463797764669636
168,tosto,3.520901724912104
169,pochissimo,3.4908413853078146
170,congregazione,3.4908413853078146
171,potrebbono,3.4908413853078146
172,ripa,3.4908413853078146
173,machina,3.4908413853078146
174,posano,3.4908413853078146
175,affermare,3.4218485138208634
176,cattivo,3.4218485138208634
177,lasciate,3.4218485138208634
178,scrittori,3.4218485138208634
179,stelle,3.4218485138208634
180,ho,3.374494916865514
181,decollazione,3.3573099926832923
182,iiii,3.3573099926832923
183,aperse,3.3573099926832923
184,commesse,3.3573099926832923
185,girano,3.3573099926832923
186,tira,3.3573099926832923
187,opre,3.3573099926832923
188,dimestichezza,3.3573099926832923
189,pigliando,3.3573099926832923
190,preghi,3.3573099926832923
191,pergamo,3.3573099926832923
192,diluvio,3.3573099926832923
193,braccia,3.3511028373391314
194,bontà,3.3511028373391314
195,marco,3.3279811925369795
196,migliore,3.305123800889734
197,origine,3.2966853708668573
198,felicità,3.2966853708668573
199,semplicemente,3.2966853708668573
200,differenza,3.2966853708668573
201,brunellesco,3.239526957026909
202,silenzio,3.239526957026909
203,felicemente,3.239526957026909
204,operò,3.239526957026909
205,conversione,3.239526957026909
206,tacere,3.239526957026909
207,aggiunse,3.239526957026909
208,mancò,3.239526957026909
209,dette,3.238078416812447
210,discepolo,3.238078416812447
211,parti,3.1520436466450654
212,colla,3.134166441369082
213,greci,3.134166441369082
214,rifece,3.134166441369082
215,milanese,3.134166441369082
216,somiglianti,3.134166441369082
217,divenuto,3.134166441369082
218,mostrato,3.134166441369082
219,nondimeno,3.1103754728393813
220,sul,3.0898624725050032
