,term,score
0,andrea,44.217127339114484
1,bronzo,24.426649832411677
2,lorenzo,18.582438538698547
3,sepoltura,15.760218233225327
4,marmo,15.049259016388024
5,verrocchio,14.259797429846147
6,cera,12.731898882334818
7,porre,12.594904011394245
8,marsia,12.55196569760328
9,orsino,12.55196569760328
10,formare,11.798022412760561
11,lionardo,11.506286592169893
12,intere,11.196010326374108
13,cavallo,10.874463608320578
14,apertura,10.873503068726256
15,medici,10.466188086854064
16,posta,10.266348642758853
17,cotta,10.26554554146259
18,braccia,10.053308512017395
19,sto,9.487208707606365
20,scorticato,9.487208707606365
21,mancata,9.487208707606365
22,gettarlo,9.487208707606365
23,vinci,9.256128831598952
24,scultore,9.197196368873412
25,teste,9.148371173609892
26,trovavano,9.040921604977946
27,naturali,9.034790816060731
28,vinezia,8.871502837979708
29,testa,8.686604926793123
30,donato,8.418188096751697
31,ambedue,8.36797713173552
32,lapida,8.36797713173552
33,buglioni,8.36797713173552
34,cosimo,8.31995298134245
35,fa,8.155284542744454
36,cassa,7.90017346036978
37,brancazio,7.865348275173708
38,pietra,7.641564038987867
39,orefice,7.556942406836548
40,figura,7.524629508194012
41,cartoni,7.4769376655900635
42,guarito,7.464006884249406
43,segreto,7.464006884249406
44,gambe,7.3990112063802815
45,imagini,7.289984130270146
46,gettò,7.289984130270146
47,ferito,7.289984130270146
48,studio,7.192754163469649
49,facesse,7.192754163469649
50,fargli,7.176687289919116
51,paiono,7.037127243014436
52,rossa,6.981682770615629
53,dall,6.96850133264289
54,esser,6.9248329327991165
55,ad,6.9248329327991165
56,torso,6.843697027641727
57,mancavano,6.714619985366585
58,metallo,6.714619985366585
59,bisognava,6.479053914053818
60,servi,6.478820404112856
61,stava,6.367696589071807
62,putto,6.367696589071807
63,modello,6.313641072563772
64,collocata,6.170752554399301
65,vennero,6.170752554399301
66,ascesi,6.170752554399301
67,stima,6.170752554399301
68,ossa,6.077712523129515
69,sagrestia,6.057074552249286
70,polo,5.988808997987848
71,donatello,5.988808997987848
72,pur,5.9806789067737505
73,fiore,5.960291965594622
74,luoghi,5.865838483244025
75,grandissimo,5.828279521844669
76,morta,5.822045780109745
77,intagliate,5.743604353803183
78,sagramento,5.743604353803183
79,mediante,5.7311730292409
80,scultura,5.687376630977443
81,miracoli,5.668123697837489
82,getto,5.668123697837489
83,piccoli,5.668123697837489
84,cappella,5.6455993745119155
85,grandissima,5.610043584842932
86,dato,5.610043584842932
87,pochi,5.477500865156712
88,michele,5.477500865156712
89,piviali,5.436751534363128
90,salde,5.436751534363128
91,moglier,5.436751534363128
92,impastata,5.436751534363128
93,tavolucce,5.436751534363128
94,sep,5.436751534363128
95,armarla,5.436751534363128
96,salvezza,5.436751534363128
97,forteguerra,5.436751534363128
98,cantina,5.436751534363128
99,indurisce,5.436751534363128
100,intessuta,5.436751534363128
101,fioranza,5.436751534363128
102,incredulo,5.436751534363128
103,fragmenti,5.436751534363128
104,bottoni,5.436751534363128
105,armarlo,5.436751534363128
106,soggiungeva,5.436751534363128
107,divozioni,5.436751534363128
108,chiarito,5.436751534363128
109,primiero,5.436751534363128
110,verrochii,5.436751534363128
111,iacent,5.436751534363128
112,portatogliene,5.436751534363128
113,alzandole,5.436751534363128
114,raffreddato,5.436751534363128
115,spaccate,5.436751534363128
116,mccc,5.436751534363128
117,rassoda,5.436751534363128
118,michaelis,5.436751534363128
119,venetiis,5.436751534363128
120,schiodate,5.436751534363128
121,tartaglia,5.436751534363128
122,lxxxviii,5.436751534363128
123,cappela,5.436751534363128
124,strozza,5.436751534363128
125,potermi,5.436751534363128
126,imolese,5.436751534363128
127,rappiccare,5.436751534363128
128,entrarvi,5.436751534363128
129,proporzionati,5.436751534363128
130,imperfettissimo,5.436751534363128
131,tramezzava,5.436751534363128
132,tiepida,5.436751534363128
133,guarderebbe,5.436751534363128
134,morrebbe,5.436751534363128
135,nerbicini,5.436751534363128
136,posandola,5.436751534363128
137,chiarisce,5.436751534363128
138,avvertezza,5.436751534363128
139,rinettarla,5.436751534363128
140,forme,5.391823020875854
141,pier,5.391823020875854
142,cominciò,5.281352587368156
143,agl,5.169538402976461
144,dinanzi,5.061742375298271
145,commodità,5.037961604557698
146,morivano,5.0312864262549635
147,incatenò,5.0312864262549635
148,partorire,5.0312864262549635
149,vote,5.0312864262549635
150,mancasse,5.0312864262549635
151,mattonare,5.0312864262549635
152,incerato,5.0312864262549635
153,ceraiuolo,5.0312864262549635
154,diviene,5.0312864262549635
155,avendovisi,5.0312864262549635
156,lucco,5.0312864262549635
157,finissima,5.0312864262549635
158,desco,5.0312864262549635
159,ripose,5.0312864262549635
160,levavano,5.0312864262549635
161,esendo,5.0312864262549635
162,vorrebbono,5.0312864262549635
163,suorum,5.0312864262549635
164,liberalissima,5.0312864262549635
165,girari,5.0312864262549635
166,declinazione,5.0312864262549635
167,spiccata,5.0312864262549635
168,intrattenere,5.0312864262549635
169,imitarle,5.0312864262549635
170,incredulità,5.0312864262549635
171,soddisfattissimo,5.0312864262549635
172,rossellini,5.0312864262549635
173,inanzi,4.991971788805469
174,argento,4.984625110393376
175,antico,4.984625110393376
176,lavorato,4.957685701334601
177,favore,4.882038521618274
178,dette,4.85711762521867
179,discepolo,4.85711762521867
180,modelli,4.832653296437531
181,fonte,4.832653296437531
182,mise,4.824330413622099
183,insino,4.824330413622099
184,amici,4.824330413622099
185,avuto,4.7918976653094525
186,alta,4.78445819327941
187,rinettarle,4.743604353803183
188,invetriati,4.743604353803183
189,chiarirsi,4.743604353803183
190,crucifissi,4.743604353803183
191,vende,4.743604353803183
192,mattia,4.743604353803183
193,impiccato,4.743604353803183
194,datolo,4.743604353803183
195,cionis,4.743604353803183
196,grosserie,4.743604353803183
197,centine,4.743604353803183
198,fasciato,4.743604353803183
199,prospettivo,4.743604353803183
200,finirle,4.743604353803183
201,aiutandogli,4.743604353803183
202,acquistatosi,4.743604353803183
203,rispondevano,4.743604353803183
204,accompagnarlo,4.743604353803183
205,dario,4.743604353803183
206,corvino,4.743604353803183
207,scorticate,4.743604353803183
208,astratta,4.743604353803183
209,rappresentavano,4.743604353803183
210,incominciò,4.743604353803183
211,andreae,4.743604353803183
212,vellano,4.743604353803183
213,cordoni,4.743604353803183
214,racconcio,4.743604353803183
215,congiunto,4.743604353803183
216,abito,4.737397198459022
217,carta,4.737397198459022
218,facilità,4.737397198459022
219,massimamente,4.696651570365712
220,perfezzione,4.696651570365712
221,giovanetto,4.646472450305508
222,statua,4.602514636867957
223,tommaso,4.602514636867957
224,mani,4.574185586804946
225,cortile,4.55950222642603
226,mal,4.55950222642603
227,spedale,4.55950222642603
228,altare,4.544334594245442
229,faceva,4.544334594245442
230,perviene,4.520460802488973
231,usar,4.520460802488973
232,visitato,4.520460802488973
233,vissero,4.520460802488973
234,pulimento,4.520460802488973
235,vallombrosa,4.520460802488973
236,piaga,4.520460802488973
237,porla,4.520460802488973
238,onorarla,4.520460802488973
239,attender,4.520460802488973
240,dispiacevano,4.520460802488973
241,cosce,4.520460802488973
242,abandonato,4.520460802488973
243,mandorle,4.520460802488973
244,riscaldato,4.520460802488973
245,ardito,4.520460802488973
246,pesta,4.520460802488973
247,agnol,4.520460802488973
248,destinata,4.520460802488973
249,crudetta,4.520460802488973
250,56,4.520460802488973
251,bottone,4.520460802488973
252,bruni,4.520460802488973
253,monache,4.476156833624893
254,rilievo,4.456523447345102
255,vivo,4.42781509429665
256,finita,4.399378862433019
257,fama,4.371209641383501
258,fiorentino,4.371209641383501
259,avevano,4.343302463396562
260,cercasse,4.338139245695018
261,usci,4.338139245695018
262,spezzato,4.338139245695018
263,invetriata,4.338139245695018
264,poterle,4.338139245695018
265,senno,4.338139245695018
266,divide,4.338139245695018
267,tagliata,4.338139245695018
268,argenterie,4.338139245695018
269,sopradetti,4.338139245695018
270,mantenuta,4.338139245695018
271,careggi,4.338139245695018
272,nocumento,4.338139245695018
273,ricoperte,4.338139245695018
274,rendendo,4.338139245695018
275,io,4.315652498081789
276,cioè,4.315652498081789
277,legno,4.245131059381205
278,qui,4.245131059381205
279,cagione,4.234199530883936
280,condusse,4.234199530883936
281,bell,4.2090940483758486
282,croce,4.207532688632199
283,disfatte,4.18398856586776
284,cione,4.18398856586776
285,cimieri,4.18398856586776
286,lorenzetto,4.18398856586776
287,porfido,4.18398856586776
288,datone,4.18398856586776
289,minerbetti,4.18398856586776
290,antichissimo,4.18398856586776
291,oriuolo,4.18398856586776
292,variando,4.18398856586776
293,spiccate,4.18398856586776
294,obiit,4.18398856586776
