,term,score
0,silvio,32.084544217153834
1,marmo,27.088666229498443
2,fiesole,24.558311999348266
3,andrea,22.87092793402473
4,sepoltura,15.760218233225327
5,pratica,15.655505234552374
6,conducono,11.481940865787083
7,scultore,11.036635642648093
8,strigonia,10.873503068726256
9,coietto,10.873503068726256
10,cicilia,10.062572852509927
11,palermo,9.040921604977946
12,genoa,9.040921604977946
13,ferri,8.733068670164617
14,richiede,8.36797713173552
15,trasse,7.654627243858055
16,antonio,7.238837438994269
17,lavorare,6.838623900626587
18,maschere,6.479053914053818
19,napoli,6.367696589071807
20,nondimeno,6.220750945678763
21,re,6.1797249450100065
22,capriccioso,6.170752554399301
23,ungheria,6.170752554399301
24,lione,6.170752554399301
25,carrara,6.170752554399301
26,pisa,6.157083813052061
27,persona,6.0989141157399285
28,acquistò,6.008292989633945
29,mandata,5.903689769150256
30,testa,5.791069951195415
31,scultura,5.687376630977443
32,volterra,5.668123697837489
33,condusse,5.6455993745119155
34,cappella,5.6455993745119155
35,battesimo,5.5953884094957385
36,nero,5.457402666521837
37,assedio,5.457402666521837
38,attese,5.437231804160289
39,formarne,5.436751534363128
40,passono,5.436751534363128
41,corbolini,5.436751534363128
42,volaterrano,5.436751534363128
43,graffiano,5.436751534363128
44,sepelire,5.436751534363128
45,ferucci,5.436751534363128
46,ferruzzi,5.436751534363128
47,ferrucci,5.436751534363128
48,resoluta,5.436751534363128
49,vincerebbono,5.436751534363128
50,straforate,5.436751534363128
51,mdxxviii,5.436751534363128
52,maini,5.436751534363128
53,mdxxii,5.436751534363128
54,maliastro,5.436751534363128
55,acconciata,5.436751534363128
56,cosini,5.436751534363128
57,pignatella,5.436751534363128
58,condannati,5.436751534363128
59,mangone,5.436751534363128
60,calabria,5.436751534363128
61,incanti,5.436751534363128
62,fiesolano,5.436751534363128
63,prestava,5.436751534363128
64,monsanese,5.436751534363128
65,antonia,5.436751534363128
66,buonarroti,5.391823020875854
67,sepolture,5.391823020875854
68,strozzi,5.328325624246694
69,cassa,5.2667823069131865
70,cavaliere,5.2667823069131865
71,passato,5.207076380613824
72,duomo,5.206348680751905
73,dello,5.061742375298271
74,doveano,5.0312864262549635
75,napoletano,5.0312864262549635
76,imposto,5.0312864262549635
77,natural,5.0312864262549635
78,fiesolani,5.0312864262549635
79,imbastiti,5.0312864262549635
80,ripose,5.0312864262549635
81,simili,5.0266542560086975
82,madonna,4.759811797959209
83,veloce,4.743604353803183
84,sgridato,4.743604353803183
85,congiunto,4.743604353803183
86,quarantacinque,4.743604353803183
87,ambasciatore,4.743604353803183
88,piacciano,4.743604353803183
89,livorno,4.743604353803183
90,accompagnarono,4.743604353803183
91,garfagnana,4.743604353803183
92,increscendogli,4.743604353803183
93,impiccato,4.743604353803183
94,istento,4.743604353803183
95,bizzarria,4.743604353803183
96,scorticò,4.743604353803183
97,gridano,4.743604353803183
98,ficino,4.743604353803183
99,sagliono,4.743604353803183
100,scultori,4.737397198459022
101,fabriche,4.737397198459022
102,imparò,4.646472450305508
103,iacopo,4.60433659436545
104,seguitò,4.602514636867957
105,architetto,4.55950222642603
106,grottesca,4.520460802488973
107,sciocchezze,4.520460802488973
108,marsilio,4.520460802488973
109,imola,4.520460802488973
110,esercita,4.520460802488973
111,maneggiava,4.520460802488973
112,boscoli,4.520460802488973
113,sagrestano,4.520460802488973
114,leggiadramente,4.520460802488973
115,viceré,4.520460802488973
116,imaginazione,4.520460802488973
117,ornamenti,4.514777704916407
118,imperatore,4.435751418989854
119,monte,4.42781509429665
120,qualche,4.399378862433019
121,mettono,4.3961461643974955
122,andò,4.371209641383501
123,modesta,4.338139245695018
124,coppie,4.338139245695018
125,ingegneri,4.338139245695018
126,fiorì,4.338139245695018
127,ordinati,4.338139245695018
128,veruna,4.338139245695018
129,targhe,4.338139245695018
130,scarpellino,4.338139245695018
131,fermezza,4.338139245695018
132,improvviso,4.338139245695018
133,reali,4.338139245695018
134,qui,4.245131059381205
135,compagnia,4.207532688632199
136,confessò,4.18398856586776
137,cammino,4.18398856586776
138,cimieri,4.18398856586776
139,idea,4.18398856586776
140,essendone,4.18398856586776
141,minerbetti,4.18398856586776
142,caponi,4.18398856586776
143,comporre,4.18398856586776
144,statue,4.173694894177046
145,esequie,4.050457173243238
146,accompagna,4.050457173243238
147,camicia,4.050457173243238
148,trae,4.050457173243238
149,ferrante,4.050457173243238
150,possibile,4.038049701499524
151,resoluzione,3.932674137586854
152,felicita,3.932674137586854
153,tavolina,3.932674137586854
154,altari,3.932674137586854
155,passò,3.8504121910642146
156,garbo,3.8273136219290276
157,rimasono,3.8273136219290276
158,imperfetti,3.8273136219290276
159,importanti,3.8273136219290276
160,tornabuoni,3.8273136219290276
161,vespucci,3.8273136219290276
162,scudo,3.8273136219290276
163,servigii,3.8273136219290276
164,fretta,3.8273136219290276
165,canonica,3.8273136219290276
166,fermatosi,3.8273136219290276
167,agli,3.7915844206516285
168,alcun,3.734437675763516
169,riposto,3.732003442124703
170,ingesuati,3.732003442124703
171,doria,3.732003442124703
172,maso,3.732003442124703
173,tolte,3.732003442124703
174,bicci,3.732003442124703
175,fussero,3.7064651918140363
176,lodato,3.6788785475493646
177,michele,3.6516672434378075
178,abitò,3.644992065135073
179,dilettossi,3.644992065135073
180,tolta,3.644992065135073
181,punto,3.624821202773526
182,cavallo,3.624821202773526
183,michelagnolo,3.598330749273485
184,medesimi,3.572186586138779
185,scalzo,3.5649493574615367
