,term,score
0,andrea,48.79131292591943
1,domenico,31.648118319266455
2,castagno,15.30925448771611
3,invidia,14.497959889312593
4,nuova,13.220495203558936
5,mugello,12.55196569760328
6,dipinse,12.386776714350379
7,chiostro,11.293488520075915
8,còlera,10.873503068726256
9,servigiali,10.873503068726256
10,oimè,10.062572852509927
11,liuto,9.718580871080727
12,fratel,9.040921604977946
13,levarselo,9.040921604977946
14,portinari,9.040921604977946
15,medici,8.971018360160626
16,tra,8.952313667249786
17,colorire,8.952313667249786
18,miniato,8.855534653725385
19,giuliano,8.714619985366586
20,olio,8.677247801253174
21,impiccati,8.676278491390036
22,pandolfini,8.676278491390036
23,cappella,8.468399061767872
24,ingiurie,8.36797713173552
25,camera,8.209445084069415
26,bernardetto,8.100914346486476
27,conosceva,8.087734531313782
28,uscio,7.464006884249406
29,percosse,7.289984130270146
30,amicizia,7.248979944656297
31,pazzi,7.1298987149230735
32,cominciò,7.041803449824208
33,vie,6.981682770615629
34,buon,6.96850133264289
35,ad,6.9248329327991165
36,solamente,6.892717870635281
37,fresco,6.881542619083544
38,iscorto,6.593370741733715
39,guardare,6.593370741733715
40,lato,6.422744005076397
41,spedalingo,6.370919471513266
42,etc,6.370919471513266
43,sapeva,6.367696589071807
44,continuando,6.268332882738164
45,contado,6.268332882738164
46,pregio,6.26054234126557
47,lingua,6.170752554399301
48,deliberato,6.170752554399301
49,gloria,6.157083813052061
50,prospettiva,6.157083813052061
51,persona,6.0989141157399285
52,teste,6.0989141157399285
53,tabernacolo,6.057074552249286
54,crucifisso,6.008292989633945
55,volentieri,6.008292989633945
56,guasta,5.988808997987848
57,disegnare,5.960291965594622
58,concorrenza,5.960291965594622
59,piacque,5.960291965594622
60,conosce,5.960291965594622
61,venisse,5.903689769150256
62,lucia,5.903689769150256
63,stata,5.791069951195415
64,testa,5.791069951195415
65,agli,5.687376630977443
66,sdegno,5.668123697837489
67,cagione,5.6455993745119155
68,apostoli,5.518317821324047
69,facciata,5.505234095266835
70,diabolico,5.436751534363128
71,riseppe,5.436751534363128
72,segnare,5.436751534363128
73,orribil,5.436751534363128
74,odiose,5.436751534363128
75,sfondò,5.436751534363128
76,confessione,5.436751534363128
77,pasture,5.436751534363128
78,inumano,5.436751534363128
79,messovisi,5.436751534363128
80,avvenirli,5.436751534363128
81,arrivando,5.436751534363128
82,sopportando,5.436751534363128
83,pervenendo,5.436751534363128
84,soverchiare,5.436751534363128
85,villetta,5.436751534363128
86,legnaia,5.436751534363128
87,anchetta,5.436751534363128
88,micidiale,5.436751534363128
89,accecato,5.436751534363128
90,marchino,5.436751534363128
91,fero,5.436751534363128
92,attenesse,5.436751534363128
93,lavorandola,5.436751534363128
94,conestabile,5.436751534363128
95,sforzatissime,5.436751534363128
96,spendava,5.436751534363128
97,scariotto,5.436751534363128
98,71,5.436751534363128
99,scelerata,5.436751534363128
100,adoperata,5.436751534363128
101,rancore,5.436751534363128
102,spasimata,5.436751534363128
103,inamorate,5.436751534363128
104,sgraffiate,5.436751534363128
105,vendicato,5.436751534363128
106,sagace,5.436751534363128
107,fingendovi,5.436751534363128
108,carducci,5.436751534363128
109,esprimersi,5.436751534363128
110,sgraffiare,5.436751534363128
111,falgavaccio,5.436751534363128
112,socchiuso,5.436751534363128
113,biasimatori,5.436751534363128
114,biasimevole,5.436751534363128
115,serenate,5.436751534363128
116,sciaurato,5.436751534363128
117,arrandellato,5.436751534363128
118,serbasse,5.436751534363128
119,simulatore,5.436751534363128
120,saprebbe,5.436751534363128
121,mure,5.436751534363128
122,alberghetto,5.436751534363128
123,dimenò,5.436751534363128
124,rispondendoli,5.436751534363128
125,sceleratissima,5.436751534363128
126,alberga,5.436751534363128
127,sceleratezza,5.436751534363128
128,simulata,5.436751534363128
129,dominico,5.436751534363128
130,terribile,5.391823020875854
131,dilettava,5.328325624246694
132,rimase,5.281352587368156
133,conoscere,5.281352587368156
134,famiglia,5.281352587368156
135,nuovo,5.281352587368156
136,parendogli,5.149101306867319
137,mio,5.092759552933927
138,poche,5.037961604557698
139,andar,5.037961604557698
140,vituperio,5.0312864262549635
141,maladetto,5.0312864262549635
142,imaginati,5.0312864262549635
143,privar,5.0312864262549635
144,sotterrò,5.0312864262549635
145,eloquente,5.0312864262549635
146,vincendo,5.0312864262549635
147,congiura,5.0312864262549635
148,abbatté,5.0312864262549635
149,aspettarlo,5.0312864262549635
150,nascose,5.0312864262549635
151,aspre,5.0312864262549635
152,lasciatolo,5.0312864262549635
153,restar,5.0312864262549635
154,correr,5.0312864262549635
155,piombi,5.0312864262549635
156,uditolo,5.0312864262549635
157,distendermi,5.0312864262549635
158,cimitero,5.0312864262549635
159,scarperia,5.0312864262549635
160,gioachino,5.0312864262549635
161,congiurati,5.0312864262549635
162,cinquantasei,5.0312864262549635
163,traditori,5.0312864262549635
164,cresci,5.0312864262549635
165,sollazzevole,5.0312864262549635
166,forestiero,5.0312864262549635
167,diminuite,5.0312864262549635
168,stomaco,5.0312864262549635
169,dispone,5.0312864262549635
170,liste,5.0312864262549635
171,boccale,5.0312864262549635
172,sconosciuto,5.0312864262549635
173,ritrovarsi,5.0312864262549635
174,sùbita,5.0312864262549635
175,consolare,5.0312864262549635
176,flagellano,5.0312864262549635
177,manifestato,5.0312864262549635
178,graffiare,5.0312864262549635
179,graffiata,5.0312864262549635
180,folco,5.0312864262549635
181,crudette,5.0312864262549635
182,liberarlo,5.0312864262549635
183,diminuì,5.0312864262549635
184,ugna,5.0312864262549635
185,berettone,5.0312864262549635
186,malevolti,5.0312864262549635
187,accendesse,5.0312864262549635
188,opposito,5.0312864262549635
189,piazza,5.0266542560086975
190,potrebbe,4.984625110393376
191,canto,4.957685701334601
192,ritratti,4.957685701334601
193,corpo,4.957685701334601
194,corso,4.932674137586854
195,dirò,4.932674137586854
196,terza,4.882038521618274
197,tempio,4.85711762521867
198,condotta,4.85711762521867
199,seppe,4.832653296437531
200,nicchie,4.832653296437531
201,tenuta,4.824330413622099
202,patir,4.743604353803183
203,inganno,4.743604353803183
204,tentasse,4.743604353803183
