,term,score
0,andrea,56.41495557059434
1,marmo,24.078814426220838
2,lombardo,15.730696550347416
3,monte,14.759383647655502
4,pilastri,14.353374579838231
5,spartimento,14.17030924459372
6,simone,13.813014424682997
7,sansovino,13.166955767282966
8,bramante,12.741838943026533
9,architettura,12.412329217634372
10,re,12.359449890020013
11,loreto,12.341505108798602
12,camera,12.314167626104123
13,nicchie,12.081633241093828
14,quattro,11.961357813547501
15,cioè,11.508406661551438
16,scultura,11.374753261954886
17,madonna,11.106227528571488
18,nicchia,11.089378547474634
19,galba,10.873503068726256
20,diritti,10.873503068726256
21,grata,10.69484807238461
22,ritonda,10.69484807238461
23,cornice,10.656651248493388
24,altare,10.603447386572698
25,colonne,10.434237235442616
26,cotta,10.26554554146259
27,angeli,10.06985582885751
28,corbinelli,10.062572852509927
29,gabbriello,10.062572852509927
30,cantonate,9.556379207269899
31,armenti,9.487208707606365
32,ricanati,9.487208707606365
33,ordinò,9.205029273735914
34,perfettissima,9.040921604977946
35,cominciò,8.80225431228026
36,ornamento,8.631304996163578
37,misure,8.502185546756234
38,vani,8.502185546756234
39,misura,8.393082614243607
40,dotti,8.36797713173552
41,divina,8.287808654809798
42,benissimo,8.262809502224336
43,facciata,8.257851142900252
44,bronzo,8.142216610803892
45,sfondati,8.100914346486476
46,risalto,8.100914346486476
47,naturalissimo,7.865348275173708
48,pare,7.827752617276187
49,vergine,7.822045780109745
50,arezzo,7.700824382128429
51,giusta,7.654627243858055
52,contucci,7.654627243858055
53,pollaiuolo,7.464006884249406
54,studii,7.3990112063802815
55,spazii,7.289984130270146
56,varia,7.289984130270146
57,fiorentino,7.285349402305837
58,inteso,7.248979944656297
59,bello,7.238837438994269
60,girolamo,7.19666149854697
61,riposo,7.1298987149230735
62,leggiadria,7.1298987149230735
63,agata,6.981682770615629
64,capitelli,6.981682770615629
65,scarpello,6.981682770615629
66,ai,6.881542619083544
67,prete,6.843697027641727
68,portogallo,6.843697027641727
69,spazio,6.71423525043734
70,braccia,6.702205674678263
71,cantoni,6.479053914053818
72,insino,6.432440551496132
73,amici,6.432440551496132
74,lato,6.422744005076397
75,tondi,6.313641072563772
76,alti,6.268332882738164
77,santissimo,6.268332882738164
78,ricco,6.26054234126557
79,cominciato,6.26054234126557
80,nondimeno,6.220750945678763
81,guardando,6.170752554399301
82,faceva,6.059112792327256
83,finite,5.960291965594622
84,inclinazione,5.903689769150256
85,finita,5.865838483244025
86,finimento,5.822045780109745
87,imperfette,5.822045780109745
88,pieno,5.7756182865963215
89,facesse,5.754203330775719
90,standosi,5.743604353803183
91,punta,5.743604353803183
92,cui,5.687376630977443
93,errore,5.668123697837489
94,basti,5.668123697837489
95,cappella,5.6455993745119155
96,angelo,5.644210418621144
97,nei,5.644210418621144
98,dall,5.574801066114312
99,bellissimo,5.539866346239293
100,questi,5.47089912050127
101,ciascun,5.457402666521837
102,lodare,5.457402666521837
103,intagli,5.457402666521837
104,frequentasse,5.436751534363128
105,intensissima,5.436751534363128
106,iscusarsi,5.436751534363128
107,lontananze,5.436751534363128
108,sproporzionato,5.436751534363128
109,sottospazii,5.436751534363128
110,nutrì,5.436751534363128
111,divolgatosi,5.436751534363128
112,capigliatura,5.436751534363128
113,capitata,5.436751534363128
114,mcccclx,5.436751534363128
115,ischiavonia,5.436751534363128
116,provido,5.436751534363128
117,lxviii,5.436751534363128
118,corvi,5.436751534363128
119,rinchiuggono,5.436751534363128
120,sabbione,5.436751534363128
121,scarpellata,5.436751534363128
122,rivista,5.436751534363128
123,boccalino,5.436751534363128
124,ingrossando,5.436751534363128
125,casca,5.436751534363128
126,cascherebbono,5.436751534363128
127,vacanza,5.436751534363128
128,boca,5.436751534363128
129,rubiconda,5.436751534363128
130,giugnendo,5.436751534363128
131,trasforata,5.436751534363128
132,tranquillissimo,5.436751534363128
133,appicarvi,5.436751534363128
134,altezza,5.391823020875854
135,minore,5.328325624246694
136,basamento,5.328325624246694
137,componimento,5.328325624246694
138,miracolo,5.2667823069131865
139,agostino,5.169538402976461
140,lati,5.092759552933927
141,minori,5.092759552933927
142,dinanzi,5.061742375298271
143,rigirando,5.0312864262549635
144,esca,5.0312864262549635
145,costola,5.0312864262549635
146,aquilino,5.0312864262549635
147,voli,5.0312864262549635
148,seppellire,5.0312864262549635
149,singolarissimo,5.0312864262549635
150,md,5.0312864262549635
151,visitata,5.0312864262549635
152,spiccata,5.0312864262549635
153,aiutata,5.0312864262549635
154,collarino,5.0312864262549635
155,allevata,5.0312864262549635
156,battifolle,5.0312864262549635
157,scendere,5.0312864262549635
158,obligate,5.0312864262549635
159,tramutare,5.0312864262549635
160,saluto,5.0312864262549635
161,nettezza,5.0312864262549635
162,salutata,5.0312864262549635
163,dubito,5.0312864262549635
