,term,score
0,orgagna,75.89766966085092
1,andrea,25.920384991894696
2,bernardo,23.457090810048122
3,fratello,16.55495346397214
4,tommaso,16.108801229037848
5,pisa,14.366528897121476
6,dannati,13.561382407466919
7,marmo,13.544333114749222
8,inferno,12.741838943026533
9,cione,12.55196569760328
10,buffalmacco,12.55196569760328
11,morti,11.506286592169893
12,messi,11.487208707606365
13,capella,11.41062331214966
14,scultura,11.374753261954886
15,storia,11.362948108885915
16,paradiso,11.050411539746397
17,fresco,11.01046819053367
18,intendono,10.93497619540522
19,puliti,10.873503068726256
20,traini,10.873503068726256
21,marzocchi,10.873503068726256
22,re,10.81451865376751
23,loggia,10.522735120939622
24,signori,10.266348642758853
25,volando,10.26554554146259
26,angeli,10.06985582885751
27,macario,10.062572852509927
28,andreas,10.062572852509927
29,camposanto,9.718580871080727
30,cionis,9.487208707606365
31,parole,9.33609418940879
32,lapide,9.040921604977946
33,storpiati,9.040921604977946
34,avvolto,9.040921604977946
35,oltr,9.040921604977946
36,comune,8.855534653725385
37,buoni,8.792292328794991
38,romeo,8.676278491390036
39,mostra,8.563658673435196
40,cavano,8.36797713173552
41,facciata,8.257851142900252
42,ai,8.257851142900252
43,riconoscono,8.100914346486476
44,egl,8.100914346486476
45,ritrasse,8.040550689370164
46,posti,7.99248843637004
47,facendo,7.933019663265348
48,sepoltura,7.8801091166126636
49,sembiante,7.654627243858055
50,guardi,7.464006884249406
51,rilievo,7.427539078908504
52,bocca,7.3990112063802815
53,disegni,7.379691823827751
54,sculture,7.32305778242741
55,fecero,7.303334486875615
56,anime,7.289984130270146
57,capo,7.249642405547052
58,scrisse,7.248979944656297
59,età,7.147091745653286
60,alto,7.144373172277558
61,medesimi,7.144373172277558
62,consumati,7.1298987149230735
63,servono,7.1298987149230735
64,romiti,7.1298987149230735
65,architettura,7.092759552933927
66,famiglia,7.041803449824208
67,dall,6.96850133264289
68,vivi,6.903771955301935
69,com,6.843697027641727
70,insin,6.843697027641727
71,quest,6.748989833731028
72,stanno,6.653627128484781
73,ritratti,6.610247601779468
74,scritte,6.593370741733715
75,coscia,6.593370741733715
76,costumato,6.479053914053818
77,umana,6.479053914053818
78,basso,6.476156833624894
79,amori,6.370919471513266
80,saglie,6.370919471513266
81,dante,6.370919471513266
82,madonna,6.346415730612279
