,term,score
0,antonello,60.37543711505956
1,fiandra,33.573099926832924
2,bruggia,25.15643213127482
3,vernice,25.10393139520656
4,colorire,17.904627334499573
5,messina,16.73595426347104
6,olio,13.883596482005078
7,olii,13.014417737085054
8,segreto,11.196010326374108
9,cassano,10.873503068726256
10,tempera,10.522735120939622
11,sole,10.414152761227648
12,colori,9.915371402669201
13,percossa,9.487208707606365
14,ruggieri,9.487208707606365
15,lavare,9.487208707606365
16,imaginato,9.040921604977946
17,mescolati,9.040921604977946
18,niuno,8.563658673435196
19,trovato,8.209445084069415
20,caldo,7.654627243858055
21,italia,7.583168841303257
22,avevano,7.238837438994269
23,domenico,7.192754163469649
24,forse,7.041803449824208
25,cercato,6.981682770615629
26,ad,6.9248329327991165
27,bellezza,6.748989833731028
28,sperienza,6.714619985366585
29,gentiluomini,6.71423525043734
30,vinezia,6.653627128484781
31,vederla,6.593370741733715
32,avessino,6.370919471513266
33,napoli,6.367696589071807
34,sulle,6.268332882738164
35,pittori,6.220750945678763
36,invenzione,6.1797249450100065
37,cortesie,6.170752554399301
38,novità,6.170752554399301
39,cortesia,6.077712523129515
40,alfonso,5.903689769150256
41,pensare,5.903689769150256
42,quivi,5.7756182865963215
43,punta,5.743604353803183
44,seguitato,5.525205769873199
45,colorito,5.477500865156712
46,considero,5.436751534363128
47,contegitur,5.436751534363128
48,sofisticando,5.436751534363128
49,summo,5.436751534363128
50,siciliae,5.436751534363128
51,splendorem,5.436751534363128
52,noci,5.436751534363128
53,picturis,5.436751534363128
54,mescolate,5.436751534363128
55,chiamarli,5.436751534363128
56,miscendis,5.436751534363128
57,dedita,5.436751534363128
58,ragunandosi,5.436751534363128
59,totius,5.436751534363128
60,ausse,5.436751534363128
61,ornamentum,5.436751534363128
62,violento,5.436751534363128
63,maneggiate,5.436751534363128
64,praecipuum,5.436751534363128
65,digrosso,5.436751534363128
66,posassino,5.436751534363128
67,messanae,5.436751534363128
68,trovandola,5.436751534363128
69,costano,5.436751534363128
70,provati,5.436751534363128
71,venustas,5.436751534363128
72,perpetuitatem,5.436751534363128
73,1250,5.436751534363128
74,avarissimi,5.436751534363128
75,sperimentate,5.436751534363128
76,quibus,5.436751534363128
77,invidiarlo,5.436751534363128
78,artificum,5.436751534363128
79,artificium,5.436751534363128
80,oleo,5.436751534363128
81,celebrarlo,5.436751534363128
82,venerea,5.436751534363128
83,pissello,5.436751534363128
84,privincie,5.436751534363128
85,conoscergli,5.436751534363128
86,attenderò,5.436751534363128
87,celebratus,5.436751534363128
88,seccativi,5.436751534363128
89,seccasse,5.436751534363128
