,term,score
0,filarete,27.18375767181564
1,eugenio,14.928013768498811
2,marmo,12.039407213110419
3,spedale,11.398755566065075
4,simone,11.050411539746397
5,edificare,10.69484807238461
6,bronzo,10.177770763504865
7,centosessanta,10.062572852509927
8,inetti,10.062572852509927
9,ministri,8.733068670164617
10,antonio,8.686604926793123
11,storietta,8.36797713173552
12,sigismondo,8.100914346486476
13,filareto,8.100914346486476
14,sepoltura,7.8801091166126636
15,malatesti,7.654627243858055
16,rimini,7.654627243858055
17,rilievo,7.427539078908504
18,braccia,6.702205674678263
19,capella,6.520356178371234
20,mantova,6.479053914053818
21,sforza,6.370919471513266
22,fondamenti,6.370919471513266
23,fiorentini,6.367696589071807
24,pio,5.903689769150256
25,processione,5.822045780109745
26,serve,5.5953884094957385
27,salvatore,5.5953884094957385
28,edifizii,5.457402666521837
29,recuperavit,5.436751534363128
30,leggero,5.436751534363128
31,commettendovi,5.436751534363128
32,pauperibus,5.436751534363128
33,penarono,5.436751534363128
34,risolutamente,5.436751534363128
35,considerassono,5.436751534363128
36,franciscus,5.436751534363128
37,ciuffagni,5.436751534363128
38,restaurarono,5.436751534363128
39,graticolato,5.436751534363128
40,impoverire,5.436751534363128
41,scamisci,5.436751534363128
42,storiata,5.436751534363128
43,sfortiae,5.436751534363128
44,sughero,5.436751534363128
45,legitimamente,5.436751534363128
46,obitum,5.436751534363128
47,mescolandovi,5.436751534363128
48,praecessorum,5.436751534363128
49,1431,5.436751534363128
50,fundavitque,5.436751534363128
51,sessantanove,5.436751534363128
52,riolo,5.436751534363128
53,ritruovi,5.436751534363128
54,amissum,5.436751534363128
55,foccota,5.436751534363128
56,credendosi,5.436751534363128
57,trascurati,5.436751534363128
58,biancamaria,5.436751534363128
59,ambasciador,5.436751534363128
60,appartati,5.436751534363128
61,imperium,5.436751534363128
62,gonfallonier,5.436751534363128
63,dello,5.061742375298271
64,ermini,5.0312864262549635
65,1457,5.0312864262549635
66,tralasciata,5.0312864262549635
67,sciaurata,5.0312864262549635
68,impaccia,5.0312864262549635
69,aprilis,5.0312864262549635
70,concilii,5.0312864262549635
71,1464,5.0312864262549635
72,varrone,5.0312864262549635
73,sciocca,5.0312864262549635
74,apoggiata,5.0312864262549635
75,torni,5.0312864262549635
76,elefanti,5.0312864262549635
77,55,5.0312864262549635
78,munus,5.0312864262549635
79,basso,4.85711762521867
