,term,score
0,pontefice,16.555645635013235
1,marmo,13.544333114749222
2,rossellino,13.014417737085054
3,pulitezza,12.536665765476329
4,commode,12.151371519729715
5,bernardo,11.728545405024061
6,loggie,11.481940865787083
7,nicola,11.190776818991477
8,fortezza,10.656651248493388
9,botteghe,10.472524155923445
10,ristaurò,10.062572852509927
11,giannozzo,9.487208707606365
12,rifece,9.402499324107247
13,magnificenza,9.116568784694273
14,manetti,9.040921604977946
15,antonio,8.686604926793123
16,abitazioni,8.676278491390036
17,rifondò,8.676278491390036
18,facendovi,8.393082614243607
19,dotto,8.36797713173552
20,sepoltura,7.8801091166126636
21,torrione,7.865348275173708
22,garbo,7.654627243858055
23,santissima,7.289984130270146
24,mura,7.248979944656297
25,cristiani,7.1298987149230735
26,architettura,7.092759552933927
27,arebbono,6.593370741733715
28,macigno,6.170752554399301
29,donde,5.988808997987848
30,miniato,5.903689769150256
31,fuori,5.828279521844669
32,averebbe,5.822045780109745
33,su,5.754203330775719
34,chiama,5.668123697837489
35,belle,5.539866346239293
36,perfetta,5.457402666521837
37,seguenti,5.436751534363128
38,abitano,5.436751534363128
39,librerie,5.436751534363128
40,1459,5.436751534363128
41,statone,5.436751534363128
42,artifiziosissime,5.436751534363128
43,gualdo,5.436751534363128
44,visitassero,5.436751534363128
45,stazioni,5.436751534363128
46,riallargò,5.436751534363128
47,institute,5.436751534363128
48,ampliò,5.436751534363128
49,coronazioni,5.436751534363128
50,muros,5.436751534363128
51,appartata,5.436751534363128
52,bucare,5.436751534363128
53,extra,5.436751534363128
54,legga,5.436751534363128
55,sbarrano,5.436751534363128
56,cristianesimo,5.436751534363128
57,arrechino,5.436751534363128
58,intraversate,5.436751534363128
59,malfi,5.436751534363128
60,dirizzavano,5.436751534363128
61,crederà,5.436751534363128
62,riedificare,5.436751534363128
63,malfatta,5.436751534363128
64,indendeva,5.436751534363128
65,incapace,5.436751534363128
66,ritondare,5.436751534363128
67,nori,5.436751534363128
68,recipienti,5.436751534363128
69,separando,5.436751534363128
70,generar,5.436751534363128
71,inutilmente,5.436751534363128
72,verginità,5.436751534363128
73,artifizio,5.391823020875854
74,grandezza,5.358279879208169
75,nuovo,5.281352587368156
76,cassa,5.2667823069131865
77,minori,5.092759552933927
78,rovina,5.037961604557698
79,infedeli,5.0312864262549635
80,amalati,5.0312864262549635
81,ridotti,5.0312864262549635
82,azioni,5.0312864262549635
83,interposta,5.0312864262549635
84,46,5.0312864262549635
85,pestiferi,5.0312864262549635
86,rossellini,5.0312864262549635
87,giudizi,5.0312864262549635
88,1490,5.0312864262549635
89,sede,5.0312864262549635
90,irresoluto,5.0312864262549635
91,accender,5.0312864262549635
92,proconsolo,5.0312864262549635
93,aggruppata,5.0312864262549635
94,prasedia,5.0312864262549635
95,partii,5.0312864262549635
96,comprendendo,5.0312864262549635
97,spedizioni,5.0312864262549635
98,nominarlo,5.0312864262549635
99,volesse,4.932674137586854
100,cardinale,4.890267133778425
101,servì,4.882038521618274
102,scrisse,4.832653296437531
103,sa,4.78445819327941
104,poter,4.78445819327941
105,stimato,4.78445819327941
106,culto,4.743604353803183
107,minutissimamente,4.743604353803183
108,teodoro,4.743604353803183
109,diligentissima,4.743604353803183
110,civitavecchia,4.743604353803183
111,castellana,4.743604353803183
112,celio,4.743604353803183
113,openioni,4.743604353803183
114,conclave,4.743604353803183
115,netta,4.743604353803183
116,narni,4.743604353803183
117,certissimo,4.743604353803183
118,sacro,4.743604353803183
119,civita,4.743604353803183
120,fanciulli,4.737397198459022
121,pare,4.696651570365712
122,cortina,4.520460802488973
123,fastidii,4.520460802488973
124,angelica,4.520460802488973
125,fratel,4.520460802488973
126,conoscente,4.520460802488973
127,introdusse,4.520460802488973
128,bruni,4.520460802488973
129,acquidotti,4.520460802488973
130,bagnarsi,4.520460802488973
131,stessino,4.520460802488973
132,minacciava,4.520460802488973
133,superba,4.520460802488973
134,giustamente,4.520460802488973
135,rassettò,4.520460802488973
136,aggiunta,4.520460802488973
137,cristianità,4.520460802488973
138,fabriano,4.520460802488973
139,spoleti,4.520460802488973
140,operare,4.435751418989854
141,sommo,4.435751418989854
142,dir,4.435751418989854
143,spesa,4.435751418989854
144,chiamato,4.42781509429665
145,monte,4.42781509429665
146,mondo,4.371209641383501
147,stata,4.343302463396562
148,utilissima,4.338139245695018
149,delicato,4.338139245695018
