,term,score
0,antonio,23.16427980478166
1,ranieri,19.66337068793427
2,pisa,10.261806355086769
3,oppressi,10.062572852509927
4,camposanto,9.718580871080727
5,spiritato,9.487208707606365
6,beato,9.116568784694273
7,oste,9.040921604977946
8,secco,8.733068670164617
9,quest,8.436237292163785
10,somigliante,7.865348275173708
11,archetto,7.865348275173708
12,viso,7.639139329400891
13,viniziano,7.556942406836548
14,proprietà,7.464006884249406
15,immaginare,7.464006884249406
16,ricevono,7.1298987149230735
17,fresco,6.881542619083544
18,dipinse,6.881542619083544
19,vinegia,6.843697027641727
20,anche,6.776093112045548
21,pane,6.714619985366585
22,corpo,6.610247601779468
23,colori,6.610247601779468
24,lascia,6.479053914053818
25,gesti,6.479053914053818
26,mostra,6.422744005076397
27,dimostrò,6.268332882738164
28,stefano,6.26054234126557
29,ponte,6.208367113129963
30,medico,6.170752554399301
31,luce,5.988808997987848
32,dì,5.960291965594622
33,dipinta,5.820731918689944
34,standosi,5.743604353803183
35,certi,5.717673396522629
36,miracoli,5.668123697837489
37,peste,5.5953884094957385
38,grandemente,5.525205769873199
39,stralucenti,5.436751534363128
40,sdruce,5.436751534363128
41,splendidissima,5.436751534363128
42,panuzio,5.436751534363128
43,invecchia,5.436751534363128
44,enfiato,5.436751534363128
45,fatigate,5.436751534363128
46,ammaestrando,5.436751534363128
47,saremmo,5.436751534363128
48,gatto,5.436751534363128
49,draganti,5.436751534363128
50,1384,5.436751534363128
51,elegendosi,5.436751534363128
52,sopraposti,5.436751534363128
53,tirannia,5.436751534363128
54,appanna,5.436751534363128
55,turibile,5.436751534363128
56,pensarvi,5.436751534363128
57,stravolti,5.436751534363128
58,cercargli,5.436751534363128
59,favellino,5.436751534363128
60,ingordissimo,5.436751534363128
61,premiata,5.436751534363128
62,marinareschi,5.436751534363128
63,purghi,5.436751534363128
64,asciutte,5.436751534363128
65,gomme,5.436751534363128
66,purgargli,5.436751534363128
67,idropico,5.436751534363128
68,idropici,5.436751534363128
69,oltraggiati,5.436751534363128
70,dioscoride,5.436751534363128
71,oliverio,5.436751534363128
72,trafitti,5.436751534363128
73,quand,5.436751534363128
74,medicando,5.436751534363128
75,nuovoli,5.436751534363128
76,duomo,5.206348680751905
77,abruciasse,5.0312864262549635
78,prontissime,5.0312864262549635
79,dispensando,5.0312864262549635
80,labbra,5.0312864262549635
81,imbarca,5.0312864262549635
82,bavero,5.0312864262549635
83,avverrebbe,5.0312864262549635
84,merci,5.0312864262549635
85,stomaco,5.0312864262549635
86,spediti,5.0312864262549635
87,ritoccando,5.0312864262549635
88,lungi,5.0312864262549635
89,rianno,5.0312864262549635
90,ciechi,5.0312864262549635
91,edificatori,5.0312864262549635
92,sperienze,5.0312864262549635
93,liberati,5.0312864262549635
94,esperto,5.0312864262549635
95,temperati,5.0312864262549635
96,inavvertenza,5.0312864262549635
97,certissima,5.0312864262549635
98,aria,4.991971788805469
99,corso,4.932674137586854
100,invidia,4.832653296437531
101,abandonò,4.743604353803183
102,circondati,4.743604353803183
103,74,4.743604353803183
104,amarono,4.743604353803183
105,osterie,4.743604353803183
106,starnini,4.743604353803183
107,pregiate,4.743604353803183
108,cantori,4.743604353803183
109,portarsi,4.743604353803183
110,gesto,4.743604353803183
111,riusciti,4.743604353803183
112,diedesi,4.743604353803183
113,inchinato,4.743604353803183
114,conseguito,4.743604353803183
115,rattratti,4.743604353803183
116,seguitò,4.602514636867957
117,sanese,4.55950222642603
118,grasso,4.520460802488973
119,laurati,4.520460802488973
120,ardore,4.520460802488973
121,abbattuto,4.520460802488973
122,stiano,4.520460802488973
123,zebedeo,4.520460802488973
124,poverello,4.520460802488973
125,sagrestano,4.520460802488973
126,marinari,4.520460802488973
127,stillare,4.520460802488973
128,durate,4.520460802488973
129,liberata,4.520460802488973
130,dispensare,4.520460802488973
131,morsi,4.520460802488973
132,secche,4.520460802488973
133,mediocri,4.520460802488973
134,cesta,4.520460802488973
135,digrignando,4.520460802488973
136,medicina,4.520460802488973
137,graziati,4.520460802488973
138,starebbono,4.520460802488973
139,somiglia,4.520460802488973
140,patria,4.485509180080313
141,abiti,4.435751418989854
142,uova,4.338139245695018
143,molle,4.338139245695018
144,teoriche,4.338139245695018
145,demonio,4.338139245695018
146,gaddo,4.338139245695018
147,partono,4.338139245695018
148,collocato,4.338139245695018
149,sudori,4.338139245695018
150,nocumento,4.338139245695018
151,maravigliano,4.338139245695018
152,mantenute,4.338139245695018
