,term,score
0,correggio,13.561382407466919
1,lombardia,11.190776818991477
2,antonio,10.134372414591976
3,colorito,9.129168108594518
4,reggio,8.676278491390036
5,occhi,8.209445084069415
6,veggono,7.32305778242741
7,suggetto,6.981682770615629
8,dipinse,6.881542619083544
9,fresco,6.881542619083544
10,carni,6.843697027641727
11,lume,6.653627128484781
12,colori,6.610247601779468
13,esprimere,6.593370741733715
14,dotato,6.593370741733715
15,parma,6.479053914053818
16,stupenda,6.479053914053818
17,paese,6.422744005076397
18,morbidezza,6.268332882738164
19,èvvi,6.268332882738164
20,splendore,6.268332882738164
21,moltitudine,6.170752554399301
22,par,6.157083813052061
23,difficultà,6.157083813052061
24,fatiche,6.139115459153934
25,nessuno,6.008292989633945
26,artefice,6.008292989633945
27,fregi,5.988808997987848
28,visto,5.743604353803183
29,vaghezza,5.668123697837489
30,vago,5.525205769873199
31,venere,5.525205769873199
32,capegli,5.457402666521837
33,fa,5.436856361829635
34,olympi,5.436751534363128
35,dilicatezza,5.436751534363128
36,aparendogli,5.436751534363128
37,dextra,5.436751534363128
38,suplicuere,5.436751534363128
39,aconcime,5.436751534363128
40,ricingere,5.436751534363128
41,positivamente,5.436751534363128
42,dissegnate,5.436751534363128
43,liceat,5.436751534363128
44,cerneret,5.436751534363128
45,pingi,5.436751534363128
46,posset,5.436751534363128
47,inde,5.436751534363128
48,deas,5.436751534363128
49,xl,5.436751534363128
50,sopravvenne,5.436751534363128
51,regeret,5.436751534363128
52,affliggeva,5.436751534363128
53,scalmanato,5.436751534363128
54,iuvenem,5.436751534363128
55,beendo,5.436751534363128
56,percuota,5.436751534363128
57,occorenzie,5.436751534363128
58,bagnava,5.436751534363128
59,alme,5.436751534363128
60,limpida,5.436751534363128
61,arebbano,5.436751534363128
62,rallegri,5.436751534363128
63,iovi,5.436751534363128
64,epiggrama,5.436751534363128
65,potrebbonsi,5.436751534363128
66,tagliandolo,5.436751534363128
67,annuit,5.436751534363128
68,summi,5.436751534363128
69,regnator,5.436751534363128
70,locate,5.436751534363128
71,arcolani,5.436751534363128
72,artus,5.436751534363128
73,salvorono,5.436751534363128
74,maneggiati,5.436751534363128
75,nudas,5.436751534363128
76,contentavasi,5.436751534363128
77,volendoli,5.436751534363128
78,paragonalla,5.436751534363128
79,alia,5.436751534363128
80,dormano,5.436751534363128
81,charitum,5.436751534363128
82,charites,5.436751534363128
83,praesens,5.436751534363128
84,rogamus,5.436751534363128
85,ocupava,5.436751534363128
86,arecato,5.436751534363128
87,ammirano,5.436751534363128
88,accadendo,5.436751534363128
89,giuso,5.436751534363128
90,piutosto,5.436751534363128
91,ritrovatore,5.436751534363128
92,praeter,5.436751534363128
93,tengasi,5.436751534363128
94,piovuti,5.436751534363128
95,votis,5.436751534363128
96,spiritus,5.436751534363128
97,rinfrescarsi,5.436751534363128
