,term,score
0,antonio,136.09014385309226
1,fortezza,29.305790933356818
2,melighino,25.15643213127482
3,farnese,24.558311999348266
4,santità,23.170955880902937
5,modello,23.150017266067167
6,fabbrica,22.97441741521273
7,bramante,22.29821815029643
8,sangallo,20.9199428293388
9,clemente,20.523612710173538
10,pozzo,19.437161742161454
11,abaco,18.97441741521273
12,palmi,18.660017210623515
13,loreto,18.512257663197904
14,pietro,17.991653746367426
15,fabbriche,17.109242569104318
16,tal,16.694779576708186
17,terni,16.310254603089383
18,disegni,16.23532201242105
19,architetto,15.958257792491105
20,architetti,15.80034692073956
21,scale,15.666548917687127
22,stanze,14.986402678511592
23,banda,14.825860767256145
24,archi,14.607932129619662
25,pontefice,14.48618993063658
26,michelagnolo,14.39332299709394
27,pilastri,14.353374579838231
28,terzo,13.907347919720785
29,adriano,13.687394055283454
30,architettore,13.643506666304592
31,scudi,13.552186224091097
32,leone,13.188438493192486
33,mondo,13.113628924150506
34,giuliano,13.071929978049878
35,fabbricare,13.014417737085054
36,rifondò,13.014417737085054
37,nazione,12.958107828107636
38,inespugnabile,12.55196569760328
39,reverendissimo,12.536665765476329
40,condurre,12.416734226259926
41,cardinal,12.331685343967136
42,commessione,12.15542504625903
43,membri,12.151371519729715
44,quattro,11.961357813547501
45,peso,11.807379538300513
46,accrebbe,11.798022412760561
47,gallo,11.61618112576377
48,sisto,11.487208707606365
49,lago,11.481940865787083
50,cardinale,11.41062331214966
51,cortile,11.398755566065075
52,termine,11.293488520075915
53,veggiamo,11.196010326374108
54,disordine,11.196010326374108
55,restaurare,11.196010326374108
56,spesa,11.089378547474634
57,logge,11.050411539746397
58,dua,11.050411539746397
59,paulo,11.032152763257729
60,fecero,10.955001730313423
61,papato,10.873503068726256
62,iacopo,10.743452053519384
63,vicino,10.562705174736312
64,zecca,10.472524155923445
65,principi,10.298202613734638
66,ingegnosa,10.26554554146259
67,dinanzi,10.123484750596543
68,rovina,10.075923209115397
69,cornicione,10.071929978049877
70,alterò,10.062572852509927
71,minacciare,10.062572852509927
72,crocere,10.062572852509927
