,term,score
0,arnolfo,87.47980956324176
1,campanile,42.11385044134982
2,edifizii,27.287013332609185
3,braccia,23.45771986137392
4,torre,21.746939833968888
5,sebbene,20.94504831184689
6,lapo,20.25228586621619
7,jacopo,19.13656810964514
8,fondamenti,19.112758414539798
9,marchionne,18.97441741521273
10,terzo,17.880875896783866
11,innocenzio,16.786549963416462
12,fondò,16.201828692972953
13,fuori,16.02776868507284
14,cupola,15.426881385998252
15,marmo,13.544333114749222
16,dei,13.372737068228767
17,altissimo,13.014417737085054
18,brunellesco,12.958107828107636
19,fabrica,12.845488010152794
20,modello,12.627282145127545
21,pende,12.55196569760328
22,alta,11.961145483198525
23,fiore,11.920583931189244
24,considerazione,11.843492996147555
25,elia,11.798022412760561
26,piazza,11.72885993068696
27,capella,11.41062331214966
28,fondare,10.93497619540522
29,bonanno,10.873503068726256
30,profondi,10.873503068726256
31,monreale,10.873503068726256
32,buono,10.534481311471616
33,casentino,10.472524155923445
34,colonne,10.434237235442616
35,chiese,10.298202613734638
36,architettori,10.26554554146259
37,minori,10.185519105867854
38,platea,10.062572852509927
39,gagliardissimi,10.062572852509927
40,macchina,10.062572852509927
41,edifizio,9.865348275173709
42,sculture,9.764077043236547
43,pietra,9.551955048734834
44,italia,9.47896105162907
45,ragionevole,9.292944900611015
46,ascesi,9.256128831598952
47,tedesco,9.256128831598952
48,degli,9.2086731887309
49,architetto,9.11900445285206
50,campana,9.040921604977946
51,torrioni,9.040921604977946
52,porvi,9.040921604977946
53,edificio,9.040921604977946
54,fuor,8.971018360160626
55,grandezza,8.930466465346948
56,reggono,8.855534653725385
57,comune,8.855534653725385
58,peso,8.855534653725385
59,proemio,8.676278491390036
60,macigni,8.676278491390036
61,lapi,8.676278491390036
62,navi,8.676278491390036
63,tetti,8.676278491390036
64,cioè,8.631304996163578
65,almeno,8.615406530704774
66,fiorentini,8.49026211876241
67,badia,8.418188096751697
68,grandissime,8.393082614243607
69,legato,8.393082614243607
70,case,8.377757093347828
71,millesimo,8.36797713173552
72,fondata,8.36797713173552
73,poppi,8.36797713173552
74,sicilia,8.36797713173552
75,ed,8.287808654809798
76,corpo,8.262809502224336
77,diede,8.206348680751905
78,intagli,8.186103999782755
79,sé,8.155284542744454
80,navata,8.100914346486476
81,priori,8.100914346486476
82,uberti,8.100914346486476
83,fuit,8.100914346486476
84,onorio,8.100914346486476
85,gotti,8.100914346486476
86,insino,8.040550689370164
87,facendo,7.933019663265348
