,term,score
0,empty,5.436751534363128
1,file,5.436751534363128
2,auteur,5.436751534363128
3,10,0.0
4,poggino,0.0
5,policleto,0.0
6,poli,0.0
7,polesine,0.0
8,polenta,0.0
9,polastra,0.0
10,pola,0.0
11,poiché,0.0
12,poggiuolo,0.0
13,poggio,0.0
14,poggibonzi,0.0
15,poggini,0.0
16,poema,0.0
17,poggiare,0.0
18,poggi,0.0
19,poetico,0.0
20,poetiche,0.0
21,poeticamente,0.0
22,poetica,0.0
23,poeti,0.0
24,poeta,0.0
25,poesie,0.0
26,polidoro,0.0
27,polifemo,0.0
28,polignoto,0.0
29,polimaste,0.0
30,pomo,0.0
31,pomarancie,0.0
32,polvere,0.0
33,polvaccio,0.0
34,poltronieri,0.0
35,polsi,0.0
36,polonia,0.0
37,polo,0.0
38,polluce,0.0
39,pollonia,0.0
40,pollirone,0.0
41,pollice,0.0
42,polli,0.0
43,polle,0.0
44,pollastra,0.0
45,pollaiuolo,0.0
46,pollaiuoli,0.0
47,pollaiolo,0.0
48,polla,0.0
49,polizza,0.0
50,poliziano,0.0
51,polito,0.0
52,polinnia,0.0
53,poesia,0.0
54,podestà,0.0
55,pompa,0.0
56,placatis,0.0
57,plebaccia,0.0
58,plautilla,0.0
59,platone,0.0
60,platina,0.0
61,platea,0.0
62,plastas,0.0
63,plasme,0.0
64,placido,0.0
65,placidissimo,0.0
66,placida,0.0
67,placato,0.0
68,placarlo,0.0
69,podesteria,0.0
70,placa,0.0
71,pièta,0.0
72,piè,0.0
73,pizzolo,0.0
74,pizzicagnolo,0.0
75,piviali,0.0
76,piviale,0.0
77,pive,0.0
78,piuttosto,0.0
79,piutosto,0.0
80,pius,0.0
81,plebe,0.0
82,plebei,0.0
83,plebeo,0.0
84,plena,0.0
85,poderi,0.0
86,poderetto,0.0
87,podere,0.0
88,pochissimo,0.0
89,pochissimi,0.0
90,pochissime,0.0
91,pochissima,0.0
92,pochi,0.0
93,pochetto,0.0
94,poche,0.0
95,pocci,0.0
96,poca,0.0
97,po,0.0
98,plutone,0.0
99,plus,0.0
100,plurimum,0.0
101,plurima,0.0
102,plures,0.0
103,pluma,0.0
104,ploremus,0.0
105,plinio,0.0
106,plenis,0.0
107,plenaria,0.0
108,pomona,0.0
109,pompeio,0.0
110,pompe,0.0
111,porgendoli,0.0
112,porgelo,0.0
113,porge,0.0
114,porfirio,0.0
115,porfido,0.0
116,porfidi,0.0
117,pordenone,0.0
118,porco,0.0
119,porci,0.0
120,porchetta,0.0
121,porcellana,0.0
122,porca,0.0
123,por,0.0
124,populo,0.0
125,poppi,0.0
126,poppe,0.0
127,poppano,0.0
128,poppa,0.0
129,popolosa,0.0
130,popolo,0.0
131,popoli,0.0
132,popoleschi,0.0
133,popolare,0.0
134,popolani,0.0
135,porgendo,0.0
136,porgendosegli,0.0
137,ponzio,0.0
138,porgendosi,0.0
139,porrà,0.0
140,porro,0.0
141,porremo,0.0
142,porre,0.0
143,porranno,0.0
144,porpora,0.0
145,porne,0.0
146,porlo,0.0
147,porle,0.0
148,porla,0.0
149,pori,0.0
150,porgono,0.0
151,porglieli,0.0
152,porgli,0.0
153,porgeva,0.0
154,porgessino,0.0
155,porgessi,0.0
156,porgessero,0.0
157,porgesse,0.0
158,porgerli,0.0
159,porgergli,0.0
160,porgerebbe,0.0
161,porgere,0.0
162,popolaccio,0.0
163,ponziano,0.0
164,piumosità,0.0
165,pongaseli,0.0
166,ponevano,0.0
167,poneva,0.0
168,ponetevi,0.0
169,ponessino,0.0
170,ponessi,0.0
171,ponessero,0.0
172,ponesse,0.0
173,ponente,0.0
174,ponendovi,0.0
175,ponendosi,0.0
176,ponendone,0.0
177,ponendogli,0.0
178,ponendo,0.0
179,pone,0.0
180,pondo,0.0
