,term,score
0,baccio,539.5130886311067
1,marmo,142.96796065568623
2,duca,122.39386995873805
3,gigante,85.83607916886817
4,statua,82.84526346362323
5,modello,79.97278691914113
6,braccia,77.07536525880002
7,statue,73.0396606480983
8,michelagnolo,70.16744961083296
9,benvenuto,59.712055073995245
10,clemente,53.3613930464512
11,ammannato,50.31286426254964
12,addunque,50.20786279041312
13,carrara,49.36602043519441
14,cacco,45.20460802488973
15,marmi,43.315271151047284
16,ercole,43.134584167006835
17,innanzi,41.68544383189555
18,eccellenza,40.78336742937008
19,davitte,40.50457173243238
20,piazza,40.21323404806958
21,leone,39.56531547957746
22,messe,39.461393100694835
23,cardinale,39.1221370702274
24,medici,38.874412894029376
25,udienza,37.02451532639581
26,fuora,35.04684963569305
27,padre,34.96967713106801
28,scultore,34.94934620171897
29,solosmeo,34.705113965560145
30,facesse,34.52521998465431
31,sala,34.4358014263485
32,giuliano,32.67982494512469
33,principe,32.062381894314555
34,tra,31.333097835374254
35,voleva,31.039171569221363
36,santità,30.894607841203914
37,duchessa,30.388562615647572
38,laoconte,30.366974719865127
39,faceva,30.29556396163628
40,altare,30.29556396163628
41,diceva,29.907750662360254
42,coro,29.332671675411543
43,colonne,29.215864259239325
44,bronzo,28.497758137813623
45,pe,28.461626122819098
46,quattro,28.408224807175316
47,cera,28.0101775411366
48,testa,27.507582268178222
49,su,27.332465821184666
50,cartone,27.287013332609185
51,sepolture,26.959115104379272
52,dicendo,26.851211868900506
53,finire,26.6806965232256
54,disse,26.597848323502227
55,nicchie,26.579593130406423
56,modelli,26.579593130406423
57,pilastri,26.314520063036756
58,degli,26.091240701404217
59,dette,25.904627334499576
60,giudicio,25.51494445594551
61,braccio,25.4862287411964
62,fino,25.31383050277376
63,poteva,25.308711876491355
64,orefice,25.18980802278849
65,fussino,24.558311999348266
66,ornamento,24.455364155796808
67,andrea,24.395656462959714
68,imbasamento,24.30274303945943
69,pose,24.228298208997145
70,alessandro,24.228298208997145
71,figura,24.078814426220838
72,basamento,23.977465309110123
73,eva,23.95523599195139
74,basa,23.952939596746045
75,sepoltura,23.64032734983799
76,facciata,23.397244904884047
77,cosimo,23.295868347758855
78,doveva,23.23236225152754
79,otto,23.102473146385286
80,papi,23.076797596068
81,male,23.051468547035263
82,lorenzo,22.870693586090518
83,difetti,22.602304012444865
84,pezzi,22.58697704015183
85,adamo,22.100823079492795
86,quadro,21.934216959625843
87,andò,21.85604820691751
88,fiore,21.854403873846948
89,tu,21.829610666087348
90,teneva,21.746939833968888
91,facce,21.746939833968888
92,niccodemo,21.69069622847509
93,andare,21.58998449564091
94,stanze,21.40914668358799
95,ossa,21.271993830953303
96,co,20.828305522455295
97,mettere,20.539407216699338
98,rispose,20.37103821173571
99,dio,20.352156804918085
100,ornare,20.25228586621619
101,bologna,20.027643298779818
102,farne,19.730696550347417
103,dispiacere,19.338220194556197
104,rilievo,19.31160160516211
105,questi,19.148146921754442
106,continovo,19.13656810964514
107,fossato,18.97441741521273
108,isquadra,18.97441741521273
109,largo,18.87138057306549
110,desse,18.87138057306549
111,favori,18.804998648214493
112,doria,18.660017210623515
113,pensando,18.58588980122203
114,morto,18.582438538698547
115,fiume,18.433738074196153
116,andava,18.31998737430876
117,finì,18.303896558953387
118,lavoro,18.296742347219784
119,dato,18.23264165073953
120,giganti,18.224960325675365
121,arrivato,18.22476733214838
122,piloto,18.081843209955892
123,allogagione,18.081843209955892
124,arco,17.991653746367426
125,concorrenza,17.880875896783866
126,giovane,17.689211516614364
127,sé,17.669783175946314
128,porre,17.632865615951943
129,signor,17.570291439467994
130,sedere,17.42923997073317
131,alcuno,17.276854410967616
132,belvedere,17.23081306140955
133,dovesse,17.12731734687039
134,donò,17.08713482566396
135,ignudi,17.08713482566396
136,giorgio,16.9908191607976
137,dinanzi,16.87247458432757
138,muscoli,16.786549963416462
139,curava,16.73595426347104
140,incirca,16.73595426347104
141,abbiamo,16.483426854334287
142,sette,16.419963567033683
143,vedendo,16.41889016813883
144,signa,16.310254603089383
145,colorirlo,16.310254603089383
146,gaiuole,16.310254603089383
147,dire,16.23532201242105
148,patire,16.201828692972953
149,contratto,16.201828692972953
150,balaustri,16.201828692972953
151,operò,16.197634785134547
152,tetto,16.175469062627563
153,finita,16.13105582892107
154,cornice,15.98497687274008
155,risolvé,15.98497687274008
156,cortile,15.958257792491105
157,giacere,15.927298678783167
158,buonarroto,15.927298678783167
159,ora,15.866039326530696
160,salviati,15.80034692073956
161,neve,15.730696550347416
162,biasimo,15.670832206845411
163,baldassarre,15.670832206845411
164,dovevano,15.670832206845411
165,seco,15.64409156021949
166,occasione,15.52512996646449
167,ciascuno,15.521951783173183
168,chiese,15.447303920601957
169,murato,15.426881385998252
170,cittadini,15.401648764256858
171,cara,15.30925448771611
172,vasari,15.117247609596664
173,allo,15.117247609596664
174,nimicizia,15.09385927876489
175,lode,15.049259016388024
176,voglio,14.972022494969618
177,argento,14.953875331180127
178,danari,14.937750703054064
179,parole,14.937750703054064
180,aiuti,14.928013768498811
181,contro,14.928013768498811
182,fatica,14.873057104003804
183,volle,14.873057104003804
184,carlo,14.857958707834216
185,dava,14.798022412760563
186,favore,14.64611556485482
187,archi,14.607932129619662
188,tornato,14.60666897375123
189,diversa,14.579968260540292
190,ridolfi,14.579968260540292
191,pescia,14.579968260540292
192,avevano,14.477674877988537
193,sarebbe,14.477674877988537
194,mettesse,14.359010884507956
195,alta,14.353374579838231
196,alto,14.288746344555117
197,lasciò,14.279435393877627
198,facessino,14.259797429846147
199,dare,14.248879068906811
200,mordaci,14.230813061409549
201,fuorusciti,14.230813061409549
202,piacciono,14.230813061409549
203,bieco,14.230813061409549
204,villa,14.212191595377067
205,storia,14.203685136107394
206,primo,14.11399843627979
207,cominciò,14.083606899648416
208,trovò,14.019350309145873
209,condurlo,13.963365541231259
210,dicevano,13.963365541231259
211,re,13.904381126272515
212,grandemente,13.813014424682997
213,seguitare,13.813014424682997
214,certamente,13.813014424682997
215,acqua,13.688580115192053
216,avendone,13.687394055283454
217,farlo,13.67850667927809
218,vano,13.643506666304592
219,stare,13.581707810276535
220,appollo,13.561382407466919
221,accompagnavano,13.561382407466919
222,dettono,13.561382407466919
223,maneggiava,13.561382407466919
224,argani,13.561382407466919
225,cavarne,13.561382407466919
226,cerco,13.561382407466919
227,entrata,13.552186224091097
228,quivi,13.47644266872475
229,feciono,13.42847050087468
230,forma,13.372737068228767
