,term,score
0,giuliano,45.75175492317457
1,bandinello,43.73990478162088
2,baccio,37.53134529607699
3,architettura,24.824658435268745
4,ornamento,18.701160825021088
5,fiore,13.907347919720785
6,altare,13.633003782736326
7,modello,12.627282145127545
8,cronaca,12.55196569760328
9,ballatoio,12.55196569760328
10,colonne,12.52108468253114
11,legname,12.081633241093828
12,coro,11.733068670164617
13,duca,11.656559043689338
14,intagliatori,11.196010326374108
15,pescia,10.93497619540522
16,diminuiva,10.873503068726256
17,noce,10.69484807238461
18,squadra,10.472524155923445
19,giudizzio,10.062572852509927
20,cosimo,9.983943577610939
21,mozzi,9.487208707606365
22,nasi,9.487208707606365
23,sala,9.062053006933814
24,campana,9.040921604977946
25,conforme,9.040921604977946
26,marmo,9.029555409832813
27,giorgio,8.4954095803988
28,commodissima,8.36797713173552
29,condurre,8.277822817506618
30,filippino,8.100914346486476
31,intaglio,8.087734531313782
32,cittadini,7.700824382128429
33,fornimento,7.654627243858055
34,ornamenti,7.524629508194012
35,quadre,7.464006884249406
36,padre,7.285349402305837
37,brunelleschi,7.1298987149230735
38,machina,6.981682770615629
39,faccie,6.981682770615629
40,scarpellini,6.981682770615629
41,minor,6.981682770615629
42,diede,6.838623900626587
43,quest,6.748989833731028
44,piazza,6.702205674678263
45,spesa,6.653627128484781
46,lasciando,6.478820404112856
47,vasari,6.478820404112856
48,badia,6.313641072563772
49,piante,6.170752554399301
50,utili,6.170752554399301
51,finestre,6.106662458102919
52,fabricare,6.077712523129515
53,sulla,6.057074552249286
54,pure,5.9806789067737505
55,disegni,5.903753459062201
56,miniato,5.903689769150256
57,tirare,5.822045780109745
58,pietra,5.7311730292409
59,filippo,5.644210418621144
60,dirà,5.5596977877210545
61,architettore,5.457402666521837
62,attese,5.437231804160289
63,mensoline,5.436751534363128
64,ripiega,5.436751534363128
65,tagliavano,5.436751534363128
66,spregiava,5.436751534363128
67,sugetto,5.436751534363128
68,frontispizii,5.436751534363128
69,ripiegato,5.436751534363128
70,comparazzione,5.436751534363128
71,ordin,5.436751534363128
72,maneggiandogli,5.436751534363128
73,renaio,5.436751534363128
74,guidasse,5.436751534363128
75,pifferello,5.436751534363128
76,piglio,5.436751534363128
77,recinto,5.436751534363128
78,sangalli,5.436751534363128
79,tiri,5.436751534363128
80,arricchite,5.436751534363128
81,accompagni,5.436751534363128
82,bellosguardo,5.436751534363128
83,maschie,5.436751534363128
84,scorniciate,5.436751534363128
85,radoppiando,5.436751534363128
86,approvata,5.436751534363128
87,vagheggia,5.436751534363128
88,attesoché,5.436751534363128
89,dicendosi,5.436751534363128
90,atteser,5.436751534363128
91,soffistiche,5.436751534363128
92,alteri,5.436751534363128
93,apprezzava,5.436751534363128
94,deliberazzioni,5.436751534363128
95,buonaria,5.436751534363128
96,disputata,5.436751534363128
97,michelagnolo,5.397496123910227
98,camaldoli,5.391823020875854
99,sepolture,5.391823020875854
100,cornice,5.328325624246694
101,arno,5.328325624246694
102,cominciò,5.281352587368156
103,trinita,5.2667823069131865
104,bottega,5.207076380613824
105,pilastro,5.207076380613824
106,troppo,5.206348680751905
107,risoluto,5.037961604557698
108,sode,5.0312864262549635
109,mostrarebbe,5.0312864262549635
110,alterar,5.0312864262549635
111,bieche,5.0312864262549635
112,capomaestro,5.0312864262549635
113,frasche,5.0312864262549635
114,lanfredino,5.0312864262549635
115,falegname,5.0312864262549635
116,segretarii,5.0312864262549635
117,conferire,5.0312864262549635
118,grilli,5.0312864262549635
119,tritò,5.0312864262549635
120,misurano,5.0312864262549635
121,altopascio,5.0312864262549635
122,rispondesse,5.0312864262549635
123,grifoni,5.0312864262549635
124,appiccarvi,5.0312864262549635
125,filze,5.0312864262549635
126,avenuta,5.0312864262549635
127,intagliava,5.0312864262549635
128,intervento,5.0312864262549635
129,davanti,5.0312864262549635
130,case,5.0266542560086975
131,canto,4.957685701334601
132,bellissimi,4.957685701334601
133,capella,4.890267133778425
134,tempio,4.85711762521867
135,nicchie,4.832653296437531
136,modelli,4.832653296437531
137,signor,4.7918976653094525
138,esservisi,4.743604353803183
139,strettissimo,4.743604353803183
140,situare,4.743604353803183
141,83,4.743604353803183
142,offesa,4.743604353803183
143,riuscivano,4.743604353803183
144,fossato,4.743604353803183
145,rilevata,4.743604353803183
146,diedegli,4.743604353803183
147,bischeri,4.743604353803183
148,ridurla,4.743604353803183
149,possedeva,4.743604353803183
150,saperne,4.743604353803183
151,lettuccio,4.743604353803183
152,pregarlo,4.743604353803183
153,biasimato,4.743604353803183
154,collocare,4.743604353803183
155,montughi,4.743604353803183
156,nofri,4.743604353803183
157,secondando,4.743604353803183
158,fabriche,4.737397198459022
159,novella,4.646472450305508
160,dai,4.60433659436545
161,dietro,4.574185586804946
162,faceva,4.544334594245442
163,diventano,4.520460802488973
164,ciborio,4.520460802488973
165,montaguto,4.520460802488973
166,vernata,4.520460802488973
167,gabbia,4.520460802488973
168,posseduto,4.520460802488973
169,rivolte,4.520460802488973
170,nane,4.520460802488973
171,lanfredini,4.520460802488973
172,biasimate,4.520460802488973
173,aggiunta,4.520460802488973
174,sanza,4.520460802488973
175,finisce,4.520460802488973
176,zoppa,4.520460802488973
177,rassettò,4.520460802488973
178,morse,4.520460802488973
179,conventi,4.520460802488973
180,entrata,4.5173954080303655
181,pietre,4.5173954080303655
182,tuttavia,4.5173954080303655
183,fuor,4.485509180080313
184,principii,4.476156833624893
185,leone,4.3961461643974955
186,lasciato,4.3961461643974955
187,fuori,4.371209641383501
188,stata,4.343302463396562
189,ugolino,4.338139245695018
190,pippo,4.338139245695018
191,richissimo,4.338139245695018
192,rideva,4.338139245695018
193,turini,4.338139245695018
194,classi,4.338139245695018
195,reggessino,4.338139245695018
196,esperimento,4.338139245695018
197,pergami,4.338139245695018
198,macigni,4.338139245695018
199,succedette,4.338139245695018
200,taddei,4.338139245695018
201,casetta,4.338139245695018
202,anticamera,4.338139245695018
203,1543,4.338139245695018
204,dimoravano,4.338139245695018
205,cigne,4.338139245695018
206,domenico,4.315652498081789
207,fabrica,4.281829336717598
208,pareva,4.245131059381205
209,fiorentini,4.245131059381205
210,legno,4.245131059381205
211,condusse,4.234199530883936
212,primo,4.234199530883936
213,1555,4.18398856586776
214,giovanmaria,4.18398856586776
215,sepellire,4.18398856586776
216,discorsi,4.18398856586776
217,inginocchiate,4.18398856586776
218,gualfonda,4.18398856586776
219,celebrare,4.18398856586776
220,perduti,4.18398856586776
221,rado,4.18398856586776
222,abbozzò,4.18398856586776
223,legnaiuoli,4.18398856586776
224,voltava,4.18398856586776
225,pongono,4.18398856586776
226,aretino,4.173694894177046
227,archi,4.173694894177046
228,intanto,4.173694894177046
229,statue,4.173694894177046
230,ultima,4.173694894177046
231,ricco,4.173694894177046
232,ponte,4.138911408753309
233,facciata,4.128925571450126
234,atteso,4.071108305401946
235,porte,4.071108305401946
236,intende,4.050457173243238
237,adornato,4.050457173243238
238,terrazzo,4.050457173243238
239,granaccio,4.050457173243238
240,quadrature,4.050457173243238
241,specialmente,4.050457173243238
242,rimessi,4.050457173243238
243,edificii,4.050457173243238
244,condurle,4.050457173243238
245,alessandro,4.038049701499524
246,nunziata,4.005528659755964
247,cura,3.9735279770630814
248,urbino,3.942031263126803
249,saldo,3.932674137586854
250,persuase,3.932674137586854
251,esercitata,3.932674137586854
252,cassoni,3.932674137586854
253,monasterii,3.932674137586854
254,richiedeva,3.932674137586854
255,ornatissima,3.932674137586854
256,nemici,3.932674137586854
257,piani,3.932674137586854
258,stimava,3.932674137586854
259,artiglieria,3.932674137586854
260,primi,3.8804879457932957
261,otto,3.8504121910642146
262,bartolini,3.8273136219290276
263,borgherini,3.8273136219290276
264,trionfali,3.8273136219290276
265,disopra,3.8273136219290276
266,pavimenti,3.8273136219290276
267,benintendi,3.8273136219290276
268,strumento,3.8273136219290276
269,sopragiunto,3.8273136219290276
270,cui,3.7915844206516285
271,facevano,3.734437675763516
272,scienza,3.732003442124703
273,camini,3.732003442124703
274,acuto,3.732003442124703
275,ducale,3.732003442124703
276,gonfaloniere,3.732003442124703
277,dispute,3.732003442124703
278,regio,3.732003442124703
279,esercitare,3.732003442124703
280,banda,3.7064651918140363
281,adunque,3.7064651918140363
282,faccia,3.7064651918140363
283,fratello,3.6788785475493646
284,raffaello,3.6788785475493646
285,tornato,3.6516672434378075
286,mischio,3.644992065135073
287,risalti,3.644992065135073
288,commettiture,3.644992065135073
289,soderini,3.644992065135073
290,rotti,3.644992065135073
291,scusa,3.644992065135073
292,private,3.644992065135073
293,intendono,3.644992065135073
294,andati,3.644992065135073
295,punto,3.624821202773526
296,monaci,3.598330749273485
297,arco,3.598330749273485
298,va,3.572186586138779
299,commodi,3.5649493574615367
300,ispazio,3.5649493574615367
301,vitelli,3.5649493574615367
302,spalliere,3.5649493574615367
303,tallora,3.5649493574615367
304,proposto,3.5649493574615367
305,celebre,3.5649493574615367
306,tedesca,3.5649493574615367
307,basamenti,3.5649493574615367
308,figliuoli,3.520901724912104
309,rimase,3.520901724912104
310,savino,3.4908413853078146
311,ricche,3.4908413853078146
312,avanzato,3.4908413853078146
313,casentino,3.4908413853078146
314,partendosi,3.4908413853078146
315,parecchi,3.4908413853078146
316,sonetti,3.4908413853078146
317,centro,3.4908413853078146
318,semplici,3.4908413853078146
319,posano,3.4908413853078146
320,maiano,3.4908413853078146
321,publiche,3.4908413853078146
322,disgrazia,3.4908413853078146
323,ionico,3.4908413853078146
324,avenne,3.4908413853078146
325,agostino,3.4463589353176407
326,principale,3.4463589353176407
327,carraia,3.4218485138208634
328,morisse,3.4218485138208634
329,rispondono,3.4218485138208634
330,bellezza,3.374494916865514
331,vogliono,3.3573099926832923
332,ordinario,3.3573099926832923
333,angolo,3.3573099926832923
334,uscì,3.3573099926832923
335,composizione,3.3573099926832923
336,rumore,3.3573099926832923
337,ricerco,3.3573099926832923
338,bontà,3.3511028373391314
339,messo,3.3279811925369795
340,inanzi,3.3279811925369795
341,lodata,3.305123800889734
342,quegli,3.305123800889734
343,difetto,3.2966853708668573
344,uscir,3.2966853708668573
345,semplicemente,3.2966853708668573
346,magnifiche,3.2966853708668573
347,verso,3.260178089185617
348,onori,3.239526957026909
349,allogate,3.239526957026909
350,segretario,3.239526957026909
351,campanile,3.239526957026909
352,pierfrancesco,3.239526957026909
353,pavimento,3.239526957026909
354,brunellesco,3.239526957026909
355,intendenti,3.239526957026909
356,intendeva,3.239526957026909
357,però,3.238078416812447
358,mise,3.216220275748066
359,altar,3.216220275748066
360,miglior,3.216220275748066
361,anzi,3.1945984435396353
362,ritorno,3.185459735756633
