,term,score
0,raffaello,23.91271055907087
1,baccio,21.11138172904331
2,crispo,13.014417737085054
3,sepoltura,9.456130939935196
4,orvieto,9.256128831598952
5,statua,9.205029273735914
6,paulino,9.040921604977946
7,marmo,9.029555409832813
8,michelagnolo,8.995826873183713
9,lucchesi,8.676278491390036
10,grandi,8.631304996163578
11,maestria,7.865348275173708
12,scultura,7.583168841303257
13,apparato,7.556942406836548
14,diedero,7.556942406836548
15,ornamenti,7.524629508194012
16,camini,7.464006884249406
17,scultore,7.357757095098729
18,finita,7.332298104055032
19,pescia,7.289984130270146
20,baldassarri,7.1298987149230735
21,imperatore,6.653627128484781
22,leone,6.594219246596243
23,lupo,6.479053914053818
24,aspettava,6.479053914053818
25,datosi,6.170752554399301
26,migliori,6.0989141157399285
27,murate,6.077712523129515
28,alessandro,6.057074552249286
29,agnolo,5.913046894690204
30,cioè,5.754203330775719
31,punta,5.743604353803183
32,pietra,5.7311730292409
33,cinque,5.5596977877210545
34,castello,5.5596977877210545
35,ricchissimo,5.525205769873199
36,murata,5.525205769873199
37,passavono,5.436751534363128
38,moltissimi,5.436751534363128
39,rispettoso,5.436751534363128
40,88,5.436751534363128
41,saldissimamente,5.436751534363128
42,straccurati,5.436751534363128
43,locarono,5.436751534363128
44,infingardaggine,5.436751534363128
45,toltosi,5.436751534363128
46,mon,5.436751534363128
47,vergognatosi,5.436751534363128
48,storiato,5.436751534363128
49,trattenendovisi,5.436751534363128
50,fortezza,5.328325624246694
51,arme,5.319569664700445
52,sansovino,5.2667823069131865
53,sant,5.037961604557698
54,guaina,5.0312864262549635
55,torrion,5.0312864262549635
56,giudicate,5.0312864262549635
57,mole,5.0312864262549635
58,fattele,5.0312864262549635
59,voglion,5.0312864262549635
60,biraghi,5.0312864262549635
61,crocifissi,5.0312864262549635
62,rafaello,5.0312864262549635
63,crudelissima,5.0312864262549635
64,reno,5.0312864262549635
65,istudiava,5.0312864262549635
66,zaccaria,5.0312864262549635
67,braccia,5.0266542560086975
68,bellissimi,4.957685701334601
69,cardinale,4.890267133778425
70,capella,4.890267133778425
71,stimato,4.78445819327941
72,smarrite,4.743604353803183
73,ornò,4.743604353803183
74,1533,4.743604353803183
75,sgridato,4.743604353803183
76,apparve,4.743604353803183
77,lavorassino,4.743604353803183
78,fecegli,4.743604353803183
79,fois,4.743604353803183
80,amalandosi,4.743604353803183
81,giovanezza,4.691418162009624
82,quinto,4.646472450305508
83,imparò,4.646472450305508
84,sul,4.634793708757504
85,amando,4.520460802488973
86,apollonia,4.520460802488973
87,arrecano,4.520460802488973
88,turrini,4.520460802488973
89,pestilenza,4.520460802488973
90,fabricava,4.520460802488973
91,ripieni,4.520460802488973
92,pensano,4.520460802488973
93,invittissimo,4.520460802488973
94,durate,4.520460802488973
95,fugli,4.520460802488973
96,germania,4.520460802488973
97,danubio,4.520460802488973
98,sviato,4.520460802488973
99,coetaneo,4.520460802488973
100,antinori,4.520460802488973
101,lucilla,4.520460802488973
102,fiora,4.520460802488973
103,baluardo,4.520460802488973
104,figura,4.514777704916407
105,buono,4.514777704916407
106,rilievo,4.456523447345102
107,venuta,4.435751418989854
108,bello,4.343302463396562
109,bigia,4.338139245695018
110,vincula,4.338139245695018
111,bolsena,4.338139245695018
112,invecchiando,4.338139245695018
113,figliolo,4.338139245695018
114,mezzogiorno,4.338139245695018
115,senno,4.338139245695018
116,noie,4.338139245695018
117,carlo,4.245131059381205
118,legno,4.245131059381205
119,badia,4.2090940483758486
120,fuggito,4.18398856586776
121,avvocato,4.18398856586776
122,valoroso,4.18398856586776
123,abbozzate,4.18398856586776
124,propose,4.18398856586776
125,perfetti,4.18398856586776
126,consolazione,4.18398856586776
127,oppresso,4.18398856586776
128,cominciato,4.173694894177046
129,statue,4.173694894177046
130,ponte,4.138911408753309
131,clemente,4.1047225420347075
132,manco,4.1047225420347075
133,finestre,4.071108305401946
134,bronzo,4.071108305401946
135,porte,4.071108305401946
136,contrarii,4.050457173243238
137,dotta,4.050457173243238
138,proveduto,4.050457173243238
139,mosca,4.050457173243238
140,predetto,4.050457173243238
141,contentandosi,4.050457173243238
142,mettendosi,4.050457173243238
143,composto,4.050457173243238
144,osservare,4.050457173243238
145,sagrestia,4.038049701499524
146,vide,3.9735279770630814
147,perdé,3.932674137586854
148,conducendo,3.932674137586854
149,paragonò,3.932674137586854
150,stimava,3.932674137586854
151,praticamente,3.932674137586854
152,sino,3.932674137586854
153,segnalate,3.932674137586854
154,castellano,3.932674137586854
155,tiberio,3.932674137586854
156,marta,3.932674137586854
157,dar,3.9110228900548725
158,passò,3.8504121910642146
159,nobilissimo,3.8273136219290276
160,esercitandosi,3.8273136219290276
161,trattenendosi,3.8273136219290276
162,sollecitato,3.8273136219290276
163,acconcimi,3.8273136219290276
164,similitudine,3.732003442124703
165,venutogli,3.732003442124703
166,sodisfece,3.732003442124703
167,rimettere,3.732003442124703
168,appiccato,3.732003442124703
169,fecero,3.6516672434378075
170,bozze,3.644992065135073
171,mischi,3.644992065135073
172,rimasa,3.644992065135073
173,fuggendo,3.644992065135073
174,ognuno,3.624821202773526
175,pietro,3.598330749273485
176,subitamente,3.5649493574615367
177,armadure,3.5649493574615367
178,titolo,3.5649493574615367
179,podestà,3.5649493574615367
180,occasioni,3.5649493574615367
181,edificare,3.5649493574615367
182,architettura,3.5463797764669636
183,fede,3.520901724912104
184,pucci,3.4908413853078146
185,stendardo,3.4908413853078146
186,filosofo,3.4908413853078146
187,fiumi,3.4908413853078146
188,scarpello,3.4908413853078146
189,cotta,3.4218485138208634
190,damiano,3.3573099926832923
191,quattordici,3.3573099926832923
192,finì,3.3279811925369795
193,capelle,3.2966853708668573
194,venir,3.2966853708668573
195,coscia,3.2966853708668573
196,palagio,3.2966853708668573
197,cantone,3.2966853708668573
198,possino,3.2966853708668573
199,quietamente,3.2966853708668573
200,verso,3.260178089185617
201,sposalizio,3.239526957026909
202,trionfale,3.239526957026909
203,ufficio,3.239526957026909
204,mettervi,3.239526957026909
205,tenuta,3.216220275748066
206,solito,3.185459735756633
207,discrezione,3.185459735756633
208,mercante,3.185459735756633
209,buonarroto,3.185459735756633
210,avrebbe,3.185459735756633
211,graziosi,3.185459735756633
212,intelligenza,3.185459735756633
213,trofei,3.185459735756633
214,lasciò,3.1732078653061393
215,giusto,3.134166441369082
216,reverendissimo,3.134166441369082
217,milanese,3.134166441369082
218,perfezzione,3.1311010469104748
219,pratica,3.1311010469104748
220,piaceri,3.0853762771996505
221,ungheria,3.0853762771996505
222,loreto,3.0853762771996505
223,stesse,3.0853762771996505
224,murato,3.0853762771996505
225,dimorando,3.0853762771996505
226,venuti,3.0853762771996505
227,acconciò,3.0853762771996505
228,intagliatore,3.0853762771996505
229,degli,3.069557729576967
230,andrea,3.0494570578699642
231,ignude,3.0388562615647574
232,videro,3.0388562615647574
233,noia,3.0388562615647574
234,forze,3.0388562615647574
235,vittorie,3.0388562615647574
236,intagliò,3.0388562615647574
237,faceva,3.029556396163628
238,fantasia,2.994404498993924
239,gettare,2.994404498993924
240,gregorio,2.994404498993924
241,medici,2.9903394533868752
242,pure,2.9903394533868752
243,monte,2.9518767295311004
244,vivo,2.9518767295311004
245,reggono,2.951844884575128
246,libreria,2.951844884575128
247,fuori,2.9141397609223345
248,padre,2.9141397609223345
249,duca,2.9141397609223345
250,lucca,2.9110228900548725
251,diligenzia,2.9110228900548725
252,spada,2.9110228900548725
253,studio,2.8771016653878596
254,condotto,2.8771016653878596
255,decimo,2.8718021769015913
256,credenza,2.8718021769015913
257,pregato,2.8718021769015913
258,nove,2.8718021769015913
259,mezze,2.8718021769015913
260,minerva,2.8718021769015913
261,degno,2.8718021769015913
262,cortese,2.8718021769015913
263,volterra,2.8340618489187444
264,divenne,2.8340618489187444
265,nozze,2.8340618489187444
266,getto,2.8340618489187444
267,allogato,2.8340618489187444
268,intese,2.8340618489187444
269,ve,2.7976942047478692
270,monsignor,2.7626028849365993
271,seguitare,2.7626028849365993
272,ridusse,2.7626028849365993
273,fogliami,2.7626028849365993
