,term,score
0,baldassarre,100.29332612381063
1,sanese,27.35701335855618
2,siena,23.466137340329233
3,prospettiva,16.41889016813883
4,ulisse,13.561382407466919
5,giovambatista,12.958107828107636
6,facciata,12.386776714350379
7,disegni,11.807506918124401
8,comedie,11.481940865787083
9,volterra,11.336247395674977
10,poté,10.704573341793996
11,peruzzi,10.69484807238461
12,baldassarri,10.69484807238461
13,modello,10.522735120939622
14,fabbriche,10.26554554146259
15,terretta,10.071929978049877
16,calandra,10.062572852509927
17,carmino,10.062572852509927
18,recitasse,10.062572852509927
19,piazza,10.053308512017395
20,scuro,10.013821649389909
21,casamenti,9.56891638655882
22,bramante,9.556379207269899
23,ghigi,9.487208707606365
24,avari,9.487208707606365
25,chiaro,9.26616297953509
26,tempii,9.256128831598952
27,architetto,9.11900445285206
28,videro,9.116568784694273
29,palazzi,9.116568784694273
30,antichità,9.116568784694273
31,teatri,9.040921604977946
32,leone,8.792292328794991
33,aiuto,8.714619985366586
34,antonio,8.686604926793123
35,bello,8.686604926793123
36,correndo,8.676278491390036
37,scene,8.676278491390036
38,discreto,8.36797713173552
39,contrafatti,8.36797713173552
40,rocca,8.100914346486476
41,liberali,8.100914346486476
42,nobile,7.99248843637004
43,sepoltura,7.8801091166126636
44,comedia,7.865348275173708
45,romani,7.723651960300979
46,ostia,7.654627243858055
47,loggie,7.654627243858055
48,vizio,7.654627243858055
49,apparato,7.556942406836548
50,conte,7.4769376655900635
51,cardinali,7.4769376655900635
52,alcun,7.468875351527032
53,vitruvio,7.464006884249406
54,immaginarsi,7.464006884249406
55,guerra,7.32305778242741
56,cittadino,7.32305778242741
57,povero,7.176687289919116
58,serviti,7.1298987149230735
59,taglia,7.1298987149230735
60,strade,7.1298987149230735
61,architettura,7.092759552933927
62,condusse,7.056999218139895
63,nuovo,7.041803449824208
64,maschio,6.981682770615629
65,modestia,6.981682770615629
66,autore,6.981682770615629
67,dirne,6.981682770615629
68,provisione,6.903771955301935
69,fresco,6.881542619083544
70,diverse,6.844232428505903
71,tardi,6.843697027641727
72,diede,6.838623900626587
73,giulia,6.714619985366585
74,pace,6.653627128484781
75,capanna,6.593370741733715
76,capella,6.520356178371234
77,cardinale,6.520356178371234
78,quiete,6.479053914053818
79,instrumenti,6.479053914053818
80,pianto,6.370919471513266
81,petronio,6.370919471513266
82,fortificazioni,6.370919471513266
83,antica,6.367696589071807
84,perduto,6.268332882738164
85,intanto,6.26054234126557
86,nondimeno,6.220750945678763
87,pittori,6.220750945678763
88,murato,6.170752554399301
89,parevano,6.170752554399301
90,piante,6.170752554399301
91,finire,6.157083813052061
92,crede,6.077712523129515
93,sito,6.077712523129515
94,stupire,5.988808997987848
95,ancor,5.9806789067737505
96,terzo,5.960291965594622
97,sesto,5.903689769150256
98,cesare,5.903689769150256
99,grazioso,5.903689769150256
100,campo,5.866534335082308
101,qualche,5.865838483244025
102,lì,5.822045780109745
103,dee,5.822045780109745
104,dipinta,5.820731918689944
105,dagl,5.7756182865963215
106,facesse,5.754203330775719
107,grandi,5.754203330775719
108,accompagnato,5.743604353803183
109,fabbrica,5.743604353803183
110,scritti,5.743604353803183
111,morto,5.717673396522629
112,tante,5.687376630977443
113,uomo,5.6455993745119155
114,publico,5.5953884094957385
115,belle,5.539866346239293
116,raffaello,5.518317821324047
117,ai,5.505234095266835
118,dipinse,5.505234095266835
119,pochi,5.477500865156712
