,term,score
0,bologna,32.04422927804771
1,innocenzio,16.786549963416462
2,bolognese,16.175469062627563
3,amico,15.291737244717838
4,bartolomeo,14.019350309145873
5,fresco,13.763085238167088
6,imola,13.561382407466919
7,bagnacavallo,13.561382407466919
8,capella,13.040712356742468
9,novelle,13.014417737085054
10,ridere,11.481940865787083
11,superbia,11.196010326374108
12,pittori,10.886314154937835
13,immola,10.873503068726256
14,presumersi,10.873503068726256
15,biagio,9.556379207269899
16,strane,9.402499324107247
17,bosco,8.983213496981772
18,dir,8.871502837979708
19,olio,8.677247801253174
20,pazzie,8.676278491390036
21,dipinse,8.257851142900252
22,combattono,7.865348275173708
23,pazzo,7.865348275173708
24,pratica,7.827752617276187
25,disopra,7.654627243858055
26,venduto,7.654627243858055
27,salvadore,7.464006884249406
28,fumo,7.289984130270146
29,andò,7.285349402305837
30,podestà,7.1298987149230735
31,cagione,7.056999218139895
32,entrando,7.037127243014436
33,alcuna,7.012554481053666
34,ragionevole,6.969708675458262
35,conduce,6.714619985366585
36,fregio,6.653627128484781
37,disputa,6.479053914053818
38,quadri,6.389196887079271
39,petronio,6.370919471513266
40,pareva,6.367696589071807
41,metteva,6.268332882738164
42,maestri,6.220750945678763
43,persona,6.0989141157399285
44,ebbero,5.822045780109745
45,secco,5.822045780109745
46,rari,5.743604353803183
47,italia,5.687376630977443
48,dimorò,5.668123697837489
49,begli,5.525205769873199
50,raffaello,5.518317821324047
51,facciata,5.505234095266835
52,michele,5.477500865156712
53,cervello,5.457402666521837
54,cuoci,5.436751534363128
55,tristizia,5.436751534363128
56,ampolle,5.436751534363128
57,fantucci,5.436751534363128
58,meritan,5.436751534363128
59,veracissimo,5.436751534363128
60,rannicchiate,5.436751534363128
61,scontrò,5.436751534363128
62,sapessero,5.436751534363128
63,guicciardino,5.436751534363128
64,cinquantotto,5.436751534363128
65,pignatti,5.436751534363128
66,corello,5.436751534363128
67,praticaccio,5.436751534363128
68,pazza,5.436751534363128
69,lionello,5.436751534363128
70,affermo,5.436751534363128
71,resurression,5.436751534363128
72,stiacciati,5.436751534363128
73,gracchiare,5.436751534363128
74,ritrovarne,5.436751534363128
75,cavolo,5.436751534363128
76,aniello,5.436751534363128
77,coreggia,5.436751534363128
78,pazze,5.436751534363128
79,marsigli,5.436751534363128
80,deviò,5.436751534363128
81,giaciuto,5.436751534363128
82,imitano,5.436751534363128
83,sazia,5.436751534363128
84,mdxlii,5.436751534363128
85,benozza,5.436751534363128
86,rivolle,5.436751534363128
87,vinacci,5.436751534363128
88,aggirare,5.436751534363128
89,favorirono,5.436751534363128
90,alidosio,5.436751534363128
91,ivrea,5.436751534363128
92,codignuola,5.436751534363128
93,chiacchierando,5.436751534363128
94,perucci,5.436751534363128
95,carniale,5.436751534363128
96,bestialissimamente,5.436751534363128
97,mdvi,5.436751534363128
98,puttana,5.436751534363128
99,baldassar,5.436751534363128
100,girolamo,5.397496123910227
101,condottisi,5.0312864262549635
102,meni,5.0312864262549635
103,antonello,5.0312864262549635
104,lasciva,5.0312864262549635
105,invidiato,5.0312864262549635
106,timidi,5.0312864262549635
107,macario,5.0312864262549635
108,cotignuola,5.0312864262549635
109,impazzò,5.0312864262549635
110,imbratto,5.0312864262549635
111,concorre,5.0312864262549635
112,imposte,5.0312864262549635
113,spiccare,5.0312864262549635
114,temperati,5.0312864262549635
115,pestilenziale,5.0312864262549635
116,cavoli,5.0312864262549635
117,69,5.0312864262549635
118,persuasero,5.0312864262549635
119,tor,5.0312864262549635
120,onorano,5.0312864262549635
121,cicalare,5.0312864262549635
122,aniballe,5.0312864262549635
123,discostarsi,5.0312864262549635
124,teme,5.0312864262549635
125,cinquantasei,5.0312864262549635
126,guastava,5.0312864262549635
127,costoro,4.984625110393376
128,ritratti,4.957685701334601
129,man,4.890267133778425
130,cardinale,4.890267133778425
131,ritrasse,4.824330413622099
132,povero,4.78445819327941
133,li,4.78445819327941
134,destra,4.78445819327941
135,santi,4.759811797959209
136,amalandosi,4.743604353803183
137,condizioni,4.743604353803183
138,fois,4.743604353803183
139,servissi,4.743604353803183
140,lattanzio,4.743604353803183
141,romagnuoli,4.743604353803183
142,cinquemila,4.743604353803183
143,vampa,4.743604353803183
144,viola,4.743604353803183
145,ero,4.743604353803183
146,ammendue,4.743604353803183
147,ave,4.743604353803183
148,concorrenzie,4.743604353803183
149,ramazzotto,4.743604353803183
150,lavorassino,4.743604353803183
151,particolarità,4.743604353803183
152,astratta,4.743604353803183
153,nebbia,4.743604353803183
154,giuseppe,4.743604353803183
155,scopetini,4.743604353803183
156,perfezzione,4.696651570365712
157,iacopo,4.60433659436545
158,migliori,4.574185586804946
159,tenghiamo,4.520460802488973
160,occhiali,4.520460802488973
161,durate,4.520460802488973
