,term,score
0,battista,110.37340754391133
1,tintoretto,52.17964789183501
2,vinezia,28.83238422343405
3,duca,26.22725784830101
4,apparato,25.18980802278849
5,capella,22.82124662429932
6,storia,21.30552770416109
7,genga,20.25228586621619
8,olio,19.089945162756983
9,marco,18.303896558953387
10,dipinse,17.892010809617215
11,vasi,17.71106930745077
12,tela,17.632865615951943
13,palco,17.446187886376816
14,paulo,17.336240056547858
15,barbarossa,16.73595426347104
16,statue,16.694779576708186
17,pennegli,16.310254603089383
18,disegni,16.23532201242105
19,disegnare,15.894111908252325
20,migliori,15.247285289349822
21,ad,15.234632452158056
22,vasari,15.117247609596664
23,orazio,14.928013768498811
24,battaglia,14.75922442287564
25,divoto,14.230813061409549
26,alessandro,14.133173955248335
27,federigo,13.813014424682997
28,urbino,13.79710942094381
29,portò,13.79710942094381
30,fresco,13.763085238167088
31,quadro,13.497979667462056
32,rocco,13.479557552189636
33,avea,13.2705454722807
34,finita,13.198136587299057
35,salviati,13.166955767282966
36,cielo,13.130098761527469
37,giovann,13.014417737085054
38,signor,12.778393774158541
39,quadri,12.778393774158541
40,buonarroto,12.741838943026533
41,veronese,12.741838943026533
42,michelagnolo,12.594157622457196
43,iobbe,12.55196569760328
44,fa,12.232926814116679
45,ovato,12.151371519729715
46,altare,12.118225584654512
47,ridolfo,11.977617995975695
48,mezzi,11.807379538300513
49,stare,11.641463837379888
50,angeli,11.508406661551438
51,nozze,11.336247395674977
52,dette,11.333274458843565
53,compagnia,11.220087169685865
54,gentiluomini,11.190392084062232
55,buon,11.149602132228624
56,adunque,11.119395575442109
57,cartone,10.914805333043674
58,pittori,10.886314154937835
59,versava,10.873503068726256
60,facciate,10.704573341793996
61,portegli,10.69484807238461
62,carlo,10.612827648453012
63,coronato,10.472524155923445
64,quattro,10.466188086854064
65,fierezza,10.185519105867854
66,stata,10.134372414591976
67,avevano,10.134372414591976
68,cioè,10.06985582885751
69,scomunica,10.062572852509927
70,maggiori,9.777557225137182
71,signora,9.764077043236547
72,dall,9.755901865700046
73,dipignere,9.648660827244198
74,lieta,9.487208707606365
75,schiavone,9.487208707606365
76,diversi,9.393303140731424
77,state,9.393303140731424
78,dio,9.393303140731424
79,stucchi,9.382836324019248
80,alcun,9.33609418940879
81,quinto,9.292944900611015
82,invenzione,9.269587417515009
83,tiziano,9.256128831598952
84,iacopo,9.2086731887309
85,franco,9.116568784694273
86,sala,9.062053006933814
87,torrioni,9.040921604977946
88,scipione,9.040921604977946
89,membro,9.040921604977946
90,romulo,9.040921604977946
91,guadagnasse,9.040921604977946
92,arco,8.995826873183713
93,ebbono,8.983213496981772
94,medici,8.971018360160626
95,ancor,8.971018360160626
96,imperatore,8.871502837979708
97,arme,8.865949441167409
98,medesime,8.855534653725385
99,sorte,8.80225431228026
100,vigna,8.733068670164617
101,bocche,8.676278491390036
102,zucchero,8.676278491390036
103,farinato,8.676278491390036
104,mostrarsi,8.676278491390036
105,studio,8.631304996163578
106,vaghezza,8.502185546756234
107,bel,8.49026211876241
108,quest,8.436237292163785
109,alcuna,8.415065377264398
110,recitare,8.36797713173552
111,aria,8.31995298134245
112,verona,8.287808654809798
113,pontefice,8.277822817506618
114,ritratti,8.262809502224336
115,canto,8.262809502224336
116,fatica,8.262809502224336
117,carità,8.186103999782755
118,cardinale,8.150445222964041
119,man,8.150445222964041
120,atteso,8.142216610803892
121,cruda,8.100914346486476
122,annibale,8.100914346486476
123,ca,8.100914346486476
124,basso,8.095196042031118
125,graziose,8.087734531313782
126,tenuta,8.040550689370164
127,scuro,8.011057319511927
128,creato,8.011057319511927
129,cornice,7.99248843637004
130,prestezza,7.99248843637004
131,finite,7.947055954126163
132,agnolo,7.884062526253606
133,1536,7.865348275173708
134,amannato,7.865348275173708
135,torce,7.865348275173708
136,pellegrini,7.865348275173708
137,candele,7.865348275173708
138,dipinto,7.822045780109745
139,ottaviano,7.810614570920736
140,stravagante,7.654627243858055
141,valentuomo,7.654627243858055
142,guidobaldo,7.654627243858055
143,ovati,7.654627243858055
144,scena,7.654627243858055
145,solita,7.654627243858055
146,comedie,7.654627243858055
147,bisogno,7.641564038987867
148,viniziano,7.556942406836548
149,sant,7.556942406836548
150,cardinali,7.4769376655900635
151,mare,7.4769376655900635
152,ippolito,7.464006884249406
153,durante,7.464006884249406
154,parlato,7.464006884249406
155,confusione,7.464006884249406
156,tempesta,7.464006884249406
157,banda,7.412930383628073
158,chiaro,7.412930383628073
159,organo,7.3990112063802815
160,dire,7.379691823827751
161,monte,7.379691823827751
162,fratello,7.357757095098729
163,profeti,7.32305778242741
164,castel,7.32305778242741
165,ignudi,7.32305778242741
166,colorito,7.303334486875615
167,anime,7.289984130270146
168,vettoria,7.289984130270146
169,scusa,7.289984130270146
170,bozze,7.289984130270146
171,grimani,7.289984130270146
172,grandissimo,7.285349402305837
173,mura,7.248979944656297
174,sarebbe,7.238837438994269
175,grandi,7.192754163469649
176,facesse,7.192754163469649
177,medesimi,7.144373172277558
178,intesi,7.1298987149230735
179,facea,7.1298987149230735
180,arimini,7.1298987149230735
181,adoperare,7.1298987149230735
182,patriarca,7.1298987149230735
183,vedute,7.106095797688534
184,solo,7.101842568053697
185,nuovo,7.041803449824208
186,adoperato,7.037127243014436
187,passava,6.981682770615629
188,seguita,6.981682770615629
189,milano,6.969708675458262
190,signore,6.941798241002539
191,esser,6.9248329327991165
192,rendono,6.843697027641727
193,potea,6.843697027641727
194,giorgio,6.79632766431904
195,sé,6.796070452287044
196,martino,6.776093112045548
197,abbia,6.776093112045548
198,maniere,6.776093112045548
199,numero,6.748989833731028
200,finse,6.714619985366585
201,datogli,6.714619985366585
202,muscoli,6.714619985366585
203,vogliono,6.714619985366585
204,dieci,6.71423525043734
205,cosimo,6.655962385073959
206,occasione,6.653627128484781
207,venuta,6.653627128484781
208,migliore,6.610247601779468
209,incredibile,6.594219246596243
210,bastiano,6.594219246596243
211,iscorto,6.593370741733715
212,maneggiare,6.593370741733715
213,chiamati,6.593370741733715
214,colui,6.535964989024939
215,valente,6.535964989024939
216,portasse,6.479053914053818
217,lupo,6.479053914053818
218,lodate,6.478820404112856
219,condotta,6.476156833624894
220,ghirlandaio,6.370919471513266
221,sparsi,6.370919471513266
222,qui,6.367696589071807
223,pari,6.313641072563772
224,bell,6.313641072563772
225,parti,6.304087293290131
226,libera,6.268332882738164
227,tal,6.26054234126557
228,assunta,6.170752554399301
229,puntormo,6.170752554399301
230,rimasero,6.170752554399301
231,capriccioso,6.170752554399301
232,prospettiva,6.157083813052061
233,finire,6.157083813052061
234,andrea,6.0989141157399285
235,particolari,6.077712523129515
236,giove,6.077712523129515
237,ornata,6.077712523129515
238,giovani,6.057074552249286
239,sagrestia,6.057074552249286
240,bartolomeo,6.008292989633945
241,vuol,5.988808997987848
242,stento,5.988808997987848
243,aver,5.9806789067737505
244,terzo,5.960291965594622
245,tele,5.903689769150256
246,corona,5.903689769150256
247,abbiano,5.903689769150256
248,popolo,5.866534335082308
249,conosciuto,5.866534335082308
250,padre,5.828279521844669
251,dee,5.822045780109745
252,perfezione,5.822045780109745
253,dipinta,5.820731918689944
254,musica,5.743604353803183
255,capricciose,5.743604353803183
256,scuola,5.743604353803183
257,servizio,5.743604353803183
258,sarebbono,5.743604353803183
259,premio,5.743604353803183
260,messi,5.743604353803183
261,facessero,5.743604353803183
262,credenza,5.743604353803183
263,morto,5.717673396522629
264,certi,5.717673396522629
265,spartimento,5.668123697837489
266,basti,5.668123697837489
267,allogato,5.668123697837489
268,moisè,5.668123697837489
269,uomo,5.6455993745119155
270,nei,5.644210418621144
271,dato,5.610043584842932
272,mettere,5.601656513645274
273,tornando,5.601656513645274
274,sebastiano,5.5953884094957385
275,bellissimo,5.539866346239293
276,belle,5.539866346239293
277,raccontare,5.525205769873199
278,monsignor,5.525205769873199
279,attendeva,5.525205769873199
280,cercare,5.525205769873199
281,facciata,5.505234095266835
282,finito,5.477500865156712
283,fecero,5.477500865156712
284,farnese,5.457402666521837
285,guardaroba,5.457402666521837
286,nero,5.457402666521837
287,punto,5.437231804160289
288,nomine,5.436751534363128
289,scongiura,5.436751534363128
290,interdice,5.436751534363128
291,fondano,5.436751534363128
292,disporsi,5.436751534363128
293,rinverberi,5.436751534363128
294,riscatto,5.436751534363128
295,frequentassino,5.436751534363128
296,quirinus,5.436751534363128
297,rompendosi,5.436751534363128
298,guasterebbono,5.436751534363128
299,quattromil,5.436751534363128
300,adornarno,5.436751534363128
301,rassomigliano,5.436751534363128
302,diffendersi,5.436751534363128
303,bacchette,5.436751534363128
304,iesu,5.436751534363128
305,figurandovi,5.436751534363128
306,natalino,5.436751534363128
307,betis,5.436751534363128
308,considerandola,5.436751534363128
309,scherniscono,5.436751534363128
310,azzuffano,5.436751534363128
311,apprestatosi,5.436751534363128
312,sciolti,5.436751534363128
313,manigoldo,5.436751534363128
314,coronarla,5.436751534363128
315,zanni,5.436751534363128
316,bastandovi,5.436751534363128
317,affronti,5.436751534363128
318,ragunatasi,5.436751534363128
319,riuscirebbono,5.436751534363128
320,genuflectatur,5.436751534363128
321,olivetani,5.436751534363128
322,federico,5.436751534363128
323,sgrossate,5.436751534363128
324,ritraendogli,5.436751534363128
325,amanati,5.436751534363128
326,ostilio,5.436751534363128
327,tullo,5.436751534363128
328,indurare,5.436751534363128
329,medicati,5.436751534363128
330,governarsi,5.436751534363128
331,salta,5.436751534363128
332,violata,5.436751534363128
333,trionfava,5.436751534363128
334,superfluo,5.436751534363128
335,discorsa,5.436751534363128
336,proporzionatamente,5.436751534363128
337,tributaria,5.436751534363128
338,partivano,5.436751534363128
339,adirandosi,5.436751534363128
340,confessarono,5.436751534363128
341,graffiate,5.436751534363128
342,comedianti,5.436751534363128
343,difendendolo,5.436751534363128
344,seciolante,5.436751534363128
345,garlasso,5.436751534363128
346,insecchire,5.436751534363128
347,sfugghino,5.436751534363128
348,ricercarle,5.436751534363128
349,brazacco,5.436751534363128
350,abracciare,5.436751534363128
351,scarsi,5.436751534363128
352,mucchi,5.436751534363128
353,garbuglio,5.436751534363128
354,adda,5.436751534363128
355,studiavano,5.436751534363128
356,capena,5.436751534363128
357,allontanino,5.436751534363128
358,ubriachi,5.436751534363128
359,pacifico,5.436751534363128
360,attitudini,5.397496123910227
361,veggiono,5.397496123910227
362,presa,5.391823020875854
363,terribile,5.391823020875854
364,entrare,5.391823020875854
365,cristofano,5.391823020875854
366,gesù,5.358279879208169
367,va,5.358279879208169
368,grandezza,5.358279879208169
369,pacienza,5.328325624246694
370,componimento,5.328325624246694
371,gradi,5.328325624246694
372,eccellenza,5.319569664700445
373,fiume,5.2667823069131865
374,sansovino,5.2667823069131865
375,imitare,5.2667823069131865
376,imperadore,5.2667823069131865
377,misericordia,5.207076380613824
378,dallo,5.149101306867319
379,sinistra,5.149101306867319
380,romani,5.149101306867319
381,sorti,5.149101306867319
382,diverse,5.1331743213794265
383,signori,5.1331743213794265
384,deposto,5.092759552933927
385,contra,5.037961604557698
386,giovinetto,5.037961604557698
387,poche,5.037961604557698
388,riscaldati,5.0312864262549635
389,bastati,5.0312864262549635
390,scuole,5.0312864262549635
391,sopraposta,5.0312864262549635
392,dimostranti,5.0312864262549635
393,bianchissime,5.0312864262549635
394,tendeva,5.0312864262549635
395,tornandosi,5.0312864262549635
396,dicessi,5.0312864262549635
397,aspettata,5.0312864262549635
398,omne,5.0312864262549635
399,bastano,5.0312864262549635
400,investito,5.0312864262549635
401,apparecchiati,5.0312864262549635
402,gelosie,5.0312864262549635
403,beate,5.0312864262549635
404,biegrassa,5.0312864262549635
405,portassono,5.0312864262549635
406,flacco,5.0312864262549635
407,tarquinio,5.0312864262549635
408,trascuraggine,5.0312864262549635
409,combatteva,5.0312864262549635
410,spaccio,5.0312864262549635
411,anguillara,5.0312864262549635
412,gentilissima,5.0312864262549635
413,bastione,5.0312864262549635
414,ducali,5.0312864262549635
415,dannate,5.0312864262549635
416,vitel,5.0312864262549635
417,ributtato,5.0312864262549635
418,mirar,5.0312864262549635
419,ceneri,5.0312864262549635
420,significano,5.0312864262549635
421,bislunghi,5.0312864262549635
422,devoto,5.0312864262549635
423,dicemmo,5.0312864262549635
424,toglia,5.0312864262549635
425,recitarono,5.0312864262549635
426,esprimendo,5.0312864262549635
427,giaceva,5.0312864262549635
428,corretto,5.0312864262549635
429,rebelli,5.0312864262549635
430,campite,5.0312864262549635
431,freschissime,5.0312864262549635
432,scolca,5.0312864262549635
433,riconoscessino,5.0312864262549635
434,regolato,5.0312864262549635
435,fascio,5.0312864262549635
436,esprime,5.0312864262549635
437,giostrando,5.0312864262549635
438,caronte,5.0312864262549635
439,frequentando,5.0312864262549635
440,ubidienza,5.0312864262549635
441,reputati,5.0312864262549635
442,postala,5.0312864262549635
443,sodisfatti,5.0312864262549635
444,zebenigo,5.0312864262549635
445,devemo,5.0312864262549635
446,cartagine,5.0312864262549635
447,aiutatolo,5.0312864262549635
448,braccia,5.0266542560086975
449,vedeva,4.984625110393376
450,manca,4.984625110393376
451,poste,4.984625110393376
452,marie,4.984625110393376
453,conoscendo,4.984625110393376
454,costoro,4.984625110393376
455,colori,4.957685701334601
456,lodata,4.957685701334601
457,lavorato,4.957685701334601
458,caso,4.932674137586854
459,essendogli,4.932674137586854
460,apostolo,4.882038521618274
461,dicendo,4.882038521618274
462,scala,4.882038521618274
463,tempio,4.85711762521867
464,amicizia,4.832653296437531
465,miglior,4.824330413622099
466,mise,4.824330413622099
467,insino,4.824330413622099
468,giovane,4.824330413622099
469,amici,4.824330413622099
470,destra,4.78445819327941
471,pieni,4.78445819327941
472,certa,4.78445819327941
473,fargli,4.78445819327941
474,ora,4.759811797959209
475,santi,4.759811797959209
476,novissimo,4.743604353803183
477,fuorusciti,4.743604353803183
478,tesino,4.743604353803183
479,pregiudizio,4.743604353803183
480,fulmina,4.743604353803183
481,cominci,4.743604353803183
482,richieggiono,4.743604353803183
483,sotterrate,4.743604353803183
484,accorse,4.743604353803183
485,todeschi,4.743604353803183
486,spiritato,4.743604353803183
487,teodoro,4.743604353803183
488,vertigli,4.743604353803183
489,scetro,4.743604353803183
490,bresciani,4.743604353803183
491,tormentare,4.743604353803183
492,aparendo,4.743604353803183
493,farisei,4.743604353803183
494,condurgli,4.743604353803183
495,lega,4.743604353803183
496,foscari,4.743604353803183
497,cacciatori,4.743604353803183
498,parlatone,4.743604353803183
499,cavi,4.743604353803183
500,gettando,4.743604353803183
501,purgatorio,4.743604353803183
502,mo,4.743604353803183
503,pagargli,4.743604353803183
504,caravaggio,4.743604353803183
505,invetriato,4.743604353803183
506,pater,4.743604353803183
507,spaventevole,4.743604353803183
508,letta,4.743604353803183
509,disfatta,4.743604353803183
510,rozzo,4.743604353803183
511,contrarietà,4.743604353803183
512,orrevoli,4.743604353803183
513,barbaro,4.743604353803183
514,compartendo,4.743604353803183
515,calavrese,4.743604353803183
516,annoverata,4.743604353803183
517,vado,4.743604353803183
518,lunetta,4.743604353803183
519,svenuta,4.743604353803183
520,ostinato,4.743604353803183
521,rallegrarsi,4.743604353803183
522,seguitate,4.743604353803183
523,ell,4.737397198459022
524,scultori,4.737397198459022
525,pratica,4.696651570365712
526,vuole,4.691418162009624
527,gallo,4.646472450305508
528,ritta,4.646472450305508
529,ragionevole,4.646472450305508
530,sapere,4.646472450305508
531,pensando,4.646472450305508
532,speranza,4.602514636867957
533,farlo,4.55950222642603
534,faceva,4.544334594245442
535,vestimenta,4.520460802488973
536,canareio,4.520460802488973
537,puttino,4.520460802488973
538,furor,4.520460802488973
539,accompagnavano,4.520460802488973
540,avvertire,4.520460802488973
541,strafori,4.520460802488973
542,corrispondere,4.520460802488973
543,baia,4.520460802488973
544,starebbono,4.520460802488973
545,stimasse,4.520460802488973
546,predicazione,4.520460802488973
547,probatica,4.520460802488973
548,vengano,4.520460802488973
549,dubitasse,4.520460802488973
550,oltreché,4.520460802488973
551,murlo,4.520460802488973
