,term,score
0,benedetto,43.36234389439483
1,marmo,28.593592131137246
2,pergamo,23.501169948783048
3,legni,20.143859956099753
4,re,16.99424359877752
5,casse,16.73595426347104
6,sala,14.499284811094103
7,arco,14.39332299709394
8,artifizio,13.479557552189636
9,commesso,12.341505108798602
10,udienza,12.341505108798602
11,zio,11.64409156021949
12,muro,11.641463837379888
13,rosoni,11.481940865787083
14,reggere,10.93497619540522
15,giuliano,10.893274981708231
16,gocciolatoio,10.873503068726256
17,tetto,10.783646041751709
18,maiano,10.472524155923445
19,braccio,10.194491496478559
20,geri,10.062572852509927
21,piffero,10.062572852509927
22,palco,9.969250220786751
23,dette,9.71423525043734
24,mattoni,9.256128831598952
25,grosso,9.256128831598952
26,ungheria,9.256128831598952
27,reggono,8.855534653725385
28,avendosi,8.615406530704774
29,pezzo,8.418188096751697
30,braccia,8.377757093347828
31,oriuolo,8.36797713173552
32,avorio,8.36797713173552
33,giovinezza,8.36797713173552
34,rimesso,8.100914346486476
35,sodo,8.100914346486476
36,prospettive,8.087734531313782
37,commessi,7.865348275173708
38,scultura,7.583168841303257
39,esercizio,7.3990112063802815
40,certi,7.147091745653286
41,travi,6.981682770615629
42,grossezza,6.843697027641727
43,pezzi,6.776093112045548
44,partisse,6.714619985366585
45,signoria,6.594219246596243
46,presenza,6.370919471513266
47,festoni,6.268332882738164
48,diversi,6.2622020938209495
49,nondimeno,6.220750945678763
50,colonna,6.208367113129963
51,salita,6.170752554399301
52,dugento,6.170752554399301
53,ciascuna,6.106662458102919
54,vergogna,6.077712523129515
55,volendo,5.960291965594622
56,fiore,5.960291965594622
57,peso,5.903689769150256
58,portico,5.822045780109745
59,arezzo,5.7756182865963215
60,intagliati,5.743604353803183
61,bastanza,5.668123697837489
62,filippo,5.644210418621144
63,metà,5.5953884094957385
64,fogliami,5.525205769873199
65,nero,5.457402666521837
66,sportasse,5.436751534363128
67,apparissi,5.436751534363128
68,restassi,5.436751534363128
69,sballare,5.436751534363128
70,sportassi,5.436751534363128
71,modiglioni,5.436751534363128
72,incastrato,5.436751534363128
73,intenerito,5.436751534363128
74,audienza,5.436751534363128
75,sprangato,5.436751534363128
76,intaccate,5.436751534363128
77,appicati,5.436751534363128
78,forare,5.436751534363128
79,indebolisse,5.436751534363128
80,diligite,5.436751534363128
81,bucò,5.436751534363128
82,inchiodate,5.436751534363128
83,ingrossò,5.436751534363128
84,comettere,5.436751534363128
85,grandeza,5.436751534363128
86,corniciamento,5.436751534363128
87,aggiuntovi,5.436751534363128
88,mantenutosi,5.436751534363128
89,sacrestia,5.436751534363128
90,terram,5.436751534363128
91,impostare,5.436751534363128
92,iudicatis,5.436751534363128
93,davantaggio,5.436751534363128
94,fasciate,5.436751534363128
95,travo,5.436751534363128
96,mellino,5.436751534363128
97,mellini,5.436751534363128
98,vacuo,5.436751534363128
99,bastasseno,5.436751534363128
100,iustitiam,5.436751534363128
101,contrepesati,5.436751534363128
102,suavità,5.436751534363128
103,riquadrò,5.436751534363128
104,incerati,5.436751534363128
105,centinato,5.436751534363128
106,pigner,5.436751534363128
107,menzole,5.436751534363128
108,lastroni,5.436751534363128
109,caddero,5.436751534363128
