,term,score
0,benozzo,43.38139245695018
1,melozzo,16.310254603089383
2,cesarini,10.873503068726256
3,pisa,10.261806355086769
4,camposanto,9.718580871080727
5,pinxit,8.36797713173552
6,conducono,7.654627243858055
7,est,7.464006884249406
8,cappella,7.056999218139895
9,dimostrò,6.268332882738164
10,fatiche,6.139115459153934
11,sisto,5.743604353803183
12,fresco,5.505234095266835
13,sassosa,5.436751534363128
14,spectas,5.436751534363128
15,periglio,5.436751534363128
16,ringrazia,5.436751534363128
17,ferarum,5.436751534363128
18,domos,5.436751534363128
19,variis,5.436751534363128
20,matres,5.436751534363128
21,liberano,5.436751534363128
22,iuvenes,5.436751534363128
23,tumulus,5.436751534363128
24,pueros,5.436751534363128
25,prodigii,5.436751534363128
26,vivum,5.436751534363128
27,benotii,5.436751534363128
28,benoxus,5.436751534363128
29,apta,5.436751534363128
30,finxit,5.436751534363128
31,superi,5.436751534363128
32,volucres,5.436751534363128
33,vivos,5.436751534363128
34,manier,5.436751534363128
35,queis,5.436751534363128
36,humanitas,5.436751534363128
37,innondazione,5.436751534363128
38,sonos,5.436751534363128
39,parentes,5.436751534363128
40,argiropolo,5.436751534363128
41,geli,5.436751534363128
42,spirat,5.436751534363128
43,mcccclxxviii,5.436751534363128
44,silvas,5.436751534363128
45,riposò,5.436751534363128
46,virides,5.436751534363128
47,historias,5.436751534363128
48,aethereasque,5.436751534363128
49,pisces,5.436751534363128
50,ristorando,5.436751534363128
51,proxime,5.436751534363128
52,canosque,5.436751534363128
53,gozzoli,5.436751534363128
54,foetibus,5.436751534363128
55,fundite,5.436751534363128
56,bramate,5.436751534363128
57,rincrescevano,5.436751534363128
58,vecchiotto,5.436751534363128
59,cognizione,5.149101306867319
60,ho,5.061742375298271
61,contento,5.037961604557698
62,donavit,5.0312864262549635
63,angelico,5.0312864262549635
64,artificis,5.0312864262549635
65,legione,5.0312864262549635
66,piega,5.0312864262549635
67,scrivervi,5.0312864262549635
68,costumatissimamente,5.0312864262549635
69,riscontrato,5.0312864262549635
70,efficacemente,5.0312864262549635
71,pisanorum,5.0312864262549635
72,florentini,5.0312864262549635
73,nebrot,5.0312864262549635
74,has,5.0312864262549635
75,machiavelli,5.0312864262549635
76,salomone,5.0312864262549635
77,colgono,5.0312864262549635
78,incomodi,5.0312864262549635
79,torre,4.832653296437531
80,insino,4.824330413622099
81,negli,4.78445819327941
82,accade,4.78445819327941
83,sibi,4.743604353803183
84,monstra,4.743604353803183
85,ebree,4.743604353803183
86,avanzarono,4.743604353803183
87,ficino,4.743604353803183
88,tranquillo,4.743604353803183
89,cibò,4.743604353803183
90,saba,4.743604353803183
91,benedice,4.743604353803183
92,tam,4.743604353803183
93,prospettivo,4.743604353803183
94,figuris,4.743604353803183
95,salvamento,4.743604353803183
96,ritrova,4.743604353803183
97,disputano,4.743604353803183
98,78,4.743604353803183
99,affanni,4.743604353803183
100,beretta,4.743604353803183
101,copiosità,4.743604353803183
102,curato,4.743604353803183
103,cimiterio,4.743604353803183
104,giustamente,4.520460802488973
105,ingenio,4.520460802488973
106,comperata,4.520460802488973
107,riguardare,4.520460802488973
108,dimora,4.520460802488973
109,semper,4.520460802488973
110,marsilio,4.520460802488973
111,situato,4.520460802488973
112,decus,4.520460802488973
113,singular,4.520460802488973
114,simulacra,4.520460802488973
115,generali,4.520460802488973
116,platina,4.520460802488973
117,superba,4.520460802488973
118,riario,4.520460802488973
119,vito,4.520460802488973
120,quid,4.520460802488973
121,patiscono,4.520460802488973
122,strada,4.5173954080303655
123,sacrificio,4.338139245695018
124,terribilissima,4.338139245695018
125,casetta,4.338139245695018
126,hunc,4.338139245695018
127,cattivi,4.338139245695018
128,sudori,4.338139245695018
129,caldi,4.338139245695018
130,abitando,4.338139245695018
131,haec,4.338139245695018
132,epigramma,4.338139245695018
133,distinte,4.338139245695018
134,tempera,4.2090940483758486
135,grandissima,4.207532688632199
136,scorta,4.18398856586776
137,restaurate,4.18398856586776
138,buchi,4.18398856586776
139,dotti,4.18398856586776
140,dipinse,4.128925571450126
141,entrar,4.050457173243238
142,uve,4.050457173243238
143,diletti,4.050457173243238
144,creduto,4.050457173243238
145,abramo,4.050457173243238
146,transito,4.050457173243238
147,comparazione,3.932674137586854
148,soddoma,3.932674137586854
149,edificazione,3.932674137586854
150,nientedimeno,3.932674137586854
151,dagl,3.8504121910642146
152,vicine,3.8273136219290276
153,nera,3.8273136219290276
154,acconciare,3.8273136219290276
155,trasse,3.8273136219290276
156,passi,3.8273136219290276
157,araceli,3.8273136219290276
