,term,score
0,berna,54.36751534363128
1,sanese,13.67850667927809
2,capella,11.41062331214966
3,marino,10.93497619540522
4,giuccio,10.873503068726256
5,diavolo,9.890056112600572
6,capelle,9.890056112600572
7,dipinse,8.257851142900252
8,tarlati,8.100914346486476
9,promessa,7.865348275173708
10,pieve,6.969708675458262
11,ragioni,6.268332882738164
12,siena,5.866534335082308
13,vivamente,5.822045780109745
14,arezzo,5.7756182865963215
15,storia,5.681474054442957
16,storiette,5.525205769873199
17,mala,5.525205769873199
18,cortona,5.525205769873199
19,fresco,5.505234095266835
20,tomè,5.436751534363128
21,cupidigia,5.436751534363128
22,lasciolle,5.436751534363128
23,dragomanni,5.436751534363128
24,1369,5.436751534363128
25,acerbissimo,5.436751534363128
26,moverebbe,5.436751534363128
27,acerbità,5.436751534363128
28,tropo,5.436751534363128
29,atteggiato,5.436751534363128
30,tornalo,5.436751534363128
31,asciano,5.436751534363128
32,1381,5.436751534363128
33,paganelli,5.436751534363128
34,orribilissimo,5.436751534363128
35,ardesse,5.436751534363128
36,immaginasse,5.436751534363128
37,poveretto,5.436751534363128
38,pallidezza,5.436751534363128
39,dediti,5.436751534363128
40,mestissimo,5.436751534363128
41,perverrebbono,5.436751534363128
42,soprastanno,5.436751534363128
43,miserabil,5.436751534363128
44,inchiostri,5.436751534363128
45,barattiere,5.436751534363128
46,gimignanesi,5.436751534363128
47,stessa,5.207076380613824
48,diedero,5.037961604557698
49,troncasse,5.0312864262549635
50,sconciamente,5.0312864262549635
51,epitaffii,5.0312864262549635
52,cessando,5.0312864262549635
53,vulgari,5.0312864262549635
54,indotto,5.0312864262549635
55,onorandolo,5.0312864262549635
56,sicurezza,5.0312864262549635
57,resero,5.0312864262549635
58,celebrando,5.0312864262549635
59,pentimento,5.0312864262549635
60,spirito,4.85711762521867
61,giovane,4.824330413622099
62,predetta,4.743604353803183
63,moccio,4.743604353803183
64,vanni,4.743604353803183
65,infranse,4.743604353803183
66,confortava,4.743604353803183
67,desidera,4.743604353803183
68,appiccare,4.743604353803183
69,prontamente,4.743604353803183
70,apparente,4.743604353803183
71,casata,4.743604353803183
72,pestò,4.743604353803183
73,testamento,4.691418162009624
74,iacopo,4.60433659436545
75,liberi,4.520460802488973
76,liberazione,4.520460802488973
77,crudo,4.520460802488973
78,dimora,4.520460802488973
79,ieri,4.520460802488973
80,evangelista,4.476156833624893
81,piè,4.3961461643974955
82,avevano,4.343302463396562
83,oneste,4.338139245695018
84,fiata,4.338139245695018
85,fiere,4.338139245695018
86,calca,4.338139245695018
87,luca,4.319213602741904
88,mostra,4.281829336717598
89,atto,4.245131059381205
90,corto,4.18398856586776
91,navate,4.18398856586776
92,mantenuto,4.18398856586776
93,tenendolo,4.18398856586776
94,valdelsa,4.18398856586776
95,cadendo,4.18398856586776
96,fa,4.077642271372227
97,merita,4.071108305401946
98,zoccolanti,4.050457173243238
99,rinieri,4.050457173243238
100,filo,4.050457173243238
101,mostrargli,4.050457173243238
102,veggonsi,3.932674137586854
103,limosine,3.932674137586854
104,conveniente,3.932674137586854
105,commodamente,3.8273136219290276
106,nicolò,3.8273136219290276
107,lunghissima,3.8273136219290276
108,brutto,3.8273136219290276
109,accidenti,3.8273136219290276
110,pietra,3.8207820194939335
111,famiglie,3.732003442124703
112,immaginarsi,3.732003442124703
113,profeta,3.732003442124703
114,stranamente,3.732003442124703
115,affaticano,3.732003442124703
116,raccomanda,3.732003442124703
117,reputazione,3.644992065135073
118,incendio,3.644992065135073
119,dice,3.572186586138779
120,ce,3.5649493574615367
121,scritta,3.5649493574615367
122,tedesca,3.5649493574615367
123,gimignano,3.5649493574615367
124,toglie,3.5649493574615367
125,fede,3.520901724912104
126,consumate,3.4908413853078146
127,naturalmente,3.4908413853078146
128,agostino,3.4463589353176407
129,espressa,3.4218485138208634
130,ghiberti,3.4218485138208634
131,spavento,3.4218485138208634
132,morisse,3.4218485138208634
133,latini,3.4218485138208634
134,capponi,3.4218485138208634
135,quest,3.374494916865514
136,corpo,3.305123800889734
137,canto,3.305123800889734
138,intitolata,3.2966853708668573
139,estremo,3.2966853708668573
140,menato,3.2966853708668573
141,essequie,3.239526957026909
142,vedendosi,3.239526957026909
143,tant,3.239526957026909
144,ritrasse,3.216220275748066
145,incontro,3.185459735756633
146,sparse,3.185459735756633
147,espresse,3.185459735756633
148,avemo,3.134166441369082
149,libera,3.134166441369082
150,somiglianti,3.134166441369082
151,sperare,3.134166441369082
152,timore,3.0853762771996505
153,aperto,3.0388562615647574
154,beato,3.0388562615647574
155,ornata,3.0388562615647574
156,giustizia,3.0388562615647574
157,lode,3.0098518032776047
158,rovinata,2.994404498993924
159,vecchie,2.994404498993924
160,affetto,2.994404498993924
161,affetti,2.951844884575128
162,mondo,2.9141397609223345
163,dee,2.9110228900548725
164,condotto,2.8771016653878596
165,appare,2.8718021769015913
166,fattone,2.8718021769015913
167,presso,2.8718021769015913
168,cominciasse,2.8718021769015913
169,premio,2.8718021769015913
170,morto,2.8588366982613147
171,essersi,2.8340618489187444
172,peccato,2.8340618489187444
173,croce,2.805021792421466
