,term,score
0,pinturicchio,50.20786279041312
1,enea,27.528718963107977
2,pio,26.566603961176153
3,dipinse,16.515702285800504
4,cardinale,14.670801401335275
5,piccolomini,14.230813061409549
6,perugino,13.988471023739347
7,bernardino,13.988471023739347
8,cappella,12.70259859265181
9,pietro,12.594157622457196
10,pontefice,12.416734226259926
11,libreria,11.807379538300513
12,concilio,11.481940865787083
13,manda,10.472524155923445
14,turchi,10.472524155923445
15,perugia,10.075923209115397
16,innocenzio,10.071929978049877
17,fuligno,10.062572852509927
18,storia,9.942579595275175
19,siena,9.777557225137182
20,quarto,9.382836324019248
21,calisto,9.040921604977946
22,lavoranti,8.676278491390036
23,stanze,8.563658673435196
24,rovere,8.36797713173552
25,federigo,8.287808654809798
26,cappelle,8.087734531313782
27,principi,7.723651960300979
28,muore,7.654627243858055
29,contra,7.556942406836548
30,patria,7.475848633467188
31,borgia,7.464006884249406
32,sodisfece,7.464006884249406
33,niccolò,7.19666149854697
34,schizzi,7.1298987149230735
35,silvio,7.1298987149230735
36,ottavo,7.1298987149230735
37,duomo,6.941798241002539
38,ad,6.9248329327991165
39,oro,6.79632766431904
40,inanzi,6.655962385073959
41,borgo,6.653627128484781
42,imperatore,6.653627128484781
43,volle,6.610247601779468
44,stanza,6.535964989024939
45,iii,6.479053914053818
46,ritrasse,6.432440551496132
47,ancona,6.370919471513266
48,napoli,6.367696589071807
49,tempera,6.313641072563772
50,frati,6.2622020938209495
51,ii,6.170752554399301
52,camera,6.157083813052061
53,mandato,6.106662458102919
54,alessandro,6.057074552249286
55,piangono,5.988808997987848
56,terzo,5.960291965594622
57,chiamato,5.903753459062201
58,popolo,5.866534335082308
59,istorie,5.820731918689944
60,domenico,5.754203330775719
61,sisto,5.743604353803183
62,raffaello,5.518317821324047
63,coronatus,5.436751534363128
64,gianiacomo,5.436751534363128
65,ghiacci,5.436751534363128
66,indurlo,5.436751534363128
67,meschina,5.436751534363128
68,diii,5.436751534363128
69,cassonaccio,5.436751534363128
70,argentina,5.436751534363128
71,nepos,5.436751534363128
72,alunno,5.436751534363128
73,perseguitati,5.436751534363128
74,consegnarono,5.436751534363128
75,rincontrare,5.436751534363128
76,telamone,5.436751534363128
77,rinnovati,5.436751534363128
78,francscordia,5.436751534363128
79,pittigliano,5.436751534363128
80,canonezza,5.436751534363128
81,valdorcia,5.436751534363128
82,octavo,5.436751534363128
83,buonfiglio,5.436751534363128
84,suffragiis,5.436751534363128
85,pii,5.436751534363128
86,contenga,5.436751534363128
87,basilea,5.436751534363128
88,corsignano,5.436751534363128
89,catolica,5.436751534363128
90,vacua,5.436751534363128
91,electus,5.436751534363128
92,trieste,5.436751534363128
93,apertis,5.436751534363128
94,tramutarlo,5.436751534363128
95,secundi,5.436751534363128
96,xxi,5.436751534363128
97,camaldoli,5.391823020875854
98,va,5.358279879208169
99,nipote,5.149101306867319
100,compagno,5.092759552933927
101,poche,5.037961604557698
102,goffissima,5.0312864262549635
103,septembris,5.0312864262549635
104,sciarra,5.0312864262549635
105,gerino,5.0312864262549635
106,costumando,5.0312864262549635
107,disiderano,5.0312864262549635
108,meritarono,5.0312864262549635
109,penava,5.0312864262549635
110,scola,5.0312864262549635
111,torcie,5.0312864262549635
112,pienza,5.0312864262549635
113,tolosa,5.0312864262549635
114,59,5.0312864262549635
115,capranica,5.0312864262549635
116,senensis,5.0312864262549635
117,splendidissimo,5.0312864262549635
118,protonotario,5.0312864262549635
119,antipapa,5.0312864262549635
120,catalogo,5.0312864262549635
121,eresia,5.0312864262549635
122,preparando,5.0312864262549635
123,1405,5.0312864262549635
124,crescono,5.0312864262549635
125,sconcio,5.0312864262549635
126,cartoni,4.984625110393376
127,conte,4.984625110393376
128,ritratti,4.957685701334601
129,guerra,4.882038521618274
130,favore,4.882038521618274
131,dipignere,4.824330413622099
132,saperne,4.743604353803183
133,fiamminghi,4.743604353803183
134,triulzi,4.743604353803183
135,pius,4.743604353803183
136,1513,4.743604353803183
137,pitigliano,4.743604353803183
138,narra,4.743604353803183
139,decima,4.743604353803183
140,ercolano,4.743604353803183
141,appresa,4.743604353803183
142,cavarlo,4.743604353803183
143,dependono,4.743604353803183
144,legazioni,4.743604353803183
145,porrò,4.743604353803183
146,genovese,4.743604353803183
147,dotati,4.743604353803183
148,octobris,4.743604353803183
149,spedita,4.743604353803183
150,vivacissimi,4.743604353803183
151,longa,4.743604353803183
152,trattare,4.743604353803183
153,ottenuta,4.743604353803183
154,inalzati,4.743604353803183
155,accorò,4.743604353803183
156,stucchi,4.691418162009624
157,virtuosi,4.691418162009624
158,lodovico,4.691418162009624
159,condiscepolo,4.520460802488973
160,settima,4.520460802488973
161,anghiari,4.520460802488973
162,ottava,4.520460802488973
163,eloquenza,4.520460802488973
164,consideratamente,4.520460802488973
165,savoia,4.520460802488973
166,spedizione,4.520460802488973
167,gostanza,4.520460802488973
168,1484,4.520460802488973
169,ornamenti,4.514777704916407
170,rilievo,4.456523447345102
171,aiuto,4.357309992683293
172,levarlo,4.338139245695018
173,alpe,4.338139245695018
174,orrevole,4.338139245695018
175,intendevano,4.338139245695018
176,disperati,4.338139245695018
177,orientali,4.338139245695018
178,imperio,4.338139245695018
179,fortuna,4.319213602741904
180,angeli,4.315652498081789
181,aiutato,4.245131059381205
182,uomo,4.234199530883936
183,infinite,4.2090940483758486
184,grandissima,4.207532688632199
185,cibo,4.18398856586776
186,oratore,4.18398856586776
187,aiutati,4.18398856586776
188,giudico,4.18398856586776
189,grossissima,4.18398856586776
190,isabella,4.18398856586776
191,nona,4.18398856586776
192,orsino,4.18398856586776
193,gonfalone,4.18398856586776
194,fresco,4.128925571450126
195,facciata,4.128925571450126
196,clemente,4.1047225420347075
197,natività,4.071108305401946
198,ciascuna,4.071108305401946
199,considerati,4.050457173243238
200,tocche,4.050457173243238
201,pistolese,4.050457173243238
202,romito,4.050457173243238
203,monaca,4.050457173243238
204,eremo,4.050457173243238
205,durava,4.050457173243238
206,costato,4.050457173243238
207,adagio,4.050457173243238
208,liberali,4.050457173243238
209,lustro,4.050457173243238
210,tirando,4.050457173243238
211,latino,4.050457173243238
212,ruppe,4.050457173243238
213,creato,4.005528659755964
214,torrione,3.932674137586854
215,fussono,3.932674137586854
216,sesta,3.932674137586854
217,neve,3.932674137586854
218,nimica,3.932674137586854
219,avessono,3.932674137586854
220,diminuiscono,3.932674137586854
221,divise,3.932674137586854
222,asse,3.932674137586854
223,abbiam,3.932674137586854
224,comunità,3.932674137586854
225,infiniti,3.8804879457932957
226,caterina,3.8804879457932957
227,continovo,3.8273136219290276
228,circoncisione,3.8273136219290276
229,travagliata,3.8273136219290276
230,sorelle,3.8273136219290276
231,regina,3.8273136219290276
232,quinta,3.8273136219290276
233,loggie,3.8273136219290276
234,araceli,3.8273136219290276
235,fantastico,3.8273136219290276
236,contraria,3.8273136219290276
237,italia,3.7915844206516285
238,est,3.732003442124703
239,eugenio,3.732003442124703
240,elesse,3.732003442124703
241,disegna,3.732003442124703
242,merito,3.732003442124703
243,castello,3.7064651918140363
244,lavori,3.7064651918140363
245,piena,3.6516672434378075
246,coloritore,3.644992065135073
247,cinquecento,3.644992065135073
248,prelati,3.644992065135073
249,guasti,3.644992065135073
250,fini,3.644992065135073
251,protettore,3.644992065135073
252,sin,3.644992065135073
253,vettoria,3.644992065135073
254,tevere,3.644992065135073
255,gesù,3.572186586138779
256,lancia,3.5649493574615367
257,leggono,3.5649493574615367
258,imitatore,3.5649493574615367
259,cristiani,3.5649493574615367
260,gliela,3.5649493574615367
261,trento,3.5649493574615367
262,lauro,3.5649493574615367
263,vescovo,3.4957441604983837
264,edificata,3.4908413853078146
265,coronato,3.4908413853078146
266,piace,3.4908413853078146
267,usata,3.4908413853078146
268,conosciuti,3.4908413853078146
269,olio,3.4708991205012696
270,signori,3.4221162142529513
271,predicatori,3.4218485138208634
272,adora,3.4218485138208634
273,portogallo,3.4218485138208634
274,rispondono,3.4218485138208634
275,bastando,3.4218485138208634
276,amico,3.39816383215952
277,detti,3.374494916865514
278,quadro,3.374494916865514
279,sanesi,3.3573099926832923
280,misero,3.3573099926832923
281,giulia,3.3573099926832923
282,colpa,3.3573099926832923
283,rumore,3.3573099926832923
284,fatica,3.305123800889734
285,lavorato,3.305123800889734
286,armata,3.2966853708668573
287,riuscirono,3.2966853708668573
288,cielo,3.2825246903818672
289,via,3.260178089185617
290,segretario,3.239526957026909
291,coronazione,3.239526957026909
292,sodisfare,3.239526957026909
293,abitava,3.239526957026909
294,silenzio,3.239526957026909
295,dette,3.238078416812447
296,basso,3.238078416812447
297,amici,3.216220275748066
298,genova,3.185459735756633
299,passa,3.185459735756633
300,strano,3.185459735756633
301,palchi,3.185459735756633
302,porto,3.185459735756633
303,santi,3.1732078653061393
304,avventura,3.134166441369082
305,salvo,3.134166441369082
306,ventura,3.134166441369082
307,risponde,3.134166441369082
308,destrezza,3.134166441369082
309,pratica,3.1311010469104748
310,leonora,3.0853762771996505
311,ascesi,3.0853762771996505
312,pervenuto,3.0853762771996505
313,abitare,3.0853762771996505
314,parevano,3.0853762771996505
315,assunta,3.0853762771996505
316,persona,3.0494570578699642
317,valenti,3.0388562615647574
318,magnificenza,3.0388562615647574
319,faceva,3.029556396163628
320,nomi,2.994404498993924
321,arcivescovo,2.994404498993924
322,stento,2.994404498993924
323,dottori,2.994404498993924
324,sale,2.994404498993924
325,garzoni,2.994404498993924
326,vittoria,2.994404498993924
327,spartimenti,2.994404498993924
328,ancor,2.9903394533868752
329,meriti,2.951844884575128
330,pensare,2.951844884575128
331,corona,2.951844884575128
332,cesare,2.951844884575128
333,sesto,2.951844884575128
334,venisse,2.951844884575128
335,piacquero,2.951844884575128
336,alfonso,2.951844884575128
337,processione,2.9110228900548725
338,guadagno,2.9110228900548725
339,pigliare,2.9110228900548725
340,zio,2.9110228900548725
341,dipignesse,2.9110228900548725
342,vivamente,2.9110228900548725
343,vengono,2.9110228900548725
344,stata,2.8955349755977076
345,facesse,2.8771016653878596
346,cioè,2.8771016653878596
347,portata,2.8718021769015913
348,belvedere,2.8718021769015913
349,marchese,2.8718021769015913
350,ducati,2.8718021769015913
351,poeta,2.8718021769015913
352,sarebbono,2.8718021769015913
353,messi,2.8718021769015913
354,apertamente,2.8718021769015913
355,presso,2.8718021769015913
356,sieno,2.8340618489187444
357,mantoa,2.8340618489187444
358,miracoli,2.8340618489187444
359,chiama,2.8340618489187444
360,primo,2.8227996872559578
361,compagnia,2.805021792421466
362,felice,2.7976942047478692
363,esser,2.7699331731196466
364,raccontare,2.7626028849365993
365,usò,2.7626028849365993
366,dispiacere,2.7626028849365993
