,term,score
0,bramante,101.93471154421226
1,belvedere,31.589823945917505
2,ventura,31.341664413690822
3,architettura,21.27827865880178
4,iulio,18.660017210623515
5,ii,18.512257663197904
6,tribuna,18.22476733214838
7,architettore,16.37220799956551
8,urbino,15.768125052507212
9,vestibulo,14.230813061409549
10,dorica,14.230813061409549
11,fino,13.80754391060387
12,ingegno,13.592140904574087
13,iii,12.958107828107636
14,avessi,12.341505108798602
15,corinzio,12.151371519729715
16,fabbrica,11.487208707606365
17,chiostro,11.293488520075915
18,raffaello,11.036635642648093
19,pont,10.873503068726256
20,invenzion,10.873503068726256
21,valletta,10.873503068726256
22,trovossi,10.873503068726256
23,misurò,10.873503068726256
24,pietro,10.794992247820455
25,prestezza,10.656651248493388
26,ionico,10.472524155923445
27,dorico,10.26554554146259
28,architettori,10.26554554146259
29,grandissimo,10.19948916322817
30,magior,10.062572852509927
31,buttar,10.062572852509927
32,antichi,9.933819942657703
33,antiche,9.933819942657703
34,opra,9.890056112600572
35,corridore,9.890056112600572
36,edifizio,9.865348275173709
37,grandissima,9.817576273475131
38,cardinale,9.78053426755685
39,tempio,9.71423525043734
40,mettessino,9.487208707606365
41,gallo,9.292944900611015
42,invenzione,9.269587417515009
43,doppo,9.256128831598952
44,volse,9.256128831598952
45,spalle,9.205029273735914
46,angoli,9.116568784694273
47,edificio,9.040921604977946
48,voltarla,9.040921604977946
49,accrescimento,9.040921604977946
50,salgono,9.040921604977946
51,massimo,9.040921604977946
52,anche,9.034790816060731
53,principio,9.029555409832813
54,muraglia,8.733068670164617
55,esecutore,8.676278491390036
56,poteva,8.436237292163785
57,modello,8.418188096751697
58,rustica,8.36797713173552
59,casse,8.36797713173552
60,sicura,8.36797713173552
61,archi,8.347389788354093
62,tal,8.347389788354093
63,colonne,8.347389788354093
64,dua,8.287808654809798
65,pontefice,8.277822817506618
66,fondò,8.100914346486476
67,papale,8.100914346486476
68,cornice,7.99248843637004
69,andito,7.865348275173708
70,spedito,7.654627243858055
71,giulio,7.641564038987867
72,ché,7.639139329400891
73,diceva,7.4769376655900635
74,parimente,7.475848633467188
75,scienza,7.464006884249406
76,voltare,7.464006884249406
77,durante,7.464006884249406
78,messe,7.3990112063802815
79,voglia,7.303334486875615
80,tevere,7.289984130270146
81,trevertino,7.289984130270146
82,misurare,7.289984130270146
83,volontà,7.248979944656297
84,grandi,7.192754163469649
85,negli,7.176687289919116
86,pilastri,7.176687289919116
87,grandezza,7.144373172277558
88,cristiani,7.1298987149230735
89,recato,7.1298987149230735
90,vii,7.1298987149230735
91,cavata,7.1298987149230735
92,cappella,7.056999218139895
93,dilettò,7.037127243014436
94,valle,6.981682770615629
95,milano,6.969708675458262
96,fabbriche,6.843697027641727
97,ci,6.839253339639045
98,bellezza,6.748989833731028
99,notabile,6.714619985366585
100,abitazione,6.714619985366585
101,scale,6.71423525043734
102,braccia,6.702205674678263
103,visse,6.655962385073959
104,operare,6.653627128484781
105,quegli,6.610247601779468
106,valse,6.593370741733715
107,vedesi,6.593370741733715
108,cresciuto,6.593370741733715
109,piano,6.535964989024939
110,verso,6.520356178371234
111,allo,6.478820404112856
112,condotta,6.476156833624894
113,fabrica,6.422744005076397
114,fondamenti,6.370919471513266
115,capitegli,6.370919471513266
116,avrebbe,6.370919471513266
117,loggia,6.313641072563772
118,paulo,6.304087293290131
119,ingegnose,6.268332882738164
