,term,score
0,buonamico,313.0778873510101
1,buffalmacco,75.31179418561968
2,capodoca,48.93076380926815
3,tafo,43.494012274905025
4,bruno,42.69243918422865
5,vegghia,38.0572607405419
6,levarsi,31.46139310069483
7,vescovo,27.96595328398707
8,notte,27.61508782120774
9,bertuccione,25.15643213127482
10,dipinse,17.892010809617215
11,perugini,16.73595426347104
12,scarafaggi,16.310254603089383
13,alberelli,16.310254603089383
14,vernaccia,16.310254603089383
15,risa,16.201828692972953
16,mattina,15.80034692073956
17,sacchetti,15.09385927876489
18,fanti,15.09385927876489
19,lasche,15.09385927876489
20,dipintore,14.497959889312593
21,insino,14.472991240866296
22,cotto,14.230813061409549
23,burlevole,14.230813061409549
24,disse,14.185519105867854
25,nuovo,14.083606899648416
26,fresco,13.763085238167088
27,lavoro,13.72255676041484
28,lavorare,13.677247801253174
29,paura,13.643506666304592
30,dire,13.283445282889952
31,giorno,12.952313667249788
32,io,12.946957494245368
33,racconta,12.741838943026533
34,caso,12.331685343967136
35,franco,12.15542504625903
36,capuccio,12.151371519729715
37,contadino,12.151371519729715
38,piedi,12.148146921754444
39,turata,11.798022412760561
40,finita,11.73167696648805
41,colori,11.567933303114069
42,burla,11.481940865787083
43,storia,11.362948108885915
44,mise,11.256770965118232
45,ora,11.106227528571488
46,voleva,10.955001730313423
47,giorni,10.874463608320578
48,garzonaccio,10.873503068726256
49,filatoio,10.873503068726256
50,vòlta,10.873503068726256
51,calcinaia,10.873503068726256
52,falcioni,10.873503068726256
53,salato,10.873503068726256
54,orsacchino,10.873503068726256
55,mezzina,10.873503068726256
56,demonî,10.873503068726256
57,sul,10.81451865376751
58,lodate,10.79803400685476
59,costumava,10.69484807238461
60,piacevole,10.656651248493388
61,considerando,10.656651248493388
62,faceva,10.603447386572698
63,dormire,10.472524155923445
64,prete,10.26554554146259
65,pisa,10.261806355086769
66,poteva,10.123484750596543
67,diadema,10.062572852509927
68,guadagnato,10.062572852509927
69,uccisori,10.062572852509927
70,aguato,10.062572852509927
71,lumicini,10.062572852509927
72,assito,10.062572852509927
73,tavolato,10.062572852509927
74,cimitero,10.062572852509927
75,badessa,10.062572852509927
76,armati,9.890056112600572
77,cappella,9.879798905395852
78,capella,9.78053426755685
79,camposanto,9.718580871080727
80,soleva,9.718580871080727
81,inteso,9.665306592875062
82,andato,9.626030477660537
83,apiccato,9.487208707606365
84,levava,9.487208707606365
85,ercolano,9.487208707606365
86,parole,9.33609418940879
87,pensando,9.292944900611015
88,dosso,9.256128831598952
89,peggio,9.116568784694273
90,guido,9.116568784694273
91,rosse,9.040921604977946
92,oste,9.040921604977946
93,carnagioni,9.040921604977946
94,gabbia,9.040921604977946
95,procacciare,9.040921604977946
96,albero,8.983213496981772
97,sale,8.983213496981772
98,tavole,8.865949441167409
99,affetti,8.855534653725385
100,corona,8.855534653725385
101,voi,8.855534653725385
102,cominciò,8.80225431228026
103,dipignesse,8.733068670164617
104,avevano,8.686604926793123
105,castaldo,8.676278491390036
106,uova,8.676278491390036
107,giuochi,8.676278491390036
108,novelle,8.676278491390036
109,femina,8.615406530704774
110,fuoco,8.563658673435196
111,uomo,8.468399061767872
112,ho,8.436237292163785
113,chiamare,8.393082614243607
114,indi,8.393082614243607
115,toccando,8.36797713173552
116,demonii,8.36797713173552
117,rifacesse,8.36797713173552
118,cieli,8.36797713173552
119,levasse,8.36797713173552
120,ostante,8.36797713173552
121,ad,8.30979951935894
122,ed,8.287808654809798
123,ai,8.257851142900252
124,contratto,8.100914346486476
125,meritavano,8.100914346486476
126,serrato,8.100914346486476
127,mestiche,8.100914346486476
128,cristofano,8.087734531313782
129,dipignere,8.040550689370164
130,arno,7.99248843637004
131,anzi,7.986496108849089
132,raccomandarsi,7.865348275173708
133,barche,7.865348275173708
134,rimediare,7.865348275173708
135,dio,7.827752617276187
136,acqua,7.822045780109745
137,fretta,7.654627243858055
138,corse,7.654627243858055
139,rimanesse,7.654627243858055
140,boccaccio,7.654627243858055
141,rotto,7.654627243858055
142,conservate,7.654627243858055
143,umido,7.654627243858055
144,crociera,7.654627243858055
145,andrea,7.623642644674911
146,lungo,7.583168841303257
147,andar,7.556942406836548
148,palco,7.4769376655900635
149,diceva,7.4769376655900635
150,ancor,7.475848633467188
151,pur,7.475848633467188
152,pure,7.475848633467188
153,diavoli,7.464006884249406
154,giuda,7.464006884249406
155,maso,7.464006884249406
156,credendo,7.464006884249406
157,rovinò,7.464006884249406
158,rimanere,7.464006884249406
159,faccia,7.412930383628073
160,veder,7.303334486875615
161,guaste,7.289984130270146
162,gridando,7.289984130270146
163,vostro,7.289984130270146
164,andò,7.285349402305837
165,mondo,7.285349402305837
166,punto,7.249642405547052
167,interamente,7.248979944656297
168,andare,7.19666149854697
169,accade,7.176687289919116
170,stettono,7.1298987149230735
171,acconciamente,7.1298987149230735
172,mantello,7.1298987149230735
173,aquila,7.1298987149230735
174,erode,7.1298987149230735
175,fede,7.041803449824208
176,pien,6.981682770615629
177,sebbene,6.981682770615629
178,passava,6.981682770615629
179,machina,6.981682770615629
180,stando,6.969708675458262
181,troppo,6.941798241002539
182,esser,6.9248329327991165
183,partito,6.903771955301935
184,essi,6.892717870635281
185,piacevoli,6.843697027641727
186,compagni,6.843697027641727
187,seguitando,6.839253339639045
188,potere,6.776093112045548
189,quest,6.748989833731028
190,passata,6.714619985366585
191,mancavano,6.714619985366585
192,rumore,6.714619985366585
193,feciono,6.71423525043734
194,braccia,6.702205674678263
195,inanzi,6.655962385073959
196,passione,6.594219246596243
197,colui,6.535964989024939
198,partì,6.478820404112856
199,udito,6.370919471513266
200,usanza,6.370919471513266
201,espresse,6.370919471513266
202,legno,6.367696589071807
203,veduto,6.346415730612279
204,volere,6.313641072563772
205,badia,6.313641072563772
206,venne,6.304087293290131
207,faenza,6.268332882738164
208,vederlo,6.268332882738164
209,massimamente,6.2622020938209495
210,ponte,6.208367113129963
211,donne,6.208367113129963
212,ascesi,6.170752554399301
213,mettersi,6.170752554399301
214,mattoni,6.170752554399301
215,deono,6.170752554399301
216,occhi,6.157083813052061
217,vedendo,6.157083813052061
218,so,6.106662458102919
219,essa,6.059112792327256
220,buono,6.019703606555209
221,passati,5.988808997987848
222,appunto,5.988808997987848
223,guasta,5.988808997987848
224,trecento,5.988808997987848
225,celebrato,5.988808997987848
226,dalle,5.9806789067737505
227,coi,5.903689769150256
228,calcina,5.903689769150256
229,venisse,5.903689769150256
230,sta,5.866534335082308
231,no,5.822045780109745
232,pensò,5.822045780109745
233,vivamente,5.822045780109745
234,stare,5.820731918689944
235,caterina,5.820731918689944
236,arezzo,5.7756182865963215
237,cioè,5.754203330775719
238,sera,5.743604353803183
239,levare,5.743604353803183
240,licenza,5.743604353803183
241,nove,5.743604353803183
242,son,5.7311730292409
243,età,5.717673396522629
244,avea,5.687376630977443
245,sdegno,5.668123697837489
246,alcuna,5.610043584842932
247,andarono,5.5953884094957385
248,dirimpetto,5.5596977877210545
249,belle,5.539866346239293
250,cortona,5.525205769873199
251,mala,5.525205769873199
252,quante,5.525205769873199
253,vicina,5.525205769873199
254,facciata,5.505234095266835
255,pochi,5.477500865156712
256,facile,5.457402666521837
257,ritornato,5.457402666521837
258,capo,5.437231804160289
259,fa,5.436856361829635
260,accusava,5.436751534363128
261,mandaste,5.436751534363128
262,avisava,5.436751534363128
263,divideva,5.436751534363128
264,stemperati,5.436751534363128
265,iscadeva,5.436751534363128
266,pestar,5.436751534363128
267,spazzata,5.436751534363128
268,gnaffe,5.436751534363128
269,costumarono,5.436751534363128
270,rovesciati,5.436751534363128
271,faceti,5.436751534363128
272,stame,5.436751534363128
273,rovesciato,5.436751534363128
274,gofferia,5.436751534363128
275,overo,5.436751534363128
276,empirio,5.436751534363128
277,candeluzza,5.436751534363128
278,1340,5.436751534363128
279,godendosela,5.436751534363128
280,maiuscole,5.436751534363128
281,pensata,5.436751534363128
282,diverrebbono,5.436751534363128
283,racchetate,5.436751534363128
284,filar,5.436751534363128
285,cavallari,5.436751534363128
286,stemperare,5.436751534363128
287,pallide,5.436751534363128
288,convennero,5.436751534363128
289,cansato,5.436751534363128
290,decamerone,5.436751534363128
291,convince,5.436751534363128
292,levatogli,5.436751534363128
293,piattole,5.436751534363128
294,brocche,5.436751534363128
295,favellassono,5.436751534363128
296,batteva,5.436751534363128
297,dicessono,5.436751534363128
298,avendoci,5.436751534363128
299,credettono,5.436751534363128
300,pentola,5.436751534363128
301,valersene,5.436751534363128
302,buontempi,5.436751534363128
303,rincrescendo,5.436751534363128
304,sbranava,5.436751534363128
305,succhio,5.436751534363128
306,cattafascio,5.436751534363128
307,puoté,5.436751534363128
308,rivoltosi,5.436751534363128
309,convertì,5.436751534363128
310,minestra,5.436751534363128
311,truovò,5.436751534363128
312,numerate,5.436751534363128
313,piantato,5.436751534363128
314,nembrot,5.436751534363128
315,amara,5.436751534363128
316,calen,5.436751534363128
317,bastari,5.436751534363128
318,confidenza,5.436751534363128
319,1302,5.436751534363128
320,malfattore,5.436751534363128
321,percuoterla,5.436751534363128
322,ricominciarono,5.436751534363128
323,salar,5.436751534363128
324,arcore,5.436751534363128
325,avvertita,5.436751534363128
326,tennono,5.436751534363128
327,pesate,5.436751534363128
328,orsù,5.436751534363128
329,capitalissimi,5.436751534363128
330,raconsolò,5.436751534363128
331,soffiare,5.436751534363128
332,pianamente,5.436751534363128
333,soffiava,5.436751534363128
334,trattandolo,5.436751534363128
335,tremando,5.436751534363128
336,barbute,5.436751534363128
337,smorticce,5.436751534363128
338,tagliasseno,5.436751534363128
339,campeggiare,5.436751534363128
340,mescugli,5.436751534363128
341,giochi,5.436751534363128
342,elemento,5.436751534363128
343,usarsi,5.436751534363128
344,accorgendosi,5.436751534363128
345,pagarla,5.436751534363128
346,campese,5.436751534363128
347,vicinato,5.436751534363128
348,pavonazzo,5.436751534363128
349,mescuglio,5.436751534363128
350,messovene,5.436751534363128
351,assaggiar,5.436751534363128
352,attendiamo,5.436751534363128
353,posticcio,5.436751534363128
354,strappando,5.436751534363128
355,pretelle,5.436751534363128
356,trassinava,5.436751534363128
357,avvisate,5.436751534363128
358,laddove,5.436751534363128
359,incorrerà,5.436751534363128
360,stiacciava,5.436751534363128
361,perfine,5.436751534363128
362,rivolgerlo,5.436751534363128
363,focolare,5.436751534363128
364,apostato,5.436751534363128
365,motore,5.436751534363128
366,contentarsene,5.436751534363128
367,burlato,5.436751534363128
368,beccuccio,5.436751534363128
369,impacienza,5.436751534363128
370,mansuetudine,5.436751534363128
371,coronavano,5.436751534363128
372,rotolare,5.436751534363128
373,lasciassono,5.436751534363128
374,affibbiandolo,5.436751534363128
375,sozio,5.436751534363128
376,ridipinto,5.436751534363128
377,agora,5.436751534363128
378,duoli,5.436751534363128
379,veggiono,5.397496123910227
380,attitudini,5.397496123910227
381,mi,5.397496123910227
382,festa,5.391823020875854
383,gesù,5.358279879208169
384,colorite,5.328325624246694
385,quindici,5.328325624246694
386,forse,5.281352587368156
387,intendere,5.2667823069131865
388,bottega,5.207076380613824
389,co,5.207076380613824
390,misericordia,5.207076380613824
391,agl,5.169538402976461
392,seconda,5.149101306867319
393,lunga,5.0972457482392795
394,dolore,5.092759552933927
395,compagno,5.092759552933927
396,pennello,5.092759552933927
397,vescovado,5.037961604557698
398,saggio,5.037961604557698
399,fessura,5.0312864262549635
400,bestiaccia,5.0312864262549635
401,coperse,5.0312864262549635
402,matutino,5.0312864262549635
403,acconciar,5.0312864262549635
404,disperava,5.0312864262549635
405,contando,5.0312864262549635
406,considerandosi,5.0312864262549635
407,piovuta,5.0312864262549635
408,aldobrandino,5.0312864262549635
409,paonazzo,5.0312864262549635
410,rinovare,5.0312864262549635
411,fecer,5.0312864262549635
412,maurizio,5.0312864262549635
413,ivo,5.0312864262549635
414,lavorante,5.0312864262549635
415,dirotte,5.0312864262549635
416,iustino,5.0312864262549635
417,farsetto,5.0312864262549635
418,abitarvi,5.0312864262549635
419,avevate,5.0312864262549635
420,contentarono,5.0312864262549635
421,gerarchie,5.0312864262549635
422,parocchia,5.0312864262549635
423,parendole,5.0312864262549635
424,renda,5.0312864262549635
425,divolgatasi,5.0312864262549635
426,puramente,5.0312864262549635
427,gastigo,5.0312864262549635
428,gettassono,5.0312864262549635
429,mescolava,5.0312864262549635
430,bastavano,5.0312864262549635
431,avviso,5.0312864262549635
432,dipinga,5.0312864262549635
433,sguazzato,5.0312864262549635
434,bagnata,5.0312864262549635
435,confuse,5.0312864262549635
436,maravigliava,5.0312864262549635
437,sollazzevole,5.0312864262549635
438,accommodarlo,5.0312864262549635
439,disputando,5.0312864262549635
440,stuoie,5.0312864262549635
441,universo,5.0312864262549635
442,calandrino,5.0312864262549635
443,imbrattare,5.0312864262549635
444,rimettesse,5.0312864262549635
445,pensate,5.0312864262549635
446,inchiostro,5.0312864262549635
447,brettagna,5.0312864262549635
448,scusare,5.0312864262549635
449,sostenga,5.0312864262549635
450,abbastanza,5.0312864262549635
451,sciocchi,5.0312864262549635
452,surgendo,5.0312864262549635
453,necessitato,5.0312864262549635
454,tornarmene,5.0312864262549635
455,ardita,5.0312864262549635
456,maladetto,5.0312864262549635
457,crepar,5.0312864262549635
458,possanza,5.0312864262549635
459,assassinato,5.0312864262549635
460,rimanga,5.0312864262549635
461,fresche,5.0312864262549635
462,facendole,5.0312864262549635
463,zodiaco,5.0312864262549635
464,aquile,5.0312864262549635
465,svegliatosi,5.0312864262549635
466,glie,5.0312864262549635
467,salmi,5.0312864262549635
468,forò,5.0312864262549635
469,curandosi,5.0312864262549635
470,incarnato,5.0312864262549635
471,ricominciando,5.0312864262549635
472,brocca,5.0312864262549635
473,guardandolo,5.0312864262549635
474,richiamar,5.0312864262549635
475,mostrogli,5.0312864262549635
476,chiamatolo,5.0312864262549635
477,burlevoli,5.0312864262549635
478,busse,5.0312864262549635
479,grascia,5.0312864262549635
480,scoprir,5.0312864262549635
481,desco,5.0312864262549635
482,scoprisse,5.0312864262549635
483,vòlte,5.0312864262549635
484,essendosene,5.0312864262549635
485,sovenuto,5.0312864262549635
486,graffi,5.0312864262549635
487,alvaro,5.0312864262549635
488,perdonò,5.0312864262549635
489,esprimeva,5.0312864262549635
490,turbato,5.0312864262549635
491,burlare,5.0312864262549635
492,bruttissimi,5.0312864262549635
493,scusava,5.0312864262549635
494,finì,4.991971788805469
