,term,score
0,cosimo,21.631877751490368
1,premio,11.487208707606365
2,cappella,9.879798905395852
3,sisto,8.615406530704774
4,bernardino,8.393082614243607
5,azzurri,8.36797713173552
6,rosselli,8.100914346486476
7,cestello,7.464006884249406
8,ambruogio,7.1298987149230735
9,compagnia,7.012554481053666
10,predica,6.981682770615629
11,accanto,5.988808997987848
12,lucca,5.822045780109745
13,otto,5.7756182865963215
14,operato,5.525205769873199
15,ai,5.505234095266835
16,nuvolo,5.436751534363128
17,pascono,5.436751534363128
18,pico,5.436751534363128
19,beffata,5.436751534363128
20,avvilire,5.436751534363128
21,toccassino,5.436751534363128
22,spedaliere,5.436751534363128
23,raccetta,5.436751534363128
24,abbagliarono,5.436751534363128
25,ingiusto,5.436751534363128
26,uccellandolo,5.436751534363128
27,schernita,5.436751534363128
28,sbeffando,5.436751534363128
29,deffetto,5.436751534363128
30,schernendo,5.436751534363128
31,finissimi,5.436751534363128
32,scherno,5.436751534363128
33,stremo,5.436751534363128
34,miracolo,5.2667823069131865
35,poveri,5.207076380613824
36,scherniti,5.0312864262549635
37,guinigi,5.0312864262549635
38,entri,5.0312864262549635
39,abandonati,5.0312864262549635
40,coprissero,5.0312864262549635
41,seppellito,5.0312864262549635
42,erba,5.0312864262549635
43,simili,5.0266542560086975
44,mare,4.984625110393376
45,facce,4.832653296437531
46,alchimia,4.743604353803183
47,ingegnato,4.743604353803183
48,oltramarini,4.743604353803183
49,lumeggiato,4.743604353803183
50,soldo,4.743604353803183
51,tiberiade,4.743604353803183
52,donnino,4.743604353803183
53,occultare,4.743604353803183
54,stentando,4.743604353803183
55,tessitori,4.743604353803183
56,entrando,4.691418162009624
57,pittori,4.665563209259072
58,ritta,4.646472450305508
59,spedale,4.55950222642603
60,predicazione,4.520460802488973
61,imaginato,4.520460802488973
62,attendono,4.520460802488973
63,1484,4.520460802488973
64,vanamente,4.520460802488973
65,illuminata,4.520460802488973
66,poverissimo,4.520460802488973
67,68,4.520460802488973
68,meritasse,4.520460802488973
69,monache,4.476156833624893
70,disperati,4.338139245695018
71,mirandola,4.338139245695018
72,peduccio,4.338139245695018
73,sommersione,4.338139245695018
74,storia,4.261105540832218
75,croce,4.207532688632199
76,clero,4.18398856586776
77,muratore,4.18398856586776
78,infirmità,4.18398856586776
79,trovassero,4.18398856586776
