,term,score
0,cronaca,108.78370271256176
1,sala,36.248212027735256
2,caparra,27.18375767181564
3,braccia,23.45771986137392
4,tetto,18.87138057306549
5,cornice,15.98497687274008
6,guscio,15.09385927876489
7,lato,14.986402678511592
8,palco,14.953875331180127
9,capitelli,13.963365541231259
10,ciascun,13.643506666304592
11,lumiere,13.561382407466919
12,danari,13.070531865172306
13,ringhiera,13.014417737085054
14,colonne,12.52108468253114
15,savonarola,11.798022412760561
16,monaco,10.93497619540522
17,eminente,10.873503068726256
18,corrispondino,10.873503068726256
19,corrispondesse,10.873503068726256
20,alari,10.873503068726256
21,trentotto,10.873503068726256
22,puntoni,10.873503068726256
23,servirgli,10.873503068726256
24,grandezza,10.716559758416338
25,prestezza,10.656651248493388
26,bottega,10.414152761227648
27,cornici,10.185519105867854
28,miei,10.071929978049877
29,su,10.06985582885751
30,proporzione,9.665306592875062
31,mura,9.665306592875062
32,ostinato,9.487208707606365
33,arra,9.487208707606365
34,sfogo,9.487208707606365
35,ladri,9.487208707606365
36,testate,9.487208707606365
37,isquadra,9.487208707606365
38,misurata,9.487208707606365
39,volse,9.256128831598952
40,cavalli,9.205029273735914
41,dettono,9.040921604977946
42,finestrato,9.040921604977946
43,spazio,8.952313667249786
44,ferri,8.733068670164617
45,piano,8.714619985366586
46,misura,8.393082614243607
47,mille,8.393082614243607
48,grandissime,8.393082614243607
49,rustica,8.36797713173552
50,larga,8.287808654809798
51,ingegno,8.155284542744454
52,ciascuna,8.142216610803892
53,finestre,8.142216610803892
54,ferro,8.087734531313782
55,strozzi,7.99248843637004
56,amannato,7.865348275173708
57,ponente,7.865348275173708
58,levante,7.865348275173708
59,cittadini,7.700824382128429
60,filippo,7.525613891494858
61,pollaiuolo,7.464006884249406
62,dirà,7.412930383628073
63,servire,7.32305778242741
64,voleva,7.303334486875615
65,elevato,7.289984130270146
66,memorie,7.289984130270146
67,bandinello,7.289984130270146
68,punto,7.249642405547052
69,legname,7.248979944656297
70,io,7.192754163469649
71,te,7.1298987149230735
72,baccio,7.037127243014436
73,travi,6.981682770615629
74,squadra,6.981682770615629
75,facciata,6.881542619083544
76,fa,6.796070452287044
77,pietre,6.776093112045548
78,commesse,6.714619985366585
79,lodata,6.610247601779468
80,buoni,6.594219246596243
81,collera,6.593370741733715
82,verso,6.520356178371234
83,facciate,6.422744005076397
84,avuto,6.389196887079271
85,quadri,6.389196887079271
86,pagamento,6.370919471513266
87,cantonate,6.370919471513266
88,consiglio,6.313641072563772
89,utili,6.170752554399301
90,salita,6.170752554399301
91,grosso,6.170752554399301
92,capitani,6.170752554399301
93,porte,6.106662458102919
94,dominio,6.077712523129515
95,marmo,6.019703606555209
96,spartimenti,5.988808997987848
97,voglio,5.988808997987848
98,maggiori,5.866534335082308
99,fuori,5.828279521844669
100,semplice,5.822045780109745
101,ciascuno,5.820731918689944
102,muro,5.820731918689944
103,spesso,5.820731918689944
104,stata,5.791069951195415
105,otto,5.7756182865963215
106,grandi,5.754203330775719
107,lorenzo,5.717673396522629
108,lungo,5.687376630977443
109,italia,5.687376630977443
110,sei,5.687376630977443
111,essersi,5.668123697837489
112,mandare,5.668123697837489
113,metà,5.5953884094957385
114,dall,5.574801066114312
115,dirimpetto,5.5596977877210545
116,esser,5.539866346239293
117,simone,5.525205769873199
118,usava,5.525205769873199
119,capo,5.437231804160289
120,rimandorno,5.436751534363128
121,panche,5.436751534363128
122,sudo,5.436751534363128
123,bilicate,5.436751534363128
124,vivrà,5.436751534363128
125,servirvi,5.436751534363128
126,perdona,5.436751534363128
127,metterete,5.436751534363128
128,togliendolo,5.436751534363128
129,svergognare,5.436751534363128
130,giuoca,5.436751534363128
131,riconoscerebbero,5.436751534363128
132,graduato,5.436751534363128
133,scoprirà,5.436751534363128
134,asticciuola,5.436751534363128
135,assaissimi,5.436751534363128
136,percotessero,5.436751534363128
137,vituperano,5.436751534363128
138,contrapesando,5.436751534363128
139,fraccidi,5.436751534363128
140,alare,5.436751534363128
141,giudiciosi,5.436751534363128
142,ritornar,5.436751534363128
143,disegnargli,5.436751534363128
144,contava,5.436751534363128
145,dilettandosene,5.436751534363128
146,stimandosi,5.436751534363128
147,saperle,5.436751534363128
148,portassero,5.436751534363128
149,confaloniere,5.436751534363128
150,sgridandogli,5.436751534363128
151,putivano,5.436751534363128
152,ingrossare,5.436751534363128
153,ristaurati,5.436751534363128
154,sbarrare,5.436751534363128
155,frenesia,5.436751534363128
156,fabro,5.436751534363128
157,arcale,5.436751534363128
158,abbrucciano,5.436751534363128
159,arcali,5.436751534363128
160,dependa,5.436751534363128
161,augnate,5.436751534363128
162,encudine,5.436751534363128
163,corrispondessino,5.436751534363128
164,ardevano,5.436751534363128
165,convenienza,5.436751534363128
166,alar,5.436751534363128
167,ringrandita,5.436751534363128
168,sodisfarebbe,5.436751534363128
169,repente,5.436751534363128
170,mdix,5.436751534363128
171,dicessino,5.436751534363128
172,osservasse,5.436751534363128
173,tavolacini,5.436751534363128
174,corinzi,5.436751534363128
175,apporre,5.436751534363128
176,aiutarla,5.436751534363128
177,trentanove,5.436751534363128
178,incontrati,5.436751534363128
179,ripiegata,5.436751534363128
180,trentadua,5.436751534363128
181,bigoncia,5.436751534363128
182,accommodarla,5.436751534363128
183,compartito,5.436751534363128
184,accrescimenti,5.436751534363128
185,coniungono,5.436751534363128
186,donar,5.436751534363128
187,borchioni,5.436751534363128
188,salirle,5.436751534363128
189,richiedendolo,5.436751534363128
190,persone,5.358279879208169
191,eccellenza,5.319569664700445
192,siano,5.319569664700445
193,troppo,5.206348680751905
194,lunga,5.0972457482392795
195,mio,5.092759552933927
196,minori,5.092759552933927
197,ho,5.061742375298271
198,adempiere,5.0312864262549635
199,scusati,5.0312864262549635
200,sapessino,5.0312864262549635
201,lassare,5.0312864262549635
202,raccorre,5.0312864262549635
203,donzello,5.0312864262549635
204,principiato,5.0312864262549635
205,discernere,5.0312864262549635
206,ragionatore,5.0312864262549635
207,difettose,5.0312864262549635
208,agevoli,5.0312864262549635
209,piccino,5.0312864262549635
210,rubare,5.0312864262549635
211,conficcare,5.0312864262549635
212,dentello,5.0312864262549635
213,promettere,5.0312864262549635
214,fuggitosi,5.0312864262549635
215,avventurato,5.0312864262549635
216,lv,5.0312864262549635
217,erta,5.0312864262549635
218,flora,5.0312864262549635
219,sollecitati,5.0312864262549635
220,eragli,5.0312864262549635
221,venissino,5.0312864262549635
222,fenestre,5.0312864262549635
223,sproporzionata,5.0312864262549635
224,quistioni,5.0312864262549635
225,avvedutosi,5.0312864262549635
226,predicatore,5.0312864262549635
227,acconciarla,5.0312864262549635
228,congiungono,5.0312864262549635
229,volleno,5.0312864262549635
230,messo,4.991971788805469
231,tacerò,4.984625110393376
232,diceva,4.984625110393376
233,moderni,4.984625110393376
234,costoro,4.984625110393376
235,volle,4.957685701334601
236,mette,4.932674137586854
237,lumi,4.932674137586854
238,libri,4.932674137586854
239,scala,4.882038521618274
240,dicendo,4.882038521618274
241,seppe,4.832653296437531
242,insino,4.824330413622099
243,anzi,4.7918976653094525
244,pilastri,4.78445819327941
245,dolce,4.78445819327941
246,alta,4.78445819327941
247,buonaroti,4.743604353803183
248,apartamenti,4.743604353803183
249,spoglia,4.743604353803183
250,corinzia,4.743604353803183
251,incatenate,4.743604353803183
252,alma,4.743604353803183
253,ornarla,4.743604353803183
254,uovolo,4.743604353803183
255,diventar,4.743604353803183
256,pontano,4.743604353803183
257,dimandarono,4.743604353803183
258,darò,4.743604353803183
259,regole,4.743604353803183
260,saldate,4.743604353803183
261,accommodarsi,4.743604353803183
262,vetruvio,4.743604353803183
263,agetto,4.743604353803183
264,xix,4.743604353803183
265,ricignimento,4.743604353803183
266,ridurla,4.743604353803183
267,riducesse,4.743604353803183
268,divoto,4.743604353803183
269,mattonato,4.743604353803183
270,risoluzione,4.743604353803183
271,puntone,4.743604353803183
272,nana,4.743604353803183
273,rinovata,4.743604353803183
274,rigirava,4.743604353803183
275,cieca,4.743604353803183
276,debitori,4.743604353803183
277,bozzi,4.743604353803183
278,scusarsi,4.743604353803183
279,vuole,4.691418162009624
280,sette,4.691418162009624
