,term,score
0,daniello,225.98950803837454
1,capella,27.711513758077743
2,stucchi,25.80279989105293
3,elena,24.954645502230758
4,cardinale,21.19115757970651
5,perino,20.960831492957468
6,volterra,19.83843294243121
7,michelagnolo,19.790819121004166
8,ruberto,17.454206926539072
9,sala,16.311695412480866
10,stucco,15.98497687274008
11,re,15.449312362525017
12,vasari,15.117247609596664
13,michele,14.60666897375123
14,cavallo,14.499284811094103
15,morto,14.294183491306573
16,creato,14.019350309145873
17,arco,12.594157622457196
18,portone,12.55196569760328
19,bellissimo,12.46469927903841
20,cartoni,12.461562775983438
21,vergine,11.733068670164617
22,quarto,11.728545405024061
23,facesse,11.508406661551438
24,amici,11.256770965118232
25,signor,11.181094552388723
26,grottesche,11.050411539746397
27,feliciano,10.873503068726256
28,giovampaulo,10.873503068726256
29,salviati,10.533564613826373
30,quattro,10.466188086854064
31,andò,10.19948916322817
32,giorgio,10.194491496478559
33,andava,10.177770763504865
34,trinità,10.075923209115397
35,metallo,10.071929978049877
36,catarro,10.062572852509927
37,rossetti,10.062572852509927
38,inanzi,9.983943577610939
39,croce,9.817576273475131
40,signora,9.764077043236547
41,alberti,9.718580871080727
42,francia,9.701219864483239
43,nicchie,9.665306592875062
44,anzi,9.583795330618905
45,biagio,9.556379207269899
46,ricciarelli,9.487208707606365
47,sperare,9.402499324107247
48,venendo,9.205029273735914
49,faceva,9.088669188490885
50,dovuto,9.040921604977946
51,vito,9.040921604977946
52,paula,9.040921604977946
53,marmo,9.029555409832813
54,figura,9.029555409832813
55,gesso,8.983213496981772
56,stanno,8.871502837979708
57,pio,8.855534653725385
58,arebbe,8.739360401245959
59,paolo,8.733068670164617
60,piedi,8.677247801253174
61,massimi,8.676278491390036
62,orsina,8.676278491390036
63,arrigo,8.676278491390036
64,studio,8.631304996163578
65,posta,8.555290535632379
66,salvatore,8.393082614243607
67,statue,8.347389788354093
68,storiette,8.287808654809798
69,pontefice,8.277822817506618
70,fresco,8.257851142900252
71,dipinse,8.257851142900252
72,farebbe,8.186103999782755
73,annibale,8.100914346486476
74,buonarroti,8.087734531313782
75,possibile,8.076099402999048
76,giunto,7.99248843637004
77,bizzarro,7.865348275173708
78,ritrovare,7.865348275173708
79,capitello,7.865348275173708
80,soddoma,7.865348275173708
81,seco,7.822045780109745
82,seconda,7.723651960300979
83,croci,7.654627243858055
84,sollecitato,7.654627243858055
85,giulio,7.641564038987867
86,forma,7.641564038987867
87,imparato,7.639139329400891
88,lungo,7.583168841303257
89,principio,7.524629508194012
90,cleopatra,7.464006884249406
91,faccia,7.412930383628073
92,monte,7.379691823827751
93,finita,7.332298104055032
94,ignudi,7.32305778242741
95,tabernacoli,7.289984130270146
96,testa,7.238837438994269
97,grandi,7.192754163469649
98,peruzzi,7.1298987149230735
99,montorio,7.1298987149230735
100,malinconico,7.1298987149230735
101,quei,7.106095797688534
102,dato,7.012554481053666
103,carpi,6.981682770615629
104,gettato,6.981682770615629
105,pensando,6.969708675458262
106,vaga,6.969708675458262
107,tengono,6.903771955301935
108,bande,6.903771955301935
109,agl,6.892717870635281
110,infinita,6.839253339639045
111,lavorare,6.838623900626587
112,diede,6.838623900626587
113,fa,6.796070452287044
114,quest,6.748989833731028
115,quadro,6.748989833731028
116,pulciano,6.714619985366585
117,braccia,6.702205674678263
118,bontà,6.702205674678263
119,finì,6.655962385073959
120,fregio,6.653627128484781
121,fatica,6.610247601779468
122,ambidue,6.593370741733715
123,riuscita,6.593370741733715
124,divisa,6.593370741733715
125,colui,6.535964989024939
126,stanza,6.535964989024939
127,ottima,6.479053914053818
128,materia,6.479053914053818
129,pozzo,6.479053914053818
130,dipignere,6.432440551496132
131,facciate,6.422744005076397
132,finisse,6.370919471513266
133,cavare,6.370919471513266
134,buonarroto,6.370919471513266
135,palchi,6.370919471513266
136,suole,6.370919471513266
137,saglie,6.370919471513266
138,sibille,6.370919471513266
139,poca,6.367696589071807
140,facendo,6.346415730612279
141,consiglio,6.313641072563772
142,parti,6.304087293290131
143,baldassarre,6.268332882738164
144,state,6.2622020938209495
145,nondimeno,6.220750945678763
146,carrara,6.170752554399301
147,deliberato,6.170752554399301
148,davit,6.170752554399301
149,altrimenti,6.157083813052061
150,dare,6.106662458102919
151,angoli,6.077712523129515
152,vario,6.077712523129515
153,altare,6.059112792327256
154,pose,6.057074552249286
155,scuro,6.008292989633945
156,gettare,5.988808997987848
157,ancor,5.9806789067737505
158,dalle,5.9806789067737505
159,cura,5.960291965594622
160,terzo,5.960291965594622
161,concorrenza,5.960291965594622
162,portò,5.913046894690204
163,venisse,5.903689769150256
164,salire,5.903689769150256
165,lunghezza,5.903689769150256
166,peso,5.903689769150256
167,duca,5.828279521844669
168,cioè,5.754203330775719
169,su,5.754203330775719
170,reina,5.743604353803183
171,avendosi,5.743604353803183
172,cui,5.687376630977443
173,sei,5.687376630977443
174,spartimento,5.668123697837489
175,illustrissima,5.668123697837489
176,innocenti,5.668123697837489
177,amorevolezza,5.668123697837489
178,getto,5.668123697837489
179,uomo,5.6455993745119155
180,condusse,5.6455993745119155
181,cagione,5.6455993745119155
182,putti,5.644210418621144
183,compagnia,5.610043584842932
184,mettere,5.601656513645274
185,metà,5.5953884094957385
186,femine,5.5953884094957385
187,finestra,5.5953884094957385
188,chiaro,5.5596977877210545
189,dirimpetto,5.5596977877210545
190,ad,5.539866346239293
191,seguitare,5.525205769873199
192,monsignor,5.525205769873199
193,veggendo,5.525205769873199
194,or,5.525205769873199
195,facciata,5.505234095266835
196,ai,5.505234095266835
197,serviva,5.457402666521837
198,pensiero,5.457402666521837
199,farnese,5.457402666521837
200,capo,5.437231804160289
201,ultimo,5.437231804160289
202,insegnarle,5.436751534363128
203,rompeno,5.436751534363128
204,raccomandavano,5.436751534363128
205,gianmaria,5.436751534363128
206,frontoni,5.436751534363128
207,lentezza,5.436751534363128
208,sfondando,5.436751534363128
209,carigliano,5.436751534363128
210,raccommandato,5.436751534363128
211,circonstanti,5.436751534363128
212,solitaria,5.436751534363128
213,penasse,5.436751534363128
214,fuchero,5.436751534363128
215,insegnino,5.436751534363128
216,sconfitto,5.436751534363128
217,uscitone,5.436751534363128
218,corrispondesseno,5.436751534363128
219,mancarebbe,5.436751534363128
220,quatordeci,5.436751534363128
221,pesano,5.436751534363128
222,mazzoni,5.436751534363128
223,stadera,5.436751534363128
224,indugiare,5.436751534363128
225,provedute,5.436751534363128
226,trovoron,5.436751534363128
227,istesseno,5.436751534363128
228,fonduta,5.436751534363128
229,feminette,5.436751534363128
230,offersono,5.436751534363128
231,ritraendola,5.436751534363128
232,margarita,5.436751534363128
233,essequirono,5.436751534363128
234,inconveniente,5.436751534363128
235,oblighi,5.436751534363128
236,spignesse,5.436751534363128
237,amino,5.436751534363128
238,prospera,5.436751534363128
239,communemente,5.436751534363128
240,sipontino,5.436751534363128
241,grada,5.436751534363128
242,fonditori,5.436751534363128
243,dilettare,5.436751534363128
244,pianetti,5.436751534363128
245,salone,5.436751534363128
246,ingelosito,5.436751534363128
247,defensione,5.436751534363128
248,scuopra,5.436751534363128
249,imbasciate,5.436751534363128
250,ugualmente,5.436751534363128
251,apparecchiando,5.436751534363128
252,dido,5.436751534363128
253,uffizia,5.436751534363128
254,somigli,5.436751534363128
255,difenderlo,5.436751534363128
256,preveduta,5.436751534363128
257,tranquillando,5.436751534363128
258,gettandolo,5.436751534363128
259,mostrasseno,5.436751534363128
260,maturamente,5.436751534363128
261,coprissi,5.436751534363128
262,formò,5.436751534363128
263,andare,5.397496123910227
264,disciplina,5.391823020875854
265,servitù,5.391823020875854
266,gesù,5.358279879208169
267,mostrò,5.358279879208169
268,strozzi,5.328325624246694
269,tosto,5.281352587368156
270,considerato,5.2667823069131865
271,impresa,5.207076380613824
272,signore,5.206348680751905
273,olio,5.206348680751905
274,santità,5.149101306867319
275,star,5.149101306867319
276,rispose,5.092759552933927
277,evangelisti,5.092759552933927
278,dinanzi,5.061742375298271
