,term,score
0,cassoni,19.66337068793427
1,dello,18.559722042760328
2,re,12.359449890020013
3,spalliere,10.69484807238461
4,lettucci,10.062572852509927
5,usanze,9.487208707606365
6,broccato,9.487208707606365
7,giostre,9.040921604977946
8,cacce,9.040921604977946
9,vecchie,8.983213496981772
10,ispagna,8.393082614243607
11,dipignere,8.040550689370164
12,ornamenti,7.524629508194012
13,facevano,7.468875351527032
14,bandiere,7.464006884249406
15,reliquie,6.593370741733715
16,venne,6.304087293290131
17,povertà,6.268332882738164
18,messi,5.743604353803183
19,attese,5.437231804160289
20,conservarvi,5.436751534363128
21,realmente,5.436751534363128
22,ornamentis,5.436751534363128
23,ricignevano,5.436751534363128
24,denegate,5.436751534363128
25,foderava,5.436751534363128
26,fiche,5.436751534363128
27,dellus,5.436751534363128
28,percelebris,5.436751534363128
29,vacchereccia,5.436751534363128
30,disiderata,5.436751534363128
31,orrevolissime,5.436751534363128
32,dovuta,5.436751534363128
33,regisque,5.436751534363128
34,amplissimus,5.436751534363128
35,ischerno,5.436751534363128
36,epifaffio,5.436751534363128
37,liberalitate,5.436751534363128
38,quarantanove,5.436751534363128
39,istorici,5.436751534363128
40,coperchi,5.436751534363128
41,assottigliandosi,5.436751534363128
42,attenendosi,5.436751534363128
43,proverbiato,5.436751534363128
44,camere,5.207076380613824
45,agl,5.169538402976461
46,oro,5.0972457482392795
47,cornici,5.092759552933927
48,hispaniarum,5.0312864262549635
49,serbare,5.0312864262549635
50,scoprir,5.0312864262549635
51,ratenuto,5.0312864262549635
52,mica,5.0312864262549635
53,casate,5.0312864262549635
54,esaù,5.0312864262549635
55,torneamenti,5.0312864262549635
56,eques,5.0312864262549635
57,piacevolezza,5.0312864262549635
58,simili,5.0266542560086975
59,dimostrano,4.984625110393376
60,favore,4.882038521618274
61,invidia,4.832653296437531
62,drea,4.743604353803183
63,usandosi,4.743604353803183
64,accompagnarono,4.743604353803183
65,cennini,4.743604353803183
66,cominciassero,4.743604353803183
67,grembiule,4.743604353803183
68,esercitavano,4.743604353803183
69,spano,4.743604353803183
70,guadagnava,4.743604353803183
71,accorse,4.743604353803183
72,florentinus,4.743604353803183
73,siniscalco,4.743604353803183
74,inebriato,4.743604353803183
75,matton,4.743604353803183
76,cam,4.743604353803183
77,pittori,4.665563209259072
78,novella,4.646472450305508
79,spettacoli,4.520460802488973
80,pesto,4.520460802488973
81,confermazione,4.520460802488973
82,poverissimo,4.520460802488973
83,uccellato,4.520460802488973
84,preziose,4.520460802488973
85,raccontate,4.520460802488973
86,vergognarsi,4.520460802488973
87,scritto,4.5173954080303655
88,medici,4.485509180080313
89,colorire,4.476156833624893
90,propria,4.435751418989854
91,qualche,4.399378862433019
92,signoria,4.3961461643974955
93,fermezza,4.338139245695018
94,contrasto,4.338139245695018
95,domestici,4.338139245695018
96,fogge,4.338139245695018
97,richissimo,4.338139245695018
98,conceduta,4.338139245695018
99,dipignevano,4.338139245695018
100,onoranza,4.338139245695018
101,novelle,4.338139245695018
102,essendone,4.18398856586776
103,adoperasse,4.18398856586776
104,sepellire,4.18398856586776
105,ucelli,4.18398856586776
106,privilegii,4.18398856586776
107,vittorioso,4.18398856586776
108,caldamente,4.18398856586776
109,liberalissimo,4.18398856586776
110,picturae,4.18398856586776
111,buon,4.181100799585734
112,camera,4.1047225420347075
113,ovidio,4.050457173243238
114,rivolto,4.050457173243238
115,ambe,4.050457173243238
116,magnificamente,4.050457173243238
117,favole,4.050457173243238
118,volentieri,4.005528659755964
119,scuro,4.005528659755964
120,onorato,3.942031263126803
121,adoperava,3.932674137586854
122,plebei,3.932674137586854
123,altr,3.932674137586854
124,scolari,3.932674137586854
125,usano,3.932674137586854
126,graziosamente,3.932674137586854
127,cittadini,3.8504121910642146
128,fornimento,3.8273136219290276
129,gratitudine,3.8273136219290276
130,lungo,3.7915844206516285
131,scultura,3.7915844206516285
132,tornando,3.734437675763516
133,levate,3.732003442124703
134,benedizione,3.732003442124703
135,masserizie,3.732003442124703
136,tolte,3.732003442124703
137,conservare,3.732003442124703
138,isaac,3.732003442124703
139,risposta,3.732003442124703
140,chiaro,3.7064651918140363
141,rimunerato,3.644992065135073
142,dipignendo,3.644992065135073
143,salito,3.644992065135073
144,ottenne,3.644992065135073
145,dolendosi,3.644992065135073
146,saranno,3.644992065135073
147,uso,3.598330749273485
148,veggiono,3.598330749273485
149,noce,3.5649493574615367
150,subitamente,3.5649493574615367
151,tallora,3.5649493574615367
152,farebbono,3.5649493574615367
153,orefici,3.5649493574615367
154,ce,3.5649493574615367
155,drappi,3.5649493574615367
156,tornò,3.5463797764669636
157,conoscere,3.520901724912104
158,poeti,3.4908413853078146
159,turchi,3.4908413853078146
160,insegne,3.4908413853078146
161,considerate,3.4908413853078146
162,botteghe,3.4908413853078146
163,solamente,3.4463589353176407
164,drappo,3.4218485138208634
165,sui,3.4218485138208634
166,eziandio,3.4218485138208634
167,latini,3.4218485138208634
168,cotta,3.4218485138208634
169,noè,3.4218485138208634
170,dinanzi,3.374494916865514
171,onorevolmente,3.3573099926832923
172,muscoli,3.3573099926832923
173,didentro,3.3573099926832923
174,dura,3.3573099926832923
175,case,3.3511028373391314
176,visse,3.3279811925369795
177,inanzi,3.3279811925369795
178,corpo,3.305123800889734
179,ragionamento,3.2966853708668573
180,verde,3.2966853708668573
181,magnifiche,3.2966853708668573
182,risolvette,3.2966853708668573
183,cantone,3.2966853708668573
184,cantoni,3.239526957026909
185,lavorar,3.239526957026909
186,eccellenti,3.216220275748066
187,amici,3.216220275748066
188,avuto,3.1945984435396353
189,ricchi,3.185459735756633
190,disegnatore,3.185459735756633
