,term,score
0,anversa,45.20460802488973
1,lamberto,36.163686419911784
2,guanto,32.62050920617877
3,italiana,26.02883547417011
4,olanda,25.15643213127482
5,bruggia,20.125145705019854
6,vostri,18.97441741521273
7,architetto,18.23800890570412
8,valent,17.824746787307685
9,fiammingo,17.352556982780072
10,ho,16.87247458432757
11,guglielmo,16.786549963416462
12,fiandra,16.786549963416462
13,fiaminghi,16.73595426347104
14,douai,16.310254603089383
15,lampsonio,16.310254603089383
16,enrico,16.201828692972953
17,mi,16.192488371730683
18,io,15.824059159633228
19,provincia,14.579968260540292
20,conobbi,14.230813061409549
21,accademico,14.230813061409549
22,italia,13.2705454722807
23,scultore,12.876074916422777
24,vostra,11.798022412760561
25,scritti,11.487208707606365
26,reina,11.487208707606365
27,ora,11.106227528571488
28,hemsen,10.873503068726256
29,liege,10.873503068726256
30,lettura,10.873503068726256
31,mostaret,10.873503068726256
32,gios,10.873503068726256
33,breda,10.873503068726256
34,eick,10.873503068726256
35,amsterdam,10.873503068726256
36,utrech,10.873503068726256
37,lovano,10.873503068726256
38,cockisien,10.873503068726256
39,ipri,10.873503068726256
40,hort,10.873503068726256
41,floris,10.873503068726256
42,divick,10.873503068726256
43,tradotto,10.873503068726256
44,pietro,10.794992247820455
45,paesi,10.434237235442616
46,inghilterra,10.071929978049877
47,bruselles,10.062572852509927
48,asterdam,10.062572852509927
49,trattati,10.062572852509927
50,fiamminghi,9.487208707606365
51,stati,9.456130939935196
52,re,9.269587417515009
53,lingua,9.256128831598952
54,notizia,9.116568784694273
55,splendori,9.040921604977946
56,serlio,9.040921604977946
57,van,9.040921604977946
58,condiscepolo,9.040921604977946
59,architettura,8.865949441167409
60,mia,8.855534653725385
61,luca,8.638427205483808
62,dicono,8.418188096751697
63,simone,8.287808654809798
64,eccellenti,8.040550689370164
65,lombardo,7.865348275173708
66,bellissime,7.7246561812625085
67,arei,7.654627243858055
68,vetri,7.654627243858055
69,mio,7.639139329400891
70,scultura,7.583168841303257
71,fratello,7.357757095098729
72,coloritore,7.289984130270146
73,fuochi,7.1298987149230735
74,insegnare,7.1298987149230735
75,lettera,6.981682770615629
76,olio,6.941798241002539
77,moro,6.843697027641727
78,questi,6.838623900626587
79,martino,6.776093112045548
80,abbia,6.776093112045548
