,term,score
0,palmi,18.660017210623515
1,cappella,14.11399843627979
2,fresco,13.763085238167088
3,olio,12.148146921754444
4,alò,10.873503068726256
5,alta,9.56891638655882
6,iacopo,9.2086731887309
7,cesis,8.676278491390036
8,sermoneta,8.36797713173552
9,quadri,7.986496108849089
10,piccole,7.933019663265348
11,italiani,7.865348275173708
12,marcello,7.654627243858055
13,conte,7.4769376655900635
14,piacenza,7.464006884249406
15,dirò,7.3990112063802815
16,apostolo,7.32305778242741
17,girolamo,7.19666149854697
18,gesù,7.144373172277558
19,occasioni,7.1298987149230735
20,particolare,7.106095797688534
21,vescovi,6.843697027641727
22,ritratti,6.610247601779468
23,vive,6.594219246596243
24,spirito,6.476156833624894
25,ascesi,6.170752554399301
26,orvieto,6.170752554399301
27,perino,5.988808997987848
28,son,5.7311730292409
29,storia,5.681474054442957
30,basti,5.668123697837489
31,facendovi,5.5953884094957385
32,annunziata,5.5953884094957385
33,inclinato,5.5953884094957385
34,luigi,5.525205769873199
35,dua,5.525205769873199
36,sperimentando,5.436751534363128
37,commendatore,5.436751534363128
38,princìpi,5.436751534363128
39,lucina,5.436751534363128
40,dierono,5.436751534363128
41,principesse,5.436751534363128
42,pomarancie,5.436751534363128
43,astulfo,5.436751534363128
44,conducendole,5.436751534363128
45,agiata,5.436751534363128
46,laudabile,5.436751534363128
47,adoni,5.436751534363128
48,michelagnolo,5.397496123910227
49,qua,5.2667823069131865
50,misericordia,5.207076380613824
51,ambidua,5.0312864262549635
52,capodiferro,5.0312864262549635
53,pipino,5.0312864262549635
54,partorire,5.0312864262549635
55,franchi,5.0312864262549635
56,longobardi,5.0312864262549635
57,nominarlo,5.0312864262549635
58,livia,5.0312864262549635
59,fuligno,5.0312864262549635
60,infinità,4.932674137586854
61,signor,4.7918976653094525
62,uccisione,4.743604353803183
63,comendata,4.743604353803183
64,han,4.743604353803183
65,dona,4.743604353803183
66,racconciar,4.743604353803183
67,ornarla,4.743604353803183
68,cenci,4.743604353803183
69,bari,4.743604353803183
70,conoscersi,4.743604353803183
71,ambasciatori,4.743604353803183
72,nebbia,4.743604353803183
73,particolarità,4.743604353803183
74,aranno,4.743604353803183
75,stati,4.728065469967598
76,maestri,4.665563209259072
77,vaga,4.646472450305508
78,re,4.634793708757504
79,tommaso,4.602514636867957
80,batista,4.602514636867957
81,altare,4.544334594245442
82,fuccheri,4.520460802488973
83,eserciti,4.520460802488973
84,svenimento,4.520460802488973
85,saria,4.520460802488973
