,term,score
0,domenico,77.6817449654722
1,siena,39.11022890054873
2,soddoma,35.394067238281686
3,quadri,23.959488326547266
4,spurio,21.747006137452512
5,popolo,21.5106258953018
6,patria,20.93237617370813
7,beccafumi,19.66337068793427
8,tempera,18.940923217691317
9,duomo,17.354495602506347
10,segue,16.786549963416462
11,ottangolo,16.73595426347104
12,mecherino,16.310254603089383
13,tondo,15.508615208929383
14,fuoco,14.986402678511592
15,fa,14.951354995031497
16,senato,14.928013768498811
17,testa,14.477674877988537
18,lunette,14.259797429846147
19,storia,14.203685136107394
20,quadro,13.497979667462056
21,quest,13.497979667462056
22,sanesi,13.42923997073317
23,prencipe,13.42923997073317
24,bere,13.42923997073317
25,predella,13.42847050087468
26,aria,13.311924770147918
27,avezzo,12.55196569760328
28,partimento,12.15542504625903
29,vittoria,11.977617995975695
30,siede,11.977617995975695
31,ottangoli,11.798022412760561
32,vergine,11.733068670164617
33,caterina,11.641463837379888
34,antonio,11.58213990239083
35,lucifero,11.481940865787083
36,leggi,11.481940865787083
37,fregiatura,11.481940865787083
38,vani,11.336247395674977
39,moisè,11.336247395674977
40,bernardino,11.190776818991477
41,chiaro,11.119395575442109
42,storiette,11.050411539746397
43,tribuno,10.873503068726256
44,esagoni,10.873503068726256
45,servilio,10.873503068726256
46,pacio,10.873503068726256
47,postumio,10.873503068726256
48,oracolo,10.873503068726256
49,colleghi,10.873503068726256
50,vinte,10.873503068726256
51,spigolo,10.873503068726256
52,riceve,10.656651248493388
53,prospettiva,10.261806355086769
54,dinanzi,10.123484750596543
55,contra,10.075923209115397
56,bee,10.062572852509927
57,pretore,10.062572852509927
58,scuro,10.013821649389909
59,iscorto,9.890056112600572
60,acqua,9.777557225137182
61,ignudi,9.764077043236547
62,questi,9.574073460877221
63,figliuolo,9.574073460877221
64,genova,9.556379207269899
65,sé,9.514498633201862
66,ascendere,9.487208707606365
67,duccio,9.487208707606365
68,faccia,9.26616297953509
69,apostoli,9.197196368873412
70,sanese,9.11900445285206
71,seta,9.116568784694273
72,cavallo,9.062053006933814
73,inimici,9.040921604977946
74,uccise,9.040921604977946
75,scipione,9.040921604977946
76,marmo,9.029555409832813
77,quattro,8.971018360160626
78,rilievo,8.913046894690204
79,nicchia,8.871502837979708
80,tavole,8.865949441167409
81,mettono,8.792292328794991
82,paolo,8.733068670164617
83,olio,8.677247801253174
84,splendor,8.676278491390036
85,sacrificare,8.676278491390036
86,sogliano,8.676278491390036
87,stimmate,8.676278491390036
88,cervelliera,8.676278491390036
89,imperador,8.676278491390036
90,solitario,8.676278491390036
91,tazze,8.676278491390036
92,lato,8.563658673435196
93,attorno,8.563658673435196
94,oro,8.4954095803988
95,piazza,8.377757093347828
96,scorta,8.36797713173552
97,pordenone,8.36797713173552
98,dall,8.362201599171469
99,canto,8.262809502224336
100,lodata,8.262809502224336
101,pisa,8.209445084069415
102,figurine,8.186103999782755
103,limbo,8.100914346486476
104,vidde,8.100914346486476
105,elisabetta,8.100914346486476
106,tiranno,8.100914346486476
107,essercito,8.100914346486476
108,basso,8.095196042031118
109,sulla,8.076099402999048
110,giovane,8.040550689370164
111,colorite,7.99248843637004
112,eretici,7.865348275173708
113,salotto,7.865348275173708
114,rompe,7.865348275173708
115,ucello,7.865348275173708
116,sinistra,7.723651960300979
117,esercitandosi,7.654627243858055
118,getti,7.654627243858055
119,vicine,7.654627243858055
120,ostia,7.654627243858055
121,teste,7.623642644674911
122,sei,7.583168841303257
123,altare,7.57389099040907
124,maestà,7.556942406836548
125,figura,7.524629508194012
126,difesa,7.464006884249406
127,passatempo,7.464006884249406
128,ucciso,7.464006884249406
129,tornatosene,7.464006884249406
130,doria,7.464006884249406
131,legge,7.3990112063802815
132,cacciati,7.289984130270146
133,fumo,7.289984130270146
134,andò,7.285349402305837
135,sarebbe,7.238837438994269
136,andare,7.19666149854697
137,lorenzo,7.147091745653286
138,pioggia,7.1298987149230735
139,cominciò,7.041803449824208
140,armato,7.037127243014436
141,scarpello,6.981682770615629
142,nimici,6.981682770615629
143,predica,6.981682770615629
144,vaga,6.969708675458262
145,esser,6.9248329327991165
146,belle,6.9248329327991165
147,fresco,6.881542619083544
148,republica,6.843697027641727
149,romano,6.776093112045548
150,disotto,6.714619985366585
151,dovea,6.714619985366585
152,marco,6.655962385073959
153,fregio,6.653627128484781
154,fatica,6.610247601779468
155,sposa,6.593370741733715
156,raso,6.593370741733715
157,cielo,6.5650493807637345
158,giovan,6.535964989024939
159,man,6.520356178371234
160,pavimento,6.479053914053818
161,imparare,6.478820404112856
162,tempio,6.476156833624894
163,mostra,6.422744005076397
164,cavare,6.370919471513266
165,putto,6.367696589071807
166,pareva,6.367696589071807
167,santi,6.346415730612279
168,volere,6.313641072563772
169,avemo,6.268332882738164
170,nuvole,6.268332882738164
171,femmina,6.268332882738164
172,color,6.268332882738164
173,stampe,6.268332882738164
174,pare,6.2622020938209495
175,colonne,6.26054234126557
176,maestri,6.220750945678763
177,bellissime,6.1797249450100065
178,re,6.1797249450100065
179,capriccioso,6.170752554399301
180,mercurio,6.170752554399301
181,finto,6.170752554399301
182,ciascuna,6.106662458102919
183,scoperta,6.077712523129515
184,giove,6.077712523129515
185,intagliò,6.077712523129515
186,eva,5.988808997987848
187,dagli,5.913046894690204
188,peso,5.903689769150256
189,nudi,5.903689769150256
190,padre,5.828279521844669
191,fondamento,5.822045780109745
192,martire,5.822045780109745
193,ciascuno,5.820731918689944
194,passò,5.7756182865963215
195,otto,5.7756182865963215
196,angeli,5.754203330775719
197,condotto,5.754203330775719
198,facesse,5.754203330775719
199,studio,5.754203330775719
200,passando,5.743604353803183
201,licenza,5.743604353803183
202,morire,5.743604353803183
203,morto,5.717673396522629
204,avea,5.687376630977443
205,condusse,5.6455993745119155
206,certe,5.644210418621144
207,angelo,5.644210418621144
208,facendovi,5.5953884094957385
209,eccellentemente,5.5953884094957385
210,carmine,5.5953884094957385
211,sebastiano,5.5953884094957385
212,belli,5.5596977877210545
213,adunque,5.5596977877210545
214,bellissimo,5.539866346239293
215,vicina,5.525205769873199
216,ombre,5.525205769873199
217,varie,5.518317821324047
218,facciata,5.505234095266835
219,dipinse,5.505234095266835
220,colorito,5.477500865156712
221,disegnando,5.457402666521837
222,sala,5.437231804160289
223,accommodata,5.436751534363128
224,scaturire,5.436751534363128
225,inginocchia,5.436751534363128
