,term,score
0,domenico,50.34927914428754
1,david,39.04325321125516
2,tornabuoni,26.79119535350319
3,cappella,23.99379734167564
4,musaico,19.83843294243121
5,tempera,18.940923217691317
6,abate,18.804998648214493
7,storia,18.46479067693961
8,arco,17.991653746367426
9,gimignano,17.824746787307685
10,bastiano,17.584584657589982
11,li,14.353374579838231
12,santi,14.279435393877627
13,resurressione,13.561382407466919
14,certe,13.169824310116002
15,ghirlandaio,12.741838943026533
16,femmina,12.536665765476329
17,arme,12.412329217634372
18,oltra,11.843492996147555
19,ricci,11.798022412760561
20,ducati,11.487208707606365
21,nera,11.481940865787083
22,femmine,11.336247395674977
23,ritraendo,11.196010326374108
24,fresco,11.01046819053367
25,frati,10.958853664186663
26,mainardi,10.873503068726256
27,sassetti,10.873503068726256
28,monistero,10.873503068726256
29,erode,10.69484807238461
30,badia,10.522735120939622
31,quattro,10.466188086854064
32,bottega,10.414152761227648
33,donne,10.347278521883272
34,evidente,10.062572852509927
35,comenda,10.062572852509927
36,lorenzo,10.005928443914602
37,magnifico,9.855078157817008
38,esser,9.694766105918763
39,dipinse,9.634159666716961
40,questi,9.574073460877221
41,giusto,9.402499324107247
42,maestri,9.331126418518144
43,faccia,9.26616297953509
44,notabili,9.256128831598952
45,degli,9.2086731887309
46,portature,9.040921604977946
47,satisfatto,9.040921604977946
48,pariete,9.040921604977946
49,pietro,8.995826873183713
50,ricchezze,8.983213496981772
51,casamento,8.983213496981772
52,accanto,8.983213496981772
53,medici,8.971018360160626
54,va,8.930466465346948
55,usate,8.676278491390036
56,impietà,8.676278491390036
57,séguita,8.676278491390036
58,orafo,8.676278491390036
59,allegrezza,8.615406530704774
60,istoria,8.502185546756234
61,volterra,8.502185546756234
62,oro,8.4954095803988
63,putto,8.49026211876241
64,dicono,8.418188096751697
65,metter,8.393082614243607
66,finestra,8.393082614243607
67,ghirlandai,8.36797713173552
68,facciata,8.257851142900252
69,pisa,8.209445084069415
70,figliuolo,8.206348680751905
71,fa,8.155284542744454
72,davitte,8.100914346486476
73,elisabetta,8.100914346486476
74,contratto,8.100914346486476
75,zacheria,8.100914346486476
76,letto,8.087734531313782
77,ritrasse,8.040550689370164
78,quadri,7.986496108849089
79,trinita,7.90017346036978
80,onorato,7.884062526253606
81,collo,7.884062526253606
82,benedetto,7.884062526253606
83,botticello,7.865348275173708
84,sesta,7.865348275173708
85,vivissime,7.865348275173708
86,seconda,7.723651960300979
87,sibilla,7.654627243858055
88,vespucci,7.654627243858055
89,appiè,7.654627243858055
90,quinta,7.654627243858055
91,dolore,7.639139329400891
92,teste,7.623642644674911
93,angelo,7.525613891494858
94,fratello,7.357757095098729
95,dànno,7.289984130270146
96,cioè,7.192754163469649
97,destra,7.176687289919116
98,mostrando,7.176687289919116
99,mantello,7.1298987149230735
100,tavole,7.092759552933927
101,primo,7.056999218139895
102,occhio,7.037127243014436
103,grandissima,7.012554481053666
104,tommaso,6.903771955301935
105,soldato,6.843697027641727
106,mal,6.839253339639045
107,lavorare,6.838623900626587
108,numero,6.748989833731028
109,rosso,6.594219246596243
110,coperto,6.593370741733715
111,collera,6.593370741733715
112,sandro,6.593370741733715
113,man,6.520356178371234
114,cenacolo,6.479053914053818
115,allato,6.478820404112856
116,ginocchioni,6.478820404112856
117,allo,6.478820404112856
118,tempio,6.476156833624894
119,dipignere,6.432440551496132
120,magi,6.422744005076397
121,piglia,6.370919471513266
122,sacramento,6.370919471513266
123,fiorentini,6.367696589071807
124,imperfetta,6.367696589071807
125,visitazione,6.268332882738164
126,reverenza,6.268332882738164
127,pulitezza,6.268332882738164
128,trovando,6.268332882738164
129,pratica,6.2622020938209495
130,ultima,6.26054234126557
131,tal,6.26054234126557
132,piacere,6.208367113129963
133,bellissime,6.1797249450100065
134,odio,6.170752554399301
135,magistrato,6.170752554399301
136,dugento,6.170752554399301
137,prospettiva,6.157083813052061
138,frate,6.157083813052061
139,merita,6.106662458102919
140,lavoro,6.0989141157399285
141,quelli,6.0989141157399285
142,faceva,6.059112792327256
143,giovani,6.057074552249286
144,guarda,5.988808997987848
145,rovinata,5.988808997987848
146,nomi,5.988808997987848
147,guasta,5.988808997987848
148,ancor,5.9806789067737505
149,fuor,5.9806789067737505
150,onore,5.9806789067737505
151,conosce,5.960291965594622
152,madre,5.960291965594622
153,particularmente,5.903689769150256
154,affetti,5.903689769150256
155,siena,5.866534335082308
156,martire,5.822045780109745
157,morta,5.822045780109745
158,secco,5.822045780109745
159,zanobi,5.822045780109745
160,istorie,5.820731918689944
161,cittadini,5.7756182865963215
162,facesse,5.754203330775719
163,mezze,5.743604353803183
164,son,5.7311730292409
165,dentrovi,5.7311730292409
166,età,5.717673396522629
167,innocenti,5.668123697837489
168,compagnia,5.610043584842932
169,mostrare,5.601656513645274
170,dall,5.574801066114312
171,fussero,5.5596977877210545
172,belle,5.539866346239293
173,ad,5.539866346239293
174,ritratte,5.525205769873199
175,certamente,5.525205769873199
176,cena,5.525205769873199
177,facile,5.457402666521837
178,capegli,5.457402666521837
179,contrafecevi,5.436751534363128
180,obstante,5.436751534363128
181,credergli,5.436751534363128
182,fattene,5.436751534363128
183,dromedarii,5.436751534363128
184,baroncegli,5.436751534363128
185,demetrio,5.436751534363128
186,fina,5.436751534363128
187,pacienzia,5.436751534363128
188,occupandoli,5.436751534363128
189,padron,5.436751534363128
190,riveggono,5.436751534363128
191,escon,5.436751534363128
192,rifiuta,5.436751534363128
193,comandati,5.436751534363128
194,similitudini,5.436751534363128
195,restituita,5.436751534363128
196,invitissimo,5.436751534363128
197,sbeffino,5.436751534363128
198,leccato,5.436751534363128
199,maccherelli,5.436751534363128
200,baldino,5.436751534363128
201,convenia,5.436751534363128
202,baldinelli,5.436751534363128
203,dipignierla,5.436751534363128
204,vechiezza,5.436751534363128
205,esclamassino,5.436751534363128
206,intrepido,5.436751534363128
207,rimetter,5.436751534363128
208,trattandoli,5.436751534363128
209,respetto,5.436751534363128
210,trattargli,5.436751534363128
211,dipignerebbe,5.436751534363128
212,impia,5.436751534363128
213,acerbissima,5.436751534363128
214,abasso,5.436751534363128
215,scienziati,5.436751534363128
216,lesione,5.436751534363128
217,naturati,5.436751534363128
218,mcccclxxxv,5.436751534363128
219,affisando,5.436751534363128
220,44,5.436751534363128
221,segna,5.436751534363128
222,acompagnate,5.436751534363128
223,giachinotti,5.436751534363128
224,orologio,5.436751534363128
225,trapportata,5.436751534363128
226,prudenzia,5.436751534363128
227,visitano,5.436751534363128
228,ognuna,5.436751534363128
229,suntuosissima,5.436751534363128
230,berrettino,5.436751534363128
231,allacciata,5.436751534363128
232,sequendo,5.436751534363128
233,mutolo,5.436751534363128
234,altrettante,5.436751534363128
235,innazi,5.436751534363128
236,deciso,5.436751534363128
237,tiratola,5.436751534363128
238,tortacce,5.436751534363128
239,chiamandosi,5.436751534363128
240,bechini,5.436751534363128
241,prontitudine,5.436751534363128
242,fisonomia,5.436751534363128
243,provorono,5.436751534363128
244,largì,5.436751534363128
245,popoleschi,5.436751534363128
246,avervisi,5.436751534363128
247,sospiri,5.436751534363128
248,aventandoglielo,5.436751534363128
249,sugge,5.436751534363128
250,fabricando,5.436751534363128
251,scusossi,5.436751534363128
252,forestario,5.436751534363128
253,allontana,5.436751534363128
254,richiamarono,5.436751534363128
255,foresterai,5.436751534363128
256,cignendosi,5.436751534363128
257,vesticciuola,5.436751534363128
258,tabernacolino,5.436751534363128
259,scarpetta,5.436751534363128
260,ingenuamente,5.436751534363128
261,confermar,5.436751534363128
262,forestieria,5.436751534363128
263,logò,5.436751534363128
264,ingiesuati,5.436751534363128
265,ughi,5.436751534363128
266,scontento,5.436751534363128
267,dolevasi,5.436751534363128
268,cambiata,5.436751534363128
269,piacessin,5.436751534363128
270,iuridizione,5.436751534363128
271,conservavano,5.436751534363128
272,terzolle,5.436751534363128
273,marabotini,5.436751534363128
274,sfogano,5.436751534363128
275,scudicciuolo,5.436751534363128
276,fiaschi,5.436751534363128
277,abbondare,5.436751534363128
278,guernizioni,5.436751534363128
279,rivoltò,5.436751534363128
280,scompartite,5.436751534363128
281,scribi,5.436751534363128
282,riconosciutosi,5.436751534363128
283,ricompenserebbe,5.436751534363128
284,provedi,5.436751534363128
285,impedisce,5.436751534363128
286,rimino,5.436751534363128
287,misurandole,5.436751534363128
288,verghe,5.436751534363128
289,avvocati,5.436751534363128
290,sotterrallo,5.436751534363128
291,prevenuto,5.436751534363128
292,rimuneratore,5.436751534363128
293,fanciullini,5.436751534363128
294,incollo,5.436751534363128
295,amutolisce,5.436751534363128
296,bettelem,5.436751534363128
297,urtano,5.436751534363128
298,albizzi,5.436751534363128
299,becca,5.436751534363128
300,governavono,5.436751534363128
301,beve,5.436751534363128
302,conoscevisi,5.436751534363128
303,stampano,5.436751534363128
304,collocazione,5.436751534363128
305,deviandoli,5.436751534363128
306,bava,5.436751534363128
307,postisi,5.436751534363128
308,bernardone,5.436751534363128
309,amfiteatri,5.436751534363128
310,manigoldi,5.436751534363128
311,camaldoli,5.391823020875854
312,fianco,5.391823020875854
313,tramezzo,5.391823020875854
314,servitù,5.391823020875854
315,lavorata,5.358279879208169
