,term,score
0,puligo,18.97441741521273
1,domenico,15.824059159633228
2,somigliano,15.730696550347416
3,ridolfo,14.972022494969618
4,ritratti,14.873057104003804
5,quadro,10.123484750596543
6,quadri,9.583795330618905
7,giocondo,8.100914346486476
8,bottega,7.810614570920736
9,belli,7.412930383628073
10,colorito,7.303334486875615
11,bellissimo,6.9248329327991165
12,inghilterra,6.714619985366585
13,canto,6.610247601779468
14,colori,6.610247601779468
15,maneggiare,6.593370741733715
16,errori,6.593370741733715
17,colui,6.535964989024939
18,dipignere,6.432440551496132
19,migliori,6.0989141157399285
20,meno,5.942031263126803
21,sarto,5.822045780109745
22,potevano,5.5953884094957385
23,ispagna,5.5953884094957385
24,lavorare,5.47089912050127
25,beceri,5.436751534363128
26,diffetti,5.436751534363128
27,stracurino,5.436751534363128
28,cintuantadua,5.436751534363128
29,chiesono,5.436751534363128
30,lascino,5.436751534363128
31,verbi,5.436751534363128
32,capalona,5.436751534363128
33,occultando,5.436751534363128
34,aspide,5.436751534363128
35,velati,5.436751534363128
36,badie,5.436751534363128
37,seguino,5.436751534363128
38,incorrono,5.436751534363128
39,privarsi,5.436751534363128
40,corregerle,5.436751534363128
41,uso,5.397496123910227
42,presa,5.391823020875854
43,innamorata,5.0312864262549635
44,visioni,5.0312864262549635
45,singolari,5.0312864262549635
46,speditamente,5.0312864262549635
47,disformità,5.0312864262549635
48,ceraiuolo,5.0312864262549635
49,tignere,5.0312864262549635
50,somiglino,5.0312864262549635
51,niccolini,5.0312864262549635
52,lodarle,5.0312864262549635
53,cortigiana,5.0312864262549635
54,buonissima,5.0312864262549635
55,terminate,5.0312864262549635
56,dolcezze,5.0312864262549635
57,infuso,5.0312864262549635
58,crudezza,5.0312864262549635
59,similissimi,5.0312864262549635
60,mdxxvii,5.0312864262549635
61,labro,5.0312864262549635
62,costoro,4.984625110393376
63,dolce,4.78445819327941
64,veduto,4.759811797959209
65,nebbia,4.743604353803183
66,biasimati,4.743604353803183
67,mozza,4.743604353803183
68,fidandosi,4.743604353803183
69,giovangualberto,4.743604353803183
70,abbattono,4.743604353803183
71,poppa,4.743604353803183
72,tesauriere,4.743604353803183
73,antella,4.743604353803183
74,bernardo,4.691418162009624
75,mostrano,4.691418162009624
76,maestri,4.665563209259072
77,nostre,4.646472450305508
78,teste,4.574185586804946
79,seguitando,4.55950222642603
80,richieste,4.520460802488973
81,instinto,4.520460802488973
82,pigliarne,4.520460802488973
83,pesa,4.520460802488973
84,scali,4.520460802488973
85,esercitano,4.520460802488973
86,anghiari,4.520460802488973
87,ingegnarsi,4.520460802488973
88,sforzano,4.520460802488973
89,tenghiamo,4.520460802488973
90,pugnale,4.520460802488973
91,ancor,4.485509180080313
92,fiorentino,4.371209641383501
93,adoperando,4.338139245695018
94,carnesecchi,4.338139245695018
95,allegre,4.338139245695018
96,toto,4.338139245695018
97,fondi,4.338139245695018
98,contorni,4.338139245695018
99,stimmate,4.338139245695018
100,natura,4.261105540832218
101,badia,4.2090940483758486
102,alemagna,4.18398856586776
103,creanze,4.18398856586776
104,amorevoli,4.18398856586776
105,unita,4.18398856586776
106,mordere,4.18398856586776
107,spini,4.18398856586776
108,durare,4.18398856586776
109,famosa,4.18398856586776
110,richiede,4.18398856586776
111,particolarmente,4.181100799585734
112,elle,4.173694894177046
113,tenne,4.173694894177046
114,grillandaio,4.050457173243238
115,musici,4.050457173243238
116,gotti,4.050457173243238
117,mostrargli,4.050457173243238
118,ugo,4.050457173243238
119,tabernacolo,4.038049701499524
120,nunziata,4.005528659755964
121,condotti,3.9735279770630814
122,agnolo,3.942031263126803
123,bonissimi,3.932674137586854
124,adoperati,3.932674137586854
125,averle,3.932674137586854
126,lontani,3.932674137586854
127,amata,3.932674137586854
128,uccide,3.932674137586854
129,nominati,3.932674137586854
130,perdendo,3.932674137586854
131,avvertimenti,3.932674137586854
132,caterina,3.8804879457932957
133,sfuggire,3.8273136219290276
134,cara,3.8273136219290276
135,stufa,3.8273136219290276
136,jacopo,3.8273136219290276
137,conducono,3.8273136219290276
138,discepoli,3.8207820194939335
139,cui,3.7915844206516285
140,filippo,3.762806945747429
141,esercitare,3.732003442124703
142,esperienza,3.732003442124703
143,cleopatra,3.732003442124703
144,servirono,3.732003442124703
145,monsignore,3.732003442124703
146,cestello,3.732003442124703
147,anime,3.644992065135073
148,apparisce,3.644992065135073
149,diletta,3.644992065135073
150,buone,3.598330749273485
151,nostri,3.572186586138779
152,vollono,3.5649493574615367
153,pazzi,3.5649493574615367
154,stettono,3.5649493574615367
155,guadagnare,3.5649493574615367
156,ce,3.5649493574615367
157,drappi,3.5649493574615367
158,ginocchia,3.5649493574615367
159,umore,3.5649493574615367
160,sogliono,3.5649493574615367
161,restarono,3.5649493574615367
162,tavole,3.5463797764669636
163,tosto,3.520901724912104
164,brevità,3.4908413853078146
165,praticando,3.4908413853078146
166,naturalmente,3.4908413853078146
167,cantare,3.4908413853078146
168,credi,3.4908413853078146
169,fossi,3.4908413853078146
170,concorrente,3.4908413853078146
171,pinti,3.4908413853078146
172,canonico,3.4908413853078146
173,solamente,3.4463589353176407
174,annoverare,3.4218485138208634
175,giovannino,3.4218485138208634
176,barbara,3.4218485138208634
177,apparire,3.4218485138208634
178,amico,3.39816383215952
179,consumò,3.3573099926832923
180,prencipe,3.3573099926832923
181,conduce,3.3573099926832923
182,vogliono,3.3573099926832923
183,fiorentina,3.3573099926832923
184,case,3.3511028373391314
185,aria,3.3279811925369795
186,fatica,3.305123800889734
187,carissimo,3.2966853708668573
188,guardare,3.2966853708668573
189,sposa,3.2966853708668573
190,riuscirono,3.2966853708668573
191,lucrezia,3.2966853708668573
192,torto,3.2966853708668573
193,naso,3.239526957026909
194,professioni,3.239526957026909
195,stupenda,3.239526957026909
196,farò,3.239526957026909
197,portasse,3.239526957026909
198,alberti,3.239526957026909
199,divinamente,3.239526957026909
200,perfette,3.239526957026909
201,discepolo,3.238078416812447
202,eccellenti,3.216220275748066
203,anzi,3.1945984435396353
204,pulitamente,3.185459735756633
205,amori,3.185459735756633
206,minutamente,3.185459735756633
207,contado,3.134166441369082
208,morbidezza,3.134166441369082
209,eccellentissimi,3.134166441369082
210,nondimeno,3.1103754728393813
211,re,3.0898624725050032
212,profitto,3.0853762771996505
213,piaceri,3.0853762771996505
214,ungheria,3.0853762771996505
215,crocifisso,3.0853762771996505
216,andrea,3.0494570578699642
217,promesse,3.0388562615647574
218,romana,3.0388562615647574
219,notizia,3.0388562615647574
220,mercanti,3.0388562615647574
221,faceva,3.029556396163628
222,scrive,2.994404498993924
223,arcivescovo,2.994404498993924
224,vivaci,2.994404498993924
225,aver,2.9903394533868752
226,vivo,2.9518767295311004
227,aspetto,2.951844884575128
228,avendolo,2.951844884575128
229,abbiano,2.951844884575128
230,tele,2.951844884575128
231,grazioso,2.951844884575128
232,illustrissimo,2.9110228900548725
233,dee,2.9110228900548725
234,fondamento,2.9110228900548725
235,chiaramente,2.9110228900548725
236,martire,2.9110228900548725
237,antonio,2.8955349755977076
238,testa,2.8955349755977076
239,angeli,2.8771016653878596
240,musica,2.8718021769015913
241,benché,2.8718021769015913
242,sagramento,2.8718021769015913
243,intera,2.8718021769015913
244,rari,2.8718021769015913
245,lorenzo,2.8588366982613147
246,fuggire,2.8340618489187444
247,femmine,2.8340618489187444
248,cagione,2.8227996872559578
249,uomo,2.8227996872559578
250,dolcezza,2.7976942047478692
251,studi,2.7976942047478692
252,peste,2.7976942047478692
253,dimostra,2.7976942047478692
254,ritratte,2.7626028849365993
255,mandati,2.7626028849365993
256,dono,2.7626028849365993
257,vago,2.7626028849365993
258,seguitato,2.7626028849365993
259,dipinse,2.7526170476334175
260,fresco,2.7526170476334175
261,figliuolo,2.735449560250635
262,perfetta,2.7287013332609185
263,fa,2.7184281809148176
264,disegnate,2.695911510437927
265,bonissima,2.695911510437927
266,colorite,2.664162812123347
267,riceve,2.664162812123347
268,considerando,2.664162812123347
269,avessero,2.664162812123347
270,maravigliose,2.603538190306912
271,tribuna,2.603538190306912
272,co,2.603538190306912
273,settimo,2.603538190306912
274,venerazione,2.5745506534336595
275,universale,2.5745506534336595
276,niuna,2.5745506534336595
277,deposto,2.5463797764669636
278,madalena,2.5463797764669636
279,imparato,2.5463797764669636
280,contrario,2.5463797764669636
281,giovinetto,2.518980802278849
282,dubbio,2.518980802278849
283,attendere,2.492312555196688
284,conte,2.492312555196688
285,infinità,2.466337068793427
286,potendo,2.466337068793427
287,dirò,2.466337068793427
288,dava,2.466337068793427
289,andavano,2.441019260809137
290,certa,2.392229096639705
291,parve,2.392229096639705
292,parere,2.368698599229511
293,facilità,2.368698599229511
294,ritrarre,2.368698599229511
295,baccio,2.345709081004812
296,sette,2.345709081004812
297,stando,2.323236225152754
298,ritta,2.323236225152754
299,gentiluomo,2.3012573184339784
300,circa,2.3012573184339784
301,noi,2.279751113213015
302,chiostro,2.2586977040151828
303,termine,2.2586977040151828
304,tra,2.2380784168124466
305,colorire,2.2380784168124466
306,feciono,2.2380784168124466
307,dir,2.217875709494927
308,continuamente,2.1980730821987478
309,lodate,2.159606801370952
310,imparare,2.159606801370952
311,alcuno,2.159606801370952
312,piccolo,2.159606801370952
313,lasciando,2.159606801370952
314,continuo,2.159606801370952
315,servi,2.159606801370952
316,aiutato,2.1225655296906023
317,proprio,2.1225655296906023
318,battista,2.1225655296906023
319,putto,2.1225655296906023
320,tempera,2.1045470241879243
321,preso,2.1045470241879243
322,consiglio,2.1045470241879243
323,volere,2.1045470241879243
324,bell,2.1045470241879243
325,pregio,2.086847447088523
326,piacere,2.0694557043766544
327,donne,2.0694557043766544
328,pisa,2.0523612710173538
329,merita,2.035554152700973
330,giovani,2.019024850749762
331,nessuno,2.002764329877982
332,menzione,1.9867639885315407
333,concorrenza,1.9867639885315407
334,conosce,1.9867639885315407
335,tiene,1.9867639885315407
336,magnifico,1.9710156315634015
337,somma,1.9710156315634015
338,collo,1.9710156315634015
339,forza,1.9555114450274362
340,lavorava,1.9555114450274362
341,dar,1.9555114450274362
342,amicissimo,1.9402439728966479
343,francia,1.9402439728966479
344,arezzo,1.9252060955321073
345,passò,1.9252060955321073
346,professione,1.9252060955321073
347,cittadini,1.9252060955321073
348,giulio,1.9103910097469667
349,mediante,1.9103910097469667
350,dei,1.9103910097469667
351,putti,1.8814034728737146
352,facevano,1.867218837881758
353,alcun,1.867218837881758
354,danari,1.867218837881758
355,prime,1.8532325959070182
356,lavori,1.8532325959070182
357,dirà,1.8532325959070182
358,castello,1.8532325959070182
359,fratello,1.8394392737746823
360,michele,1.8258336217189037
361,pochi,1.8258336217189037
362,veggiono,1.7991653746367424
363,monaci,1.7991653746367424
364,niccolò,1.7991653746367424
365,lavorata,1.7860932930693896
366,grandezza,1.7860932930693896
367,mandò,1.7860932930693896
368,persone,1.7860932930693896
369,possono,1.7731898882334818
370,siano,1.7731898882334818
371,maravigliosa,1.760450862456052
372,arebbe,1.7478720802491918
373,troppo,1.7354495602506348
374,agl,1.7231794676588204
375,braccio,1.69908191607976
376,ho,1.687247458432757
377,bellezza,1.687247458432757
378,detti,1.687247458432757
379,braccia,1.6755514186695657
380,arti,1.6755514186695657
381,bontà,1.6755514186695657
382,visse,1.6639905962684898
383,migliore,1.652561900444867
384,capella,1.6300890445928085
385,cardinale,1.6300890445928085
386,via,1.6300890445928085
387,amici,1.608110137874033
388,ritrasse,1.608110137874033
389,utile,1.5972992217698176
390,madonna,1.5866039326530696
391,santi,1.5866039326530696
392,là,1.5866039326530696
393,facendo,1.5866039326530696
394,stati,1.5760218233225327
395,simile,1.5760218233225327
396,parti,1.5760218233225327
397,perfezzione,1.5655505234552374
398,massimamente,1.5655505234552374
399,pittori,1.5551877364196907
400,sul,1.5449312362525016
401,memoria,1.5347788647884835
402,fatiche,1.5347788647884835
403,figura,1.5049259016388024
404,lode,1.5049259016388024
405,fuor,1.4951697266934376
406,patria,1.4951697266934376
407,parimente,1.4951697266934376
