,term,score
0,cappella,29.639396716187555
1,abbate,24.31085009251806
2,arezzo,23.102473146385286
3,aretino,20.868474470885232
4,vescovado,17.632865615951943
5,rocco,16.175469062627563
6,pieve,13.939417350916523
7,clemente,12.314167626104123
8,dipinse,11.01046819053367
9,don,10.99036541099374
10,maldolo,10.873503068726256
11,tempera,10.522735120939622
12,bartolomeo,10.013821649389909
13,miniatore,9.718580871080727
14,ritrasse,9.648660827244198
15,fresco,9.634159666716961
16,attentissimamente,9.487208707606365
17,dirittamente,9.040921604977946
18,baldacchino,9.040921604977946
19,vescovo,8.739360401245959
20,piaghe,8.676278491390036
21,domenico,8.631304996163578
22,donato,8.418188096751697
23,badia,8.418188096751697
24,uscivano,8.100914346486476
25,camaldoli,8.087734531313782
26,fraternita,7.654627243858055
27,musico,7.289984130270146
28,rovinate,7.1298987149230735
29,compagnia,7.012554481053666
30,olio,6.941798241002539
31,venezia,6.843697027641727
32,monache,6.71423525043734
33,bastiano,6.594219246596243
34,giuliano,6.535964989024939
35,madonna,6.346415730612279
36,figura,6.019703606555209
37,buono,6.019703606555209
38,crucifisso,6.008292989633945
39,fiore,5.960291965594622
40,dipinto,5.866534335082308
41,grandissimo,5.828279521844669
42,sisto,5.743604353803183
43,certi,5.717673396522629
44,angelo,5.644210418621144
45,bernardino,5.5953884094957385
46,buon,5.574801066114312
47,religione,5.525205769873199
48,generale,5.457402666521837
49,vestito,5.457402666521837
50,mecum,5.436751534363128
51,rapresentava,5.436751534363128
52,percotendosi,5.436751534363128
53,pignebat,5.436751534363128
54,lxxx,5.436751534363128
55,belichini,5.436751534363128
56,condebat,5.436751534363128
57,presentino,5.436751534363128
58,1468,5.436751534363128
59,aedes,5.436751534363128
60,becchini,5.436751534363128
61,lxxxiii,5.436751534363128
62,francini,5.436751534363128
63,meravigliosa,5.436751534363128
64,capripes,5.436751534363128
65,bolla,5.436751534363128
66,puntualmente,5.436751534363128
67,pietramaleschi,5.436751534363128
68,certaverit,5.436751534363128
69,affisati,5.436751534363128
70,facio,5.436751534363128
71,rotelli,5.436751534363128
72,potevo,5.436751534363128
73,primicerio,5.436751534363128
74,vobis,5.436751534363128
75,andasseno,5.436751534363128
76,macilente,5.436751534363128
77,docte,5.436751534363128
78,marinelli,5.436751534363128
79,maldoli,5.436751534363128
80,portello,5.436751534363128
81,ullus,5.436751534363128
82,fistula,5.436751534363128
83,successor,5.436751534363128
84,buoninsegna,5.436751534363128
85,tamen,5.436751534363128
86,mandataci,5.436751534363128
87,nicon,5.436751534363128
88,benucci,5.436751534363128
89,reggiere,5.436751534363128
90,zeusis,5.436751534363128
91,dissipatore,5.436751534363128
92,contentammo,5.436751534363128
93,fecistis,5.436751534363128
94,cambiavano,5.436751534363128
95,grani,5.436751534363128
96,ardor,5.436751534363128
97,consumatissime,5.436751534363128
98,distendessino,5.436751534363128
99,tastatura,5.436751534363128
100,scoppiò,5.436751534363128
101,unicus,5.436751534363128
102,gozzari,5.436751534363128
103,monaci,5.397496123910227
104,possono,5.319569664700445
105,quadro,5.061742375298271
106,matteo,5.037961604557698
107,disiderio,5.037961604557698
108,trinità,5.037961604557698
109,dirieto,5.0312864262549635
110,lorentino,5.0312864262549635
111,paramenti,5.0312864262549635
112,cantasse,5.0312864262549635
113,rubicondo,5.0312864262549635
114,affligga,5.0312864262549635
115,organista,5.0312864262549635
116,esemplare,5.0312864262549635
117,porpora,5.0312864262549635
118,vagando,5.0312864262549635
119,vante,5.0312864262549635
120,bonificò,5.0312864262549635
121,virginità,5.0312864262549635
122,bisso,5.0312864262549635
123,campagne,5.0312864262549635
124,adornarne,5.0312864262549635
125,tres,5.0312864262549635
126,messale,5.0312864262549635
127,ragionevol,5.0312864262549635
128,arse,5.0312864262549635
129,institutore,5.0312864262549635
130,sonasse,5.0312864262549635
131,buoninsegni,5.0312864262549635
132,narrato,5.0312864262549635
133,guanciale,5.0312864262549635
134,lodata,4.957685701334601
135,legge,4.932674137586854
136,discepolo,4.85711762521867
137,altar,4.824330413622099
138,povero,4.78445819327941
139,lasciò,4.759811797959209
140,fasciato,4.743604353803183
141,circuncisione,4.743604353803183
142,ritrovar,4.743604353803183
143,diedesi,4.743604353803183
144,fermi,4.743604353803183
145,ministro,4.743604353803183
146,adorar,4.743604353803183
147,attavante,4.743604353803183
148,ragunano,4.743604353803183
149,castiglione,4.743604353803183
150,sotterrare,4.743604353803183
151,devota,4.743604353803183
152,rotture,4.743604353803183
153,miniature,4.743604353803183
154,compassionevole,4.743604353803183
155,abbigliati,4.743604353803183
156,biade,4.743604353803183
157,1461,4.743604353803183
158,bestiami,4.743604353803183
159,pratica,4.696651570365712
160,minii,4.520460802488973
161,segrete,4.520460802488973
162,agnoli,4.520460802488973
163,singularissimo,4.520460802488973
164,coloriva,4.520460802488973
165,magro,4.520460802488973
166,bisdomini,4.520460802488973
167,costumatissimo,4.520460802488973
168,prestato,4.520460802488973
169,spettatori,4.520460802488973
170,urbinate,4.520460802488973
171,apollonia,4.520460802488973
172,pan,4.520460802488973
173,albergotti,4.520460802488973
174,lucilla,4.520460802488973
175,travagliare,4.520460802488973
176,allargandosi,4.520460802488973
177,giustino,4.520460802488973
178,spaventati,4.520460802488973
179,volto,4.5173954080303655
