,term,score
0,don,43.96146164397496
1,giulio,40.118211204686304
2,farnese,21.829610666087348
3,minio,18.804998648214493
4,dirimpetto,18.53232595907018
5,re,16.99424359877752
6,cardinale,16.300890445928083
7,storia,15.624053649718133
8,fregiature,15.426881385998252
9,quadrotto,14.230813061409549
10,imperatore,13.307254256969562
11,possa,12.735393178143614
12,clovio,12.55196569760328
13,cardinal,12.331685343967136
14,servizio,11.487208707606365
15,pietà,11.293488520075915
16,grimani,10.93497619540522
17,margine,10.062572852509927
18,ofizio,10.062572852509927
19,cielo,9.847574071145601
20,vergine,9.777557225137182
21,alcun,9.33609418940879
22,davit,9.256128831598952
23,quadretto,9.256128831598952
24,minii,9.040921604977946
25,grandi,8.631304996163578
26,attorno,8.563658673435196
27,ispagna,8.393082614243607
28,monasterio,8.347389788354093
29,madonna,7.933019663265348
30,padri,7.90017346036978
31,annunzia,7.865348275173708
32,fregiatura,7.654627243858055
33,donata,7.654627243858055
34,servigii,7.654627243858055
35,filippo,7.525613891494858
36,attendere,7.4769376655900635
37,massimiliano,7.464006884249406
38,iulio,7.464006884249406
39,varie,7.357757095098729
40,ignudi,7.32305778242741
41,provincia,7.289984130270146
42,duca,7.285349402305837
43,condotto,7.192754163469649
44,superato,7.1298987149230735
45,nude,6.981682770615629
46,quinto,6.969708675458262
47,signore,6.941798241002539
48,batista,6.903771955301935
49,carte,6.903771955301935
50,quadro,6.748989833731028
51,proposito,6.653627128484781
52,ritratti,6.610247601779468
53,aventura,6.479053914053818
54,sante,6.479053914053818
55,alberto,6.479053914053818
56,quiete,6.479053914053818
57,uffizio,6.479053914053818
58,piccolo,6.478820404112856
59,lavorando,6.422744005076397
60,carlo,6.367696589071807
61,paulo,6.304087293290131
62,giudei,6.268332882738164
63,donne,6.208367113129963
64,portato,6.208367113129963
65,tiziano,6.170752554399301
66,ungheria,6.170752554399301
67,par,6.157083813052061
68,mandato,6.106662458102919
69,possibile,6.057074552249286
70,alessandro,6.057074552249286
71,crucifisso,6.008292989633945
72,dov,5.988808997987848
73,stupire,5.988808997987848
74,fregi,5.988808997987848
75,condotti,5.960291965594622
76,dire,5.903753459062201
77,gamba,5.903689769150256
78,atti,5.903689769150256
79,reina,5.743604353803183
80,illustrissima,5.668123697837489
81,grandissimi,5.668123697837489
82,dimorò,5.668123697837489
83,condusse,5.6455993745119155
84,sorella,5.525205769873199
85,paradiso,5.525205769873199
86,dua,5.525205769873199
87,sasso,5.525205769873199
88,apostoli,5.518317821324047
89,piena,5.477500865156712
90,estrema,5.457402666521837
91,dico,5.437231804160289
92,triburtina,5.436751534363128
93,cavatosi,5.436751534363128
94,ammirabile,5.436751534363128
95,accusata,5.436751534363128
96,formiche,5.436751534363128
97,rigomes,5.436751534363128
98,achaz,5.436751534363128
99,livree,5.436751534363128
100,clovi,5.436751534363128
101,accomodatosi,5.436751534363128
102,ammaestra,5.436751534363128
103,epistolario,5.436751534363128
104,saviamente,5.436751534363128
105,penitenziali,5.436751534363128
106,ofiziali,5.436751534363128
107,ruffino,5.436751534363128
108,madrucci,5.436751534363128
109,tanìe,5.436751534363128
110,compieta,5.436751534363128
111,mattutino,5.436751534363128
112,paesotto,5.436751534363128
113,piccolissime,5.436751534363128
114,campeggio,5.436751534363128
115,macedonia,5.436751534363128
116,arricchirne,5.436751534363128
117,pensarlo,5.436751534363128
118,amate,5.436751534363128
119,sembrano,5.436751534363128
