,term,score
0,donato,122.0637274028996
1,marmo,36.11822163933125
2,bronzo,34.604420595916544
3,cosimo,33.2798119253698
4,rilievo,19.31160160516211
5,filippo,18.814034728737145
6,granito,16.73595426347104
7,medici,16.446866993627815
8,contadino,16.201828692972953
9,mercante,15.927298678783167
10,testa,15.925442365787392
11,donatello,14.972022494969618
12,goffo,14.928013768498811
13,rendita,14.230813061409549
14,podere,13.963365541231259
15,martelli,13.963365541231259
16,metallo,13.42923997073317
17,david,13.014417737085054
18,basso,12.952313667249788
19,legno,12.735393178143614
20,bertoldo,12.55196569760328
21,antichi,11.920583931189244
22,io,11.508406661551438
23,statua,11.506286592169893
24,lorenzo,11.435346793045259
25,cortile,11.398755566065075
26,guardaroba,10.914805333043674
27,cavallo,10.874463608320578
28,aut,10.873503068726256
29,giudit,10.873503068726256
30,morir,10.873503068726256
31,favella,10.873503068726256
32,statuas,10.873503068726256
33,stucco,10.656651248493388
34,disse,10.63913932940089
35,figura,10.534481311471616
36,duca,10.19948916322817
37,rispose,10.185519105867854
38,schiacciato,10.062572852509927
39,capellano,10.062572852509927
40,epitaffii,10.062572852509927
41,braccia,10.053308512017395
42,bontà,10.053308512017395
43,rarissima,9.764077043236547
44,mercato,9.718580871080727
45,padova,9.556379207269899
46,cocomero,9.487208707606365
47,amator,9.487208707606365
48,zuccone,9.487208707606365
49,sepoltura,9.456130939935196
50,greci,9.402499324107247
51,lodato,9.197196368873412
52,voleva,9.129168108594518
53,tum,9.040921604977946
54,monache,8.952313667249786
55,dire,8.8556301885933
56,troppo,8.677247801253174
57,venga,8.676278491390036
58,toccava,8.676278491390036
59,pergami,8.676278491390036
60,amore,8.615897338294102
61,getto,8.502185546756234
62,parenti,8.49026211876241
63,quadro,8.436237292163785
64,liberalissimo,8.36797713173552
65,tale,8.347389788354093
66,dono,8.287808654809798
67,lavorato,8.262809502224336
68,volle,8.262809502224336
69,tu,8.186103999782755
70,golia,8.100914346486476
71,sagrestia,8.076099402999048
72,crucifisso,8.011057319511927
73,vivacità,7.99248843637004
74,basamento,7.99248843637004
75,signor,7.986496108849089
76,cassa,7.90017346036978
77,serba,7.865348275173708
78,manifestamente,7.865348275173708
