,term,score
0,duccio,28.461626122819098
1,moccio,9.487208707606365
2,miglioramenti,9.487208707606365
3,marmo,7.524629508194012
4,agostino,6.892717870635281
5,morisse,6.843697027641727
6,rifece,6.268332882738164
7,scuro,6.008292989633945
8,scrive,5.988808997987848
9,siena,5.866534335082308
10,chiaro,5.5596977877210545
11,scultore,5.518317821324047
12,crescerebbono,5.436751534363128
13,caricò,5.436751534363128
14,rinvenirla,5.436751534363128
15,annoverarlo,5.436751534363128
16,vigilanti,5.436751534363128
17,moderna,5.207076380613824
18,levatane,5.0312864262549635
19,1356,5.0312864262549635
20,zenone,5.0312864262549635
21,sostegno,5.0312864262549635
22,riducono,4.743604353803183
23,immitazione,4.743604353803183
24,benefattori,4.743604353803183
25,sepoltura,4.728065469967598
26,sapere,4.646472450305508
27,ragionevole,4.646472450305508
28,quelli,4.574185586804946
29,architetto,4.55950222642603
30,bartolo,4.520460802488973
31,verrebbe,4.520460802488973
32,comendazione,4.520460802488973
33,osservate,4.520460802488973
34,truovi,4.520460802488973
35,eccellentissimamente,4.520460802488973
36,1348,4.520460802488973
37,inventori,4.520460802488973
38,ornamenti,4.514777704916407
39,oneste,4.338139245695018
40,spiccato,4.338139245695018
41,sanissimo,4.338139245695018
42,aggiungono,4.338139245695018
43,lodate,4.319213602741904
44,invenzioni,4.2090940483758486
45,saccone,4.18398856586776
46,investigando,4.18398856586776
47,1350,4.18398856586776
48,difficultà,4.1047225420347075
49,rimessi,4.050457173243238
50,bibbiena,4.050457173243238
51,tarlati,4.050457173243238
52,tabernacolo,4.038049701499524
53,arezzo,3.8504121910642146
54,vanto,3.8273136219290276
55,ricevuti,3.8273136219290276
56,pavimenti,3.8273136219290276
57,cerchi,3.8273136219290276
58,mescolata,3.8273136219290276
59,moltissime,3.8273136219290276
60,maraviglie,3.5649493574615367
61,casentino,3.4908413853078146
62,cercato,3.4908413853078146
63,lasciasse,3.4908413853078146
64,qualcuno,3.4908413853078146
65,penne,3.4908413853078146
66,duomo,3.4708991205012696
67,sicuramente,3.4218485138208634
68,ghiberti,3.4218485138208634
69,considera,3.4218485138208634
70,miglioramento,3.4218485138208634
71,ho,3.374494916865514
72,notabile,3.3573099926832923
73,lasciano,3.2966853708668573
74,quegl,3.239526957026909
75,mettervi,3.239526957026909
76,acquistarono,3.239526957026909
77,pavimento,3.239526957026909
78,incoronazione,3.185459735756633
79,espresse,3.185459735756633
80,ancona,3.185459735756633
81,qualunque,3.185459735756633
82,paresse,3.134166441369082
83,avviene,3.134166441369082
84,faenza,3.134166441369082
85,mercatanti,3.134166441369082
86,diletto,3.134166441369082
87,novità,3.0853762771996505
88,erede,3.0853762771996505
89,dietro,3.0494570578699642
90,greca,3.0388562615647574
91,benefizio,3.0388562615647574
92,furon,3.0388562615647574
93,principio,3.0098518032776047
94,salute,2.994404498993924
95,lucca,2.9110228900548725
96,ornamento,2.8771016653878596
97,nostro,2.7699331731196466
98,diede,2.735449560250635
99,imitando,2.7287013332609185
100,assedio,2.7287013332609185
101,generale,2.7287013332609185
102,usato,2.7287013332609185
103,forme,2.695911510437927
104,tetto,2.695911510437927
105,pericolo,2.695911510437927
106,principali,2.695911510437927
107,desse,2.695911510437927
108,ragionevoli,2.664162812123347
109,ottimo,2.664162812123347
110,basta,2.6333911534565932
111,trinita,2.6333911534565932
112,rovinato,2.6333911534565932
113,considerato,2.6333911534565932
114,maravigliose,2.603538190306912
115,niuna,2.5745506534336595
116,chiese,2.5745506534336595
117,ché,2.5463797764669636
118,eredi,2.5463797764669636
119,dubbio,2.518980802278849
120,rare,2.518980802278849
121,pistoia,2.492312555196688
122,moderni,2.492312555196688
123,eglino,2.492312555196688
124,organo,2.466337068793427
125,esercizio,2.466337068793427
126,legge,2.466337068793427
127,portare,2.466337068793427
128,servì,2.441019260809137
129,veggono,2.441019260809137
130,sommamente,2.4163266482187655
131,sa,2.392229096639705
132,stimato,2.392229096639705
133,quanti,2.392229096639705
134,ell,2.368698599229511
135,parere,2.368698599229511
136,testamento,2.345709081004812
137,giovanetto,2.323236225152754
138,ordinò,2.3012573184339784
139,infinita,2.279751113213015
140,sanese,2.279751113213015
141,ci,2.279751113213015
142,ordinato,2.279751113213015
143,facultà,2.279751113213015
144,abbia,2.2586977040151828
145,toscana,2.2586977040151828
146,sarà,2.2586977040151828
147,principii,2.2380784168124466
148,tra,2.2380784168124466
149,spesa,2.217875709494927
150,tenute,2.1980730821987478
151,lasciato,2.1980730821987478
152,vecchia,2.1786549963416464
153,allo,2.159606801370952
154,lavorando,2.140914668358799
155,fabrica,2.140914668358799
156,meritò,2.1225655296906023
157,parenti,2.1225655296906023
158,grado,2.1225655296906023
159,dicono,2.1045470241879243
160,loggia,2.1045470241879243
161,vanno,2.086847447088523
162,tal,2.086847447088523
163,colonne,2.086847447088523
164,tale,2.086847447088523
165,ultima,2.086847447088523
166,archi,2.086847447088523
167,presente,2.0523612710173538
168,messa,2.0523612710173538
169,pisa,2.0523612710173538
170,disegnò,2.035554152700973
171,bronzo,2.035554152700973
172,merita,2.035554152700973
173,atteso,2.035554152700973
174,piccola,2.002764329877982
175,nunziata,2.002764329877982
176,convento,1.9867639885315407
177,fiore,1.9867639885315407
178,campo,1.9555114450274362
179,seco,1.9555114450274362
180,istorie,1.9402439728966479
181,dipinta,1.9402439728966479
182,potuto,1.9103910097469667
183,discepoli,1.9103910097469667
184,scultura,1.8957922103258142
185,nei,1.8814034728737146
186,tornando,1.867218837881758
187,prime,1.8532325959070182
188,varie,1.8394392737746823
189,fecero,1.8258336217189037
190,attese,1.812410601386763
191,lavorata,1.7860932930693896
192,maraviglia,1.7731898882334818
193,tavole,1.7731898882334818
194,siano,1.7731898882334818
195,nuovo,1.760450862456052
196,maravigliosa,1.760450862456052
197,sorte,1.760450862456052
198,vescovo,1.7478720802491918
199,troppo,1.7354495602506348
200,essi,1.7231794676588204
201,principale,1.7231794676588204
202,diverse,1.7110581071264757
203,oro,1.69908191607976
204,giorgio,1.69908191607976
205,dinanzi,1.687247458432757
206,bellezza,1.687247458432757
207,piazza,1.6755514186695657
208,simili,1.6755514186695657
209,inanzi,1.6639905962684898
210,visse,1.6639905962684898
211,corpo,1.652561900444867
212,capella,1.6300890445928085
213,altar,1.608110137874033
214,mise,1.608110137874033
215,utile,1.5972992217698176
216,piccole,1.5866039326530696
217,stati,1.5760218233225327
218,parti,1.5760218233225327
219,state,1.5655505234552374
220,perfezzione,1.5655505234552374
221,invenzione,1.5449312362525016
222,memoria,1.5347788647884835
223,altare,1.514778198081814
224,lode,1.5049259016388024
225,patria,1.4951697266934376
226,meno,1.4855078157817008
227,grandissimo,1.4570698804611673
228,antonio,1.4477674877988538
229,facesse,1.4385508326939298
230,io,1.4385508326939298
231,domenico,1.4385508326939298
232,lorenzo,1.4294183491306574
233,cagione,1.4113998436279789
234,condusse,1.4113998436279789
235,grandissima,1.402510896210733
236,alcuna,1.402510896210733
237,dato,1.402510896210733
238,particolarmente,1.393700266528578
239,belle,1.3849665865598233
240,ai,1.3763085238167088
241,dipinse,1.3763085238167088
242,facciata,1.3763085238167088
243,questi,1.3677247801253174
244,fa,1.3592140904574088
245,pongono,0.0
246,piissimi,0.0
247,piloto,0.0
248,ponessero,0.0
249,ponesse,0.0
250,pina,0.0
251,ponente,0.0
252,ponendovi,0.0
253,ponendosi,0.0
254,ponendone,0.0
255,ponendogli,0.0
256,ponendo,0.0
257,pinadori,0.0
258,pinadoro,0.0
259,pone,0.0
260,pondo,0.0
261,pingant,0.0
262,pii,0.0
263,pilo,0.0
264,ponessi,0.0
265,pilastri,0.0
266,pila,0.0
267,ponghino,0.0
268,pilastrelli,0.0
269,pongaseli,0.0
270,ponga,0.0
271,ponevano,0.0
272,pilastro,0.0
273,pingendi,0.0
274,pilastroni,0.0
275,poneva,0.0
276,ponetevi,0.0
277,pilato,0.0
278,pile,0.0
279,pili,0.0
280,ponessino,0.0
281,ponderoso,0.0
282,pollaiuolo,0.0
283,polonia,0.0
284,pomarancie,0.0
285,pintore,0.0
286,polvere,0.0
287,pintura,0.0
288,polvaccio,0.0
289,poltronieri,0.0
290,polsi,0.0
291,polo,0.0
292,pintelli,0.0
293,polluce,0.0
294,pinturicchio,0.0
295,pollonia,0.0
296,pollirone,0.0
297,pollice,0.0
298,polli,0.0
299,polle,0.0
