,term,score
0,ercole,48.52640718788269
1,garganelli,10.062572852509927
2,costa,9.256128831598952
3,guido,9.116568784694273
4,cappella,7.056999218139895
5,ladroni,6.714619985366585
6,imaginarsi,6.479053914053818
7,petronio,6.370919471513266
8,ferrarese,6.268332882738164
9,bologna,6.008292989633945
10,sottomise,5.436751534363128
11,bastar,5.436751534363128
12,compassionevoli,5.436751534363128
13,1491,5.436751534363128
14,sostenerla,5.436751534363128
15,pospose,5.436751534363128
16,rinvolto,5.436751534363128
17,lenzuolo,5.436751534363128
18,tagliapietra,5.436751534363128
19,scoppiando,5.436751534363128
20,passatolo,5.436751534363128
21,ralluminato,5.436751534363128
22,accordarono,5.436751534363128
23,accortarsi,5.436751534363128
24,dimorarvi,5.436751534363128
25,inebriandosi,5.436751534363128
26,ferrara,5.149101306867319
27,star,5.149101306867319
28,dolore,5.092759552933927
29,messia,5.0312864262549635
30,passion,5.0312864262549635
31,contentarono,5.0312864262549635
32,ritoccarla,5.0312864262549635
33,cadde,5.0312864262549635
34,somigliassino,5.0312864262549635
35,odiato,5.0312864262549635
36,vedessino,5.0312864262549635
37,rinchiusero,5.0312864262549635
38,rubarono,5.0312864262549635
39,pietosissimo,5.0312864262549635
40,professori,5.0312864262549635
41,abandonar,5.0312864262549635
42,marie,4.984625110393376
43,insino,4.824330413622099
44,tumulto,4.743604353803183
45,evvi,4.743604353803183
46,bolognini,4.743604353803183
47,pareggiato,4.743604353803183
48,gocciola,4.743604353803183
49,concorrenze,4.743604353803183
50,pittori,4.665563209259072
51,longino,4.520460802488973
52,svenimento,4.520460802488973
53,piegare,4.520460802488973
54,credito,4.5173954080303655
55,predella,4.476156833624893
56,tra,4.476156833624893
57,soldati,4.476156833624893
58,giuocano,4.338139245695018
59,picciola,4.338139245695018
60,infastidito,4.338139245695018
61,ritruova,4.338139245695018
62,sdegnò,4.338139245695018
63,cercasse,4.338139245695018
64,seconde,4.338139245695018
65,impietà,4.338139245695018
66,domenico,4.315652498081789
67,lorenzo,4.2882550473919725
68,crucifissione,4.18398856586776
69,rado,4.18398856586776
70,entrati,4.18398856586776
71,parapetto,4.18398856586776
72,lire,4.18398856586776
73,conobbero,4.18398856586776
74,vivente,4.050457173243238
75,fugge,4.050457173243238
76,trentacinque,4.050457173243238
77,bandiera,4.050457173243238
78,affaticava,4.050457173243238
79,costato,4.050457173243238
80,transito,4.050457173243238
81,possibile,4.038049701499524
82,pose,4.038049701499524
83,fussono,3.932674137586854
84,sonovi,3.932674137586854
85,vivissime,3.932674137586854
86,lavorava,3.9110228900548725
87,forza,3.9110228900548725
88,circondata,3.8273136219290276
89,particolar,3.8273136219290276
90,espresso,3.8273136219290276
91,fantastico,3.8273136219290276
92,bestia,3.8273136219290276
93,gratitudine,3.8273136219290276
94,vizio,3.8273136219290276
95,differenti,3.732003442124703
96,levate,3.732003442124703
97,obligato,3.732003442124703
98,bizzarri,3.732003442124703
99,movenze,3.732003442124703
100,abbigliamenti,3.732003442124703
101,veder,3.6516672434378075
102,mediocre,3.644992065135073
103,appena,3.644992065135073
104,care,3.644992065135073
105,garzone,3.644992065135073
106,cavallo,3.624821202773526
107,attitudini,3.598330749273485
108,schizzi,3.5649493574615367
109,sentì,3.5649493574615367
110,diversità,3.5649493574615367
111,legnaiuolo,3.5649493574615367
112,porsi,3.5649493574615367
113,condurla,3.5649493574615367
114,straordinariamente,3.5649493574615367
115,intesi,3.5649493574615367
116,contentò,3.5649493574615367
117,trovarsi,3.5649493574615367
118,vino,3.4908413853078146
119,vento,3.4908413853078146
120,essi,3.4463589353176407
121,diciotto,3.4218485138208634
122,soldato,3.4218485138208634
123,morisse,3.4218485138208634
124,conoscendosi,3.4218485138208634
125,disagi,3.4218485138208634
126,lunga,3.39816383215952
127,dinanzi,3.374494916865514
128,seguente,3.3573099926832923
129,bolognesi,3.3573099926832923
130,messo,3.3279811925369795
131,inanzi,3.3279811925369795
132,benissimo,3.305123800889734
133,bellissimi,3.305123800889734
134,fatica,3.305123800889734
135,vedersi,3.2966853708668573
136,quaranta,3.2966853708668573
137,messosi,3.2966853708668573
138,estremo,3.2966853708668573
139,iscorto,3.2966853708668573
140,nominato,3.239526957026909
141,studiò,3.239526957026909
142,conversione,3.239526957026909
143,lavorar,3.239526957026909
144,miglior,3.216220275748066
145,mise,3.216220275748066
146,etc,3.185459735756633
147,affermano,3.185459735756633
148,avvenire,3.185459735756633
149,suole,3.185459735756633
150,fecevi,3.185459735756633
151,pianto,3.185459735756633
152,intelligenza,3.185459735756633
153,proprie,3.134166441369082
154,penitenza,3.134166441369082
155,giudei,3.134166441369082
156,bellissime,3.0898624725050032
157,secca,3.0853762771996505
158,mese,3.0853762771996505
159,odio,3.0853762771996505
160,venuti,3.0853762771996505
161,notabili,3.0853762771996505
162,aperto,3.0388562615647574
163,costume,3.0388562615647574
164,menò,3.0388562615647574
165,intagliò,3.0388562615647574
166,forze,3.0388562615647574
167,rilievo,2.9710156315634015
168,disegni,2.9518767295311004
169,tirati,2.951844884575128
170,aspetto,2.951844884575128
171,veste,2.951844884575128
172,luoghi,2.9329192416220127
173,finita,2.9329192416220127
174,grandissimo,2.9141397609223345
175,duca,2.9141397609223345
176,fuori,2.9141397609223345
177,farle,2.9110228900548725
178,portico,2.9110228900548725
179,secco,2.9110228900548725
180,chiaramente,2.9110228900548725
181,guadagno,2.9110228900548725
182,fattone,2.8718021769015913
183,stessi,2.8718021769015913
184,padrone,2.8718021769015913
185,ducati,2.8718021769015913
186,benché,2.8718021769015913
187,scorti,2.8340618489187444
188,fanciullezza,2.8340618489187444
189,cercò,2.8340618489187444
190,disiderava,2.8340618489187444
191,croce,2.805021792421466
192,alcuna,2.805021792421466
193,mille,2.7976942047478692
194,strana,2.7976942047478692
195,volti,2.7626028849365993
196,ritratte,2.7626028849365993
197,fogliami,2.7626028849365993
198,amendue,2.7626028849365993
199,dipinse,2.7526170476334175
200,fresco,2.7526170476334175
201,lavorare,2.735449560250635
202,vestiti,2.7287013332609185
203,fa,2.7184281809148176
204,lodi,2.695911510437927
205,bolognese,2.695911510437927
206,forestieri,2.695911510437927
207,piaceva,2.695911510437927
208,perdita,2.664162812123347
209,ragionevoli,2.664162812123347
210,imitare,2.6333911534565932
211,attitudine,2.6333911534565932
212,dallo,2.5745506534336595
213,viene,2.5745506534336595
214,vincenzio,2.5463797764669636
215,figurò,2.5463797764669636
216,tolse,2.518980802278849
217,commodo,2.492312555196688
218,dimostrano,2.492312555196688
219,cartoni,2.492312555196688
220,dava,2.466337068793427
221,gambe,2.466337068793427
222,donò,2.441019260809137
223,sommamente,2.4163266482187655
224,invidia,2.4163266482187655
225,piene,2.392229096639705
226,stimato,2.392229096639705
227,sa,2.392229096639705
228,vedute,2.368698599229511
229,sette,2.345709081004812
230,mostrano,2.345709081004812
231,dilettò,2.345709081004812
232,nostre,2.323236225152754
233,doveva,2.323236225152754
234,notte,2.3012573184339784
235,cavalli,2.3012573184339784
236,abbia,2.2586977040151828
237,anche,2.2586977040151828
238,naturali,2.2586977040151828
239,bonissimo,2.2380784168124466
240,spese,2.217875709494927
241,colui,2.1786549963416464
242,negl,2.1786549963416464
243,partì,2.159606801370952
244,imparare,2.159606801370952
245,lei,2.140914668358799
246,dicono,2.1045470241879243
247,invenzioni,2.1045470241879243
248,volere,2.1045470241879243
249,tempera,2.1045470241879243
250,cominciato,2.086847447088523
251,elle,2.086847447088523
252,portato,2.0694557043766544
253,finire,2.0523612710173538
254,dare,2.035554152700973
255,merita,2.035554152700973
256,finestre,2.035554152700973
257,modi,2.019024850749762
258,creato,2.002764329877982
259,crucifisso,2.002764329877982
260,condotti,1.9867639885315407
261,tiene,1.9867639885315407
262,conosce,1.9867639885315407
263,portò,1.9710156315634015
264,dodici,1.9555114450274362
265,venire,1.9555114450274362
266,seco,1.9555114450274362
267,spesso,1.9402439728966479
268,stare,1.9402439728966479
269,dagl,1.9252060955321073
270,passò,1.9252060955321073
271,pietra,1.9103910097469667
272,stette,1.9103910097469667
273,sei,1.8957922103258142
274,alcun,1.867218837881758
275,faccia,1.8532325959070182
276,dirimpetto,1.8532325959070182
277,cinque,1.8532325959070182
278,fratello,1.8394392737746823
279,apostoli,1.8394392737746823
280,scultore,1.8394392737746823
281,tanti,1.8394392737746823
282,lodato,1.8394392737746823
283,colorito,1.8258336217189037
284,punto,1.812410601386763
285,veggiono,1.7991653746367424
286,persone,1.7860932930693896
287,alto,1.7860932930693896
288,male,1.7731898882334818
289,disse,1.7731898882334818
290,possono,1.7731898882334818
291,vicino,1.760450862456052
292,tosto,1.760450862456052
293,maravigliosa,1.760450862456052
294,arebbe,1.7478720802491918
295,agl,1.7231794676588204
296,amore,1.7231794676588204
297,arti,1.6755514186695657
298,finì,1.6639905962684898
299,volle,1.652561900444867
300,colori,1.652561900444867
301,quegli,1.652561900444867
302,verso,1.6300890445928085
303,giorno,1.6190392084062235
304,condotta,1.6190392084062235
305,discepolo,1.6190392084062235
306,però,1.6190392084062235
307,ritrasse,1.608110137874033
308,altar,1.608110137874033
309,utile,1.5972992217698176
310,piccole,1.5866039326530696
311,madonna,1.5866039326530696
312,lasciò,1.5866039326530696
313,là,1.5866039326530696
314,stati,1.5760218233225327
315,massimamente,1.5655505234552374
316,state,1.5655505234552374
317,pare,1.5655505234552374
318,invenzione,1.5449312362525016
319,dai,1.5347788647884835
320,lavoro,1.5247285289349821
321,teste,1.5247285289349821
322,essa,1.514778198081814
323,marmo,1.5049259016388024
324,lode,1.5049259016388024
325,buono,1.5049259016388024
326,pure,1.4951697266934376
327,quattro,1.4951697266934376
328,pur,1.4951697266934376
329,parimente,1.4951697266934376
330,meno,1.4855078157817008
331,chiamato,1.4759383647655502
332,monte,1.4759383647655502
333,avevano,1.4477674877988538
334,studio,1.4385508326939298
335,morto,1.4294183491306574
336,natura,1.4203685136107393
337,cagione,1.4113998436279789
338,grandissima,1.402510896210733
339,compagnia,1.402510896210733
340,dall,1.393700266528578
341,particolarmente,1.393700266528578
342,belle,1.3849665865598233
343,nostro,1.3849665865598233
344,esser,1.3849665865598233
345,facciata,1.3763085238167088
346,ai,1.3763085238167088
347,figliuolo,1.3677247801253174
348,sé,1.3592140904574088
349,polenta,0.0
350,plus,0.0
351,poggio,0.0
352,predetti,0.0
353,predica,0.0
354,polastra,0.0
355,predicante,0.0
356,predetto,0.0
357,poggiuolo,0.0
358,predicando,0.0
359,pola,0.0
360,poiché,0.0
361,pochi,0.0
362,poetico,0.0
363,predicanti,0.0
364,predicator,0.0
365,pocci,0.0
366,podestà,0.0
367,poche,0.0
368,podesteria,0.0
369,pochetto,0.0
370,poderi,0.0
371,predicasse,0.0
372,poggino,0.0
373,poderetto,0.0
374,predicato,0.0
375,podere,0.0
376,pochissimo,0.0
377,pochissimi,0.0
378,pochissime,0.0
379,poema,0.0
380,predicare,0.0
381,poca,0.0
382,poesie,0.0
383,poeta,0.0
384,poeti,0.0
385,poetica,0.0
386,po,0.0
387,poeticamente,0.0
388,poetiche,0.0
389,pochissima,0.0
390,poggi,0.0
391,poggiare,0.0
392,predicar,0.0
393,poggibonzi,0.0
394,plutone,0.0
